TEMPEST_ACCOUNT_NO,HOUSE_NO,STREET,CRE_DATE,MOD_DATE,Latitude,Longitude
356942,6240,129A ST,,,49.116212,-122.863455
356944,12912,62 AVE,,,49.115296,-122.864673
356947,6230,129A ST,,,49.116048,-122.863455
356950,6149,129A ST,,,49.114554,-122.864732
356952,6131,129A ST,,,49.114256,-122.864553
356968,13049,61 AVE,,,49.113355,-122.861160
356970,6211,129A ST,,,49.115632,-122.863951
356978,6221,129A ST,,,49.115799,-122.863950
357015,6271,129A ST,,,49.116638,-122.863948
357016,6238,129 ST,,,49.116115,-122.864796
357018,6268,129 ST,,,49.116601,-122.864796
357020,6304,129 ST,,,49.117302,-122.864795
357025,6350,129 ST,,,49.118236,-122.864745
357027,12908,64 AVE,,,49.118910,-122.864833
357032,6299,129A ST,,,49.117140,-122.863947
357036,6249,130 ST,,,49.116206,-122.862607
357047,12984,64 AVE,,,49.118887,-122.862897
357050,6141,132 ST,,,49.114240,-122.856884
357058,6288,131A ST,,,49.117239,-122.857884
357079,13128,61 AVE,,,49.113093,-122.858456
357085,13058,61 AVE,,,49.113017,-122.860672
357099,13054,61A AVE,,,49.113744,-122.860871
357101,6145,130B ST,,,49.114450,-122.860628
357102,6153,130B ST,,,49.114616,-122.860615
357104,6185,130B ST,,,49.115148,-122.860682
357109,6146,130B ST,,,49.114427,-122.860198
357110,6138,130B ST,,,49.114243,-122.860221
357129,13138,62B AVE,,,49.116444,-122.858777
357136,6283,131A ST,,,49.117209,-122.858345
357148,13052,64 AVE,,,49.118866,-122.860884
357152,13067,63A AVE,,,49.118250,-122.860567
357157,13050,63A AVE,,,49.117939,-122.861032
357177,13027,62 AVE,,,49.115617,-122.861541
357184,6288,130B ST,,,49.117034,-122.860068
357193,6058,128 ST,,,49.112872,-122.867570
357198,13134,64 AVE,,,49.118861,-122.858571
357200,13016,64 AVE,,,49.118894,-122.861820
357201,13193,60 AVE,,,49.112067,-122.856989
365265,7959,127 ST,,,49.147489,-122.871006
365268,7664,126A ST,,,49.142130,-122.871942
365274,7944,127 ST,,,49.147146,-122.870568
365276,7933,127 ST,,,49.146985,-122.871009
365277,7936,127 ST,,,49.146978,-122.870569
365279,7923,127 ST,,,49.146817,-122.871010
365280,7928,127 ST,,,49.146810,-122.870569
365284,7710,126A ST,,,49.142961,-122.871950
365287,7719,127 ST,,,49.143122,-122.871038
365289,7727,127 ST,,,49.143288,-122.871039
365294,7875,127 ST,,,49.145976,-122.871013
365296,7865,127 ST,,,49.145808,-122.871014
365297,7866,127 ST,,,49.145802,-122.870574
365299,7855,127 ST,,,49.145640,-122.871015
361856,6836,CLEVEDON DR,,,49.127097,-122.860774
361857,6834,CLEVEDON DR,,,49.127107,-122.861033
361858,6846,130 ST,,,49.127346,-122.861963
361860,13015,68 AVE,,,49.126653,-122.861922
338625,12483,PINEWOOD CR,,,49.181522,-122.876527
338629,12473,PINEWOOD CR,,,49.181823,-122.876865
338630,12515,96 AVE,,,49.177334,-122.876017
338636,12479,96 AVE,,,49.177334,-122.877064
338638,12469,96 AVE,,,49.177334,-122.877325
338642,12439,96 AVE,,,49.177334,-122.878110
338644,12533,PINEWOOD CR,,,49.181026,-122.875329
338651,12562,GROVE CR,,,49.181498,-122.874500
338658,12610,99 AVE,,,49.182130,-122.873014
338661,12600,GROVE CR,,,49.181451,-122.873394
338662,9639,128 ST,,,49.177866,-122.868183
338664,12658,100 AVE,,,49.184313,-122.871580
338668,9991,125 ST,,,49.184341,-122.875559
339440,13272,98A AVE,,,49.181872,-122.854589
339443,13248,98A AVE,,,49.181823,-122.855442
339444,13232,98A AVE,,,49.182035,-122.855603
339446,9897,132A ST,,,49.182539,-122.855455
339448,9913,132A ST,,,49.182857,-122.855444
339450,9928,132 ST,,,49.183069,-122.856328
339455,9896,132 ST,,,49.182449,-122.856354
339461,13546,98A AVE,,,49.181370,-122.846984
339462,13431,98A AVE,,,49.181645,-122.850272
339807,9985,138A ST,,,49.183957,-122.838427
339810,13988,LAUREL DR,,,49.177550,-122.835009
339814,9611,140 ST,,,49.177209,-122.834824
339825,13683,97A AVE,,,49.179396,-122.843340
339834,9926,138 ST,,,49.182934,-122.839365
339841,9647,137 ST,,,49.177939,-122.843598
339857,9710,137 ST,,,49.179071,-122.843028
339861,13823,FRASER HWY,,,49.180899,-122.839458
339863,9700,137 ST,,,49.178914,-122.843051
339867,9692,137 ST,,,49.178743,-122.843073
339872,9671,137A ST,,,49.178430,-122.842263
339881,9711,137B ST,,,49.179092,-122.840948
339882,9699,137B ST,,,49.178928,-122.840957
339903,9891,140 ST,,,49.182331,-122.834529
339924,9610,139 ST,,,49.177395,-122.837201
339932,9935,138 ST,,,49.183115,-122.839773
339934,13977,LAUREL DR,,,49.177839,-122.835195
339943,9921,138 ST,,,49.182828,-122.839812
340531,10928,TIMBERLAND RD,,,49.201127,-122.890202
340543,11805,RIVER RD,,,49.186262,-122.895848
340544,11751,RIVER RD,,,49.185738,-122.897080
340547,11739,RIVER RD,,,49.185634,-122.897303
340548,11797,RIVER RD,,,49.186173,-122.896053
340549,10027,117 ST,,,49.184648,-122.898977
340550,11807,100 AVE,,,49.184638,-122.895472
340552,11733,RIVER RD,,,49.185559,-122.897542
340553,11785,RIVER RD,,,49.186084,-122.896259
340557,11725,RIVER RD,,,49.185495,-122.897775
340558,11777,RIVER RD,,,49.185996,-122.896464
340560,10011,117 ST,,,49.184669,-122.899443
340562,11719,RIVER RD,,,49.185429,-122.898000
340567,10056,117 ST,,,49.185468,-122.898341
340571,11695,RIVER RD,,,49.185217,-122.898781
340572,11671,RIVER RD,,,49.185162,-122.899324
340573,11665,RIVER RD,,,49.185131,-122.899586
340580,10012,117 ST,,,49.184631,-122.898328
340581,11819,RIVER RD,,,49.186480,-122.895265
340582,10107,120 ST,,,49.186405,-122.890323
340583,10109,120 ST,,,49.186405,-122.890326
340584,10089,120 ST,,,49.186071,-122.890705
340585,10091,120 ST,,,49.186071,-122.890705
341104,11897,97 AVE,,,49.179183,-122.893022
341107,11680,97 AVE,,,49.178905,-122.899001
341108,11920,96A AVE,,,49.178007,-122.892357
341114,9639,120 ST,,,49.177855,-122.890414
341118,11905,96A AVE,,,49.178296,-122.892810
341120,11623,96 AVE,,,49.177292,-122.900344
341121,11609,96 AVE,,,49.177263,-122.900748
341130,9780,118B ST,,,49.180499,-122.893260
341131,11737,96 AVE,,,49.177297,-122.897408
341133,11908,97 AVE,,,49.178907,-122.892639
341134,11918,97 AVE,,,49.178912,-122.892366
341135,11714,96A AVE,,,49.178002,-122.898073
341136,11938,97 AVE,,,49.178912,-122.891814
341137,9718,117B ST,,,49.179313,-122.896412
341141,11775,99 AVE,,,49.182819,-122.896244
341142,11815,97 AVE,,,49.179202,-122.895299
341143,11739,97 AVE,,,49.179199,-122.897366
341144,11751,97 AVE,,,49.179200,-122.897102
341147,11848,99 AVE,,,49.182524,-122.894308
341152,11670,99A AVE,,,49.183036,-122.899203
341163,11663,99A AVE,,,49.183418,-122.899634
363641,6666,HAMPTON BLVD E,,,49.124317,-122.871758
361450,13090,66A AVE,,,49.123144,-122.859642
361451,12891,64 AVE,,,49.119272,-122.865191
361453,12861,64 AVE,,,49.119290,-122.865914
361454,12851,64 AVE,,,49.119296,-122.866227
361455,12845,64 AVE,,,49.119299,-122.866488
361456,12831,64 AVE,,,49.119301,-122.866749
361461,6722,128 ST,,,49.125077,-122.867580
361477,13143,66A AVE,,,49.123390,-122.857943
361487,6721,132 ST,,,49.124937,-122.856873
361488,6713,132 ST,,,49.124768,-122.856871
361490,6667,132 ST,,,49.124079,-122.856860
361493,6643,132 ST,,,49.123563,-122.856853
361510,6790,128A ST,,,49.126184,-122.866826
361512,12846,68 AVE,,,49.126450,-122.866465
361526,12981,66 AVE,,,49.123052,-122.862671
361528,12957,66 AVE,,,49.123077,-122.863368
361536,12942,65A AVE,,,49.121510,-122.863776
361537,12958,65A AVE,,,49.121432,-122.863388
361538,12966,65A AVE,,,49.121447,-122.863158
361541,12967,65A AVE,,,49.121740,-122.863247
361544,12991,65A AVE,,,49.121731,-122.862467
361549,12968,66 AVE,,,49.122761,-122.862984
361551,6568,129A ST,,,49.122182,-122.863270
361554,6481,132 ST,,,49.120618,-122.856809
361577,13027,65 AVE,,,49.120928,-122.861394
361586,6457,130A ST,,,49.120123,-122.861157
361591,6454,130 ST,,,49.120149,-122.861928
361592,6446,130 ST,,,49.119978,-122.861927
361596,13025,64 AVE,,,49.119236,-122.861415
361598,13055,64 AVE,,,49.119227,-122.860593
361599,13063,64 AVE,,,49.119224,-122.860347
361600,13071,64 AVE,,,49.119222,-122.860100
361601,13079,64 AVE,,,49.119219,-122.859852
361615,6598,130 ST,,,49.122839,-122.861979
361618,6588,130 ST,,,49.122667,-122.861978
361620,13191,68A AVE,,,49.127226,-122.856954
361622,7072,131A ST,,,49.131400,-122.857950
361623,7048,130 ST,,,49.131013,-122.862003
361624,13160,ENGLISH PL,,,49.132666,-122.858080
361626,12987,HELSTON CR,,,49.128607,-122.862877
361627,13109,68 AVE,,,49.126566,-122.859293
361632,7080,131A ST,,,49.131563,-122.857950
360694,13216,66A AVE,,,49.123108,-122.855910
360695,6752,133 ST,,,49.125350,-122.854250
360698,13228,66A AVE,,,49.123084,-122.855758
360703,13208,66A AVE,,,49.123179,-122.855972
360707,13396,64A AVE,,,49.120024,-122.851430
360713,6766,133 ST,,,49.125602,-122.854210
360715,6494,134 ST,,,49.120656,-122.850777
360717,6443,135A ST,,,49.119963,-122.847164
360718,6775,133 ST,,,49.125719,-122.854738
360720,6776,133 ST,,,49.125714,-122.854252
360725,6433,135A ST,,,49.119825,-122.847175
360728,6788,133 ST,,,49.125732,-122.854381
360742,13266,68 AVE,,,49.126231,-122.854825
360743,13296,68 AVE,,,49.126230,-122.854037
360744,13268,65A AVE,,,49.120996,-122.854614
360749,13258,68 AVE,,,49.126235,-122.855075
360755,6442,135A ST,,,49.120003,-122.846750
360759,13490,68 AVE,,,49.126121,-122.848607
360761,13450,67 AVE,,,49.124101,-122.849682
360764,6769,135 ST,,,49.125749,-122.848590
360765,13245,67B AVE,,,49.125740,-122.855561
360767,13470,65A AVE,,,49.121002,-122.849094
360770,13248,67B AVE,,,49.125626,-122.855543
360774,13240,67B AVE,,,49.125535,-122.855639
360782,13232,67B AVE,,,49.125520,-122.855846
360787,13330,67A AVE,,,49.124523,-122.853015
360788,13547,66A AVE,,,49.123404,-122.847042
360790,13537,66A AVE,,,49.123404,-122.847292
360792,13469,66A AVE,,,49.123402,-122.849126
360794,13527,66A AVE,,,49.123403,-122.847542
360805,13470,68 AVE,,,49.126122,-122.849188
360811,6719,135B ST,,,49.124900,-122.846795
360823,13201,67 AVE,,,49.124675,-122.856331
360824,13549,67 AVE,,,49.124415,-122.847055
360825,13555,67 AVE,,,49.124415,-122.846850
360862,13287,65A AVE,,,49.121274,-122.854145
360867,6526,132A ST,,,49.121798,-122.855524
360871,6525,132A ST,,,49.121726,-122.855913
360873,13210,65B AVE,,,49.122060,-122.856052
360878,6608,133 ST,,,49.122859,-122.854260
360883,13392,68 AVE,,,49.126154,-122.851410
360890,13214,66B AVE,,,49.123769,-122.856290
360894,13262,66B AVE,,,49.123773,-122.854931
360903,13244,66A AVE,,,49.123102,-122.855365
361132,6706,134 ST,,,49.124557,-122.850920
361133,13407,67 AVE,,,49.124376,-122.850663
361134,6459,130 ST,,,49.120101,-122.862423
361135,6747,132 ST,,,49.125475,-122.856852
331665,9824,156 ST,,,49.181359,-122.789617
331672,15651,98 AVE,,,49.180798,-122.788448
331675,15665,98 AVE,,,49.180787,-122.788001
331676,15677,98 AVE,,,49.180781,-122.787778
331686,15648,98 AVE,,,49.180509,-122.788419
331688,15664,98 AVE,,,49.180496,-122.787918
331702,9928,156A ST,,,49.182963,-122.788175
331704,9950,156A ST,,,49.183347,-122.788263
331726,9863,156A ST,,,49.181862,-122.788648
331727,9857,156A ST,,,49.181723,-122.788654
331741,9968,156 ST,,,49.183739,-122.789540
331749,9788,157 ST,,,49.180433,-122.786904
331750,9778,157 ST,,,49.180244,-122.786909
331759,15727,97 AVE,,,49.178944,-122.786515
331768,9740,156 ST,,,49.179411,-122.789662
331769,9752,156 ST,,,49.179686,-122.789656
331772,9924,157 ST,,,49.182907,-122.786870
331783,9867,158A ST,,,49.181705,-122.783799
331805,15793,98 AVE,,,49.180740,-122.784623
331806,15785,98 AVE,,,49.180741,-122.784873
331814,15847,98 AVE,,,49.180737,-122.783101
331818,15887,98 AVE,,,49.180734,-122.781867
331823,15758,98 AVE,,,49.180453,-122.785555
331825,9684,156 ST,,,49.178637,-122.789682
331826,15966,100 AVE,,,49.184190,-122.779715
331827,15766,98 AVE,,,49.180453,-122.785333
331829,15972,100 AVE,,,49.184189,-122.779468
331831,9770,158B ST,,,49.179946,-122.782228
331832,15810,98 AVE,,,49.180451,-122.784444
331833,9764,158B ST,,,49.179781,-122.782232
331837,9612,161 ST,,,49.177120,-122.775847
331839,16153,96A AVE,,,49.177545,-122.774205
331842,16039,99 AVE,,,49.183124,-122.777618
331843,9620,161 ST,,,49.177276,-122.775843
331848,9676,161A ST,,,49.178519,-122.774168
331849,16048,99 AVE,,,49.183006,-122.777555
331850,9628,161 ST,,,49.177442,-122.775735
331853,9860,160 ST,,,49.181584,-122.778398
331855,16042,99 AVE,,,49.182870,-122.777631
331856,16083,96 AVE,,,49.177072,-122.776584
331862,9644,161 ST,,,49.177608,-122.775974
331863,9619,161 ST,,,49.177200,-122.776235
331867,16293,96 AVE,,,49.177124,-122.770742
331868,16022,99 AVE,,,49.182854,-122.778110
331869,16166,96A AVE,,,49.177285,-122.773770
331871,16010,99 AVE,,,49.182853,-122.778339
331873,9672,160A ST,,,49.178169,-122.777124
331876,9628,161A ST,,,49.177277,-122.774269
331885,9703,161A ST,,,49.178733,-122.774674
331888,16009,99B AVE,,,49.183990,-122.778283
331893,16008,99B AVE,,,49.183791,-122.778306
331961,12562,113B AVE,,,49.208773,-122.874157
331973,12421,113B AVE,,,49.209031,-122.878297
331976,12750,115A AVE,,,49.211787,-122.868683
331982,12424,113 AVE,,,49.207857,-122.878039
331983,12574,113B AVE,,,49.208773,-122.873887
331987,11444,124 ST,,,49.210610,-122.878321
331991,12494,113B AVE,,,49.208769,-122.875908
331994,12530,113 AVE,,,49.207880,-122.875126
331995,12760,115A AVE,,,49.211789,-122.868464
332000,12760,113A AVE,,,49.208225,-122.868489
332005,12760,113B AVE,,,49.208944,-122.868475
332010,12584,114 AVE,,,49.209691,-122.873683
332014,12522,113 AVE,,,49.207880,-122.875350
332015,12768,115B AVE,,,49.212503,-122.868248
332031,12518,113B AVE,,,49.208772,-122.875415
332032,12510,113 AVE,,,49.207881,-122.875570
332037,12774,114A AVE,,,49.210396,-122.868054
332039,12712,113A AVE,,,49.208221,-122.869805
332049,12526,113B AVE,,,49.208766,-122.875184
332050,12784,115B AVE,,,49.212519,-122.867826
332051,12498,113 AVE,,,49.207796,-122.875786
332064,12610,114 AVE,,,49.209693,-122.873054
332065,12706,114 AVE,,,49.209647,-122.869985
332067,12534,113B AVE,,,49.208768,-122.874937
332068,12728,115B AVE,,,49.212527,-122.869336
332075,12618,113B AVE,,,49.208772,-122.872546
332084,12484,113 AVE,,,49.207864,-122.876161
332085,11485,128 ST,,,49.211451,-122.867562
332087,12725,112B AVE,,,49.207803,-122.869359
332088,12624,113B AVE,,,49.208777,-122.872231
332103,12719,114 AVE,,,49.209940,-122.869569
332112,12775,114 AVE,,,49.209938,-122.868054
332118,12773,112A AVE,,,49.207112,-122.868078
334045,11162,131A ST,,,49.205677,-122.857427
334052,10970,128A ST,,,49.202285,-122.865872
334061,12940,109 AVE,,,49.200736,-122.863657
334063,11142,131A ST,,,49.205342,-122.857427
334067,10998,131 ST,,,49.202552,-122.859034
368282,7372,151A ST,,,49.135673,-122.802072
368307,7358,148 ST,,,49.136509,-122.812007
368311,14809,73 AVE,,,49.135629,-122.811908
368313,14841,73 AVE,,,49.135630,-122.811430
368314,14855,73 AVE,,,49.135629,-122.811223
368318,14893,73 AVE,,,49.135637,-122.810324
368324,7590,149A ST,,,49.140800,-122.807836
368325,7570,149A ST,,,49.140503,-122.807844
368326,14507,72 AVE,,,49.133883,-122.820389
368328,7461,146 ST,,,49.139100,-122.817353
368329,14584,76 AVE,,,49.140889,-122.817931
368330,7403,146 ST,,,49.137512,-122.817680
368331,7331,146 ST,,,49.136110,-122.818117
368335,14772,74 AVE,,,49.137230,-122.813687
368336,7348,144 ST,,,49.136536,-122.823123
368337,14598,76 AVE,,,49.140892,-122.817455
368340,14580,76 AVE,,,49.140887,-122.818136
368346,7356,144 ST,,,49.136646,-122.823115
368352,14576,76 AVE,,,49.140885,-122.818342
368354,7331,145 ST,,,49.136055,-122.820738
368355,14639,73A AVE,,,49.136299,-122.816743
368359,7362,144 ST,,,49.136755,-122.823124
368362,14555,75A AVE,,,49.140261,-122.818248
368364,14572,76 AVE,,,49.140883,-122.818547
368366,7255,145 ST,,,49.134801,-122.820742
332134,12759,113A AVE,,,49.208533,-122.868476
332136,12515,113 AVE,,,49.208170,-122.875574
332138,12763,114B AVE,,,49.211391,-122.868466
332150,12653,115B AVE,,,49.212729,-122.871365
332151,12525,113 AVE,,,49.208171,-122.875350
332156,12693,112B AVE,,,49.207820,-122.870414
332157,12532,114 AVE,,,49.209692,-122.874977
332165,12745,114B AVE,,,49.211355,-122.868911
332167,12745,114A AVE,,,49.210654,-122.868890
332169,12683,112B AVE,,,49.207796,-122.870621
332177,12539,113 AVE,,,49.208170,-122.874902
332185,12523,113B AVE,,,49.209092,-122.875227
332186,12629,113 AVE,,,49.208196,-122.872225
332187,12629,112A AVE,,,49.207296,-122.872232
332188,12615,115B AVE,,,49.212725,-122.872479
332189,12617,113 AVE,,,49.208199,-122.872504
332194,12597,115B AVE,,,49.212725,-122.873036
332195,12587,113B AVE,,,49.209099,-122.873404
332202,12581,115B AVE,,,49.212729,-122.873601
332215,12637,113B AVE,,,49.209107,-122.871876
332225,12654,115B AVE,,,49.212402,-122.871381
332237,12761,113B AVE,,,49.209208,-122.868372
332238,12765,113B AVE,,,49.209213,-122.868163
332252,11375,128 ST,,,49.209349,-122.867596
332254,12481,114 AVE,,,49.210021,-122.876406
332285,13000,112 AVE,,,49.206715,-122.861901
332310,11349,132 ST,,,49.208864,-122.856581
332311,11295,132 ST,,,49.208021,-122.856590
332320,11456,128 ST,,,49.210809,-122.867197
332323,12867,115A AVE,,,49.212062,-122.865590
332331,12833,115A AVE,,,49.212091,-122.866449
332333,12818,114A AVE,,,49.210402,-122.866960
332335,12815,114 AVE,,,49.209927,-122.866965
332340,11545,129 ST,,,49.212437,-122.864784
332343,12874,115B AVE,,,49.212538,-122.865270
332346,12883,115A AVE,,,49.212058,-122.865088
332351,12867,114A AVE,,,49.210637,-122.865499
332353,12831,114A AVE,,,49.210651,-122.866548
332354,11339,132 ST,,,49.208592,-122.856625
338680,9768,127 ST,,,49.180267,-122.870428
338683,12732,98 AVE,,,49.180678,-122.869542
338684,9803,128 ST,,,49.180778,-122.868035
338685,9785,128 ST,,,49.180601,-122.868045
338686,12789,97A AVE,,,49.179978,-122.868277
338687,12772,98 AVE,,,49.180797,-122.868837
338699,12710,97A AVE,,,49.179740,-122.870376
338700,12708,96A AVE,,,49.177931,-122.870471
338701,12718,97A AVE,,,49.179740,-122.870100
338704,12728,97 AVE,,,49.178835,-122.869872
338707,12640,96A AVE,,,49.177931,-122.872400
338711,12560,97A AVE,,,49.179739,-122.874539
338716,12570,96A AVE,,,49.177930,-122.874328
338719,12580,96A AVE,,,49.177930,-122.874052
338721,12590,97A AVE,,,49.179739,-122.873685
338733,12747,96 AVE,,,49.177335,-122.869406
338736,12739,96A AVE,,,49.178220,-122.869634
338738,12727,96A AVE,,,49.178220,-122.869910
338744,12607,96 AVE,,,49.177315,-122.873263
338746,9989,128 ST,,,49.184255,-122.867913
338748,9967,128 ST,,,49.183933,-122.867913
338750,12770,100 AVE,,,49.184304,-122.868711
338751,12745,99 AVE,,,49.182354,-122.869365
338761,12780,99 AVE,,,49.182057,-122.868042
338769,12609,99 AVE,,,49.182420,-122.873018
363642,6670,HAMPTON BLVD E,,,49.124371,-122.871790
363657,12626,HAMPTON CRT,,,49.123543,-122.872391
363664,6603,127 ST,,,49.123020,-122.870905
363665,6609,127 ST,,,49.123115,-122.870903
363666,6615,127 ST,,,49.123196,-122.870903
363667,6625,127 ST,,,49.123360,-122.870901
363668,6637,127 ST,,,49.123524,-122.870899
363669,6643,127 ST,,,49.123606,-122.870898
363670,6649,127 ST,,,49.123687,-122.870897
363671,6655,127 ST,,,49.123769,-122.870896
363672,6667,127 ST,,,49.123934,-122.870895
363673,6675,127 ST,,,49.124059,-122.870893
363674,6685,127 ST,,,49.124225,-122.870892
363675,6693,127 ST,,,49.124306,-122.870891
363676,6699,127 ST,,,49.124388,-122.870890
363677,6709,127 ST,,,49.124552,-122.870888
363678,6715,127 ST,,,49.124639,-122.870887
363829,12489,75A AVE,,,49.140221,-122.876452
363830,12408,75 AVE,,,49.139113,-122.878779
363831,7597,127A ST,,,49.140858,-122.869588
363832,7405,125A ST,,,49.137545,-122.875675
363833,12506,75A AVE,,,49.139975,-122.876060
363834,12482,73 AVE,,,49.135351,-122.876755
363835,7599,127 ST,,,49.140853,-122.870948
363836,7234,124 ST,,,49.134663,-122.878885
363839,12481,75A AVE,,,49.140227,-122.876693
363840,12485,73 AVE,,,49.135571,-122.876771
363841,7589,127A ST,,,49.140688,-122.869586
363842,12512,75A AVE,,,49.140005,-122.875800
363843,7583,128 ST,,,49.140607,-122.868153
363844,12498,73 AVE,,,49.135350,-122.876509
363845,7587,127 ST,,,49.140693,-122.870942
363846,7586,126A ST,,,49.140698,-122.871920
363847,12430,76 AVE,,,49.140908,-122.878205
363848,12424,75 AVE,,,49.139110,-122.878225
363849,12473,73 AVE,,,49.135573,-122.877043
363850,7402,125A ST,,,49.137488,-122.875427
363851,12520,75A AVE,,,49.140076,-122.875593
363852,7571,128 ST,,,49.140435,-122.868169
363853,7277,125 ST,,,49.134997,-122.876412
363854,7575,127 ST,,,49.140558,-122.870980
363855,7572,126A ST,,,49.140586,-122.871896
363858,12465,75A AVE,,,49.140230,-122.877186
363859,7573,127A ST,,,49.140453,-122.869577
363860,7406,125A ST,,,49.137529,-122.875321
363861,12526,75A AVE,,,49.140145,-122.875390
328332,15763,101A AVE,,,49.187233,-122.785283
328335,15671,101A AVE,,,49.187237,-122.787763
328341,15687,101A AVE,,,49.187236,-122.787212
328354,10125,159 ST,,,49.186437,-122.781576
328360,15990,101A AVE,,,49.186885,-122.779297
328373,10145,158 ST,,,49.186896,-122.784375
328375,10129,158 ST,,,49.186576,-122.784374
328378,10182,158 ST,,,49.187571,-122.783932
328431,10023,160 ST,,,49.184726,-122.778865
328432,10031,160 ST,,,49.184897,-122.778864
328465,10014,158A ST,,,49.184694,-122.782631
328470,10248,156 ST,,,49.188808,-122.789517
328471,10236,156 ST,,,49.188657,-122.789517
328505,10048,157 ST,,,49.185112,-122.786436
328519,10026,156A ST,,,49.184730,-122.788157
328521,10023,156A ST,,,49.184729,-122.788651
328541,10014,156 ST,,,49.184573,-122.789497
328542,10030,156 ST,,,49.184914,-122.789495
328547,10086,156 ST,,,49.186088,-122.789505
328554,15637,102 AVE,,,49.188142,-122.789018
328555,15651,102 AVE,,,49.188141,-122.788550
328835,10301,155A ST,,,49.189684,-122.791471
329161,10279,149 ST,,,49.189289,-122.809478
329166,14876,103A AVE,,,49.190478,-122.809825
329173,14845,103 AVE,,,49.189974,-122.810778
329179,10285,148A ST,,,49.189471,-122.810847
329184,10265,148A ST,,,49.188967,-122.810852
329194,14963,102A AVE,,,49.189002,-122.807511
329196,14921,102A AVE,,,49.188999,-122.808741
329210,10299,149A ST,,,49.189745,-122.808012
329211,10291,149A ST,,,49.189495,-122.808017
329916,10208,146 ST,,,49.188059,-122.817328
329922,10255,146 ST,,,49.188758,-122.817809
329925,10200,146 ST,,,49.187865,-122.817337
329931,14617,102 AVE,,,49.187846,-122.816875
329934,14629,102 AVE,,,49.187846,-122.816653
329937,10346,145A ST,,,49.190499,-122.818754
329939,10111,144A ST,,,49.186324,-122.821830
329950,10154,144A ST,,,49.187050,-122.821433
329951,10357,146 ST,,,49.190685,-122.817790
329966,14412,102B AVE,,,49.188855,-122.822788
329967,14422,102B AVE,,,49.188854,-122.822508
329972,14435,102B AVE,,,49.189162,-122.822144
333230,13786,FRANKLIN RD,,,49.200247,-122.840230
362213,6767,121A ST,,,49.125945,-122.886266
362214,6737,121A ST,,,49.125651,-122.886185
362215,6738,121A ST,,,49.125649,-122.886035
362216,6750,121A ST,,,49.125665,-122.885886
362217,6758,121A ST,,,49.125768,-122.885793
362218,6772,121A ST,,,49.126093,-122.885883
362219,12168,68 AVE,,,49.126543,-122.885812
362220,12176,68 AVE,,,49.126538,-122.885524
362222,7120,122 ST,,,49.132465,-122.884561
362223,7061,123B ST,,,49.131146,-122.880370
362227,7018,123 ST,,,49.130595,-122.881673
362229,7039,124 ST,,,49.130750,-122.879303
362230,7087,123 ST,,,49.131870,-122.882123
362232,12302,71 AVE,,,49.131867,-122.881632
362234,6929,124 ST,,,49.128943,-122.879236
362235,7028,123 ST,,,49.130793,-122.881743
362236,12320,72 AVE,,,49.133801,-122.881431
362237,12321,71 AVE,,,49.132083,-122.881367
362238,7069,123B ST,,,49.131330,-122.880371
362239,6821,124 ST,,,49.127007,-122.879242
362242,6903,124 ST,,,49.128404,-122.879226
362243,12217,68 AVE,,,49.126826,-122.884151
362244,7023,124 ST,,,49.130595,-122.879303
362245,7081,123 ST,,,49.131694,-122.882122
