,City_Centre,City_Centre_Percentage,City_Centre_Percentage_of_Total,Cloverdale,Cloverdale_Percentage,Cloverdale_Percentage_of_Total,Fleetwood,Fleetwood_Percentage,Fleetwood_Percentage_of_Total,Guildford,Guildford_Percentage,Guildford_Percentage_of_Total,Newton,Newton_Percentage,Newton_Percentage_of_Total,Ocean_Park,Ocean_Park_Percentage,Ocean_Park_Percentage_of_Total,Port_Kells,Port_Kells_Percentage,Port_Kells_Percentage_of_Total,Semiahmoo,Semiahmoo_Percentage,Semiahmoo_Percentage_of_Total,Strawberry_Hill,Straberry_Hill_Percentage,Straberry_Hill_Percentage_of_Total,Special_Needs,Special_Needs_Percentage,Special_Needs_Percentage_of_Total,Collection_Services,Collection_Services_Percentage,Collection_Services_Percentage_of_Total,Total,Percent,Percent_of_Total
Adult,"8,474",85.80%,1.32%,966,81.24%,0.30%,"5,074",84.06%,1.09%,"6,752",83.80%,0.84%,"14,487",90.99%,2.63%,362,62.20%,0.13%,29,100.00%,0.10%,"2,226",73.37%,0.42%,"13,561",91.63%,3.27%,200,100.00%,0.55%,8,100.00%,0.22%,"52,139",87.29%,1.28%
Youth,"1,402",14.20%,0.22%,223,18.76%,0.07%,962,15.94%,0.21%,"1,305",16.20%,0.16%,"1,434",9.01%,0.26%,220,37.80%,0.08%, -   ,0.00%,0.00%,808,26.63%,0.15%,"1,238",8.37%,0.30%, -   ,0.00%,0.00%, -   ,0.00%,0.00%,"7,592",12.71%,0.19%
Total,"9,876",,1.54%,"1,189",,0.37%,"6,036",,1.29%,"8,057",,1.00%,"15,921",,2.89%,582,,0.21%,29,,0.10%,"3,034",,0.57%,"14,799",,3.57%,200,,0.55%,8,,0.22%,"59,731",,1.46%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-catalogued Multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult,"18,551",87.82%,2.89%,154,32.02%,0.05%,"7,493",75.92%,1.61%,"22,066",84.10%,2.74%,"5,239",80.01%,0.95%,1,0.63%,0.00%, -   ,#DIV/0!,0.00%,"6,754",80.74%,1.26%,"4,444",71.04%,1.07%,2,66.67%,0.01%,2,100.00%,0.05%,"64,706",81.86%,1.59%
Youth,"2,572",12.18%,0.40%,327,67.98%,0.10%,"2,376",24.08%,0.51%,"4,173",15.90%,0.52%,"1,309",19.99%,0.24%,157,99.37%,0.06%, -   ,#DIV/0!,0.00%,"1,611",19.26%,0.30%,"1,812",28.96%,0.44%,1,33.33%,0.00%, -   ,0.00%,0.00%,"14,338",18.14%,0.35%
Total,"21,123",,3.29%,481,,0.15%,"9,869",,2.11%,"26,239",,3.26%,"6,548",,1.19%,158,,0.06%, -   ,,0.00%,"8,365",,1.56%,"6,256",,1.51%,3,,0.01%,2,,0.05%,"79,044",,1.94%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"641,975",,15.74%,"318,005",,7.80%,"466,771",,11.45%,"804,731",,19.73%,"550,614",,13.50%,"275,692",,6.76%,"29,678",,0.73%,"535,446",,13.13%,"415,007",,10.18%,"36,500",,0.90%,"3,673",,0.09%,"4,078,092",,
