Total," 6,691 ",,1.37%," 1,012 ",,0.33%," 4,621 ",,1.11%," 8,870 ",,1.12%," 13,073 ",,2.92%, 514 ,,0.20%, 82 ,,0.24%," 2,758 ",,0.53%," 13,566 ",,3.96%, 328 ,,1.06%, 20 ,,0.42%," 51,535 ",,1.41%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-catalogued Multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 8,678 ",83.46%,1.77%, 121 ,42.01%,0.04%," 7,063 ",73.29%,1.69%," 20,467 ",84.15%,2.58%," 3,150 ",69.38%,0.70%, -   ,0.00%,0.00%, 2 ,100.00%,0.01%," 9,656 ",79.89%,1.86%," 3,288 ",78.32%,0.96%, 44 ,66.67%,0.14%, 2 ,100.00%,0.04%," 52,471 ",79.91%,1.44%
Youth," 1,720 ",16.54%,0.35%, 167 ,57.99%,0.05%," 2,574 ",26.71%,0.62%," 3,856 ",15.85%,0.49%," 1,390 ",30.62%,0.31%, 122 ,100.00%,0.05%, -   ,0.00%,0.00%," 2,430 ",20.11%,0.47%, 910 ,21.68%,0.27%, 22 ,33.33%,0.07%, -   ,0.00%,0.00%," 13,191 ",20.09%,0.36%
Total," 10,398 ",,2.13%, 288 ,,0.09%," 9,637 ",,2.31%," 24,323 ",,3.07%," 4,540 ",,1.01%, 122 ,,0.05%, 2 ,,0.01%," 12,086 ",,2.33%," 4,198 ",,1.23%, 66 ,,0.21%, 2 ,,0.04%," 65,662 ",,1.80%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 489,033 ",,13.40%," 310,924 ",,8.52%," 417,726 ",,11.44%," 792,111 ",,21.70%," 448,299 ",,12.28%," 262,787 ",,7.20%," 33,548 ",,0.92%," 517,993 ",,14.19%," 342,596 ",,9.38%," 30,985 ",,0.85%," 4,735 ",,0.13%," 3,650,737 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
