STRUCTURE_TYPE,STRUCTURE_TYPE2,DESCRIPTION,LOCATION,STRUCTURE_DETAIL_TYPE,SPECIAL_FEATURES,MATERIAL_TYPE,WIDTH_M,SEATING_TYPE,GIFT_DONATION,PLAQUE_DETAIL,BENCH_STYLE,CAPACITY,DIMENSION_M2,COMPONENT_TYPE,SURFACE_MATERIAL,WINTERIZED,LENGTH_M,HOUSE_NO,STATUS,STATUS_DATE,PARK_OWNERSHIP,INSERVICE_DATE,INSERVICE_COST,CONDITION,YRS_LIFE_EXPECTANCY,WARRANTYDATE,WARRANTY_PROVIDER,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,Latitude,Longitude
3,Shelters and Tables,"Table #10 - Permanent; Green Timbers Urban Forest Park, 14698 96 Ave","east side of lake, in picnic area",,,Plastic,,,,,,,,Table - Permanent,,,,14698,OPERATING,20091023145700,,20090801,0,,,,,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,49.180771,-122.820003
1,Gates,"Bollard; Robin Park, 11240 150 St",Robin Cr - SW corner of park,Bollard,,Metal,,,,,,,,,,,,11240,OPERATING,,,,,,,,,"Robin Park, 11240 150 St",Park,49.206121,-122.806050
1,Gates,"Bollard; Robin Park, 11240 150 St",Robin Cr - SW corner of park,Bollard,,Metal,,,,,,,,,,,,11240,OPERATING,,,,,,,,,"Robin Park, 11240 150 St",Park,49.206121,-122.806030
0,Benches and Bleachers,"Permanent Wood Bench; Sullivan Park, 6272 - 152 St",Dia-SB 1/2/4/,,,,0,Bench,,,,0,,,,,,06272,OPERATING,,,,0,,,,,"Sullivan Park, 6272 152 St",,49.116882,-122.800740
0,Benches and Bleachers,"Fixed Location Bench; Glenwood Park - 15N, 16625 - Glenwood Cres South",Near 105 Ave Entrance,,,,0,Bench,,,,0,,,,,,16625,OPERATING,,,,0,,,,,"Glenwood Park, 16625 Glenwood Cres South",,49.193132,-122.761029
0,Benches and Bleachers,"2 Permanent Benches; Redwood Park, 17900 - 20 Ave",Treehouse,,,,0,Bench,,,,0,,,,,,17900,OPERATING,,,,0,,,,,"Redwood Park, 17900 20 Ave",,49.035917,-122.726385
0,Benches and Bleachers,"2 Permanent Wood Benches(In Dugout); Sunnyside Park, 15455 - 26 Ave",Dia-SB 1,,,,0,Bench,,,,0,,,,,,15455,OPERATING,,,,0,,,,,"Sunnyside Park, 15455 26 Ave",,49.050029,-122.795273
0,Benches and Bleachers,"2 Fixed Location Benches; Sunnyside Park, 15455 - 26 Ave",Dia-SB 1,,,,0,Bench,,,,0,,,,,,15455,OPERATING,,,,0,,,,,"Sunnyside Park, 15455 26 Ave",,49.050074,-122.795273
0,Benches and Bleachers,"Fixed Location Bench; 24L - Greenbelt, 9873 159 St",W. Side Of Site,,,,0,Bench,,,,0,,,,,,09873,OPERATING,,,,0,,,,,"24L - Tot-Lot, 9873 159 St",,49.181745,-122.781765
0,Benches and Bleachers,"2 Permanent Benches; Fleetwood Park, 15802 - 80 Ave",1st Baseline of Dia-SB 4,,,,0,Bench,,,,0,,,,,,15802,OPERATING,,,,0,,,,,"Fleetwood Park, 15802 80 Ave",,49.148124,-122.783084
0,Benches and Bleachers,"Fixed Location Bench; Hazelnut Meadows Community Park, 14069 68 Ave",Along Path,,,,0,Bench,,,,0,,,,,,14069,OPERATING,,,,0,,,,,"Hazelnut Meadows Community Park, 14069 68 Ave",,49.126391,-122.832364
0,Benches and Bleachers,"Fixed Location Bench; 33C - Tot-Lot, 14484 - 91 Ave",Beside Playground,,,,0,Bench,,,,0,,,,,,14484,OPERATING,,,,0,,,,,"33C - Tot-Lot, 14484 91 Ave",,49.167710,-122.821086
6,Other,"BBQ Stand; Green Timbers Urban Forest Park, 14698 96 Ave",next to table 5,,,Metal,,,,,,,,,,,,14698,OPERATING,,,20131101,,,,,,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,49.180324,-122.820053
6,Other,"BBQ Stand; Blackie Spit, 3136 McBride Ave",next to table 6,,,Metal,,,,,,,,,,,,03136,OPERATING,,,,,,,,,"Blackie Spit, 3136 McBride Ave",Park,49.059220,-122.882795
6,Other,"BBQ Stand; Blackie Spit, 3136 McBride Ave",next to table 9,,,Metal,,,,,,,,,,,,03136,OPERATING,,,,,,,,,"Blackie Spit, 3136 McBride Ave",Park,49.059235,-122.882305
4,Stairs,"Stairway #1 - Enver Creek Park, 8170 146 St",along P2 near 81A Ave entrance,,,Wood,,,,,,,,,,,15,08170,OPERATING,,,20150824,,,,,,"Enver Creek Park, 8170 146 St",Park,49.150994,-122.815358
6,Other,"BBQ Stand; Bothwell Park, 9435 - 168 St",next to table 2,,,Metal,,,,,,,,,,,,09435,OPERATING,,,20131101,,,,,,"Bothwell Park, 9435 168 St",Park,49.172508,-122.757927
6,Other,"BBQ Stand; Redwood Park, 17900 - 20 Ave",next to table 1,,,Metal,,,,,,,,,,,,17900,OPERATING,,,,,,,,,"Redwood Park, 17900 - 20 Ave",Park,49.036105,-122.727487
6,Other,"BBQ Stand; Redwood Park, 17900 - 20 Ave",next to table 2,,,Metal,,,,,,,,,,,,17900,OPERATING,,,,,,,,,"Redwood Park, 17900 - 20 Ave",Park,49.036150,-122.727214
6,Other,"BBQ Stand; Redwood Park, 17900 - 20 Ave",next to table 3,,,Metal,,,,,,,,,,,,17900,OPERATING,,,,,,,,,"Redwood Park, 17900 - 20 Ave",Park,49.036204,-122.726894
6,Other,"BBQ Stand; Green Timbers Urban Forest Park, 14698 96 Ave",Green Timbers Urban Forest Park,,,Metal,,,,,,,,,,,,14698,OPERATING,,,20131101,,,,,,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,49.180791,-122.820027
6,Other,"BBQ Stand; Green Timbers Urban Forest Park, 14698 96 Ave",next to table 6,,,Metal,,,,,,,,,,,,14698,OPERATING,,,20131101,,,,,,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,49.180440,-122.820236
0,Benches and Bleachers,"Bench; Moffat Memorial Park, 9434 122 St","north of playground, ref # 1",,,Other,,Bench,N,,Basic,,,,,,,09434,OPERATING,20110208161100,,20101204,0,,,,,"Moffat Memorial Park, 9434 122 St",Park,49.174002,-122.884259
1,Gates,"2 Bicycle Baffles; 121W - Greenbelt, 1606 134 St",At 133A St Entrance To Pathway,Bicycle Baffle,,,,,,,,,,,,,,01606,OPERATING,,,,0,,,,,"121W - Greenbelt, 1606 134 St",,49.031356,-122.851177
1,Gates,"2 Bicycle Baffles; 121W - Greenbelt, 1606 134 St",At 16 Ave Entrance To Pathway,Bicycle Baffle,,,,,,,,,,,,,,01606,OPERATING,,,,0,,,,,"121W - Greenbelt, 1606 134 St",,49.031362,-122.849814
3,Shelters and Tables,"Table #6 - Portable; Elgin Heritage Park, 13723 - Crescent Rd",in grass area north of farmhouse,,,Metal,,,,,,,,Table - Portable,,,,13723,OPERATING,20051018075500,,,0,,,,,"Elgin Heritage Park, 13723 Crescent Rd",Park,49.065483,-122.841568
1,Gates,"2 Bicycle Baffles; 121W - Greenbelt, 1606 134 St",At 134 St Entrance To Pathway,Bicycle Baffle,,Metal,,,,,,,,,,,,01606,OPERATING,,,,0,,,,,"121W - Greenbelt, 1606 134 St",,49.031565,-122.849975
3,Shelters and Tables,"Table #9 - Permanent; Clayton Park, 18513 70 Ave",south bocci court,,,Metal,,,,,,,,Table - Permanent,,,,18513,OPERATING,20051018082900,,,0,,,,,"Clayton Park, 18513 70 Ave",Park,49.130652,-122.708659
3,Shelters and Tables,"Table #1 - Permanent; Bridgeview Park, 11475 - 126A St",SE of tennis courts,,,Concrete,,,,,,,,Table - Permanent,,,,11475,OPERATING,,,,0,,,,,"Bridgeview Park, 11475 126A St",Park,49.210374,-122.871472
3,Shelters and Tables,"Table #2 - Permanent; Bridgeview Park, 11475 126A St",E of playground,,,Wood,,,,,,,,Table - Permanent,,,,11475,OPERATING,20030318103500,,20020627,0,,,,,"Bridgeview Park, 11475 126A St",Park,49.210210,-122.871494
3,Shelters and Tables,"Table #8 - Permanent; Unwin Park, 13313 68 Ave",NW of water playground,,,Wood,,,,,,,,Table - Permanent,,,,13313,OPERATING,20051018074600,,,0,,,,,"Unwin Park, 13313 68 Ave",Park,49.126903,-122.853665
3,Shelters and Tables,"Table #3 - Permanent; Bridgeview Park, 11475 126A St",NE of water playground,,,Wood,,,,,,,,Table - Permanent,,,,11475,OPERATING,20051018095900,,20020627,0,,,,,"Bridgeview Park, 11475 126A St",Park,49.210304,-122.871189
3,Shelters and Tables,"Table #4 - Permanent; Bridgeview Park, 11475 126A St",SE of water playground,,,Wood,,,,,,,,Table - Permanent,,,,11475,OPERATING,20051018100000,,20020627,0,,,,,"Bridgeview Park, 11475 126A St",Park,49.210028,-122.871243
3,Shelters and Tables,"Table - Permanent; Whalley Athletic Park, 13350 - 105A Ave",South of Caretakers,,,Concrete,,,,,,,,Table - Permanent,,,,13350,OPERATING,,,,0,,,,,"Whalley Athletic Park, 13351 105A Ave",Park,49.196191,-122.851614
3,Shelters and Tables,"Park Shelter - Permanent; Hawthorne Park, 10503 - 144 St",south of parking lot and west of playground,,,Wood,,,,,,,,Park Shelter - Permanent,,,,10503,OPERATING,,,19980101,0,,,,,"Hawthorne Park, 10503 144 St",Park,49.193517,-122.826054
3,Shelters and Tables,"Table #8 - Portable; Green Timbers Park, 14255 96 Ave",S of sign kiosk in commemorative planting,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806101300,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178244,-122.829740
3,Shelters and Tables,"Table #9 - Portable; Green Timbers Park, 14255 96 Ave",S of sign kiosk in commemorative planting,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806101400,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178210,-122.829664
3,Shelters and Tables,"Table #32 - Permanent; Bear Creek Park, 13750 88 Ave",south of main playground,,,,,,,,,,,Table - Permanent,,,,13750,OPERATING,20101006134600,,20090901,0,,,,,"Bear Creek Park, 13750 88 Ave",Park,49.159608,-122.840330
6,Other,3 Flagpoles; Blvd - Sign @ Hwy 99 & 8 Ave,In hort bed on blvd,,,Metal,,,,,,,,,,,,49901,OPERATING,,,,,,,,,"Blvd, Sign @ Hwy 99 & 8 Ave",Park,49.016284,-122.758658
6,Other,"Bike Rack; Newton Athletic Park, 7395 128 St",Adjacent to Soccer 1 north east corner,,,Metal,,,,,,,,,,,,07395,OPERATING,,,,,,,,,"Newton Athletic Park, 7395 128 St",Park,49.138451,-122.870201
3,Shelters and Tables,"Park Shelter - Portable; Chimney Heights Park, 14677 74 Ave",,,,,,,,,,,,Park Shelter - Portable,,,,14677,OPERATING,20030718094200,,20030902,0,,,,,"Chimney Heights Park, 14677 74 Ave",Park,49.138503,-122.816521
1,Gates,"Bollard; Newton Pond, 13720 70 Ave",138 St Entrance (North),Bollard,,,,,,,,,,,,,,13720,OPERATING,,,20160526,,,,,,"Newton Pond, 13720 70 Ave",Park,49.129115,-122.838881
3,Shelters and Tables,"Table #1 - Permanent; Holland Park, 13428 Old Yale Road",west side of park along P1,,,,,,,,,,,Table - Permanent,,,,13428,OPERATING,20110615084000,,20110615,0,,,,,"Holland Park, 13428 Old Yale Road",Park,49.184980,-122.851155
3,Shelters and Tables,"Table #2 - Permanent; Holland Park, 13428 Old Yale Road",west side of park along P1,,,,,,,,,,,Table - Permanent,,,,13428,OPERATING,20110615084200,,20110615,0,,,,,"Holland Park, 13428 Old Yale Road",Park,49.184937,-122.851120
3,Shelters and Tables,"Table #15 - Permanent; Fleetwood Park, 15802 - 80 Ave",south of playground,,,,,,,,,,,Table - Permanent,,,,15802,OPERATING,20110615085300,,20100301,0,,,,,"Fleetwood Park, 15802 80 Ave",Park,49.147425,-122.783303
1,Gates,"Bollard; Newton Pond, 13720 70 Ave",138 St Entrance (North),Bollard,,,,,,,,,,,,,,13720,OPERATING,,,20160526,,,,,,"Newton Pond, 13720 70 Ave",Park,49.129126,-122.838877
1,Gates,"Bollard; Newton Pond, 13720 70 Ave",138 St Entrance (South),Bollard,,,,,,,,,,,,,,13720,OPERATING,,,20160526,,,,,,"Newton Pond, 13720 70 Ave",Park,49.127582,-122.840161
0,Benches and Bleachers,"Bench; The Glades, 561 172 St","In the park, bench ref # 2",,,Metal,0,Bench,,,Garden,0,,,,,,00561,OPERATING,,,,0,,,,,"The Glades, 561 172 St",,49.011274,-122.746537
0,Benches and Bleachers,"Bench; The Glades, 561 172 St","In the park, bench ref # 3",,,Metal,0,Bench,,,Garden,0,,,,,,00561,OPERATING,,,,0,,,,,"The Glades, 561 172 St",,49.011564,-122.746562
1,Gates,"Bollard; Newton Athletic Park, 7395 - 128 St",SW corner of parking lot # 1,Bollard,,,,,,,,,,,,,,07395,OPERATING,,,20160601,,,,,,"Newton Athletic Park, 7395 128 St",Park,49.136474,-122.869862
0,Benches and Bleachers,"Bench; The Glades, 561 172 St","In the park, bench ref # 5",,,Metal,0,Bench,,,Garden,0,,,,,,00561,OPERATING,,,,0,,,,,"The Glades, 561 172 St",,49.011974,-122.747162
1,Gates,"Bollard; Robin Park, 11240 150 St",Entrance to Parking Lot,Bollard,,Metal,,,,,,,,,,,,11240,OPERATING,,,,,,,,,"Robin Park, 11240 150 St",Park,49.206111,-122.804400
1,Gates,"Bollard; Robin Park, 11240 150 St",Entrance to Parking Lot,Bollard,,Metal,,,,,,,,,,,,11240,OPERATING,,,,,,,,,"Robin Park, 11240 150 St",Park,49.206153,-122.804018
1,Gates,"Bollard; 4E - Greenbelt, 11243 - 153 St",At 153 St Entrance,Bollard,,,,,,,,,,,,,,11243,OPERATING,,,,0,,,,,"4E - Greenbelt, 11243 153 St",,49.206503,-122.798392
0,Benches and Bleachers,"Bench; Boundary Park, 6058 Boundary Dr West","Along path Parkside Place enterance, bench ref # 6",,,Metal,,Bench,N,,Cast,,,,,,,06058,OPERATING,20101020110100,,20071201,0,,,,,"Boundary Park, 6058 Boundary Dr West",Park,49.111651,-122.887912
0,Benches and Bleachers,"Bench; The Glades, 561 172 St","In the park, bench ref # 1",,,Metal,0,Bench,,,Garden,0,,,,,,00561,OPERATING,,,,0,,,,,"The Glades, 561 172 St",,49.011304,-122.746562
1,Gates,"Bollard; Newton Athletic Park, 7395 - 128 St",SW corner of parking lot # 1,Bollard,,,,,,,,,,,,,,07395,OPERATING,,,20160601,,,,,,"Newton Athletic Park, 7395 128 St",Park,49.136478,-122.869870
1,Gates,"Bollard; Robin Park, 11240 150 St",Entrance to Parking Lot,Bollard,,Metal,,,,,,,,,,,,11240,OPERATING,,,,,,,,,"Robin Park, 11240 150 St",Park,49.206121,-122.804412
1,Gates,"Bollard; Robin Park, 11240 150 St",Entrance to Parking Lot,Bollard,,Metal,,,,,,,,,,,,11240,OPERATING,,,,,,,,,"Robin Park, 11240 150 St",Park,49.206153,-122.804034
1,Gates,"Bollard; 4B - Walkway, 11371 - 153A St",At 153A St Entrance,Bollard,,,,,,,,,,,,,,11371,OPERATING,,,,0,,,,,"4B - Walkway, 11371 153A St",,49.208985,-122.798236
1,Gates,"Bollard; 4A - Walkway, 11370 - 153A St",At 153A St Entrance,Bollard,,,,,,,,,,,,,,11370,OPERATING,,,,0,,,,,"4A - Walkway, 11370 153A St",,49.209245,-122.797279
0,Benches and Bleachers,"Bench; Moffat Memorial Park, 9434 122 St","east of playground, ref # 2",,,Other,,Bench,N,,Basic,,,,,,,09434,OPERATING,20110208161300,,20101204,0,,,,,"Moffat Memorial Park, 9434 122 St",Park,49.173931,-122.884009
3,Shelters and Tables,"Park Shelter #3 - Portable; Dominion Park, 8225 - 134 St",west of playground,,,Steel,,,,,,,,Park Shelter - Portable,,,,08225,OPERATING,,,,0,,,,,"Dominion Park, 8225 134 St",Park,49.151769,-122.852251
3,Shelters and Tables,"Park Shelter #1 - Portable; Tamanawis Park, 12515 64 Ave",,,,,,,,,,,,Park Shelter - Portable,,,,12515,OPERATING,,,20100101,,,,,,"Tamanawis Park, 12515 64 Ave",Park,49.120673,-122.874415
3,Shelters and Tables,"Park Shelter #2 - Portable; Tamanawis Park, 12515 64 Ave",,,,,,,,,,,,Park Shelter - Portable,,,,12515,OPERATING,,,20150701,,,,,,"Tamanawis Park, 12515 64 Ave",Park,49.120836,-122.874423
3,Shelters and Tables,"Park Shelter #3 - Portable; Tamanawis Park, 12515 64 Ave",,,,,,,,,,,,Park Shelter - Portable,,,,12515,OPERATING,,,20150701,,,,,,"Tamanawis Park, 12515 64 Ave",Park,49.120573,-122.874411
3,Shelters and Tables,"Table #1 - Permanent; Moffat Memorial Park, 9434 122 St",adjacent to Playground 1,,,,,,,,,,,Table - Permanent,,,,09434,OPERATING,,,,,,,,,"Moffat Memorial Park, 9434 122 St",Park,49.174010,-122.884157
3,Shelters and Tables,"Table #2 - Permanent; Moffat Memorial Park, 9434 122 St",adjacent to Playground 1,,,,,,,,,,,Table - Permanent,,,,09434,OPERATING,,,,,,,,,"Moffat Memorial Park, 9434 122 St",Park,49.174015,-122.884068
3,Shelters and Tables,"Table - Permanent; Whalley Athletic Park, 13350 - 105A Ave",south of playground 2,,,Wood,,,,,,,,Table - Permanent,,,,13350,OPERATING,,,,,,,,,"Whalley Athletic Park, 13351 105A Ave",Park,49.196285,-122.851388
3,Shelters and Tables,"Table #2 - Permanent; Holly Park, 10706 - 148 St",SE of parking lot,,,Concrete,,,,,,,,Table - Permanent,,,,10706,OPERATING,,,,0,,,,,"Holly Park, 10706 148 St",Park,49.196622,-122.811494
3,Shelters and Tables,"Table #3 - Permanent; Holly Park, 10706 - 148 St",W of pool,,,Concrete,,,,,,,,Table - Permanent,,,,10706,OPERATING,,,,0,,,,,"Holly Park, 10706 148 St",Park,49.196256,-122.812055
3,Shelters and Tables,"Table #1 - Permanent; Erma Stephenson Park, 15920 110 Ave",NW of water playground,,,Wood,,,,,,,,Table - Permanent,,,,15920,OPERATING,20051018121200,,20050627,0,,,,,"Erma Stephenson Park, 15920 110 Ave",Park,49.202184,-122.781411
3,Shelters and Tables,"Table #2 - Permanent; Erma Stephenson Park, 15920 110 Ave",near water playground,,,Wood,,,,,,,,Table - Permanent,,,,15920,OPERATING,20051018121400,,20050627,0,,,,,"Erma Stephenson Park, 15920 110 Ave",Park,49.201713,-122.781306
3,Shelters and Tables,"Table - Permanent; Royal Heights Park, 9780 - Crown Cres",North of Blacktop Play Area,,,Metal,,,,,,,,Table - Permanent,,,,09780,OPERATING,,,,0,,,,,"Royal Heights Park, 9780 Crown Cres",Park,49.180499,-122.904714
1,Gates,"2  Bicycle Baffles; 122A - Greenbelt, 13810 18a Ave",2 at South end of asphalt path on 18 Ave.,Bicycle Baffle,,,,,,,,,,,,,,13810,OPERATING,20020719,,19950517,0,,,,,"122A - Greenbelt, 13810 18a Ave",,49.034942,-122.839354
3,Shelters and Tables,"Park Shelter #1 - Portable; Robertson Drive Park, 12730 92 Ave","On paved area, south shelter",,,,,,,,,,,Park Shelter - Portable,,,,12730,OPERATING,20030718094600,,20020227,0,,,,,"Robertson Drive Park, 12730 92 Ave",Park,49.168979,-122.870208
3,Shelters and Tables,"Park Shelter #2 - Portable; Robertson Drive Park, 12730 92 Ave","On paved area, north shelter",,,,,,,,,,,Park Shelter - Portable,,,,12730,OPERATING,20030718095100,,20020227,0,,,,,"Robertson Drive Park, 12730 92 Ave",Park,49.169011,-122.870159
3,Shelters and Tables,"Table - Portable; William Beagle Park, 12944 92a Ave",north of playground,,,Steel,,,,,,,,Table - Portable,,,,12944,OPERATING,20101006075000,,20090301,0,,,,,"William Beagle Park, 12944 92A Ave",Park,49.170655,-122.863557
1,Gates,"Bollard; 122A - Greenbelt, 13810 18a Ave",At North end of asphalt path on 18A  Ave.,Bollard,,,,,,,,,,,,,,13810,OPERATING,20020719,,19950517,0,,,,,"122A - Greenbelt, 13810 18a Ave",,49.035848,-122.839303
1,Gates,"Bollard; 122E - Detention Pond, 1894 139a St",At end of asphalt path on 140 ST,Bollard,,,,,,,,,,,,,,01894,OPERATING,20020722,,19890516,0,,,,,"122E - Detention Pond / Bell Estates Park, 1894 139a St",,49.036638,-122.834532
3,Shelters and Tables,"Park Shelter #1 - Portable; Dominion Park, 8225 - 134 St","north of playground, west shelter",,,Wood,,,,,,,,Park Shelter - Portable,,,,08225,OPERATING,,,,0,,,,,"Dominion Park, 8225 134 St",Park,49.152062,-122.851849
3,Shelters and Tables,"Table #1 - Permanent; City Hall Grounds, 14245 56 Ave",east of east entrance to City Hall,,,Wood,,,,,,,,Table - Permanent,,,,14245,OPERATING,20051014165200,,,0,,,,,"City Hall Grounds, 14245 56 Ave",Land,49.105654,-122.827030
3,Shelters and Tables,"Table #16 - Permanent; Fleetwood Park, 15802 - 80 Ave",south of playground,,,,,,,,,,,Table - Permanent,,,,15802,OPERATING,20110615085400,,20100301,0,,,,,"Fleetwood Park, 15802 80 Ave",Park,49.147413,-122.783163
3,Shelters and Tables,"Table #17 - Permanent; Fleetwood Park, 15802 - 80 Ave",south of playground,,,,,,,,,,,Table - Permanent,,,,15802,OPERATING,20110615085700,,20100301,0,,,,,"Fleetwood Park, 15802 80 Ave",Park,49.147393,-122.782979
3,Shelters and Tables,"Table #18 - Permanent; Fleetwood Park, 15802 - 80 Ave",south of playground,,,,,,,,,,,Table - Permanent,,,,15802,OPERATING,20110615085800,,20100301,0,,,,,"Fleetwood Park, 15802 80 Ave",Park,49.147418,-122.782793
3,Shelters and Tables,"Park Shelter #3 - Permanent; South Surrey Athletic Park, 1925 148 St",at bike park,,,Wood,,,,,,,,Park Shelter - Permanent,,,,01925,OPERATING,20110720084500,,20030131,0,,,,,"South Surrey Athletic Park, 1925 148 St",Park,49.041497,-122.817915
1,Gates,"Bollard; Newton Athletic Park, 7395 - 128 St",SW corner of parking lot # 1,Bollard,,,,,,,,,,,,,,07395,OPERATING,,,20160601,,,,,,"Newton Athletic Park, 7395 128 St",Park,49.136485,-122.869881
1,Gates,"Bollard; South Surrey Athletic Park, 1925 148 St",Entrance to playground/water park pathways,Bollard,,Metal,,,,,,,,,,,,01925,OPERATING,,,20170901,,,,,,,,49.040273,-122.815745
3,Shelters and Tables,"Table #6 - Permanent; Bakerview Park, 1845 - 154 St",SW side of playground,,,Concrete,,,,,,,,Table - Permanent,,,,01845,OPERATING,,,,0,,,,,"Bakerview Park, 1845 154 St",Park,49.034998,-122.797593
1,Gates,"Bollard; South Surrey Athletic Park, 1925 148 St",Entrance to playground/water park pathways,Bollard,,Metal,,,,,,,,,,,,01925,OPERATING,,,20170901,,,,,,,,49.040269,-122.816498
1,Gates,"Bollard; Newton Athletic Park, 7395 - 128 St",SW corner of parking lot # 1,Bollard,,,,,,,,,,,,,,07395,OPERATING,,,20160601,,,,,,"Newton Athletic Park, 7395 128 St",Park,49.136470,-122.869857
2,Plumbing Fixtures,"Water Fountain; Moffat Memorial Park, 9434 - 122 St","South of Concession, ref # 1",,,,,,,,,,,Fountain,,,,09434,OPERATING,20100624100000,,,0,,,,,"Moffat Memorial Park, 9434 122 St",Park,49.174179,-122.882612
