TrackingNumber,InspectionDate,InspType,NumCritical,NumNonCritical,HazardRating,ViolLump
A013615    ,20171205,Routine,0,0,Low,
A013615    ,20170804,Follow-Up,0,0,Low,
A013615    ,20170727,Follow-Up,0,0,Low,
A013615    ,20170725,Routine,1,0,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat"
A013615    ,20161202,Routine,0,0,Low,
A013627    ,20180301,Routine,0,0,Low,
A013627    ,20170926,Routine,0,0,Low,
A013627    ,20170330,Routine,0,0,Low,
A013627    ,20160921,Routine,1,2,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A013656    ,20180601,Routine,0,0,Low,
A013656    ,20171005,Routine,1,0,Low,"401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A013656    ,20170428,Routine,1,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A013656    ,20161219,Routine,0,1,Low,"311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat"
A013790    ,20180228,Routine,1,2,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A013790    ,20170927,Routine,0,3,Low,"305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b)(c)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat"
A013790    ,20170328,Routine,0,1,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A013790    ,20160928,Routine,0,0,Low,
A013869    ,20171124,Routine,0,0,Low,
A013869    ,20170328,Routine,0,0,Low,
A013869    ,20161108,Routine,0,0,Low,
A013876    ,20180808,Routine,3,0,Low,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A013876    ,20180319,Follow-Up,0,0,Low,
A013876    ,20180315,Routine,2,1,Moderate,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A013876    ,20170921,Routine,0,0,Low,
A013876    ,20170306,Routine,1,0,Low,"401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A013876    ,20160928,Routine,1,0,Low,"401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A014053    ,20180307,Routine,0,0,Low,
A014053    ,20170828,Routine,1,1,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
A014053    ,20170404,Routine,1,2,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A014053    ,20170103,Routine,1,0,Low,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat"
A014243    ,20180830,Routine,0,0,Low,
A014243    ,20180207,Routine,0,0,Low,
A014243    ,20170222,Routine,0,1,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A014274    ,20180905,Routine,2,2,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A014274    ,20180221,Routine,0,1,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat"
A014274    ,20170919,Routine,0,0,Low,
A014274    ,20170309,Routine,0,0,Low,
A014274    ,20161014,Routine,0,0,Low,
A014563    ,20180115,Routine,0,0,Low,
A014563    ,20170509,Follow-Up,0,0,Low,
A014563    ,20170503,Routine,1,1,Low,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A014563    ,20161114,Routine,0,0,Low,
A014724    ,20180605,Routine,0,0,Low,
A014724    ,20180109,Routine,0,0,Low,
A014724    ,20170818,Routine,0,0,Low,
A014724    ,20170309,Routine,0,0,Low,
A014724    ,20161014,Routine,0,0,Low,
A016526    ,20180601,Routine,0,1,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat"
A016526    ,20171201,Routine,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A016526    ,20170601,Routine,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A016526    ,20161004,Routine,0,0,Low,
A016534    ,20180302,Routine,0,2,Low,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A016534    ,20171124,Routine,0,2,Low,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A016534    ,20170328,Routine,0,2,Low,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A016534    ,20161124,Follow-Up,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A016534    ,20161108,Routine,1,2,Moderate,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat"
A016586    ,20171218,Routine,0,0,Low,
A016586    ,20170306,Routine,0,1,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat"
A016601    ,20180504,Routine,1,3,Low,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A016601    ,20171106,Routine,1,1,Low,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A016601    ,20170503,Routine,2,1,Low,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A016601    ,20161115,Routine,0,0,Low,
A016603    ,20180608,Routine,0,0,Low,
A016603    ,20171121,Routine,0,0,Low,
A016603    ,20170515,Routine,0,0,Low,
A016603    ,20161125,Follow-Up,0,0,Low,
A016603    ,20161122,Routine,1,0,Low,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat"
A016609    ,20180828,Routine,0,0,Low,
A016609    ,20180514,Routine,0,0,Low,
A016609    ,20180314,Routine,0,0,Low,
A016609    ,20170718,Routine,0,0,Low,
A016609    ,20170221,Routine,0,0,Low,
A016687    ,20180228,Routine,0,0,Low,
A016687    ,20170803,Follow-Up,0,0,Low,
A016687    ,20170614,Routine,2,3,Moderate,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b)(c)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|309,Not Critical,Chemicals cleansers & similar agents stored or labeled improperly [s. 27],Not Repeat"
A016687    ,20170131,Routine,0,1,Low,"309,Not Critical,Chemicals cleansers & similar agents stored or labeled improperly [s. 27],Not Repeat"
A016716    ,20180116,Routine,0,0,Low,
A016716    ,20171012,Follow-Up,0,1,Low,"311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat"
A016716    ,20170623,Follow-Up,0,0,Low,
A016716    ,20170620,Routine,2,2,Moderate,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b)(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A016716    ,20161212,Follow-Up,0,0,Low,
A016716    ,20161205,Routine,2,0,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
A016730    ,20180228,Routine,0,0,Low,
A016730    ,20171121,Routine,1,3,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A016730    ,20170214,Follow-Up,0,0,Low,
A016730    ,20170201,Routine,0,1,Low,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat"
A016730    ,20161006,Routine,0,0,Low,
A016764    ,20180615,Follow-Up,0,0,Low,
A016764    ,20180614,Routine,0,2,Low,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b)(c)],Not Repeat"
A016764    ,20171101,Routine,1,0,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat"
A016764    ,20170525,Routine,1,0,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
A016764    ,20161201,Routine,1,0,Low,"401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A016803    ,20180709,Routine,0,0,Low,
A016803    ,20180102,Routine,0,0,Low,
A016803    ,20170808,Routine,2,0,Low,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
A016803    ,20170113,Routine,0,0,Low,
A016809    ,20180206,Routine,0,2,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|309,Not Critical,Chemicals cleansers & similar agents stored or labeled improperly [s. 27],Not Repeat"
A016809    ,20170907,Routine,0,1,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A016809    ,20170201,Routine,0,1,Low,"309,Not Critical,Chemicals cleansers & similar agents stored or labeled improperly [s. 27],Not Repeat"
A016809    ,20161012,Routine,0,0,Low,
A016814    ,20180309,Follow-Up,0,0,Low,
A016814    ,20180301,Routine,0,2,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|312,Not Critical,Items not required for food premises operation being stored on the premises [s. 18],Not Repeat"
A016814    ,20171108,Follow-Up,0,0,Low,
A016814    ,20170915,Follow-Up,0,1,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A016814    ,20170907,Follow-Up,0,2,Moderate,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A016814    ,20170817,Routine,1,3,Moderate,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|312,Not Critical,Items not required for food premises operation being stored on the premises [s. 18],Not Repeat"
A016814    ,20170317,Routine,1,4,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat"
A016828    ,20171201,Routine,0,0,Low,
A016828    ,20170228,Routine,1,1,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b)(c)],Not Repeat"
A016828    ,20161121,Routine,0,0,Low,
A016829    ,20171201,Routine,0,0,Low,
A016829    ,20161121,Routine,0,0,Low,
A016834    ,20180314,Routine,2,1,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
A016834    ,20171121,Follow-Up,0,0,Low,
A016834    ,20171114,Routine,1,2,Low,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A016834    ,20170223,Routine,0,2,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat"
A016834    ,20161019,Follow-Up,0,0,Low,
A016834    ,20161012,Follow-Up,0,0,Low,
A016834    ,20161011,Routine,2,1,Moderate,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A016843    ,20180904,Follow-Up,1,0,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat"
A016843    ,20180831,Routine,2,0,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A016843    ,20171213,Routine,2,1,Low,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A016843    ,20170605,Follow-Up,0,0,Low,
A016843    ,20170602,Routine,0,3,High,"305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b)(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat"
A016843    ,20170124,Routine,2,2,Moderate,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A016843    ,20161026,Follow-Up,0,0,Low,
A016843    ,20160927,Routine,0,1,Low,"101,Not Critical,Plans/construction/alterations not in accordance with the Regulation [s. 3; s. 4],Not Repeat"
A016851    ,20180123,Routine,0,0,Low,
A016851    ,20170809,Routine,0,0,Low,
A016851    ,20170224,Routine,0,0,Low,
A016851    ,20160926,Routine,0,0,Low,
A016854    ,20180820,Routine,0,0,Low,
A016854    ,20180131,Routine,0,0,Low,
A016854    ,20171023,Routine,0,0,Low,
A016854    ,20161207,Routine,0,0,Low,
A016864    ,20180516,Routine,0,0,Low,
A016864    ,20170525,Routine,0,0,Low,
A016876    ,20180228,Routine,0,0,Low,
A016876    ,20170926,Routine,0,0,Low,
A016876    ,20170303,Routine,0,0,Low,
A016876    ,20160928,Routine,1,0,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
A016904    ,20180419,Routine,0,0,Low,
A016904    ,20170420,Routine,1,0,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
A016911    ,20180220,Follow-Up,0,0,Low,
A016911    ,20180216,Follow-Up,0,1,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A016911    ,20180214,Routine,0,0,Low,
A016911    ,20170908,Routine,1,0,Low,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat"
A016911    ,20161216,Follow-Up,0,0,Low,
A016911    ,20161213,Routine,1,1,Low,"303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A016919    ,20180621,Routine,1,1,Low,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A016919    ,20180116,Follow-Up,0,0,Low,
A016919    ,20171117,Follow-Up,0,1,Low,"311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat"
A016919    ,20171030,Routine,0,1,Low,"311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat"
A016919    ,20170628,Routine,0,3,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat"
A016919    ,20161228,Routine,0,0,Low,
A016961    ,20180214,Routine,0,0,Low,
A016961    ,20170922,Routine,0,0,Low,
A016961    ,20170308,Routine,0,0,Low,
A016961    ,20161003,Routine,0,0,Low,
A016980    ,20180227,Routine,1,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|402,Critical,Employee does not wash hands properly or at adequate frequency [s. 21(3)],Not Repeat"
A016980    ,20171019,Routine,1,0,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
A016980    ,20170223,Routine,1,2,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|309,Not Critical,Chemicals cleansers & similar agents stored or labeled improperly [s. 27],Not Repeat"
A016980    ,20161004,Routine,1,1,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|309,Not Critical,Chemicals cleansers & similar agents stored or labeled improperly [s. 27],Not Repeat"
A016986    ,20180618,Routine,0,0,Low,
A016986    ,20171212,Routine,0,1,Low,"211,Not Critical,Frozen potentially hazardous food stored/displayed above -18 °C. [s. 14(3)],Not Repeat"
A016986    ,20170613,Routine,0,0,Low,
A016986    ,20170126,Routine,0,0,Low,
A017154    ,20180308,Routine,0,2,Low,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A017154    ,20171011,Routine,0,1,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat"
A017154    ,20170526,Follow-Up,0,0,Low,
A017154    ,20170523,Follow-Up,0,1,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
A017154    ,20170411,Follow-Up,0,0,Low,
A017154    ,20170327,Follow-Up,0,2,Low,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat"
A017154    ,20170307,Routine,0,1,Low,"311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat"
A017226    ,20180522,Follow-Up,0,0,Low,
A017226    ,20180514,Routine,1,2,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|309,Not Critical,Chemicals cleansers & similar agents stored or labeled improperly [s. 27],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A017226    ,20170918,Follow-Up,0,0,Low,
A017226    ,20170918,Routine,2,2,Moderate,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A017226    ,20170411,Follow-Up,0,0,Low,
A017226    ,20170410,Routine,1,1,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat"
A017226    ,20161003,Follow-Up,0,0,Low,
A017226    ,20160929,Routine,0,3,Moderate,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b)(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A017233    ,20180618,Follow-Up,1,0,Low,"401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
A017233    ,20180608,Routine,1,3,Low,"303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|309,Not Critical,Chemicals cleansers & similar agents stored or labeled improperly [s. 27],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat"
A017233    ,20171220,Follow-Up,0,0,Low,
A017233    ,20171213,Follow-Up,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A017233    ,20171206,Routine,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A017233    ,20170606,Routine,0,2,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat"
A017233    ,20161209,Follow-Up,0,0,Low,
A017233    ,20161206,Routine,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
A017291    ,20180716,Follow-Up,0,1,Low,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat"
