,,,"City of Surrey, BC",Surrey,Surrey,"Greater Vancouver, Regional district , BC",GVRD,GVRD,British Columbia [Province],BC,BC
Mother tongue,            Mi'kmaq,,0,0,0,0,0,5,10,5,5
Mother tongue,          Ojibway-Potawatomi languages,,15,5,10,70,25,40,155,55,105
Mother tongue,            Algonquin,,0,0,0,0,0,0,5,5,0
Mother tongue,            Ojibway,,10,5,5,65,25,35,135,50,90
Mother tongue,            Oji-Cree,,0,0,0,5,0,5,10,0,10
Mother tongue,            Ottawa (Odawa),,0,0,0,0,0,0,5,0,5
Mother tongue,          Algonquian languages; n.i.e.,,0,0,0,0,0,0,0,0,0
Mother tongue,        Athabaskan languages,,5,0,5,105,50,55,2310,1045,1260
Mother tongue,          Northern Athabaskan languages,,5,5,5,105,45,55,2295,1045,1250
Mother tongue,            Babine (Wetsuwet'en),,0,0,0,5,0,5,110,55,55
Mother tongue,            Beaver,,0,0,0,0,0,0,160,75,85
Mother tongue,            Carrier,,5,0,0,40,15,20,1005,460,550
Mother tongue,            Chilcotin,,0,0,0,25,15,10,650,295,355
Mother tongue,            Dene,,0,0,0,20,5,10,90,35,50
Mother tongue,            Dogrib (Tlicho),,0,0,0,0,0,0,5,0,0
Mother tongue,            Gwich'in,,0,0,0,10,5,5,15,5,10
Mother tongue,            Sarsi (Sarcee),,0,0,0,0,0,5,0,0,5
Mother tongue,            Sekani,,0,0,0,0,5,0,85,40,45
Mother tongue,            Slavey-Hare languages,,0,0,0,0,0,5,75,30,45
Mother tongue,              North Slavey (Hare),,0,0,0,5,0,0,5,0,0
Mother tongue,              South Slavey,,0,0,0,5,0,0,20,5,15
Mother tongue,              Slavey; n.o.s.,,0,0,5,5,0,0,50,25,30
Mother tongue,            Tahltan languages,,5,0,0,5,0,0,105,45,50
Mother tongue,              Kaska (Nahani),,0,0,0,0,0,0,15,10,5
Mother tongue,              Tahltan,,0,0,0,0,0,0,90,40,50
Mother tongue,            Tutchone languages,,0,0,0,0,0,0,5,0,5
Mother tongue,              Northern Tutchone,,0,0,0,0,0,0,5,0,0
Mother tongue,              Southern Tutchone,,0,0,0,0,0,0,5,0,0
Mother tongue,          Athabaskan languages; n.i.e.,,0,0,0,5,0,5,15,5,10
Mother tongue,        Haida,,0,5,0,10,10,5,70,30,40
Mother tongue,        Inuit languages,,10,0,10,20,5,15,80,30,55
Mother tongue,          Inuinnaqtun (Inuvialuktun),,5,0,0,5,0,0,10,0,10
Mother tongue,          Inuktitut,,10,0,5,15,5,10,50,20,30
Mother tongue,          Inuit languages; n.i.e.,,0,0,0,0,0,0,20,10,10
Mother tongue,        Iroquoian languages,,0,0,0,5,0,0,15,10,5
Mother tongue,          Cayuga,,0,0,0,0,0,0,0,0,0
Mother tongue,          Mohawk,,0,0,0,5,0,0,10,5,5
Mother tongue,          Oneida,,0,0,0,0,0,0,0,0,0
Mother tongue,          Iroquoian languages; n.i.e.,,0,0,0,0,0,0,0,0,0
Mother tongue,        Kutenai,,0,0,0,5,5,0,100,55,50
Mother tongue,        Michif,,5,0,5,10,0,5,35,20,10
Mother tongue,        Salish languages,,5,0,5,140,65,70,2270,1115,1155
Mother tongue,          Comox,,0,0,0,0,0,0,80,45,40
Mother tongue,          Halkomelem,,0,0,0,35,25,15,475,230,245
Mother tongue,          Lillooet,,5,0,0,10,5,5,315,155,160
Mother tongue,          Okanagan,,0,0,0,0,0,0,270,135,135
Mother tongue,          Shuswap (Secwepemctsin),,0,0,0,10,5,0,435,220,215
Mother tongue,          Squamish,,0,0,0,20,5,10,35,20,20
Mother tongue,          Straits,,0,0,0,0,0,0,80,40,40
Mother tongue,          Thompson (Ntlakapamux),,0,0,0,20,10,10,330,150,185
Mother tongue,          Salish languages; n.i.e.,,0,0,5,40,20,25,250,130,120
Mother tongue,        Siouan languages,,5,0,0,25,10,10,45,25,20
Mother tongue,          Dakota,,0,0,0,20,5,15,30,15,20
Mother tongue,          Stoney,,0,0,0,0,0,0,0,0,5
Mother tongue,          Siouan languages; n.i.e.,,0,0,0,5,5,0,5,5,0
Mother tongue,        Tlingit,,0,0,0,5,0,5,30,15,15
Mother tongue,        Tsimshian languages,,10,0,10,95,45,55,1460,715,740
Mother tongue,          Gitxsan (Gitksan),,5,0,0,45,20,25,875,435,445
Mother tongue,          Nisga'a,,5,5,0,25,15,15,385,195,190
Mother tongue,          Tsimshian,,0,0,0,25,10,15,195,90,110
Mother tongue,        Wakashan languages,,5,0,0,55,25,35,795,365,435
Mother tongue,          Haisla,,0,0,0,10,5,5,90,40,55
Mother tongue,          Heiltsuk,,0,0,0,15,5,10,100,45,55
Mother tongue,          Kwakiutl (Kwak'wala),,5,5,0,20,10,10,320,140,180
Mother tongue,          Nuu-chah-nulth (Nootka),,0,0,5,10,5,5,275,135,140
Mother tongue,          Wakashan languages; n.i.e.,,0,0,0,0,0,0,5,10,0
Mother tongue,        Aboriginal languages; n.o.s.,,10,5,5,75,35,35,190,80,110
Mother tongue,      Non-Aboriginal languages,,240600,116480,124120,1019395,474850,544545,1259025,587455,671570
Mother tongue,        Afro-Asiatic languages,,7190,3690,3500,20725,11005,9715,24870,13405,11465
Mother tongue,          Berber languages,,5,0,5,95,55,35,115,75,45
Mother tongue,            Kabyle,,5,0,5,35,20,10,40,30,15
Mother tongue,            Berber languages; n.i.e.,,0,0,0,60,40,25,80,45,30
Mother tongue,          Cushitic languages,,780,370,405,1355,675,680,1505,765,740
Mother tongue,            Bilen,,0,0,0,5,0,0,5,0,0
Mother tongue,            Oromo,,20,10,10,165,95,75,205,115,95
Mother tongue,            Somali,,755,365,395,1170,570,595,1270,640,640
Mother tongue,            Cushitic languages; n.i.e.,,0,0,0,10,5,5,20,10,15
Mother tongue,          Semitic languages,,6385,3305,3080,19225,10245,8980,23195,12540,10655
Mother tongue,            Amharic,,305,150,160,1140,560,585,1370,670,700
Mother tongue,            Arabic,,4940,2560,2380,14320,7720,6600,17480,9595,7890
Mother tongue,            Assyrian Neo-Aramaic,,435,215,220,630,305,325,650,315,330
Mother tongue,            Chaldean Neo-Aramaic,,390,215,175,440,240,195,440,245,200
Mother tongue,            Harari,,5,0,5,25,10,15,20,5,15
Mother tongue,            Hebrew,,55,30,25,1770,960,805,2065,1125,940
Mother tongue,            Maltese,,10,5,5,80,40,40,215,100,115
Mother tongue,            Tigrigna,,155,80,75,695,340,355,805,395,405
Mother tongue,            Semitic languages; n.i.e.,,95,45,50,135,70,60,150,80,65
Mother tongue,          Afro-Asiatic languages; n.i.e.,,20,10,10,45,25,15,55,30,25
Mother tongue,        Austro-Asiatic languages,,7010,3260,3750,24195,11070,13125,28740,13170,15575
Mother tongue,          Khmer (Cambodian),,650,290,360,1210,555,655,1560,710,850
Mother tongue,          Vietnamese,,6365,2965,3395,22950,10500,12450,27150,12440,14710
Mother tongue,          Austro-Asiatic languages; n.i.e,,0,0,0,35,15,20,30,15,15
Mother tongue,        Austronesian languages,,20825,9065,11760,82025,33570,48460,96535,38765,57770
Mother tongue,          Bikol,,65,30,35,310,140,170,375,165,215
Mother tongue,          Cebuano,,860,350,505,3210,1285,1925,4065,1565,2505
Mother tongue,          Fijian,,210,105,105,395,190,200,470,240,230
Mother tongue,          Hiligaynon,,260,115,145,1280,485,795,1470,550,920
Mother tongue,          Ilocano,,1045,435,610,4605,1820,2790,5240,2055,3190
Mother tongue,          Malagasy,,0,0,0,15,0,10,20,10,15
Mother tongue,          Malay,,430,190,240,3480,1545,1930,3895,1675,2220
Mother tongue,          Pampangan (Kapampangan; Pampango),,110,50,60,635,290,345,700,320,380
Mother tongue,          Pangasinan,,85,35,50,265,115,150,295,130,170
Mother tongue,          Tagalog (Pilipino; Filipino),,17540,7660,9885,66825,27275,39555,78770,31550,47220
Mother tongue,          Waray-Waray,,35,20,15,180,70,110,215,85,135
Mother tongue,          Austronesian languages; n.i.e.,,185,80,110,830,360,470,1015,435,580
Mother tongue,        Creole languages,,260,130,125,610,310,300,840,440,400
Mother tongue,          Haitian Creole,,10,10,5,25,15,5,35,20,15
Mother tongue,          Creole; n.o.s.,,155,80,80,370,175,185,500,255,245
Mother tongue,          Creole languages; n.i.e.,,90,50,45,225,120,105,305,155,145
Mother tongue,        Dravidian languages,,1735,880,850,6210,3290,2925,7500,3995,3510
Mother tongue,          Kannada,,55,30,30,225,115,110,280,150,135
Mother tongue,          Malayalam,,695,350,345,1750,905,845,2385,1260,1130
Mother tongue,          Tamil,,790,405,385,3275,1700,1580,3615,1875,1740
Mother tongue,          Telugu,,170,95,80,920,550,370,1175,695,480
Mother tongue,          Dravidian languages; n.i.e.,,20,10,10,40,15,25,45,20,25
Mother tongue,        Hmong-Mien languages,,35,20,15,130,70,60,140,75,70
Mother tongue,        Indo-European languages,,157060,77565,79500,416565,203240,213325,588175,286135,302035
Mother tongue,          Albanian,,315,160,155,1090,560,530,1465,765,705
Mother tongue,          Armenian,,95,50,45,1060,525,540,1195,600,600
Mother tongue,          Balto-Slavic languages,,7515,3615,3905,57625,26950,30675,83110,38595,44515
Mother tongue,            Baltic languages,,50,20,30,645,280,370,1070,485,585
Mother tongue,              Latvian,,25,15,10,320,145,175,565,255,300
Mother tongue,              Lithuanian,,25,5,15,325,130,200,505,225,280
Mother tongue,            Slavic languages,,7465,3590,3875,56975,26675,30305,82040,38110,43930
Mother tongue,              Belarusan,,0,0,0,60,30,30,95,45,50
Mother tongue,              Bosnian,,150,75,75,1155,580,575,1360,675,685
Mother tongue,              Bulgarian,,110,55,55,1725,805,915,2025,955,1070
Mother tongue,              Croatian,,670,335,335,5465,2645,2820,7475,3655,3820
Mother tongue,              Czech,,450,210,240,3565,1705,1865,5920,2850,3070
Mother tongue,              Macedonian,,10,5,5,250,120,135,325,160,165
Mother tongue,              Polish,,2515,1245,1270,12040,5650,6390,16910,7875,9035
Mother tongue,              Russian,,1795,830,965,18175,8270,9905,25955,11640,14310
Mother tongue,              Serbian,,470,250,220,6300,3220,3085,7045,3600,3450
Mother tongue,              Serbo-Croatian,,85,50,40,1145,545,600,1395,670,725
Mother tongue,              Slovak,,290,135,155,2390,1060,1335,3400,1525,1870
Mother tongue,              Slovene (Slovenian),,90,45,45,545,250,290,1160,545,615
Mother tongue,              Ukrainian,,800,345,455,3990,1705,2285,8630,3730,4900
Mother tongue,              Slavic languages; n.i.e.,,30,20,10,180,90,90,345,175,170
Mother tongue,          Celtic languages,,40,20,25,315,170,145,615,325,290
Mother tongue,            Scottish Gaelic,,20,5,10,125,65,60,240,130,110
Mother tongue,            Welsh,,20,5,10,120,65,55,280,145,135
Mother tongue,            Celtic languages; n.i.e.,,5,5,5,65,40,25,95,50,45
Mother tongue,          Germanic languages,,6660,3115,3545,37830,18000,19825,101725,48350,53380
Mother tongue,            Afrikaans,,220,100,120,1435,730,705,3260,1655,1610
Mother tongue,            Danish,,415,215,200,2065,1020,1050,4665,2280,2385
Mother tongue,            Dutch,,1545,720,825,7455,3595,3860,21020,10130,10895
Mother tongue,            Frisian,,30,10,20,80,30,50,295,145,145
Mother tongue,            German,,4070,1885,2185,24055,11340,12720,66885,31525,35360
Mother tongue,            Icelandic,,30,10,15,155,70,80,275,135,145
Mother tongue,            Norwegian,,150,70,80,835,410,430,2005,970,1035
Mother tongue,            Swedish,,135,60,75,1290,570,720,2520,1100,1420
Mother tongue,            Vlaams (Flemish),,35,25,15,200,105,95,445,220,225
Mother tongue,            Yiddish,,15,5,5,220,115,110,290,150,140
Mother tongue,            Germanic languages; n.i.e.,,5,0,0,25,20,15,65,45,25
Mother tongue,          Greek,,600,310,285,4885,2515,2365,6115,3245,2870
Mother tongue,          Indo-Iranian languages,,131600,65300,66300,242400,119930,122465,297800,147830,149970
Mother tongue,            Indo-Aryan languages,,128070,63475,64595,198075,97680,100395,251000,124260,126740
Mother tongue,              Bengali,,685,350,335,2680,1395,1290,3180,1665,1510
Mother tongue,              Gujarati,,1485,740,745,6280,2955,3325,6895,3290,3605
Mother tongue,              Hindi,,13260,6345,6915,24220,11580,12640,26720,12910,13810
Mother tongue,              Kashmiri,,5,5,0,40,25,15,65,35,25
Mother tongue,              Konkani,,65,30,40,225,110,110,255,130,125
Mother tongue,              Marathi,,80,35,40,535,280,255,620,325,295
Mother tongue,              Nepali,,410,215,200,920,485,430,1155,620,540
Mother tongue,              Oriya (Odia),,10,10,5,65,35,30,70,35,35
Mother tongue,              Punjabi (Panjabi),,106100,52785,53315,151205,74820,76385,198805,98525,100285
Mother tongue,              Sindhi,,210,105,100,1580,725,850,1675,780,895
Mother tongue,              Sinhala (Sinhalese),,680,335,340,1455,730,725,1675,845,830
Mother tongue,              Urdu,,5075,2520,2555,8875,4535,4340,9885,5090,4795
Mother tongue,            Iranian languages,,3410,1760,1650,43985,22075,21910,46390,23355,23035
Mother tongue,              Kurdish,,170,95,70,1650,875,780,1765,945,825
Mother tongue,              Pashto,,525,280,245,1070,570,500,1155,615,535
Mother tongue,              Persian (Farsi),,2710,1385,1335,41265,20635,20630,43470,21795,21675
Mother tongue,            Indo-Iranian languages; n.i.e.,,115,60,50,340,180,160,410,220,195
Mother tongue,          Italic (Romance) languages,,10235,5005,5230,71375,34590,36785,96135,46430,49710
Mother tongue,            Catalan,,10,10,5,125,65,55,160,85,75
Mother tongue,            Italian,,1335,715,620,15450,7735,7710,22680,11445,11230
Mother tongue,            Portuguese,,1435,660,770,11950,5655,6295,17450,8240,9210
Mother tongue,            Romanian,,715,365,350,7175,3480,3690,8730,4250,4480
Mother tongue,            Spanish,,6730,3250,3485,36625,17615,19005,47010,22335,24675
Mother tongue,            Italic (Romance) languages; n.i.e.,,5,0,5,60,40,25,105,65,40
Mother tongue,        Japanese,,1075,385,690,16900,5750,11150,21350,7195,14150
Mother tongue,        Kartvelian languages,,0,0,0,65,40,25,85,50,35
Mother tongue,          Georgian,,5,5,0,65,40,25,85,50,40
Mother tongue,        Korean,,8065,3770,4300,45990,20680,25310,52160,23495,28670
Mother tongue,        Mongolic languages,,25,10,10,340,145,200,360,150,205
Mother tongue,          Mongolian,,20,15,10,340,145,195,360,155,210
Mother tongue,        Niger-Congo languages,,1030,535,495,2645,1335,1315,3725,1875,1850
Mother tongue,          Akan (Twi),,185,115,75,405,220,180,495,275,220
Mother tongue,          Bamanankan,,0,0,0,10,10,5,10,5,5
Mother tongue,          Edo,,50,30,20,80,45,30,85,50,35
Mother tongue,          Ewe,,30,20,15,60,30,25,85,45,35
Mother tongue,          Fulah (Pular; Pulaar; Fulfulde),,5,0,0,20,10,5,45,25,20
Mother tongue,          Ga,,15,5,10,35,15,15,45,20,25
Mother tongue,          Ganda,,15,10,5,65,35,30,90,45,45
Mother tongue,          Igbo,,65,35,30,160,90,65,245,145,105
Mother tongue,          Lingala,,20,10,10,55,25,30,80,30,45
Mother tongue,          Rundi (Kirundi),,55,25,30,100,40,55,115,50,60
Mother tongue,          Kinyarwanda (Rwanda),,35,10,25,105,45,55,155,70,80
Mother tongue,          Shona,,45,15,25,150,70,85,215,100,115
Mother tongue,          Swahili,,215,110,105,585,285,295,805,400,405
Mother tongue,          Wolof,,0,5,5,30,10,20,50,25,25
Mother tongue,          Yoruba,,85,55,35,190,110,80,330,185,150
Mother tongue,          Niger-Congo languages; n.i.e.,,210,95,120,610,280,325,885,410,480
Mother tongue,        Nilo-Saharan languages,,95,40,55,265,135,135,340,175,165
Mother tongue,          Dinka,,5,5,0,80,50,30,105,60,45
Mother tongue,          Nilo-Saharan languages; n.i.e.,,90,40,50,190,85,100,240,115,125
Mother tongue,        Sign languages,,185,100,85,620,330,295,1155,610,545
Mother tongue,          American Sign Language,,70,35,35,265,125,135,470,230,240
Mother tongue,          Quebec Sign Language,,0,0,0,0,0,0,5,0,5
Mother tongue,          Sign languages; n.i.e,,115,65,45,360,200,155,690,380,305
Mother tongue,        Sino-Tibetan languages,,33570,15880,17690,387640,177135,210505,410920,187725,223190
Mother tongue,          Chinese languages,,32780,15480,17305,385355,175990,209365,408415,186455,221960
Mother tongue,            Cantonese,,7095,3350,3740,184365,85070,99300,193530,89325,104210
Mother tongue,            Hakka,,215,100,115,2180,950,1230,2325,1010,1315
Mother tongue,            Mandarin,,22885,10790,12095,174920,79280,95635,186325,84370,101955
Mother tongue,            Min Dong,,25,15,10,220,105,115,230,105,120
Mother tongue,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,1320,630,690,10655,4755,5900,11210,4995,6215
Mother tongue,            Wu (Shanghainese),,335,165,175,4330,1905,2425,4540,1995,2545
Mother tongue,            Chinese; n.o.s.,,865,415,450,8485,3840,4645,10050,4570,5480
Mother tongue,            Chinese languages; n.i.e.,,35,20,20,195,80,110,205,85,120
Mother tongue,          Tibeto-Burman languages,,790,400,390,2285,1150,1140,2500,1265,1230
Mother tongue,            Burmese,,335,185,150,1035,530,510,1125,580,545
Mother tongue,            Karenic languages,,335,160,175,770,370,400,815,395,425
Mother tongue,            Tibetan,,60,25,35,260,135,125,330,175,160
Mother tongue,            Tibeto-Burman languages; n.i.e.,,60,30,35,220,115,105,230,120,110
