LOCATION,IMAGE,ROTATION,LONGITUDE,LATITUDE
84 Ave And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_144_cam1.jpg,,-122.8233514807,49.1555220984
60 Ave And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_144_cam1.jpg,,-122.8233078568,49.1118418469
70B Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_70b_120_cam1.jpg,,-122.8678259197,49.1314248825
92 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_92_128_cam1.jpg,,-122.8680189277,49.1697951279
60 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_128_cam1.jpg,,-122.8678470829,49.1118032925
72 Ave And 192 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_192_cam1.jpg,,-122.6907882150,49.1336822324
84 Ave And 160 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_160_cam1.jpg,,-122.7788400020,49.1554600900
Old Yale Rd And 124 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_oldyale_124_cam1.jpg,,-122.8787087040,49.1975427546
King George Blvd And Mall Access,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_mall_cam1.jpg,,-122.8454234085,49.1862162487
82 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_82_128_cam1.jpg,,-122.8679786135,49.1500142688
102A Ave And 150 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_102a_150_cam1.jpg,,-122.8064513373,49.1888748322
60 Ave And 184 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_184_cam1.jpg,,-122.7126334422,49.1114245124
16 Ave And Foster St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_foster_cam1.jpg,,-122.8039631613,49.0311254144
70 Ave And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_70_120_cam1.jpg,,-122.8903604690,49.1303537822
115 Ave And Bridgeview Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_115_bridgeview_cam1.jpg,,-122.8618740847,49.2112298089
76 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_76_152_cam1.jpg,,-122.8011247367,49.1410836667
24 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_24_140_cam1.jpg,,-122.8344083852,49.0457275291
Fraser Hwy And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_148_cam1.jpg,,-122.8143799432,49.1711272201
Mall Access And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_mall_120_cam1.jpg,,-122.8903555970,49.1370694453
Colebrook Rd And 152 St Ftg Rd,http://cosmos.surrey.ca/TrafficCameraImages/enc_colebrook_152fg_cam1.jpg,,-122.8007773476,49.0982986576
Nordel Way And Mall Access,http://cosmos.surrey.ca/TrafficCameraImages/enc_nordel_mall_cam1.jpg,,-122.8879408006,49.1619569969
104 Ave And Old Yale Rd,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_oldyale_cam1.jpg,,-122.8634044376,49.1916865003
92 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_92_132_cam1.jpg,,-122.8568730352,49.1699273625
88 Ave And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_168_cam1.jpg,,-122.7566173554,49.1628560176
108 Ave And Oriole Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_108_oriole_cam1.jpg,,-122.8086191729,49.1987313869
16 Ave And 154 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_154_cam1.jpg,,-122.7956854738,49.0311040014
24 Ave And Croydon Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_24_croydon_cam1.jpg,,-122.7827998834,49.0455592286
Pattullo Bridge Count Station And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_pattullo_countst_cam1.jpg,,-122.8776460539,49.2056552691
104 Ave And 146 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_146_cam1.jpg,,-122.8175050717,49.1915098840
60 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_152_cam1.jpg,,-122.8009523373,49.1117189439
36 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_36_152_cam1.jpg,,-122.8011810522,49.0673698852
68 Ave And 126 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_68_126_cam1.jpg,,-122.8733669391,49.1266201382
96 Ave And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_168_cam1.jpg,,-122.7565939849,49.1769963456
34 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_34_kgbv_cam1.jpg,,-122.8174112579,49.0648415051
100 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_100_132_cam1.jpg,,-122.8565215965,49.1844027173
64 Ave And 184 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_184_cam1.jpg,,-122.7125667015,49.1187424867
66A Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_66a_152_cam1.jpg,,-122.8010206183,49.1235194417
96 Ave And Prince Charles Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_pcharles_cam1.jpg,,-122.8641024250,49.1771459820
96 Ave And 137 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_137_cam1.jpg,,-122.8433962799,49.1770307622
32 Ave And 32 Ave Div,http://cosmos.surrey.ca/TrafficCameraImages/enc_32_32div_cam1.jpg,,-122.8071123142,49.0602943142
68 Ave And 192 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_68_192_cam1.jpg,,-122.6908695741,49.1263929079
68 Ave And Fraser Hwy,http://cosmos.surrey.ca/TrafficCameraImages/enc_68_fraser_cam2.jpg,,-122.7061666579,49.1256935954
72 Ave And 130 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_130_cam1.jpg,,-122.8622760704,49.1338007877
Fraser Hwy And 159 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_159_cam1.jpg,,-122.7820582906,49.1586075665
72 Ave And 137 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_137_cam2.jpg,,-122.8427966737,49.1335589021
102 Ave And City Parkway,http://cosmos.surrey.ca/TrafficCameraImages/enc_102_cityparkway_cam2.jpg,,-122.8476698108,49.1878602674
University Dr And 103 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_universitydr_103_egress_cam2.jpg,,-122.8498553364,49.1897790850
108 Ave And 139 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_108_139_cam1.jpg,,-122.8369324247,49.1988529496
104 Ave And City Parkway,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_cityparkway_cam2.jpg,,-122.8480185982,49.1916314812
96 Ave And 122 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_122_cam1.jpg,,-122.8846229606,49.1771592108
104 Ave And 142 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_142_cam1.jpg,,-122.8286122354,49.1915034126
86 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_86_128_cam1.jpg,,-122.8680126464,49.1589461585
102 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_102_128_cam1.jpg,,-122.8676945402,49.1880406663
88 Ave And 124 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_124_cam1.jpg,,-122.8790606712,49.1632155985
88 Ave And WalMart Access,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_walmart_cam1.jpg,,-122.8762193609,49.1630479134
92 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_92_140_cam1.jpg,,-122.8346161863,49.1700993171
74 Ave And 137 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_74_137_cam1.jpg,,-122.8428270631,49.1372098356
74 Ave And 138 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_74_138_cam1.jpg,,-122.8386814396,49.1372415524
74 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_74_140_cam1.jpg,,-122.8344807050,49.1372740326
88 Ave And Bear Creek Park Access,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_bearcreekpark_cam1.jpg,,-122.8410025819,49.1627673534
72 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_140_cam1.jpg,,-122.8344536289,49.1336334562
Boundary Park Gate And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_boundarypark_120_cam1.jpg,,-122.8904381915,49.1129103532
64 Ave And 126 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_126_cam1.jpg,,-122.8734147166,49.1191734621
64 Ave And 134 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_134_cam1.jpg,,-122.8509961979,49.1190210328
64 Ave And 142 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_142_cam1.jpg,,-122.8288102371,49.1191072894
68 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_68_132_cam1.jpg,,-122.8566183233,49.1264034189
96 Ave And 172 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_172_cam1.jpg,,-122.7458599635,49.1769918418
84 Ave And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_168_cam1.jpg,,-122.7566226507,49.1554903400
84 Ave And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_148_cam1.jpg,,-122.8124574188,49.1555259513
75 Ave And 124 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_75_124_cam1.jpg,,-122.8790584172,49.1392663780
103 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_103_kgbv_cam1.jpg,,-122.8453704483,49.1901179232
91 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_91_152_cam1.jpg,,-122.8013302044,49.1682852387
100 Ave And 154 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_100_154_cam1.jpg,,-122.7953553652,49.1842650307
74 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_74_128_cam1.jpg,,-122.8678744341,49.1374577093
Fraser Hwy And Fleetwood Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_fleetwood_cam1.jpg,,-122.7979320046,49.1647481091
Fraser Hwy And 164 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_164_cam1.jpg,,-122.7677465115,49.1530170289
82 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_82_152_cam1.jpg,,-122.8012931162,49.1519085613
80 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_80_132_cam1.jpg,,-122.8568142159,49.1481724794
77 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_77_132_cam1.jpg,,-122.8567749336,49.1427905521
66 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_66_128_cam1.jpg,,-122.8678144619,49.1228531383
82 Ave And 124 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_82_124_cam1.jpg,,-122.8790945263,49.1520403544
86 Ave And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_86_120_cam1.jpg,,-122.8903660895,49.1595967691
64 Ave And 172 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_172_cam1.jpg,,-122.7460019419,49.1188368447
75A Ave And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_75a_120_cam1.jpg,,-122.8903531703,49.1401889080
16 Ave And 160 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_160_cam1.jpg,,-122.7791936041,49.0310598909
34 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_34_152_cam1.jpg,,-122.8011867821,49.0637402202
54A Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_54a_152_cam1.jpg,,-122.8010679022,49.1016978226
102 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_102_140_cam1.jpg,,-122.8341561043,49.1873561904
60 Ave And 188 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_188_cam1.jpg,,-122.7016822959,49.1113338241
Mall Access And University Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_mall_universitydr_cam1.jpg,,-122.8510936926,49.1877421370
Mall Access And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_mall_152_cam1.jpg,,-122.8011690797,49.0563440271
20 Ave And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_20_148_cam1.jpg,,-122.8122390431,49.0384085224
16 Ave And 136 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_136_cam1.jpg,,-122.8454190928,49.0312245976
56 Ave And 196 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_56_196_cam1.jpg,,-122.6799582412,49.1044008031
60 Ave And 196 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_196_cam1.jpg,,-122.6799108097,49.1112364137
60 Ave And 192 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_192_cam1.jpg,,-122.6911895792,49.1113107218
King George Blvd And 156 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_156_cam1.jpg,,-122.7900850760,49.0427919097
King George Blvd And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_148_cam1.jpg,,-122.8130349551,49.0613010463
16 Ave And Martin Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_martin_cam1.jpg,,-122.8053009592,49.0311301458
17 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_17_152_cam1.jpg,,-122.8011816674,49.0329413186
24 Ave And 154 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_24_154_cam1.jpg,,-122.7956978089,49.0456019873
24 Ave And 156 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_24_156_cam1.jpg,,-122.7902012720,49.0455833250
28 Ave And 160 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_28_160_cam1.jpg,,-122.7791892224,49.0528092687
28 Ave And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_28_148_cam1.jpg,,-122.8122814821,49.0529176716
54 Ave And 192 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_54_192_cam1.jpg,,-122.6911928083,49.1009165247
32 Ave And 184 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_32_184_cam1.jpg,,-122.7134356751,49.0601617617
64 Ave And 166 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_166_cam1.jpg,,-122.7624046246,49.1189303702
64 Ave And 177B St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_177b_cam1.jpg,,-122.7308137063,49.1187700547
98B Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_98b_kgbv_cam1.jpg,,-122.8454548953,49.1820991243
56 Ave And King George Blvd,http://images.drivebc.ca/bchighwaycam/pub/cameras/104.jpg,320,-122.8357097934,49.1055435674
56 Ave And King George Blvd,http://images.drivebc.ca/bchighwaycam/pub/cameras/103.jpg,120,-122.8351017397,49.1051644370
56 Ave And 152 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/82.jpg,270,-122.8016630235,49.1044186913
56 Ave And 152 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/80.jpg,90,-122.8003975177,49.1044165102
56 Ave And 152 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/81.jpg,180,-122.8010245385,49.1041495593
56 Ave And 152 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/79.jpg,,-122.8010356455,49.1047749897
Fraser Hwy And 176 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/94.jpg,180,-122.7347310135,49.1377879724
Fraser Hwy And 176 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/95.jpg,300,-122.7352688565,49.1383514534
Fraser Hwy And 176 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/93.jpg,125,-122.7342901888,49.1379540198
Fraser Hwy And 176 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/86.jpg,,-122.7347267925,49.1384771661
No 1 Hwy And Port Mann Bridge,http://images.drivebc.ca/bchighwaycam/pub/cameras/292.jpg,,-122.8111222262,49.2147358581
No 99 Hwy And 8 Ave,http://images.drivebc.ca/bchighwaycam/pub/cameras/539.jpg,,-122.7582059910,49.0141592187
No 99 Hwy And 8 Ave,http://images.drivebc.ca/bchighwaycam/pub/cameras/444.jpg,,-122.7586334574,49.0145898364
No 99 Hwy And 8 Ave,http://images.drivebc.ca/bchighwaycam/pub/cameras/212.jpg,,-122.7581224422,49.0146815200
176 St And 56 Ave,http://images.drivebc.ca/bchighwaycam/pub/cameras/83.jpg,,-122.7382980036,49.1039903995
72 Ave And 196 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_196_cam1.jpg,0,-122.6795767241,49.1336101337
