Business Name,Products or Services,Unit,Number,Street,Postal Code,Phone Number,No Of Employees,Town Centre,NAIC,NAIC Description,Latitude,Longitude
Little Tea House,Restaurant.,101G,15277,100 Ave,V3R8X2,6045883050,3,GTC,722110,Restaurants,49.1844401,-122.7987902
Co Operators Insurance Agencies,Insurance Agency,107,15277,100 Ave,V3R8X2,6045810471,10,GTC,524210,Insurance Agencies & Brokerages,49.1844401,-122.7987902
Remax 2000 Realty (100 Ave),Real Estate Serv.,103,15127,100 Ave,V3R0N9,6045832000,8,GTC,531210,Offices of Real Estate Agents & Brokers,49.18523907,-122.8031241
Izumo Sushi Japanese Restaurant,Restaurant, ,13631,100 Ave,V3T1H9,6045893405,8,SCC,722110,Restaurants,49.18443942,-122.844336
Kwan Kee Noodle House,Food Court Restaurant,101D,15277,100 Ave,V3R8X2,6045882521,2,GTC,722110,Restaurants,49.1844401,-122.7987902
Abercromby Melnychuk Chartered Professional Accountants,Chartered Accountants,305,15127,100 Ave,V3R6Y8,6049519891,8,GTC,541212,Offices of Accountants,49.18523907,-122.8031241
Kata King Services Ltd,Cell & Shaver Products,101J,15277,100 Ave,V3R8X2,6049308080,1,GTC,443110,"Appliance, Television & Other Electronics Stores",49.1844401,-122.7987902
Century Books,Retail Books & Magazines,101N,15277,100 Ave,V3R8X2,6045813471,1,GTC,451210,Book Stores & News Dealers,49.1844401,-122.7987902
Caissie & Company Law Coporation,Professional Practitioner-Lawyer,205,15127,100 Ave,V3R0N9,6045867200,6,GTC,541110,Offices of Lawyers,49.18523907,-122.8031241
J Kim Tae Kwon Do,Martial Arts,117,15277,100 Ave,V3R8X2,6045841000,1,GTC,611620,Athletic Instruction,49.1844401,-122.7987902
Laborers International Union of North America,Union Organization,203,15127,100 Ave,V3R0N9,6049518877,3,GTC,813990,Other Membership Organizations,49.18523907,-122.8031241
Humberto & Lisa Guillen,Apartment/Townhouse Rental, ,12991,100 Ave,V3T1G9,6045121479,2,SCC,531111,Lessors of Residential Buildings & Dwellings,49.18458242,-122.8625154
Star Mart Convenience Store,Dollar Store, ,13647,100 Ave,V3T1H9,7783953355,2,SCC,452999,All Other Miscellaneous General Merchandise Stores,49.18449191,-122.8439626
Rodem Korea,Food Court Restaurant,101F,15277,100 Ave,V3R8X2,7786861103,2,GTC,722110,Restaurants,49.1844401,-122.7987902
20050618 Enterprises Ltd,Retail Chinese Herbs,101M,15277,100 Ave,V3R8X2,6045832338,4,GTC,446191,Food (Health) Supplement Stores,49.1844401,-122.7987902
Bao Wei Qun,Acupuncture,101M,15277,100 Ave,V3R8X2,6045832338,1,GTC,621360,Offices of Acupuncturists & Acupressurists,49.1844401,-122.7987902
Edward's Acupuncture Centre,Acupuncture,101L,15277,100 Ave,V3R8X2,6045818312,5,GTC,621360,Offices of Acupuncturists & Acupressurists,49.1844401,-122.7987902
Surrey Central Pizza Point Ltd,Restaurant - No Alcohol, ,13651,100 Ave,V3T1H9,6045858886,4,SCC,722110,Restaurants,49.18443314,-122.8439634
Chans Kitchen,Restaurant - No Alcohol,101B,15277,100 Ave,V3R8X2,7788858896,1,GTC,722110,Restaurants,49.1844401,-122.7987902
New Touch Beauty Hair Salon Inc,"Esthetician,Hair Salon/Barber", ,13645,100 Ave,V3T1H9,6045801883,1,SCC,812114,Barber Shops,49.18443606,-122.8440405
New Touch Beauty Hair Salon Inc,"Esthetician,Hair Salon/Barber", ,13645,100 Ave,V3T1H9,6045801883,1,SCC,812115,Beauty Salons,49.18443606,-122.8440405
Canadawide Pharmacy,Retail Merchant - 0 to 2 Employees,102,15129,100 Ave,V3R9P4,6045814000,3,GTC,446110,Pharmacies & Drug Stores,49.18441016,-122.8027076
Big C Sari Sari Store At I B A P A,"Currency exchange, groceries,Travel Agency",113,15277,100 Ave,V3R8X2,6049572873,4,GTC,445110,Supermarkets & Other Grocery (except Convenience) Stores,49.1844401,-122.7987902
Big C Sari Sari Store At I B A P A,"Currency exchange, groceries,Travel Agency",113,15277,100 Ave,V3R8X2,6049572873,4,GTC,523130,Commodity Contracts Dealing,49.1844401,-122.7987902
Big C Sari Sari Store At I B A P A,"Currency exchange, groceries,Travel Agency",113,15277,100 Ave,V3R8X2,6049572873,4,GTC,561510,Travel Agencies,49.1844401,-122.7987902
Impact Plaza Medical Centre,Professional Practitioner-Medical,109,15277,100 Ave,V3R8X2,6044965182,4,GTC,621110,Offices of Physicians,49.1844401,-122.7987902
Garcha Bro Meat Shop,Retail meat shop, ,13643,100 Ave,V3T1H9,6045856100,2,SCC,445210,Meat Markets,49.18449203,-122.8440544
Dr J T Wang Inc,Professional Practitioner-Medical,109,15277,100 Ave,V3R8X2,6045888811,3,GTC,621110,Offices of Physicians,49.1844401,-122.7987902
M & M Meat Shops,Retail sale of frozen food products,111,15277,100 Ave,V3R8X2,6045881726,5,GTC,445299,All Other Specialty Food Stores,49.1844401,-122.7987902
Wilson Rasmussen LLP,Professional Practitioner-Lawyer,300,15127,100 Ave,V3R0N9,6045837917,9,GTC,541110,Offices of Lawyers,49.18523907,-122.8031241
Liang Inc Dr Garrick,Professional Practitioner-Dentist,402,15127,100 Ave,V3R0N9,7783957701,3,GTC,621210,Offices of Dentists,49.18523907,-122.8031241
Coast Wellness Centre,Massage Therapy (RMT),100,15129,100 Ave,V3R9P4,6045833553,1,GTC,621370,Offices of Massage Therapists,49.18441016,-122.8027076
Y L's Curry Bowl,Restaurant,101E,15277,100 Ave,V3R8X2,6049301155,5,GTC,722110,Restaurants,49.1844401,-122.7987902
Sprott Shaw College,Business School,3,13678,100 Ave,V3T0H2,6045831004,15,SCC,611410,Business & Secretarial Schools,49.18405967,-122.8437964
Monarch Pediatric Dental Centre Surrey,Dental Services,101,15129,100 Ave,V3R9P4,6045854980,10,GTC,621210,Offices of Dentists,49.18441016,-122.8027076
Dr. Mark F Casafrancisco Inc,Dentist,101,15129,100 Ave,V3R9P4,6045854980,1,GTC,621210,Offices of Dentists,49.18441016,-122.8027076
Dr Elsa Hui-Derksen Inc,Dentist,101,15129,100 Ave,V3R9P4,6045854980,1,GTC,621210,Offices of Dentists,49.18441016,-122.8027076
Dr Jennifer Yee Inc,Dentist,101,15129,100 Ave,V3R9P4,6045854980,1,GTC,621210,Offices of Dentists,49.18441016,-122.8027076
Dr. Peter Y K Chan Inc,Part-time Dentist,101,15129,100 Ave,V3R9P4,6045854980,1,GTC,621210,Offices of Dentists,49.18441016,-122.8027076
Dr John T W Hung Inc,Part-time Dentist,101,15129,100 Ave,V3R9P4,6045854980,1,GTC,621210,Offices of Dentists,49.18441016,-122.8027076
Fresh Blooms Flowers,Retail Merchant - Florist,101P,15277,100 Ave,V3R8X2,7789871636,1,GTC,453110,Florists,49.1844401,-122.7987902
Triple 8 Restaurant Ltd,Restaurant - No Alcohol,2,15138,100 Ave,V3R0J8,6045852559,5,GTC,722110,Restaurants,49.18398086,-122.8025302
Surrey North Delta Divison of Family Practice,Admin office,204,15127,100 Ave,V3R0N9,6044180946,2,GTC,541611,Administrative Management & General Management Consulting Services,49.18523907,-122.8031241
Sanhao BBQ Delight,Restaurant - No Alcohol,1,15138,100 Ave,V3R0J8,6044983288,50,GTC,722110,Restaurants,49.18398086,-122.8025302
Khanh Loc Deli & Sandwiches,Deli & Sandwiches at food court,101A,15277,100 Ave,V3R8X2,6045897572,3,GTC,722110,Restaurants,49.1844401,-122.7987902
Save On Dry Cleaners,Dry Cleaners, ,13629,100 Ave,V3T1H9,6045803295,1,SCC,812320,Dry Cleaning & Laundry Services (Except Coin-Operated),49.18443314,-122.8439634
Lifesew Tailoring & Alterations,Tailor, ,15277,100 Ave,V3R8X2,7788890595,1,GTC,315999,Dressmaking & Tailoring,49.1844401,-122.7987902
Grandfair Travel Ltd,Travel Agency,101K,15277,100 Ave,V3R8X2,6045826888,5,GTC,561510,Travel Agencies,49.1844401,-122.7987902
Arts Umbrella,Chartitable Society/Organization - Non-Profit Children's Art School,102,13678,100 Ave,V3T0H2,6045856996,12,SCC,813990,Other Membership Organizations,49.18405967,-122.8437964
Merchant Law Group LLP,Law Firm,303/,15127,100 Ave,V3R0N9,6046097777,5,GTC,541110,Offices of Lawyers,49.18523907,-122.8031241
Surrey Hearing Guildford Inc,Health Care Consultant, ,15277,100 Ave,V3R8X2,6044963338,2,GTC,624190,Other Individual & Family Services,49.1844401,-122.7987902
Sashimi & Sushi Express,Restaurant - No Alcohol,101C,15277,100 Ave,V3R8X2,6045841190,2,GTC,722512,Limited-service eating places,49.1844401,-122.7987902
Dream Team Financial Solutions Inc,Insurance, ,13625,100 Ave,V3T1H9,7785498854,10,SCC,524210,Insurance Agencies & Brokerages,49.18449375,-122.8443857
Dr. Jonathan L.H. Hung Inc.,Professional Practitioner-Dentist,101,15129,100 Ave,V3R9P4,7789910106,2,GTC,621210,Offices of Dentists,49.18441016,-122.8027076
Schill Insurance Brokers Ltd,Insurance Agent,302,15127,100 Ave,V3R0N9,6045913341,12,GTC,524210,Insurance Agencies & Brokerages,49.18523907,-122.8031241
Browns Socialhouse,Food Primary-Class B Dining Lounge,101,15146,100 Ave,V3R0J8,6043398305,50,GTC,722511,Full-service restaurants,49.18396932,-122.8022452
Dr. Sharma Dental Corp.,Professional Practitioner-Dentist,405,15127,100 Ave,V3R0N9,6045851304,5,GTC,621210,Offices of Dentists,49.18523907,-122.8031241
Menchie's,Restaurant - No Alcohol,103,15146,100 Ave,V3R0N9,6045887002,5,GTC,722512,Limited-service eating places,49.18396932,-122.8022452
Boiling Point Restaurant (BC) Inc,Restaurant - No Alcohol, ,15146,100 Ave,V3R0J8,6045881292,10,GTC,722512,Limited-service eating places,49.18396932,-122.8022452
Gold Medal Health Center,"Acupuncture, Holistic Health Care - Non RMT Massage,Massage Therapy (RMT),Reflexology,Professional Practitioner-Medical", ,13637,100 Ave,V3T1H9,6045898889,1,SCC,621110,Offices of Physicians,49.18449115,-122.8441462
Gold Medal Health Center,"Acupuncture, Holistic Health Care - Non RMT Massage,Massage Therapy (RMT),Reflexology,Professional Practitioner-Medical", ,13637,100 Ave,V3T1H9,6045898889,1,SCC,621360,Offices of Acupuncturists & Acupressurists,49.18449115,-122.8441462
Gold Medal Health Center,"Acupuncture, Holistic Health Care - Non RMT Massage,Massage Therapy (RMT),Reflexology,Professional Practitioner-Medical", ,13637,100 Ave,V3T1H9,6045898889,1,SCC,621370,Offices of Massage Therapists,49.18449115,-122.8441462
Gold Medal Health Center,"Acupuncture, Holistic Health Care - Non RMT Massage,Massage Therapy (RMT),Reflexology,Professional Practitioner-Medical", ,13637,100 Ave,V3T1H9,6045898889,1,SCC,621390,Offices of Other Health Practitioners,49.18449115,-122.8441462
Dr Frederick Cheung Inc,Professional Practitioner - Orthodontist,401,15127,100 Ave,V3R0N9,6043656636,6,GTC,621210,Offices of Dentists,49.18523907,-122.8031241
Kazimirski Law Corporation (Trade name: KazLaw Injury Lawyer,Professional Practitioner-Lawyer,205,15127,100 Ave,V3R0N9,6046819344,4,GTC,541110,Offices of Lawyers,49.18523907,-122.8031241
Inspire Dental Group,Professional Practitioner-Dentist,101,13678,100 Ave,V3T0H2,6046744000,6,SCC,621210,Offices of Dentists,49.18405967,-122.8437964
118148 BC Ltd,Massage Therapist, ,13637,100 Ave,V3T1H9,6045898889,1,SCC,621370,Offices of Massage Therapists,49.18449115,-122.8441462
CHI Health Clinic,Holistic Health Care,116,15277,100 Ave,V3R8X2,6049301638,1,GTC,621390,Offices of Other Health Practitioners,49.1844401,-122.7987902
Raylien Chao,Professional Practitioner-Dentist, ,15129,100 Ave,V3R9P4,7788625266,1,GTC,621210,Offices of Dentists,49.18441016,-122.8027076
Its Up to You Recovery House Society,Charitable Society/Organization - Alcohol & Drug Recovery Home, ,12991,100 Ave,V3T1G0,6047233626,2,SCC,623999,All other residential care facilities,49.18458242,-122.8625154
Huanli Trading Ltd,Retail Merchant - Flowers,101P,15277,100 Ave,V3R8X2,6046794621,1,GTC,453110,Florists,49.1844401,-122.7987902
Options Recovery Centre,Alcohol & Drug Recovery Home, ,13127,100A Ave,V3T1K1,7783950160,1,SCC,623999,All other residential care facilities,49.18550943,-122.8584957
Straight Path,Charitable Society/Organization - Alcohol & Drug Recovery Home, ,12971,100A Ave,V3T1J8,7782930603,4,SCC,623999,All other residential care facilities,49.18572423,-122.8629206
Straight Path,Charitable Society/Organization - Alcohol & Drug Recovery Home, ,12971,100A Ave,V3T1J8,7782930603,4,SCC,813990,Other Membership Organizations,49.18572423,-122.8629206
Greater Vancouver Community Credit Union,Credit Union, ,15280,101 Ave,V3R4G5,6045844434,9,GTC,522130,Local Credit Unions,49.18597274,-122.7986031
Oriental Buffet Restaurant,Dining Lounge, ,15140,101 Ave,V3R7V4,6045838893,20,GTC,722110,Restaurants,49.18595325,-122.8021554
Akasaka Japanese Restaurant Surrey Ltd,Dining Lounge, ,15110,101 Ave,V3R7V4,6045881244,9,GTC,722110,Restaurants,49.18597032,-122.8034003
Pharmasave No 206,Retail Pharmacy,119,15280,101 Ave,V3R8X7,6045843331,24,GTC,446110,Pharmacies & Drug Stores,49.18597274,-122.7986031
Burnside Apartments,Apartment Rentals, ,13784,101 Ave,V3T1L4,6045895505,4,SCC,531111,Lessors of Residential Buildings & Dwellings,49.18593139,-122.8403644
Skyline Apartments,Apartment/Townhouse Rental, ,13929,101 Ave,V3T5R9,6045827970,2,SCC,531111,Lessors of Residential Buildings & Dwellings,49.18619053,-122.8362446
Landmark Cinema 12 Guildford,Movie Theatre - Video Games, ,15051,101 Ave,V3T4C9,6045814218,66,GTC,512130,Motion Picture & Video Exhibition,49.18627117,-122.8050192
Landmark Cinema 12 Guildford,Movie Theatre - Video Games, ,15051,101 Ave,V3T4C9,6045814218,66,GTC,713120,Amusement Arcades,49.18627117,-122.8050192
Landmark Cinema 12 Guildford,Movie Theatre - Video Games, ,15051,101 Ave,V3T4C9,6045814218,66,GTC,722210,Concessions,49.18627117,-122.8050192
Tan De Soleil Sun Tan Studios Inc,Tanning Salon,131B,15280,101 Ave,V3R8X7,6045849559,6,GTC,812190,Other Personal Care Services,49.18597274,-122.7986031
Vancouver City Savings Credit Union (101 Ave,Banking,108,15175,101 Ave,V3R7Z1,6048777301,18,GTC,522130,Local Credit Unions,49.18629106,-122.8017543
Guildford's Laundry Chute,Laundromat,104,15155,101 Ave,V3R7Z1,6045851866,2,GTC,812320,Dry Cleaning & Laundry Services (Except Coin-Operated),49.18629935,-122.802234
Hanako Japanese Restaurant Inc,Restaurant,205,15135,101 Ave,V3R7Z1,6045828833,8,GTC,722110,Restaurants,49.18630015,-122.8027022
Nandos Chicken Guildford,Food Primary-Class B Dining Room,104,15190,101 Ave,V3R7V4,6045873210,12,GTC,722110,Restaurants,49.18595731,-122.8016742
Mega Hair Care,Hairdresser,136,15280,101 Ave,V3R8X7,6045839339,1,GTC,812115,Beauty Salons,49.18597274,-122.7986031
Domino's Pizza #10052,Pizza take out & delivery,102,15155,101 Ave,V3R7Z1,6045857422,8,GTC,722110,Restaurants,49.18629935,-122.802234
De Jesus Inc Dr Daniel,Professional Practitioner-Dentist,D2,15251,101 Ave,V3R9V8,6045886575,8,GTC,621210,Offices of Dentists,49.18625593,-122.7997781
Boom Bee,Food Primary-Class B Dining Room,101,15155,101 Ave,V3R7Z1,6045803553,3,GTC,722110,Restaurants,49.18629935,-122.802234
Seoul Gill House,Food Primary-Class B Dining Room,100,15155,101 Ave,V3R7Z1,6045888292,1,GTC,722110,Restaurants,49.18629935,-122.802234
Guildford Grace Optical,Retail - Optical,103B,15135,101 Ave,V3R7Z1,6049513000,1,GTC,446130,Optical Goods Stores,49.18630015,-122.8027022
B C A A Insurance Agency,Insurance Agency,D1,15251,101 Ave,V3Z0R5,6042051000,13,GTC,524210,Insurance Agencies & Brokerages,49.18625593,-122.7997781
Dollar Tree Stores Canada Inc,Retail Merchant - Dollar Store #40019,135,15280,101 Ave,V3R8X7,6045364428,8,GTC,452999,All Other Miscellaneous General Merchandise Stores,49.18597274,-122.7986031
Canadian Blood Services,Charitable Organization - Blood Donor Clinic,C2,15285,101 Ave,V3R9V8,6045010362,20,GTC,813990,Other Membership Organizations,49.18638766,-122.7986747
Big Chicken Town,Food Primary-Class B Dining Room,130,15280,101 Ave,V3R8X7,6044965007,5,GTC,722110,Restaurants,49.18597274,-122.7986031
Miracle Ear Canada Ltd,Retail Merchant - Hearing Aids,203A,15135,101 Ave,V3R7Z1,6045800055,2,GTC,44619,Other health & personal care stores,49.18630015,-122.8027022
Lee Gar Nei,Restaurant - Full Service,128,15280,101 Ave,V3R8X7,6046183922,5,GTC,722511,Full-service restaurants,49.18597274,-122.7986031
Petsmart Inc #2531,"Retail Merchant - Pet Products, Dog Grooming",C6,15285,101 Ave,V3R9V8,6045882640,12,GTC,453910,Pet & Pet Supplies Stores,49.18638766,-122.7986747
Petsmart Inc #2531,"Retail Merchant - Pet Products, Dog Grooming",C6,15285,101 Ave,V3R9V8,6045882640,12,GTC,812910,Pet Care (except Veterinary) Services,49.18638766,-122.7986747
Dulux Paints,Retail Merchant - Paint Store,C4,15285,101 Ave,V3R9V8,7788371467,4,GTC,444120,Paint & Wallpaper Stores,49.18638766,-122.7986747
Big Feet,"Holistic Health Care - Reflexology, Massage (Non-RMT)",105,15155,101 Ave,V3R7V4,6044970888,3,GTC,621390,Offices of Other Health Practitioners,49.18629935,-122.802234
Surrey Insurance Agency Inc.,Insurance Agent,200A,15135,101 Ave,V3R7Z1,7783946700,4,GTC,524210,Insurance Agencies & Brokerages,49.18630015,-122.8027022
S U C C E S S,Charitable Society/Organization,100,15117,101 Ave,V3R8P7,6045886869,39,GTC,813990,Other Membership Organizations,49.18628623,-122.8032962
Guildford Drugs Ltd,Retail Merchant - 0 to 2 Employees,200,15135,101 Ave,V3R7Z1,6046442033,2,GTC,446110,Pharmacies & Drug Stores,49.18630015,-122.8027022
I R C Injury Resource Centre,Professional Practitioner-Medical,200,15135,101 Ave,V3R0C6,6044965955,2,GTC,621340,"Offices of Physical, Occupational & Speech Therapists & Audiologists",49.18630015,-122.8027022
Dr. S Sawhney & Dr. S. Lochub Inc,Medical Clinic,200,15135,101 Ave,V3R7Z1,6045070623,2,GTC,621110,Offices of Physicians,49.18630015,-122.8027022
Lotus Natural Health Centre,Holistic Health Care,200,15135,101 Ave,V3R7Z1,6049519987,1,GTC,621390,Offices of Other Health Practitioners,49.18630015,-122.8027022
Coffee Monster (Guildford) Inc,Coffee Shop -Cafe,C1B,15285,101 Ave,V3P9V8,7783944001,10,GTC,722512,Limited-service eating places,49.18638766,-122.7986747
Singh Gurbachan,Apartment Rental, ,13059,101B Ave,V3T1M5,6045028596,1,SCC,531111,Lessors of Residential Buildings & Dwellings,49.18778061,-122.860641
Imperial Place Residence Inc,Apartment Rentals, ,13853,102 Ave,V3T5P6,6045871555,30,SCC,531111,Lessors of Residential Buildings & Dwellings,49.18792654,-122.8383286
Colliers Macaulay Nicolls Inc,Real Estate Office,1850,13450,102 Ave,V3T5X3,6046814111,12,SCC,531210,Offices of Real Estate Agents & Brokers,49.18791904,-122.8487665
Fusion Beauty Skin & Nails Inc,Beauty Studio, ,13511,102 Ave,V3T4X8,6045836245,7,SCC,812115,Beauty Salons,49.18801362,-122.8473868
Canadian Tire No 489,Retail Sales, ,13665,102 Ave,V3T1N7,6045838473,80,SCC,444110,Home Centres,49.18966062,-122.8433432
Canadian Tire No 489,Retail Sales, ,13665,102 Ave,V3T1N7,6045838473,80,SCC,811111,General Automotive Repair,49.18966062,-122.8433432
FinancialCAD Corporation,Software Design/Consultant,1750,13450,102 Ave,V3T5X3,6049571200,110,SCC,334999,Hi Tech Industries,49.18791904,-122.8487665
FinancialCAD Corporation,Software Design/Consultant,1750,13450,102 Ave,V3T5X3,6049571200,110,SCC,541510,Computer Systems Design & Related Services,49.18791904,-122.8487665
Central City Brewing Company Ltd,"Restaurant, Neighbourhood Pub, Beer & Wine Store",190,13450,102 Ave,V3T5X3,6045826620,20,SCC,445310,"Beer, Wine & Liquor Stores",49.18791904,-122.8487665
Central City Brewing Company Ltd,"Restaurant, Neighbourhood Pub, Beer & Wine Store",190,13450,102 Ave,V3T5X3,6045826620,20,SCC,722110,Restaurants,49.18791904,-122.8487665
Central City Brewing Company Ltd,"Restaurant, Neighbourhood Pub, Beer & Wine Store",190,13450,102 Ave,V3T5X3,6045826620,20,SCC,722410,Drinking Places,49.18791904,-122.8487665
Blenz Central City,"Retail Coffee, Caf?®",110,13450,102 Ave,V3T5X3,6045833370,12,SCC,445298,Coffee & Tea Stores,49.18791904,-122.8487665
Blenz Central City,"Retail Coffee, Caf?®",110,13450,102 Ave,V3T5X3,6045833370,12,SCC,722110,Restaurants,49.18791904,-122.8487665
Oak Avenue Neighbourhood Hub Society,Charitable Organization, ,12740,102 Ave,V3V3E5,6045827088,1,WTC,813990,Other Membership Organizations,49.18785903,-122.8693954
Surrey Festival of Dance Society,Charitable Organization,203,13541,102 Ave,V3T4X8,6045853320,1,SCC,813990,Other Membership Organizations,49.18801069,-122.8469314
Community Savings Credit Union (102 Ave),Admin. Office,1600,13450,102 Ave,V3T5X3,6046542000,28,SCC,541611,Administrative Management & General Management Consulting Services,49.18791904,-122.8487665
Shefield Express (102 Ave),"Retail Gifts, Tobacconist",115,13450,102 Ave,V3T5X3,6045800031,1,SCC,453220,"Gift, Novelty & Souvenir Stores",49.18791904,-122.8487665
Shefield Express (102 Ave),"Retail Gifts, Tobacconist",115,13450,102 Ave,V3T5X3,6045800031,1,SCC,453999,All Other Miscellaneous Store Retailers (except Beer & Wine Making Supplies Stores),49.18791904,-122.8487665
Base Investment & Immigration Corp,Financial Planning/Consultant,1880,13450,102 Ave,V3T5X3,6045852276,5,SCC,523930,Investment Advice,49.18791904,-122.8487665
Base Investment & Immigration Corp,Financial Planning/Consultant,1880,13450,102 Ave,V3T5X3,6045852276,5,SCC,541611,Administrative Management & General Management Consulting Services,49.18791904,-122.8487665
Base Investment & Immigration Corp,Financial Planning/Consultant,1880,13450,102 Ave,V3T5X3,6045852276,5,SCC,541613,Immigration Consulting & Interpretation Services,49.18791904,-122.8487665
Cambian Business Services Inc,General Business Office,1690,13450,102 Ave,V3T5X3,6045819356,6,SCC,541611,Administrative Management & General Management Consulting Services,49.18791904,-122.8487665
Forever Young Hair Salon,Hair Salon/Barber, ,13853,102 Ave,V3T5P6,6045824795,1,SCC,812115,Beauty Salons,49.18792654,-122.8383286
Turnbull Construction Project Managers Ltd,General Cont.,1670,13450,102 Ave,V3T5X3,6046261068,1,SCC,231230,General Construction Contractors,49.18791904,-122.8487665
A & W Restaurant,Restaurant - No Alcohol, ,13645,102 Ave,V3T1N7,6045585496,27,SCC,722110,Restaurants,49.18794418,-122.8439237
Stuart T Clendening Barristers & Solicitors,Professional Practitioner-Lawyer,205,13541,102 Ave,V3T4X8,6045847111,2,SCC,541110,Offices of Lawyers,49.18801069,-122.8469314
7 Eleven Canada Inc,Head Office for 7-Eleven Convenience Stores,2400,13450,102 Ave,V3T0C3,6045860711,58,SCC,541611,Administrative Management & General Management Consulting Services,49.18791904,-122.8487665
Euphoric Day Spa,Seminar, ,13450,102 Ave,V3T0A3,6045920585,1,SCC,541611,Administrative Management & General Management Consulting Services,49.18791904,-122.8487665
Continental Flower Market,Retail Sales - Flowers,145,13450,102 Ave,V3T2X3,6049516699,3,SCC,453110,Florists,49.18791904,-122.8487665
Stenberg College,Vocational School,750,13450,102 Ave,V3T5X3,6045850988,150,SCC,611510,Technical & Trade Schools,49.18791904,-122.8487665
Galina's Cafe,Restaurant - No Alcohol, ,13531,102 Ave,V3T4X8,6045852929,1,SCC,452999,All Other Miscellaneous General Merchandise Stores,49.18801137,-122.8470738
Galina's Cafe,Restaurant - No Alcohol, ,13531,102 Ave,V3T4X8,6045852929,1,SCC,722110,Restaurants,49.18801137,-122.8470738
B C Happy Homes Immigration Services,Immigration Consultant, ,13541,102 Ave,V3T4X8,6045841199,2,SCC,541613,Immigration Consulting & Interpretation Services,49.18801069,-122.8469314
