SUPPLIER NAME, AGGREGATE AMOUNT PAID TO SUPPLIER 
BC COMFORT AIR CONDITIONING LTD.,"25,714.50"
BC EVENT MANAGEMENT INC.,"85,396.54"
BC HYDRO & POWER AUTHORITY,"10,189,426.84"
BC ONE CALL LIMITED,"26,727.50"
BC PLANT HEALTH CARE INC.,"2,280,521.34"
BCRS ROAD SAFE INC.,"673,425.64"
BD HALL CONSTRUCTORS CORPORATION,"2,401,667.69"
BE GARDENING & LANDSCAPING,"70,209.60"
BEEDIE CH PROPERTY(LOT 7-15)LTD.,"25,303.70"
BELAIR FABRICATION LTD,"53,661.66"
BELL CANADA,"546,072.50"
BELL MOBILITY INC.,"679,568.00"
BELVEDERE CARE CORPORATION,"97,860.55"
BEST BUY,"26,094.55"
BFI CANADA INC. VANCOUVER DISTRICT,"2,223,611.31"
BIGBELLY SOLAR,"65,739.76"
BILL MATHERS CONTRACTING,"559,460.91"
BING THOM ARCHITECTS INC.,"136,793.21"
BLACHERE ILLUMINATION CANADA,"34,844.25"
BLACK PRESS GROUP LTD.,"303,725.21"
BLACKALL INDUSTRIES INC D.B.A. HIGHLAND LOWBED SERVICE,"36,684.46"
BLACKRETE PAVING LTD.,"946,354.84"
BLUE PINE ENTERPRISES LTD.,"187,519.98"
BLUE RODEO PRODUCTIONS,"35,750.00"
BMS INTEGRATED SERVICES INC,"529,275.86"
BOB JAMES CONTRACTING,"42,943.34"
BOFFO DEVELOPMENTS (WR) LTD.,"163,850.00"
BORDEN LADNER GERVAIS LLP,"35,320.45"
BOTTOMLINE TECHNOLOGIES [CANADA] INC.,"63,242.87"
BRANDT TRACTOR LTD.,"244,897.56"
BRAY ENTERPRISES LTD.,"61,624.00"
BRIERE PRODUCTION GROUP INC.,"120,244.32"
BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,"27,882.28"
BRITISH COLUMBIA SAFETY AUTHORITY,"42,024.34"
BRYCO PROJECTS INC,"142,654.65"
BUDGET BRAKE & MUFFLER AUTO CENTRES,"200,532.04"
BUNT & ASSOCIATES ENGINEERING (BC) LTD.,"43,423.48"
BUSCH SYSTEMS INTERNATIONAL,"31,211.30"
BUSY BEE SANITARY SUPPLIES INC.,"181,471.13"
C.E.S. ENGINEERING LTD.,"181,093.46"
CAMCENTRAL SYSTEMS INC.,"204,944.65"
CAN RIDGE INDUSTRIES LTD.,"29,567.27"
CANADA POST CORPORATION,"94,804.11"
CANADA REVENUE AGENCY,"9,325,262.26"
CANADIAN ENGINEERED PRODUCTS AND SALES LTD.,"156,487.73"
CANADIAN LAWN CARE SERVICES LTD.,"128,386.22"
CANADIAN MATTRESS RECYCLING INC.,"160,134.45"
CANADIAN PACIFIC RAILWAY COMPANY,"81,860.47"
"CANADIAN UNION OF PUBLIC EMPLOYEES, SURREY LOCAL 402","2,458,978.31"
CAN-DIVE CONSTRUCTION LTD.,"30,371.92"
CANEM SYSTEMS LTD.,"26,057.16"
CANNOR NURSERIES LTD.,"147,084.00"
CANSEL SURVEY EQUIPMENT LTD.,"74,688.81"
CANSTAR RESTORATIONS,"45,662.25"
CANWEST CUTTING & CORING LTD.,"79,684.33"
CAPILANO HIGHWAY SERVICES COMPANY,"146,338.50"
CARSCADDEN STOKES MCDONALD ARCHITECTS INC.,"50,471.29"
"CARSWELL, A DIVISION OF THOMSON CANADA LIMITED","52,854.94"
CARTEL COMMUNICATION SYSTEMS INC.,"35,500.00"
CASCADIA ENERGY LTD.,"660,590.83"
CATALYS LUBRICANTS INC.,"26,185.80"
CATERING VISIONS,"25,384.48"
CDN TIRE STORE,"30,983.95"
CEDAR CREST LANDS (B.C.) LTD.,"206,880.92"
CEDAR RIM NURSERY LTD.,"51,934.41"
CH2M HILL CANADA LIMITED,"57,751.32"
CHARTIS INSURANCE COMPANY OF CANADA,"68,280.98"
CHEMAQUA,"30,068.43"
CHERNOFF THOMPSON ARCHITECTS,"110,286.98"
CHEVRON CANADA LIMITED,"108,219.96"
CHURCHILL ARMOURED CAR SERVICE,"32,746.21"
CINTAS,"63,916.70"
CITRIX SYSTEMS INC.,"50,980.37"
CITY OF LANGLEY,"34,450.63"
CITY OF NEW WESTMINSTER,"34,600.65"
CITY OF RICHMOND,"25,398.85"
CITY OF VANCOUVER,"36,109.75"
CITYSPACES CONSULTING LTD.,"42,532.15"
CJB RESTORATION SERVICES LTD.,"31,227.53"
CLEAN FOR YOU CLEANING SERVICES LTD.,"189,947.96"
CLEARTECH INDUSTRIES INC.,"260,654.66"
CLOVER TOWING LTD.,"103,676.52"
CLOVERDALE BUSINESS IMPROVEMENT ASSOC.,"178,000.00"
COAST WHOLESALE APPLIANCES LTD.,"51,338.86"
COASTAL TRAINING CONSULTANTS LTD.,"41,580.90"
COASTLAND ENGINEERING & SURVEYING LTD.,"70,092.68"
COBRA ELECTRIC  LTD.,"5,854,348.39"
COLLINGS JOHNSTON INC,"50,354.86"
COLLINGWOOD APPRAISALS LTD.,"65,777.23"
COLUMBIA BITULITHIC - DIVISION OF LAFARGE CANADA INC.,"435,710.84"
COMMANDER WAREHOUSE EQUIPMENT LTD.,"65,051.01"
COMMERCIAL LIGHTING PRODUCTS LTD.,"113,690.44"
COMMERCIAL TRUCK EQUIPMENT CO.,"188,894.05"
COMMISSIONAIRES BC,"997,000.99"
COMPASS GROUP CANADA LTD,"55,031.43"
COMPUGEN INC.,"145,188.75"
COMPUTRONIX (CANADA) LTD.,"49,443.45"
COMTEX MICRO SYSTEM INC.,"25,108.16"
CONCORD SECURITY CORPORATION,"1,745,694.54"
COOKE-SASSEVILLE SENC,"95,430.30"
CORIOLIS CONSULTING CORP.,"43,300.56"
CORIX UTILITIES INC.,"3,373,093.13"
CORIX WATER PRODUCTS LP,"116,478.83"
CPS (CANADA) INC.,"70,093.53"
CREATIVE CHILDREN FURNITURE AND ART SUPPLIES LTD.,"30,709.39"
CRESCENT BEACH LIFE GUARDING CORPORATION,"91,350.00"
CROCKER EQUIPMENT CO. LTD.,"107,714.57"
CROWN CONTRACTING LIMITED,"3,715,218.36"
CSDC SYSTEMS INC.,"290,749.55"
CTH SYSTEMS INC.,"110,426.40"
CULINARY CAPERS CATERING INC.,"164,167.13"
CUMMINS WESTERN CANADA VANCOUVER BRANCH,"56,956.66"
CUSTOM LOADING LTD.,"77,782.95"
CWPC PROPERTY CONSULTANTS LTD.,"32,433.45"
DAFCO FILTRATION GROUP CORPORATION,"28,336.35"
DAMS FORD LINCOLN SALES LTD.,"415,407.57"
DAN BELLAN DESIGN,"28,280.00"
DAVEY TREE EXPERT CO. OF CANADA LIMITED,"149,541.91"
DAWSON & SAWYER DEVELOPMENTS(FLEETWOOD)LTD.,"268,520.70"
DB PERKS & ASSOCIATES LTD.,"311,113.10"
DECCAN INTERNATIONAL,"26,987.11"
DEI FILMS LTD.,"30,000.00"
DELL CANADA INC.,"817,802.08"
DELTA AGGREGATES LTD.,"701,573.43"
DENBOW TRANSPORT LTD.,"131,819.46"
DENTONS CANADA LLP,"717,315.03"
DETAIL PRESSURE WASHING,"61,960.50"
DIAMOND HEAD CONSULTING LTD.,"586,988.28"
DIAMOND INDUSTRIES LTD.,"101,766.00"
DILLON CONSULTING LIMITED,"1,255,883.03"
DINESEN NURSERIES LTD.,"527,213.29"
DIRECT EQUIPMENT WEST LTD.,"82,004.00"
DISTRICT OF MISSION,"28,794.03"
DIVISION 15 MECHANICAL LTD.,"716,143.17"
DL SAFETY CONSULTING LTD.,"401,959.52"
DL WATTS FLOORINGS (1994) LTD.,"146,683.97"
DMD & ASSOCIATES LTD.,"29,684.06"
DOUBLE M EXCAVATING LTD.,"566,948.67"
DOUBLE R RENTALS 1987 LIMITED,"68,411.46"
DOWNTOWN SURREY BUSINESS IMPROVEMENT ASSOCIATION,"882,272.75"
"DR. JOSEPH CLARE, CONSULTANT","28,868.78"
DYE & DURHAM CORPORATION,"188,148.89"
DYNAMIC OWL CONSULTING INC.,"222,807.94"
E. LEES & ASSOCIATES CONSULTING LTD.,"41,208.24"
E.B. HORSMAN & SON,"66,195.25"
EAST RICHMOND NURSERIES INC.,"26,701.15"
EBBWATER CONSULTING,"37,633.63"
"E-COMM,EMERGENCY COMMUNICATION FOR BRITISH COLUMBIA INC.","1,008,063.20"
"ECONOLITE CANADA, INC.","249,417.58"
ECOWASTE INDUSTRIES LTD.,"81,813.21"
ECOWORKS LANDSCAPE SERVICES LTD.,"185,398.34"
EDGECEPTIONAL CATERING,"39,508.41"
EDIFICE CONSTRUCTION INC.,"767,599.41"
EECOL ELECTRIC CORP,"52,413.85"
"ELECTION SYSTEMS & SOFTWARE CANADA,ULC","53,068.33"
ELLA VENTURES LTD. DBA BC UPFITTERS AND LINE-X,"70,268.41"
ELLISDON CORPORATION,"19,567,197.13"
EMCO CORPORATION,"169,815.85"
ENCOM WIRELESS DATA SOLUTIONS,"323,370.91"
ENGLISH LAWNS LTD.,"47,381.25"
ENJOY - THE LIFE EXPERIENCES CO.,"37,964.94"
ENKON ENVIRONMENTAL,"120,975.01"
ENTERPRISE RENT-A-CAR CANADA LIMITED,"29,750.68"
ENVIRO CAN CLEAN,"68,282.30"
ENVIRONMENTAL EDUCATION ACTION PROGRAM SOCIETY (EEAP),"43,741.69"
ENVIRO-VAC (A DIVISION OF PARAGON REMEDIATION GROUP LTD.),"32,539.50"
ENVISION FINANCIAL,"34,000.00"
ERICSSON MFG. LTD.,"42,122.80"
ESC AUTOMATION INC.,"173,457.53"
ESRI CANADA LIMITED,"701,120.00"
EUROVIA BRITISH COLUMBIA INC.,"3,089,289.14"
EVENTPOWER,"61,245.68"
EXOTEK SYSTEMS,"56,348.52"
EXTREME BARCODE,"32,579.10"
EXTREME GLASS LTD.,"77,072.25"
FABCO PLASTICS,"58,437.64"
FAIRTAX RECOVERY CONSULTANTS,"325,292.72"
FAMILY SERVICES OF GREATER VANCOUVER,"94,268.78"
FARM-TEK SERVICES INC.,"221,413.13"
FDM SOFTWARE LTD.,"144,567.28"
FEDERATION OF CANADIAN MUNICIPALITIES,"70,544.66"
FERNGROVE GARDEN CARE,"61,003.39"
FINAL DRIVE INVESTMENTS LTD,"68,851.02"
FINNING INTERNATIONAL INC.,"206,997.33"
FIRST CANADIAN LOGISTICS LTD.,"35,203.62"
FIRST TRUCK CENTRE VANCOUVER INC.,"1,385,332.16"
FIRSTONSITE RESTORATION L.P.,"167,365.12"
FITNESS TOWN COMMERCIAL (FTC),"195,389.71"
FLAMAN FITNESS B.C. LTD.,"73,690.07"
FLOCOR INC.,"147,499.20"
FLYNN CANADA LTD.,"55,803.11"
FONTANA LANDSCAPES LTD.,"54,601.50"
FORRESTER SWITZERLAND GMBH,"38,000.00"
FORTISBC - NATURAL GAS,"415,098.47"
FORTISBC ENERGY INC.,"106,063.74"
FORTRAN TRAFFIC SYSTEMS LTD,"57,609.33"
FOUNDRY SPATIAL LTD.,"31,752.00"
FRASER RICHMOND SOIL & FIBRE LTD.,"3,007,515.53"
FRASER VALLEY EQUIPMENT LTD.,"38,414.38"
FRASER VALLEY FIRE PROTECTION,"29,088.24"
FRASER VALLEY REFRIGERATION LTD.,"278,612.06"
FRICIA CONSTRUCTION INC.,"843,367.55"
G & R SINGH & SON TRUCKING LTD.,"692,787.24"
G.R.P. CONSTRUCTION LTD.,"114,481.51"
"GARTNER CANADA, CO.","42,105.00"
GATEWAY CASINOS ENTERTAINMENT LIMITED,"327,595.84"
GCL CONTRACTING AND ENGINEERING INC.,"3,306,081.26"
GENESIS INTEGRATION INC.,"262,778.77"
GEOADVICE ENGINEERING INC.,"25,731.09"
GEOPACIFIC CONSULTANTS LTD.,"44,690.64"
GEORGIA MECHANICAL SYSTEMS (2008) LTD.,"36,278.55"
GFS BRITISH COLUMBIA INC.,"82,433.16"
GIBRALTAR HOLDINGS LTD.,"618,260.41"
GIFFELS WESTPRO CONSTRUCTORS INC.,"221,211.10"
GLACIER MEDIA INC.,"50,198.31"
GLOBAL UPHOLSTERY CO. INC.,"36,012.02"
GOLD KEY SALES AND LEASE LTD.,"46,236.38"
GOLDER ASSOCIATES LTD.,"41,075.10"
GOODBYE GRAFFITI SURREY,"25,642.25"
GOODYEAR CANADA INC.,"35,608.75"
GORANSON CONSTRUCTION LTD.,"386,925.10"
GORDON POIRIER VENTURES LTD.,"3,250,000.00"
GRAHAM CONSTRUCTION & ENGINEERING LP,"18,728,901.37"
GRANDVIEW BLACKTOP LTD.,"717,000.51"
GREAT CANADIAN GAMING CORPORATION,"99,791.25"
GREATER VANCOUVER POWERSPORTS INC.,"38,186.37"
GREATER VANCOUVER REGIONAL DISTRICT,"622,477.39"
GREATER VANCOUVER SEWERAGE AND DRAINAGE DISTRICT,"32,241,145.00"
GREATER VANCOUVER WATER DISTRICT,"41,712,444.81"
GREEN OVER GREY LIVING WALLS AND DESIGN INC.,"28,662.72"
GREEN TIMBERS HERITAGE SOCIETY,"130,000.00"
GREGG DISTRIBUTORS (B.C.) LTD.,"49,177.52"
GUERIN TETREAULT GOVERENANCE CONSULTING INC.,"27,323.90"
"H & T INVESTMENTS, DBA CAFE CENTRAL","26,956.65"
H.Y. ENGINEERING LTD.,"88,035.98"
HABITAT SYSTEMS INC.,"263,515.08"
HALLWOOD MILHAM TECHNOLOGIES INC.,"42,274.45"
"HALTON RECYCLING LTD, DBA EMTERRA GROUP & EMTERRA ENVIRO","33,148.76"
HANLEY AGENCIES LTD.,"449,850.99"
HARBOUR WEST CONSULTING INC.,"67,962.70"
"HARRIS CANADA SYSTEMS, INC.","43,682.88"
HAZELMERE ROOFING LTD,"27,000.75"
HAZICO HOLDINGS,"33,537.25"
HCMA ARCHITECTURE +  DESIGN,"800,774.75"
HDR CORPORATION,"40,095.15"
HEATHERBRAE BUILDERS CO. LTD.,"6,758,975.95"
HERITAGE OFFICE FURNISHINGS LTD.,"613,661.06"
HESLOP ENTERPRISES LTD.,"151,302.38"
HI-LITE TRUCK ACCESSORIES LTD.,"40,783.87"
HILTI (CANADA) CORPORATION,"45,222.56"
HI-PRO SPORTING GOODS LTD.,"30,980.55"
HOOTSUITE MEDIA INC.,"51,254.01"
HORIZON LANDSCAPE CONTRACTORS INC.,"1,552,247.44"
HOULE ELECTRIC LIMITED,"36,052.72"
HRC CONSTRUCTION INC.,"263,345.40"
HUB YOUR CYCLING CONNECTION,"56,926.00"
HUGH & MCKINNON REALTY LTD.,"67,543.02"
HUGHES CONDON MARLER ARCHITECTS,"192,220.86"
HUMAN CAPITAL STRATEGIES,"29,185.25"
HYLAND EXCAVATING LTD.,"1,902,585.46"
HYTEK MECHANICAL INC.,"133,976.13"
IBM CANADA LTD.,"35,471.52"
ICOM BC PRODUCTIONS INC.,"33,127.50"
IMPERIAL PARKING CANADA CORPORATION,"239,049.53"
IMPERIAL PAVING LIMITED,"2,678,410.75"
IMPEX MANAGEMENT LTD.,"110,681.71"
INFINITY PROPERTIES (MURRAYVILLE) LTD.,"122,035.58"
INLINE SALES AND SERVICE LTD.,"64,701.50"
INSIGHTS LEARNING & DEVELOMENT VANCOUVER LTD.,"32,809.77"
INSTANT LAWN TURF FARM(1994),"68,333.16"
INTEGRATED DIRECT RESPONSE SERVICES,"333,321.46"
INTEGRITY-PAAHI SOLUTIONS INC. DBA IPS,"52,283.97"
INTERNATIONAL CROWD MANAGEMENT INC.,"113,280.11"
INTERNATIONAL MULCH COMPANY INC.,"35,902.15"
INTERNATIONAL WEB EXPRESS INC,"197,383.25"
INTERPROVINCIAL TRAFFIC SERVICES LTD.,"288,330.82"
ION DESIGN INC.,"29,652.00"
IRON MOUNTAIN CANADA CORPORATION,"129,229.80"
ISL ENGINEERING AND LAND SERVICES LTD.,"1,010,276.37"
ISLAND KEY COMPUTER LTD,"285,187.07"
J E BINDING ENTERPRISES LTD. DBA SURREY AUTO TEC,"81,997.38"
J.R. INDUSTRIAL SUPPLIES LTD.,"473,205.02"
JACK CEWE LTD.,"855,973.06"
JB MARKO DEVELOPMENT CORP.,"63,252.84"
JL LAWN & TREE CARE INC.,"57,100.06"
JMP LANDSCAPING AND CITYSCAPE SOLUTIONS INC,"69,276.90"
JOHN DONNELLY & ASSOCIATES EVENT MARKETING INC.,"328,754.92"
JRS ENGINEERING,"30,706.37"
K.D.S. CONSTRUCTION LTD.,"259,795.87"
KAL TIRE,"191,139.48"
KASIAN ARCHITECTURE INTERIOR DESIGN & PLANNING LIMITED,"76,154.41"
KATZIE DEVELOPMENT CORPORATION LTD.,"110,775.96"
KEBET HOLDINGS LTD.,"50,084.35"
KERR WOOD LEIDAL ASSOCIATES LTD.,"844,001.74"
KEYWEST ASPHALT LTD.,"118,981.48"
KING HOE EXCAVATING LTD,"128,130.17"
KK GROUND SUPPORT INC.,"137,802.58"
KLM CONTRACTING LTD.,"154,659.35"
KLOHN CRIPPEN BERGER LTD,"35,989.09"
KOCO REAL ESTATE DEVELOPMENT LTD.,"31,700.54"
KORTECH CALCIUM SERVICES LTD.,"101,634.60"
KPMG LLP,"104,370.00"
L.I.T. AQUATICS LTD.,"556,880.74"
L-290 HOLDINGS LTD.,"28,218.75"
LA CONTRACTING LTD.,"68,033.70"
LAFARGE ASPHALT TECHNOLOGIES A DIV. OF LAFARGE CANADA INC.,"249,415.78"
LAFARGE CANADA INC. C.O.B. AS COLUMBIA BITULITHIC,"6,531,721.01"
LAND TITLE AND SURVEY AUTHORITY OF BC,"114,542.32"
LANG-FAB FABRICATORS LTD.,"45,730.09"
LANGLEY CONCRETE LIMITED PARTNERSHIP,"185,259.11"
LARK GROUP,"212,525.01"
LASERFICHE STRATEGIC SERVICES CANADA,"57,022.24"
LAWSON LUNDELL LLP,"53,527.72"
LEDCOR CONSTRUCTION LTD.,"261,787.27"
LEE DUNCAN HOLDINGS LTD.,"315,204.09"
LEE'S TREES LTD.,"116,386.10"
"LEHIGH MATERIALS, A DIV. OF LEHIGH HANSON MATERIALS LTD.","167,579.14"
LEVELTON CONSULTANTS LTD.,"62,164.29"
LIFE FITNESS,"421,465.53"
LIFECYCLE CONSULTANTS INC.,"44,987.13"
LIFESTYLE MAINTENANCE INC.,"352,734.12"
"LILA A. GUIRGUIS, CONSULTANT","28,440.25"
LM GARDENING INC.,"122,875.19"
LORDCO PARTS LTD.,"37,047.66"
M.VAN NOORT & SONS BULB CO.LTD,"29,698.82"
MACK KIRK ROOFING & SHEET METAL LTD.,"26,250.00"
MADRONE ENVIRONMENTAL SERVICES LTD.,"60,852.00"
MAINLAND CIVIL WORKS INC.,"2,348,030.70"
MAINLAND FORD LTD.,"41,647.03"
MAINLAND SAND & GRAVEL ULC,"768,328.28"
MANORLANE HOMES INC.,"201,142.94"
MANUFACTURERS LIFE INSURANCE COMPANY (MANULIFE FINANCIAL),"2,543,761.50"
MAPLE LEAF DISPOSAL LTD.,"101,244.50"
MARATHON SURFACES INC.,"164,664.24"
MARSHALL SURVEYS LTD.,"79,895.86"
MAR-TECH UNDERGROUND SERVICES LTD.,"735,272.37"
MATCON CIVIL CONSTRUCTORS INC,"36,225.00"
MATCON DEMOLITION LTD.,"59,428.95"
MAXWELL FLOORS LTD.,"94,182.20"
MAXXAM ANALYTICS,"48,650.54"
MCELHANNEY CONSULTING SERVICES LTD.,"612,131.67"
MCEWAN ELECTRIC LTD.,"32,686.00"
MCRAE'S ENVIRONMENTAL SERVICES LTD.,"315,207.52"
MCRAE'S POWER SWEEPING LTD.,"750,712.97"
MCRAE'S SEPTIC TANK SERVICE (FRASER VALLEY LTD.),"1,433,757.04"
MCW PROPERTY SERVICES LTD.,"42,386.18"
MD SIGNS LTD.,"54,309.77"
MEADOWLANDS HORTICULTURAL INC.,"43,052.01"
MERLETTI CONSTRUCTION (1999) LTD.,"99,294.53"
METRO BLACKTOP CO. LTD.,"90,153.75"
METRO MOBILE RADIO SALES INC.,"32,415.61"
METRO MOTORS LTD.,"1,118,580.12"
METRO TESTING LABORATORIES (SURREY) LTD.,"158,824.60"
"MICHAEL A. KRONDL, ARTIST","36,735.26"
MICHELIN NORTH AMERICA (CANADA) INC.,"25,001.13"
MICRO COM SYSTEMS LTD.,"347,101.62"
MICROSOFT CANADA CO.,"88,305.00"
MICROSOFT CORPORATION,"964,982.75"
MID VALLEY FENCING,"43,753.50"
MILLS BASICS,"225,981.11"
MINISTRY OF TRANSPORTATION AND INFRASTRUCTURE,"2,491,529.81"
MINISTER OF FINANCE AND CORPORATE RELATIONS,"2,711,283.14"
MISSION CONTRACTORS LTD.,"133,436.86"
MK ILLUMINATION CANADA WEST INC,"33,339.10"
MMM GROUP LIMITED,"189,516.50"
MODERN GROUNDS MAINTENANCE LTD.,"571,665.69"
MODO THE CAR CO-OP,"47,984.84"
MODU-LOC FENCE RENTALS LTD.,"53,127.17"
MORGAN HEIGHTS CONSTRUCTION CORPORATION,"555,711.30"
MORRISON HERSHFIELD LIMITED,"203,943.85"
MORTISE CONSTRUCTION LTD.,"106,759.80"
MSC INDUSTRIAL SUPPLY ULC,"94,351.81"
MTS MAINTENANCE TRACKING SYSTEMS INC.,"38,375.72"
MUD BAY DYKING DISTRICT,"37,563.00"
MULTIGUIDE TECHNOLOGIES INC.,"69,271.05"
MUNICIPAL PENSION PLAN,"16,154,732.81"
MURRAY GM ABBOTSFORD,"47,382.55"
MURRAY LATTA PROGRESSIVE MACHINE INC.,"70,257.60"
MWL DEMOLITION LTD.,"254,669.08"
N.A.T.S. NURSERY LTD.,"199,934.19"
NAPA SURREY - MAG AUTO & INDUSTRIAL SUPPLIES,"47,501.73"
NATIONAL PUBLIC RELATIONS INC.,"46,654.38"
"NEC CANADA, INC.","38,008.76"
NERO GLOBAL TRACKING,"102,238.31"
NEW LINE PRODUCTS LTD.,"25,816.07"
NEW LINE SKATEPARKS INC.,"311,875.20"
NEW PLANET COLLISION LTD.,"40,772.29"
NEWTON BUSINESS IMPROVEMENT ASSOCIATION,"400,000.00"
NICE SYSTEMS CANADA LTD.,"25,513.22"
NOR IMAGES ENTERPRISES LTD.,"53,878.21"
NORTH SKY TELECOM,"508,496.21"
NORTHCOAST BUILDING PRODUCTS LTD.,"41,357.29"
NORTHWEST GARDENING SERVICES LTD.,"229,153.74"
NORTHWEST HYDRAULIC CONSULTANTS LTD.,"246,923.56"
NUTECH FACILITY SERVICES LTD,"81,697.12"
OFFICE ESSENTIALS,"37,617.80"
OGAWA LANDSCAPE DESIGN,"70,230.84"
OLAMETER INC.,"132,576.70"
OMNI ENGINEERING INC.,"203,022.17"
OPEN TEXT CORPORATION,"195,574.12"
OPUS DAYTONKNIGHT CONSULTANTS LTD.,"47,257.36"
ORACLE CANADA ULC,"680,612.56"
ORION FIRE DISTRIBUTION LTD.,"36,163.35"
OVERHEAD DOOR COMPANY,"67,089.94"
PACHENA PROPERTIES LTD.,"107,100.00"
PACIFIC BARK BLOWERS INC.,"46,667.25"
PACIFIC BLASTING & DEMOLITION LTD.,"50,694.00"
PACIFIC COAST HEAVY TRUCK GROUP,"124,289.76"
PACIFIC FLOW CONTROL LTD.,"129,174.43"
PACIFIC SURREY CONSTRUCTION LTD.,"381,207.81"
PALADIN SECURITY GROUP LTD.,"184,880.83"
PARA SPACE LANDSCAPING INC.,"93,318.17"
PARAGON ENGINEERING LTD.,"214,237.56"
PARKTORIA TECHNOLOGIES LTD.,"35,214.40"
PARSONS INC.,"269,596.70"
PARTNERSHIPS BRITISH COLUMBIA,"174,579.43"
PATTISON OUTDOOR ADVERTISING L.P.,"33,445.30"
"PAUL MAXIM, CONSULTANT","58,137.14"
PCI KING GEORGE DEVELOPMENTS INC.,"121,112.46"
PCL CONSTRUCTORS WESTCOAST INC,"790,937.36"
