SUPPLIER NAME, AGGREGATE AMOUNT PAID TO SUPPLIER 
DATAFIX A DIVISION OF COMPRINT SYSTEMS,"102,270.00"
DAVEY TREE EXPERT CO. OF CANADA LIMITED,"188,762.66"
DAWSON & SAWYER DEVELOPMENTS (SEMIAHMOO) LTD.,"352,774.10"
DB PERKS & ASSOCIATES LTD.,"111,787.12"
DEEP BLUE INVESTMENT CORP.,"53,203.22"
DELCAN CORPORATION,"618,448.50"
DELL CANADA INC.,"1,405,055.98"
DENBOW TRANSPORT LTD.,"98,900.99"
DENTONS CANADA LLP,"960,436.83"
DESJARDINS FINANCIAL SECURITY INVESTMENTS,"27,546.66"
DH DESIGN WORKS LTD. DBA LETTERBOX DESIGN,"25,593.75"
DIAMOND HEAD CONSULTING LTD.,"399,146.16"
DIESELTECH TRUCK REPAIR,"75,331.87"
DILIGENT BOARD MEMBER SERVICES INC.,"35,686.56"
DILLON CONSULTING LIMITED,"1,053,827.15"
DINESEN NURSERIES LTD.,"135,385.09"
DIRECT EQUIPMENT WEST LTD.,"43,366.34"
DIVERSIFIED MANAGEMENT INC,"30,356.29"
DIVISION 15 MECHANICAL LTD.,"354,481.79"
DIXON HEATING & SHEET METAL LTD.,"60,413.70"
DL SAFETY CONSULTING LTD.,"1,148,660.43"
DL WATTS FLOORINGS (1994) LTD.,"124,849.97"
DLO MOVE SUPPORT SERVICES LTD.,"87,887.30"
DOCU-LINK INTERNATIONAL INC,"49,964.04"
DORIS TUNBRIDGE_TD WATERHOUSE,"25,030.16"
DOUBLE M EXCAVATING LTD.,"367,446.77"
DOUBLE R RENTALS 1987 LIMITED,"73,480.82"
DOUGLAS COLLEGE,"75,575.01"
DOUGLAS LAKE EQUIPMENT LTD.,"30,365.79"
DOWNTOWN SURREY BUSINESS IMPROVEMENT ASSOCIATION,"862,757.86"
DREAM CASTLE HOMES LTD.,"66,208.80"
DREAMSTAR DEVELOPMENTS LTD.,"57,275.99"
DS TACTICAL,"25,526.15"
DYE & DURHAM CORPORATION,"130,523.94"
DYNAMIC ASPHALT SERVICES INC.,"53,867.54"
E.B. HORSMAN & SON,"54,217.40"
E.P. ENGINEERED PUMP SYSTEMS LTD.,"59,358.62"
EAST RICHMOND NURSERIES INC.,"72,641.60"
EAST-WEST BUILDING MAINTENANCE LTD.,"96,396.19"
"E-COMM,EMERGENCY COMMUNICATION FOR BRITISH COLUMIBA INC.","959,106.96"
"ECONOLITE CANADA, INC.","154,130.60"
ECOWORKS LANDSCAPE SERVICES LTD.,"153,223.04"
ELEGANT IRONWORKS (2005) LTD.,"115,785.47"
ELLA VENTURES LTD. DBA BC UPFITTERS AND LINE-X,"35,109.68"
ELLISDON CORPORATION,"19,459,635.65"
EMCO CORPORATION,"369,371.98"
ENGINEERED PUMP SYSTEMS LTD.,"31,931.92"
ENJOY - THE LIFE EXPERIENCES CO.,"33,073.75"
ENKON ENVIRONMENTAL,"44,547.47"
ENTERPRISE RENT-A-CAR CANADA LIMITED,"53,097.59"
ENVIRO CAN CLEAN,"46,905.20"
ENVIRONMENTAL EDUCATION ACTION PROGRAM SOCIETY (EEAP),"61,440.75"
ENVIRO-VAC (A DIVISION OF PARAGON REMEDIATION GROUP LTD.),"31,142.23"
EQUIPARC,"50,252.96"
ER PLUS RISK MANAGEMENT GROUP INC,"52,658.81"
ERICSSON MFG. LTD.,"25,898.88"
ESRI CANADA LIMITED,"453,600.00"
ETHICAL PLANET SUPPLY COMPANY,"51,041.04"
EVENTPOWER,"58,525.27"
EXTREME GLASS LTD.,"68,419.97"
FABCO PLASTICS,"38,667.13"
FAMILY SERVICES OF GREATER VANCOUVER,"104,357.56"
FARM-TEK SERVICES INC.,"216,230.70"
FDM SOFTWARE LTD.,"142,725.60"
FEDERATION OF CANADIAN MUNICIPALITIES,"69,181.74"
FERNGROVE GARDEN CARE,"60,493.19"
FINAL DRIVE INVESTMENTS LTD,"66,520.05"
FIRST TRUCK CENTRE VANCOUVER INC.,"205,949.54"
FIRSTONSITE RESTORATION L.P.,"185,868.12"
FITNESS TOWN COMMERCIAL (FTC),"43,040.61"
FLAMAN FITNESS B.C. LTD.,"102,792.65"
FLOCOR INC.,"25,655.19"
FLYNN CANADA LTD.,"175,659.48"
FORRESTER SWITZERLAND GMBH,"46,000.00"
FORTISBC - NATURAL GAS & ENERGY,"3,583,114.59"
FRASER GLASS INSTALLATIONS LTD,"116,366.25"
FRASER RICHMOND SOIL & FIBRE LTD.,"3,621,413.74"
FRASER VALLEY EQUIPMENT LTD.,"40,197.79"
FRASER VALLEY GILBERT & SULLIVAN SOCIETY,"35,859.96"
FRASER VALLEY HERITAGE RAILWAY SOCIETY,"343,858.20"
FRASER VALLEY REFRIGERATION LTD.,"69,505.74"
FRASER VALLEY SNOW REMOVAL INC.,"60,775.70"
G & R SINGH & SON TRUCKING LTD.,"345,762.11"
G.R.P. CONSTRUCTION LTD.,"105,579.09"
GAGE-BABCOCK & ASSOCIATES LTD.,"41,223.88"
"GARTNER CANADA, CO.","41,160.00"
GCL CONTRACTING AND ENGINEERING INC.,"1,244,498.25"
GEMCO CONSTRUCTION LTD.,"33,337.50"
GEOPACIFIC CONSULTANTS LTD.,"71,708.74"
GEOSYS TECHNOLOGY SOLUTIONS,"51,817.50"
GFS BRITISH COLUMBIA INC.,"98,835.53"
GIBRALTAR HOLDINGS LTD.,"65,319.10"
GLACIER MEDIA INC.,"172,041.52"
GLEN CHUA MEDIA,"26,694.50"
GLOBAL EXCAVATING & DEMOLITION LTD.,"35,118.30"
GOLD KEY SALES AND LEASE LTD.,"179,892.81"
GOODYEAR CANADA INC.,"27,813.19"
GORANSON CONSTRUCTION LTD.,"426,392.84"
GRAHAM CONSTRUCTION & ENGINEERING LP,"29,976,316.40"
GRANDVIEW BLACKTOP LTD.,"799,823.46"
GRANDVIEW POINTE DEVELOPMENTS INC.,"74,495.61"
GREATER VANCOUVER REGIONAL DISTRICT,"311,046.14"
GREATER VANCOUVER SEWERAGE AND DRAINAGE DISTRICT,"30,519,724.00"
GREATER VANCOUVER WATER DISTRICT,"42,143,818.14"
GREEN OVER GREY LIVING WALLS AND DESIGN INC.,"30,899.97"
GREEN TIMBERS HERITAGE SOCIETY,"120,000.00"
GREENBARN POTTERS SUPPLY LTD.,"38,081.81"
GREGG DISTRIBUTORS (B.C.) LTD.,"36,321.08"
GUILLEVIN INTERNATIONAL CO.,"30,494.28"
H J PROPERTY INVESTMENTS LTD.,"298,114.67"
HABITAT SYSTEMS INC.,"107,361.43"
HANLEY AGENCIES LTD.,"603,821.63"
HAPA LANDSCAPE ARCHITECTURE COLLABORATIVE INC.,"217,131.36"
HARBOUR WEST CONSULTING INC.,"31,237.50"
"HARRIS CANADA SYSTEMS, INC.","42,613.95"
HARRY WALKER AGENCY INC,"134,721.17"
HAZICO HOLDINGS,"25,181.16"
HAZMASTERS INC.,"92,000.70"
HDR CORPORATION,"47,250.00"
HEATHERBRAE BUILDERS CO. LTD.,"20,602,531.25"
HENDERSON RECREATION EQUIPMENT LIMITED,"28,052.10"
HERITAGE OFFICE FURNISHINGS LTD.,"763,773.30"
HI-PRO SPORTING GOODS LTD.,"27,632.58"
HOLIDAYLIGHTS.COM INC. DBA STAR ILLUMINATIONS,"71,635.20"
HOMAN ROOFING LTD.,"31,815.00"
HORIZON LANDSCAPE CONTRACTORS INC.,"1,226,640.13"
HOULE ELECTRIC LIMITED,"36,827.72"
HUB YOUR CYCLING CONNECTION,"98,355.00"
HUGH & MCKINNON REALTY LTD.,"64,869.66"
HUGHES CONDON MARLER ARCHITECTS,"623,613.24"
HYLAND EXCAVATING LTD.,"1,502,542.96"
HYTEK MECHANICAL INC.,"432,206.89"
IBM CANADA LTD.,"51,845.70"
IC WALL & FLOOR SOLUTIONS,"30,461.36"
IDEXX LABORATORIES CANADA LP,"32,056.79"
IMMIGRANT SERVICES SOCIETY OF BC,"82,053.00"
IMPERIAL PARKING CANADA CORPORATION,"250,303.23"
IMPERIAL PAVING LIMITED,"19,212,160.77"
IMPEX MANAGEMENT LTD.,"107,164.63"
INFINITE IDEAS,"72,665.79"
INFINITY PROPERTIES LTD.,"74,099.17"
INLINE SALES AND SERVICE LTD.,"34,608.09"
INPROTECT SYSTEMS INC.,"80,498.11"
INSTANT LAWN TURF FARM(1994),"67,265.40"
INTEGRATED DIRECT RESPONSE SERVICES,"311,267.72"
INTERCONTINENTAL TRUCK BODY (BC) INC.,"42,886.16"
INTERNATIONAL CROWD MANAGEMENT INC.,"79,132.94"
INTERNATIONAL WEB EXPRESS INC,"158,939.66"
INTERPAVE PRECAST SYSTEMS LTD.,"87,909.80"
INTERPROVINCIAL TRAFFIC SERVICES LTD.,"233,914.85"
I-OPEN TECHNOLOGIES INC.,"57,309.17"
IRON CURTAIN FENCE & GATE LTD.,"25,024.87"
IRON MOUNTAIN CANADA CORPORATION,"129,016.88"
ISL ENGINEERING AND LAND SERVICES LTD.,"723,633.89"
ISLAND KEY COMPUTER LTD,"30,784.54"
J E BINDING ENTERPRISES LTD. DBA SURREY AUTO TEC,"69,313.42"
J. COTE & SON EXCAVATING LTD.,"2,007,686.15"
J.R. INDUSTRIAL SUPPLIES LTD.,"386,972.27"
J.S. FERGUSON CONSTRUCTION INC,"493,265.39"
JACK CEWE LTD.,"1,371,408.80"
JB MARKO DEVELOPMENT CORP.,"93,107.53"
JL LAWN & TREE CARE INC.,"119,579.67"
JMP LANDSCAPING AND CITYSCAPE SOLUTIONS INC,"38,861.14"
JOHN DONNELLY & ASSOCIATES EVENT MARKETING INC.,"287,504.54"
KAL TIRE,"120,520.38"
KASIAN ARCHITECTURE INTERIOR DESIGN & PLANNING LIMITED,"1,900,309.26"
KENNEDY ANDERSON CREATIVE GROUP,"29,283.75"
KENT'S BACKHOE SERVICES,"189,682.54"
KERR WOOD LEIDAL ASSOCIATES LTD.,"731,866.26"
KEYWEST ASPHALT LTD.,"1,194,616.80"
KIMBERLEY YARKER LTD.,"37,406.25"
KING HOE EXCAVATING LTD,"2,172,686.57"
KING SERVICES CONSTRUCTION GROUP & DEVELOPMENTS INC.,"98,938.50"
KLM CONTRACTING LTD.,"109,319.17"
KPMG LLP,"86,350.81"
KRP COMMUNICATIONS LTD.,"55,465.00"
KT CONCRETE WORKS,"29,002.50"
KT TRAFFIC SOLUTIONS,"36,099.00"
L & J GRAPHICS CORPORATION,"38,386.01"
L.I.T. AQUATICS LTD.,"457,226.63"
LAFARGE ASPHALT TECHNOLOGIES A DIV. OF LAFARGE CANADA INC.,"557,500.99"
LAFARGE CANADA INC. C.O.B. AS COLUMBIA BITULITHIC,"2,158,670.61"
LAFARGE CANADA INC. LAFARGE V.R.M.,"36,772.73"
LAKEWOOD BEECH DEVELOPMENTS LTD.,"27,712.44"
LAND TITLE AND SURVEY AUTHORITY OF BC,"83,250.00"
LANGLEY CONCRETE LIMITED PARTNERSHIP,"286,862.10"
LEADING PROJECT MANAGEMENT INC.,"161,885.85"
LEDCOR CONSTRUCTION LTD.,"334,192.73"
LEE DUNCAN HOLDINGS LTD.,"112,961.52"
LEE'S TREES & EXCAVATING SERVICES,"161,905.12"
"LEHIGH MATERIALS, A DIV. OF LEHIGH HANSON MATERIALS LTD.","113,772.27"
LEVELTON CONSULTANTS LTD.,"154,097.84"
LEVITT-SAFETY,"36,342.66"
"LIEBERT CANADA, DIVISION OF EMERSON ELECTRIC CANADA LTD","30,281.44"
LIFE FITNESS,"214,076.24"
LIFESTYLE MAINTENANCE INC.,"567,995.59"
LINKEDIN IRELAND LIMITED,"25,700.00"
LM GARDENING INC.,"279,102.75"
LOBLAW COMPANIES LIMITED,"1,734,958.66"
LOGIC GROUP,"42,127.41"
LONG VIEW SYSTEMS CORPORATION,"72,023.96"
LORDCO PARTS LTD.,"51,414.54"
M.VAN NOORT & SONS BULB CO.LTD,"36,351.73"
MACK KIRK ROOFING & SHEET METAL LTD.,"83,688.32"
MAINLAND CIVIL SITE SERVICES INC.,"117,152.47"
MAINLAND CIVIL WORKS INC.,"1,461,752.36"
MAINLAND SAND & GRAVEL ULC,"589,737.10"
MANITOU INCORPORATED,"55,929.28"
MANUFACTURERS LIFE INSURANCE COMPANY (MANULIFE FINANCIAL),"2,272,492.83"
MAPLE REINDERS INC.,"1,038,832.37"
MARINE ROOFING (1996) LTD.,"143,683.58"
MARINE ROOFING LTD.,"102,614.71"
MARSHALL SURVEYS LTD.,"53,724.53"
MAR-TECH UNDERGROUND SERVICES LTD.,"857,967.35"
MARTENS ASPHALT LTD.,"951,953.84"
"MARTHA DOW PH D.,CONSULTANT ","33,500.00"
MASON LIFT LTD.,"88,773.94"
MATCON CIVIL CONSTRUCTORS INC,"207,280.40"
MAXWELL FLOORS LTD.,"30,556.06"
MAXXAM ANALYTICS,"66,728.91"
MAYFAIR INDUSTRIAL PAINTING LTD.,"38,026.50"
MCAP SERVICE CORPORATION MORTGAGE SERVICING CENTRE,"36,138.47"
MCELHANNEY CONSULTING SERVICES LTD.,"170,146.21"
MCEWAN ELECTRIC LTD.,"50,849.73"
MCRAE'S ENVIRONMENTAL SERVICES LTD.,"318,591.94"
MCRAE'S POWER SWEEPING LTD.,"574,978.19"
MCRAE'S SEPTIC TANK SERVICE (FRASER VALLEY LTD.),"1,439,043.70"
MD SIGNS,"37,146.04"
MEADOWLANDS HORTICULTURAL INC.,"44,811.75"
MERIT KITCHENS (2002) LTD.,"34,549.01"
METRO COMPACTOR WEST INC.,"39,952.64"
METRO TESTING LABORATORIES (BURNABY) LTD.,"62,396.49"
METRO TESTING LABORATORIES (SURREY) LTD.,"60,766.97"
"MICHAEL A. KRONDL, ARTIST","160,242.51"
MICRO COM SYSTEMS LTD.,"619,132.45"
MICROSERVE BUSINESS COMPUTER SERVICES,"66,859.02"
MICROSOFT CANADA CO.,"88,168.46"
"MICROSOFT LICENSING, GP","915,164.81"
MIERAU CONTRACTORS LTD.,"254,447.32"
MILLER CAPILANO MAINTENANCE CORPORATION,"67,688.25"
MILLS BASICS,"199,135.47"
MINISTER OF ENVIRONMENT,"70,000.00"
MINISTER OF FINANCE,"20,292,583.80"
MINISTER OF FINANCE AND CORPORATE RELATIONS,"2,817,576.14"
MISSION CONTRACTORS LTD.,"396,417.14"
MK ILLUMINATION CANADA WEST INC,"50,606.27"
MMM GROUP LIMITED,"85,937.12"
MODERN GROUNDS MAINTENANCE LTD.,"346,752.00"
MODO THE CAR CO-OP,"42,462.36"
MODU-LOC FENCE RENTALS LTD.,"58,058.40"
MORGAN HEIGHTS CONSTRUCTION CORPORATION,"1,010,426.46"
MORRISON HERSHFIELD LIMITED,"183,023.34"
MSC INDUSTRIAL SUPPLY ULC,"36,680.55"
MUD BAY DYKING DISTRICT,"29,751.00"
MULTIVISTA CONSTRUCTION DOCUMENTATION,"46,007.76"
MUNICIPAL PENSION PLAN,"15,955,266.20"
MURRAY LATTA PROGRESSIVE MACHINE INC.,"93,094.75"
MWL DEMOLITION LTD.,"477,024.49"
N.A.T.S. NURSERY LTD.,"137,525.78"
NAKASSA SOLUTIONS LTD.,"31,164.00"
NAPA SURREY - MAG AUTO & INDUSTRIAL SUPPLIES,"42,527.92"
NATIONAL CONCRETE ACCESSORIES A DIVISION OF PREMETALCO INC.,"28,847.13"
NATIONAL PUBLIC RELATIONS INC.,"168,282.01"
"NEC CANADA, INC.","842,468.56"
NEMATO CORP,"586,700.00"
NERO GLOBAL TRACKING,"86,859.80"
"NEULION, INC.","35,050.40"
NEW LINE SKATEPARKS INC.,"1,478,201.07"
NEWALTA CORPORATION,"41,341.18"
NEWTON BUSINESS IMPROVEMENT ASSOCIATION,"400,000.00"
NICE SYSTEMS CANADA LTD.,"108,547.41"
NOBLE CORPORATION,"33,244.37"
NOR IMAGES ENTERPRISES LTD.,"53,856.58"
NORTH 60 DEVELOPMENT INC.,"45,718.18"
NORTHCOAST BUILDING PRODUCTS LTD.,"49,820.03"
NORTHWEST GARDENING SERVICES LTD.,"223,691.45"
NORTHWEST HYDRAULIC CONSULTANTS LTD.,"401,415.44"
NU-GRO LTD. DBA AAT DIRECT SOLUTIONS,"45,100.90"
OCEAN MARKER SPORT SURFACES LTD.,"46,358.55"
ODLUM BROWN LIMITED,"27,285.23"
OGAWA LANDSCAPE DESIGN,"58,617.82"
OLYMPIC INTERNATIONAL SALES LIMITED,"1,794,514.41"
OMEGA & ASSOCIATES ENGINEERING LTD.,"39,593.12"
OMNI ENGINEERING INC.,"206,073.14"
ON THE SPOT SERVICES INC.,"81,003.13"
OPEN TEXT CORPORATION,"321,335.75"
OPUS DAYTONKNIGHT CONSULTANTS LTD.,"105,242.95"
ORACLE CANADA ULC,"305,663.38"
