SUPPLIER NAME, AGGREGATE AMOUNT PAID TO SUPPLIER 
ISL ENGINEERING AND LAND SERVICES LTD.,"1,039,715.13"
ISLAND KEY COMPUTER LTD,"62,740.73"
J E BINDING ENTERPRISES LTD. DBA SURREY AUTO TEC,"92,872.52"
J. COTE & SON EXCAVATING LTD.,"1,260,336.90"
J.R. INDUSTRIAL SUPPLIES LTD.,"584,690.17"
JACOB BROS. CONSTRUCTION INC.,"3,877,806.51"
JB MARKO DEVELOPMENT CORP.,"77,994.43"
JENSEN HUGES CONSULTING CANADA LTD,"29,629.99"
JL LAWN & TREE CARE INC.,"29,572.48"
JMP LANDSCAPING AND CITYSCAPE SOLUTIONS INC,"59,129.70"
"JOANNA ASHWORTH, CONSULTANT","25,200.00"
JOHN DONNELLY & ASSOCIATES EVENT MARKETING INC.,"344,458.07"
K.D.S. CONSTRUCTION LTD.,"292,844.84"
KAL TIRE,"191,426.90"
"KARIN MARK, CONSULTANT","27,834.21"
KATHRYN JANE WATT DBA FENTON STREET PUBLISHING,"38,150.93"
KATZIE DEVELOPMENT CORPORATION LTD.,"283,180.22"
KELLER WILLIAMS ELITE REALTY,"33,521.25"
KENNEDY ANDERSON CREATIVE GROUP,"46,357.54"
KERR WOOD LEIDAL ASSOCIATES LTD.,"809,120.81"
KEY INNOVATIONS INC.,"47,415.76"
KEY-BENCH ADVERTISING LTD.,"1,076,623.97"
KK GROUND SUPPORT INC.,"42,703.83"
KLM CONTRACTING LTD.,"124,149.60"
KLOHN CRIPPEN BERGER LTD,"59,767.97"
KONICA MINOLTA BUSINESS SOLUTIONS (CANADA) LTD.,"38,283.32"
KPMG LLP,"92,242.50"
L & J GRAPHICS CORPORATION,"39,807.69"
LA CONTRACTING LTD.,"214,532.87"
LAFARGE CANADA INC.,"8,099,566.40"
LAKEWOOD HYLAND DEVELOPMENTS LTD.,"92,433.60"
LAND TITLE AND SURVEY AUTHORITY OF BC,"101,500.00"
LANG-FAB FABRICATORS LTD.,"29,698.33"
LANGLEY CONCRETE LIMITED PARTNERSHIP,"123,713.40"
LAWSON LUNDELL LLP,"27,572.61"
LEE DUNCAN HOLDINGS LTD.,"80,821.71"
LEE'S TREES LTD.,"295,142.62"
LEGENDARY DEVELOPMENTS (MORGAN HEIGHTS) LTD.,"29,873.02"
"LEHIGH MATERIALS, A DIV. OF LEHIGH HANSON MATERIALS LTD.","215,129.17"
LETCHER AKELAITIS,"91,807.63"
"LIEBERT CANADA, DIVISION OF EMERSON ELECTRIC CANADA LTD","41,647.20"
LIFE FITNESS,"118,572.56"
LIFECYCLE CONSULTANTS INC.,"101,915.11"
LIFESAVING SOCIETY B.C. & YUKON BRANCH,"54,904.91"
LIFESTYLE MAINTENANCE INC.,"71,041.38"
LINKEDIN IRELAND LIMITED,"43,825.00"
LM GARDENING INC.,"110,998.10"
LOBLAW COMPANIES LIMITED,"4,820,828.01"
LONG VIEW SYSTEMS CORPORATION,"271,200.73"
LORDCO PARTS LTD.,"51,302.51"
LUCANA CONTRACTING,"32,478.60"
LUCENT QUAY CONSULTING INC.,"98,727.45"
LUMCA,"128,063.25"
MAINLAND CIVIL WORKS INC.,"406,917.46"
MAINLAND FORD LTD.,"77,737.00"
MAINLAND SAND & GRAVEL ULC,"513,592.06"
MAINROAD MAINTENANCE PRODUCTS LTD.,"484,207.02"
MANUFACTURERS LIFE INSURANCE COMPANY ,"8,762,923.91"
MAPLE LEAF DISPOSAL LTD.,"109,903.19"
MAPLE REINDERS INC.,"3,239,870.70"
MARATHON SURFACES INC.,"93,467.38"
MARBROM ENTERPRISES LTD. DBA CASCADIA DESIGN PRODUCTS,"44,706.90"
MARSHALL SURVEYS LTD.,"54,540.62"
MAR-TECH UNDERGROUND SERVICES LTD.,"1,236,745.82"
"MARY-JANE BENNETT, CONSULTANT","27,822.81"
MATCON DEMOLITION LTD.,"86,709.00"
MAXWELL FLOORS LTD.,"50,279.25"
MAXXAM ANALYTICS,"55,052.77"
MCASPHALT INDUSTRIES LTD.,"27,462.38"
MCCRANN CYRUS MFG.,"28,486.08"
MCELHANNEY CONSULTING SERVICES LTD.,"1,294,592.85"
MCGINN ENGINEERING & PRESERVATION LTD.,"42,028.35"
MCRAE'S ENVIRONMENTAL SERVICES LTD.,"350,489.12"
MCRAE'S POWER SWEEPING LTD.,"700,552.27"
MCRAE'S SEPTIC TANK SERVICE (FRASER VALLEY LTD.),"984,191.97"
MCW PROPERTY SERVICES LTD.,"76,485.42"
MD SIGNS LTD.,"28,075.97"
MEADOWLANDS HORTICULTURAL INC.,"49,297.83"
MERLETTI CONSTRUCTION (1999) LTD.,"1,593,679.69"
METRO BLACKTOP CO. LTD.,"85,987.65"
METRO MOTORS LTD.,"1,905,377.88"
METRO VANCOUVER HOUSING CORP.,"143,032.47"
MICHELIN NORTH AMERICA (CANADA) INC.,"33,991.96"
MICRO COM SYSTEMS LTD.,"241,329.61"
MICROSOFT CANADA INC.,"104,431.74"
MICROSOFT CORPORATION,"1,095,395.06"
MIKE FADUM AND ASSOCIATES LTD.,"27,873.83"
MILLS BASICS,"235,690.61"
MINISIS INC.,"37,537.50"
MINISTER OF FINANCE,"79,771.27"
MINISTER OF FINANCE AND CORPORATE RELATIONS,"2,674,807.67"
MISSION CONTRACTORS LTD.,"426,733.88"
MMM GROUP LIMITED,"499,931.14"
MOBILEPD INC.,"32,166.00"
MODERN GROUNDS MAINTENANCE LTD.,"577,521.28"
MODO CO-OPERATIVE,"49,454.89"
MODU-LOC FENCE RENTALS LP,"77,987.74"
MORGAN HEIGHTS CONSTRUCTION CORPORATION,"242,159.23"
MORREY NISSAN OF COQUITLAM LTD,"36,376.48"
MORRISON HERSHFIELD LIMITED,"57,373.02"
MSC INDUSTRIAL SUPPLY ULC,"95,578.46"
MULTIGUIDE TECHNOLOGIES INC.,"77,805.99"
MUNICIPAL PENSION PLAN,"17,612,736.58"
MWL DEMOLITION LTD.,"283,651.21"
N.A.T.S. NURSERY LTD.,"213,876.23"
NAPA SURREY - MAG AUTO & INDUSTRIAL SUPPLIES,"41,269.65"
NATIONAL PUBLIC RELATIONS INC.,"53,196.37"
"NEC CANADA, INC.","183,995.84"
NERO GLOBAL TRACKING,"92,811.00"
NETWORK TEST LABS INC.,"142,065.57"
NEVER GET OFF THE BOAT INTERNATIONAL LTD.,"42,250.00"
NEW LINE PRODUCTS LTD.,"58,406.97"
NEW PLANET COLLISION LTD.,"74,766.97"
NEWTON BUSINESS IMPROVEMENT ASSOCIATION,"400,000.00"
NGU CONSULTANTS INC,"38,500.01"
NILEX INC.,"211,004.66"
NOR IMAGES ENTERPRISES LTD.,"65,104.59"
NORTH GRANDVIEW LP,"52,108.22"
NORTHCOAST BUILDING PRODUCTS LTD.,"92,748.60"
NORTHWEST GARDENING SERVICES LTD.,"251,242.50"
NORTHWEST HYDRAULIC CONSULTANTS LTD.,"600,671.02"
NOVA POLE INTERNATIONAL INC.,"66,358.88"
NOVACOM CONSTRUCTION LTD,"4,979,166.47"
NR MOTORS LTD,"39,720.80"
NUTECH FACILITY SERVICES LTD,"183,889.94"
OFFICE ESSENTIALS,"29,192.75"
OLAMETER INC.,"227,150.46"
OMNI ENGINEERING INC.,"632,783.99"
OPEN DOOR SOLUTIONS,"99,445.25"
OPEN TEXT CORPORATION,"243,928.73"
OPTIONS COMMUNITY SERVICES SERVICES,"119,491.71"
OPUS DAYTONKNIGHT CONSULTANTS LTD.,"77,539.30"
ORACLE CANADA ULC,"425,185.93"
ORGANIZED CRIME AGENCY OF BC,"479,988.99"
ORION FIRE DISTRIBUTION LTD.,"56,077.30"
OUTBACK IMAGING USA LLC,"35,723.48"
OVERHEAD DOOR COMPANY,"112,294.46"
PACE CHEMICALS LTD.,"37,966.03"
PACE GROUP COMMUNICATIONS INC.,"131,612.57"
PACHENA PROPERTIES LTD.,"107,100.00"
PACIFIC BARK BLOWERS INC.,"56,584.50"
PACIFIC BLASTING & DEMOLITION LTD.,"212,658.60"
PACIFIC COAST HEAVY TRUCK GROUP,"140,423.94"
PACIFIC FLOW CONTROL LTD.,"194,506.27"
PACIFIC LAND RESOURCE GROUP INC.,"39,500.04"
PACIFIC SURREY CONSTRUCTION LTD.,"439,700.96"
PALADIN SECURITY GROUP LTD.,"162,687.29"
PARA SPACE LANDSCAPING INC.,"65,325.32"
PARAGON ENGINEERING LTD.,"223,826.94"
PARSONS INC.,"416,266.91"
"PAUL MAXIM, CONSULTANT","78,750.00"
PAUL VAN LOENEN DBA VAN-L CONSTRUCTION,"66,045.00"
PBX ENGINEERING LTD.,"129,594.30"
PCI KING GEORGE DEVELOPMENTS INC AND KGS EQUITIES INC,"137,128.32"
PCM PROPERTY SERVICES INC.,"86,191.32"
