SUPPLIER NAME, AGGREGATE AMOUNT PAID TO SUPPLIER 
D.A. ABERDEEN & ASSOCIATES LTD.,50923.7
D´ARTAGNAN CONSULTING LLP,30000
DALAL ASSOCIATES ENGINEERING,26640.79
DAMS FORD LINCOLN SALES LTD.,264750.46
DAVEY TREE EXPERT CO. OF CANADA LIMITED,534472.36
DB PERKS & ASSOCIATES LTD.,105916.54
DELCAN CORPORATION,726024.01
DELL CANADA INC.,1369482.63
DELTA AGGREGATES LTD.,221260.66
DENBOW TRANSPORT LTD.,106035.63
DENTONS CANADA LLP,241113.05
DEWAR PACIFIC PROJECTS DEMOLITION SERVICES,34720
DGWORKS,33257.28
DIAMOND HEAD CONSULTING LTD.,629304.48
DIGIGRAPHIX PRINTING OP. BY MAZ ENTERPRISES LTD.,31360
DILIGENT BOARD MEMBER SERVICES INC.,40173.97
DILLON CONSULTING LIMITED,1437346.07
DINESEN NURSERIES LTD.,177906.59
DIRECT EQUIPMENT WEST LTD.,111486.19
DISCOVERY PRODUCTS LTD.,49902.81
DIVERSECITY COMMUNITY RESOURCES SOCIETY,30609.13
DIXON HEATING & SHEET METAL LTD.,98496.39
DL SAFETY CONSULTING LTD.,1352786.65
DLO MOVE SUPPORT SERVICES LTD.,46522.88
DM FOURCHALK PROPERTY CONSULTANTS INC.,26741.78
DMD & ASSOCIATES LTD.,28135.5
DOMINION FAIRMILE CONSTRUCTION LTD.,168919.08
DOUBLE M EXCAVATING LTD.,412677.49
DOUBLE R RENTALS 1987 LIMITED,65707.99
DOUBLE V CONSTRUCTION LTD.,822662.7
DOUGLAS COLLEGE,46172.34
DOWNTOWN SURREY BUSINESS IMPROVEMENT ASSOCIATION,843246.82
DRG EXCAVATING & CONTRACTING,31317.82
DS TACTICAL,26974.98
DYE & DURHAM CORPORATION,139473.64
E.B. HORSMAN & SON,93200.26
EAST RICHMOND NURSERIES INC.,55311.2
EAST-WEST BUILDING MAINTENANCE LTD.,110620.87
EBA ENGINEERING CONSULTANTS LTD.,158600.5
ECL ENVIROWEST CONSULTANTS LIMITED,35132.76
"E-COMM,EMERGENCY COMMUNICATION FOR SOUTHWEST B.C. INC.",872161.56
"ECONOLITE CANADA, INC.",235051.38
ECO-SOIL RECYCLING CORP.,26331.97
ECOWORKS LANDSCAPE SERVICES LTD.,143575.74
EECOL ELECTRIC CORP,50146.15
ELGAR ELECTRIC LTD.,358189.93
ELLA VENTURES LTD. DBA BC UPFITTERS AND LINE-X,64438.91
ELLISDON CORPORATION,2994074.63
EMCO CORPORATION,528281.29
ENCOM WIRELESS DATA SOLUTIONS,211367.52
ENJOY - THE LIFE EXPERIENCES CO.,32188.98
ENKON ENVIRONMENTAL,74425.1
ENTERPRISE RENT-A-CAR CANADA LIMITED,29512
ENVIRO-VAC (A DIVISION OF PARAGON REMEDIATION GROUP LTD.),35461.59
ENVOY CONSTRUCTION SERVICES LTD.,28929.6
EOS LIGHTMEDIA CORPORATION,51557.93
EPOCH ENVIRONMENTAL CONSULTING LTD.,27584.03
ERICSSON MFG. LTD.,34184.19
ESC AUTOMATION INC.,42495.89
ESRI CANADA LIMITED,495463.43
ETHICAL PLANET SUPPLY COMPANY,100632.11
EVENTPOWER,86957.99
EXTREME GLASS LTD.,78047.96
FAMILY SERVICES OF GREATER VANCOUVER,108722.84
FARM-TEK SERVICES INC.,213680.09
FDM SOFTWARE LTD.,239444.63
FEDERATION OF CANADIAN MUNICIPALITIES,67636.46
FERNGROVE GARDEN CARE,61407.93
FINAL DRIVE INVESTMENTS LTD,32327.57
FIRST TRUCK CENTRE VANCOUVER INC.,25552.22
FIRSTONSITE RESTORATION L.P.,83030.46
FITNESS TOWN COMMERCIAL (FTC),234792.32
FLAMAN FITNESS B.C. LTD.,81453.62
FLEETCOR COMMERCIAL CARD MANAGEMENT (CANADA) LTD.,97302.24
FLYNN CANADA LTD.,154556.65
"FORRESTER RESEARCH, INC.",41416.83
FORTISBC ENERGY INC.,740284.03
FORTRAN TRAFFIC SYSTEMS LTD,33760.38
FRANCES ANDREW SITE FURNISHINGS LTD.,28872.45
FRASER HEIGHTS ANIMAL HOSPITAL,29314.01
FRASER MILNER CASGRAIN LLP,99341.61
FRASER RICHMOND SOIL & FIBRE LTD.,3166822.45
FRASER VALLEY DISPOSAL LTD.,26200
FRASER VALLEY EQUIPMENT LTD.,61504
FRASER VALLEY GILBERT & SULLIVAN SOCIETY,28197.23
FRASER VALLEY HERITAGE RAILWAY SOCIETY,35934.83
FRASER VALLEY REFRIGERATION LTD.,243861.8
FRASER VALLEY SNOW REMOVAL INC.,45217.48
FRIENDS OF THE SURREY MUSEUM & ARCHIVES SOCIETY,200000
FVB ENERGY INC.,61460.5
G & R SINGH & SON TRUCKING LTD.,141207.66
G.R.P. CONSTRUCTION LTD.,58500.46
G.W.G. RENTALS LTD.,351760.7
GAGE-BABCOCK & ASSOCIATES LTD.,25282.95
"GARTNER CANADA, CO.",42224
GDI SERVICES (CANADA) LP,51346.02
GENERAL PAINT AFFILIATE OF WILLIAMS HLDG INC,38454.82
GEOPACIFIC CONSULTANTS LTD.,100908.25
GEOSYS TECHNOLOGY SOLUTIONS,51703.4
GERRY ENNS CONTRACTING LTD.,132178.74
GFS BRITISH COLUMBIA INC.,85538.55
GIBRALTAR HOLDINGS LTD.,1411588.69
GIS INNOVATIONS LTD.,32375
GLACIER MEDIA INC.,200766.03
GLEN CHUA MEDIA,33195.6
GLOBAL FORCE REALTY LTD.,80403.75
GLOBAL KNOWLEDGE NETWORK CANADA INC #B9268,53265.45
GO AUDIO INC.,28773.92
GOLDER ASSOCIATES LTD.,74341.03
GORANSON CONSTRUCTION LTD.,535491.22
GP CANADA GYPSUM HOLDING LTD.,25000
GRAHAM CONSTRUCTION & ENGINEERING LP,1121686.19
GRAND FAIRWAY DEVELOPMENTS INC,52623.57
GRANDVIEW BLACKTOP LTD.,483586.76
GREATER VANCOUVER REGIONAL DISTRICT,351075.66
GREATER VANCOUVER SEWERAGE AND DRAINAGE DISTRICT,34671298.78
GREATER VANCOUVER WATER DISTRICT,40340663.71
GREEN OVER GREY LIVING WALLS AND DESIGN INC.,30377.98
GREEN TIMBERS HERITAGE SOCIETY,135000
GREGG DISTRIBUTORS (B.C.) LTD.,35031.47
GUILD YULE LLP,82997.54
GUILLEVIN INTERNATIONAL CO.,26889.23
GUNNEBO CANADA INC.,131774.16
H.Y. ENGINEERING LTD.,128574.58
HABITAT SYSTEMS INC.,247901.44
HADDON HOLDINGS LIMITED,28795.45
"HALTON RECYCLING LTD, DBA EMTERRA GROUP & EMTERRA ENVIRO",496023.06
HANLEY AGENCIES LTD.,561133.37
HAPA LANDSCAPE ARCHITECTURE COLLABORATIVE INC.,46377.77
HARBOUR WEST CONSULTING INC.,28408
HARLAN FAIRBANKS CO. LTD.,26977.61
HATFIELD CONSULTANTS,93304.86
HAZMASTERS INC.,65095.1
HB LANARC CONSULTANTS LTD.,25065.29
HDR CORPORATION,237850.16
HEATHERBRAE BUILDERS CO. LTD.,16411934.98
HEMMERA ENVIROCHEM INC.,48579.28
HERITAGE OFFICE FURNISHINGS LTD.,2014546.84
HOME DEPOT CANADA,49717.89
HORIZON LANDSCAPE CONTRACTORS INC.,1029114.22
HRC CONSTRUCTION INC.,32760.78
HUB FIRE ENGINES & EQUIPMENT LTD.,38388.91
HUGH & MCKINNON REALTY LTD.,72199.37
HUGHES CONDON MARLER ARCHITECTS,1867502.46
HUSKY OIL MARKETING COMPANY A DIVISION OF HUSKY OIL LTD,66591.18
HYTEK MECHANICAL INC.,381339.93
IBM CANADA LTD.,160527.48
IMPERIAL PAVING LIMITED,10502640
IMPEX MANAGEMENT LTD.,108751.71
INFINITE IDEAS,153084.75
INLINE SALES AND SERVICE LTD.,37892.85
INPROTECT SYSTEMS INC.,75869.54
INSTANT LAWN TURF FARM(1994),81023.88
INTEGRATED DIRECT RESPONSE SERVICES,318176.35
INTERCONTINENTAL TRUCK BODY (BC) INC.,69493.44
INTERNATIONAL CROWD MANAGEMENT INC.,87185.81
INTERNATIONAL MULCH COMPANY INC.,29731.16
INTERNATIONAL WEB EXPRESS INC,163661.75
INTERPAVE PRECAST SYSTEMS LTD.,26533.5
INTERPROVINCIAL TRAFFIC SERVICES LTD.,155221.6
INTREPID SECURITY,30371.04
I-OPEN TECHNOLOGIES INC.,79819.53
IRON MOUNTAIN CANADA CORPORATION,123314.02
ISL ENGINEERING AND LAND SERVICES LTD.,961936.66
ISLAND KEY COMPUTER LTD,485111.47
J E BINDING ENTERPRISES LTD. DBA SURREY AUTO TEC,50990.22
J.R. INDUSTRIAL SUPPLIES LTD.,327463.39
JACK CEWE LTD.,126921.76
JAGMINDER BAINS & AMANPREET BAINS (Construction),35995
JB MARKO DEVELOPMENT CORP.,98527.05
JL LAWN & TREE CARE INC.,129114.74
JOHN DONNELLY & ASSOCIATES EVENT MARKETING INC.,267634.97
JONATHAN MORGAN & COMPANY LTD.,40421.87
JUSTICE INSTITUTE OF BRITISH COLUMBIA,51111.54
K.D.S. CONSTRUCTION LTD.,74885.37
KAL TIRE,85229.64
KASIAN ARCHITECTURE INTERIOR DESIGN & PLANNING LIMITED,1606416.4
KEATON SERVICES LTD.,33389.36
KENT´S BACKHOE SERVICES,59985.82
KERR WOOD LEIDAL ASSOCIATES LTD.,328981.31
KEYWEST ASPHALT LTD.,2982014.34
KIMBERLEY YARKER LTD.,42643.14
KING HOE EXCAVATING LTD,465534.63
KLM CONTRACTING LTD.,86029.28
KM CIVIL CONSULTANTS LTD.,49140.37
KORTECH CALCIUM SERVICES LTD.,56071.01
KPMG LLP,101940.3
KT TRAFFIC SOLUTIONS,63692.25
L.A. TRANSPORT LTD.,26040
L.I.T. AQUATICS LTD.,527934.56
LA RUE HOMES LTD.,54077.54
LAFARGE CANADA INC.,3782546.28
LAKEWOOD FUSION DEVELOPMENTS LTD.,238807.44
LANGLEY CONCRETE LIMITED PARTNERSHIP,42442.86
LANGLEY ROOFING CO. LTD.,92397.85
LEBLANC ILLUMINATIONS CANADA INC,54208.58
LEE DUNCAN HOLDINGS LTD.,62562.49
LEE´S TREES & EXCAVATING SERVICES,113997.27
"LEHIGH MATERIALS, A DIV. OF LEHIGH HANSON MATERIALS LTD.",430321.51
LESLIE & RENNEY CONSTRUCTION LTD.,36294.27
LEVELTON CONSULTANTS LTD.,122024.96
LH LAND SERVICES,54084.46
LIFESTYLE MAINTENANCE INC.,378525.54
LINKEDIN IRELAND LIMITED,25700
LIVINGSTON INTERNATIONAL INC.,39629.54
LM GARDENING INC.,280777.27
LOBLAW PROPERTIES WEST INC.,1229291.64
LONG VIEW SYSTEMS CORPORATION,479501.85
LORDCO PARTS LTD.,49476.3
LORNE LAPHAM SALES & RENTALS INC,28053.71
MAINLAND CIVIL WORKS INC.,6709934.75
MAINLAND INFORMATION SYSTEMS LTD,577261.26
MAINLAND SAND & GRAVEL LTD.,334566.69
MANUFACTURERS LIFE INSURANCE COMPANY (MANULIFE FINANCIAL),7395581.02
MARINE REPAIR & MAINTENANCE,33373.29
MARINE ROOFING (1996) LTD.,84100.24
MARSHALL SURVEYS LTD.,67671.04
MAR-TECH UNDERGROUND SERVICES LTD.,553926.05
MCAP SERVICE CORPORATION MORTGAGE SERVICING CENTRE,38359.07
MCELHANNEY ASSOCIATES LAND SURVEYING LTD.,33057.41
MCELHANNEY CONSULTING SERVICES LTD.,345649.29
MCEWAN ELECTRIC LTD.,39230.19
MCRAE´S ENVIRONMENTAL SERVICES LTD.,258081.7
MCRAE´S POWER SWEEPING LTD.,267010.8
MCRAE´S SEPTIC TANK SERVICE (FRASER VALLEY LTD.),1435428.85
MCW CONSULTANTS LTD.,50400
MEADOWLANDS HORTICULTURAL INC.,40188.62
MEDIA-STOP,34360
METRO MOTORS LTD.,290915.24
METRO TESTING LABORATORIES (SURREY) LTD.,60690.34
MHPM PROJECT MANAGERS INC.,28447.99
MICHAEL A. KRONDL (Artist),32543.97
MICHELIN NORTH AMERICA (CANADA) INC.,62015.85
MICRO COM SYSTEMS LTD.,637998.01
MICROSERVE BUSINESS COMPUTER SERVICES,153723.92
MICROSOFT CANADA CO.,104379.32
MICROSOFT CANADA INC.,25426.8
"MICROSOFT LICENSING, GP",1145072.47
MIERAU CONTRACTORS LTD.,1037057.84
MILL & TIMBER PRODUCTS LTD.,25000
MILLS BASICS,200414.11
MINISTER OF FINANCE AND CORPORATE RELATIONS,2276530.83
MISSION CONTRACTORS LTD.,73720.43
MODERN GROUNDS MAINTENANCE LTD.,524211.53
MODU-LOC FENCE RENTALS LTD.,33190.22
MORGAN CREEK HOLDINGS INC.,148171.52
MORRISON HERSHFIELD LIMITED,234356.9
MUD BAY DYKING DISTRICT,25453.98
MULTIVISTA CONSTRUCTION DOCUMENTATION,37658.76
MUNICIPAL PENSION PLAN,13949862.6
MUSCO SPORTS LIGHTING CANADA CO.,51408
MWL DEMOLITION LTD.,218981.39
N.A.T.S. NURSERY LTD.,194515.49
NAPA SURREY - MAG AUTO & INDUSTRIAL SUPPLIES,58005.62
NATIONAL PUBLIC RELATIONS INC.,372115.24
"NEC CANADA, INC.",974127.98
NERO GLOBAL TRACKING,106576.13
NEW LINE SKATEPARKS INC.,469059.81
NEW PLANET COLLISION LTD.,45840.81
NEW WORLD SCREEN PRINTING LTD.,120083.42
NEWALTA CORPORATION,38109.82
NORTH 60 DEVELOPMENT INC.,835264
NORTHCOAST BUILDING PRODUCTS LTD.,59841.23
NORTHWEST GARDENING SERVICES LTD.,243941.42
NORTHWEST HYDRAULIC CONSULTANTS LTD.,52620.81
NU-GRO LTD. DBA AAT DIRECT SOLUTIONS,76631.58
OCEAN MARKER SPORT SURFACES LTD.,29983.8
ODGERS BERNDTSON,34897.3
OMEGA & ASSOCIATES ENGINEERING LTD.,273113.26
OMNI ENGINEERING INC.,625821.65
ON THE SPOT SERVICES INC.,63153.26
OPEN TEXT CORPORATION,357999.54
OPUS DAYTONKNIGHT CONSULTANTS LTD.,28246.65
ORACLE CANADA ULC,414030.29
ORION FIRE DISTRIBUTION LTD.,63724.11
OVERHEAD DOOR COMPANY,121585.54
OXFORD PAINTING LTD.,75785.5
PACHENA PROPERTIES LTD.,112569.03
PACIFIC COAST HEAVY TRUCK GROUP,132360.45
PACIFIC FLOW CONTROL LTD.,165026.28
"PACIFIC NEWSPAPER GROUP, A DIV OF POSTMEDIA NETWORK INC.",42840
PACIFIC SURREY CONSTRUCTION LTD.,290767.96
PALADIN SECURITY GROUP LTD.,289670.45
PANARAMA TECHNOLOGIES LTD.,26813.59
PARA SPACE LANDSCAPING INC.,50140.73
PARAGON ENGINEERING LTD.,176337.52
PARKLAND INDUSTRIES LP,187498.15
PARSONS BRINCKERHOFF HALSALL INC.,73213.48
PARTNERSHIPS BRITISH COLUMBIA,688087.45
PAUL MAXIM (Consultant),42000
PAW PROPERTIES LTD.,25000
PAX CONSTRUCTION LTD.,180536.19
PBA ENGINEERING,33517.12
PCL CONSTRUCTORS WESTCOAST INC,66420445.57
PCM PROPERTY SERVICES INC.,84948.97
PEDRE CONTRACTORS LTD.,11292955.19
PEEL´S NURSERIES LTD.,82046.95
PEERS EMPLOYMENT & EDUCATION RESOURCES INC,148537.84
PERFORMANCE ELECTRIC LTD.,132588.34
PETER CLAIR (Instructor),38819.33
PHOENIX TENT AND EVENT RENTALS,96419.59
PICTOMETRY CANADA CORP.,59281.6
PIEDMONT SHEET METAL (1997) LTD.,31206.41
PINELAND PEAT FARMS LTD.,31080
PIROCHE PLANTS INC.,66456.61
PITNEYWORKS,505000
PIVOTAL PROJECTS INCORPORATED,595997.18
PJS SYSTEMS INC.,46012.51
PLANET CLEAN CANADA INC.,29691.72
POLYCRETE RESTORATIONS LTD.,28197.4
PORTAL VILLAGE MANAGEMENT LTD.,120437.18
PRECISION SERVICE & PUMPS INC.,70953.81
PREMIER PACIFIC SEEDS LTD.,56841.56
PRICEWATERHOUSE COOPERS LLP CHARTERED ACCOUNTANTS,153279.35
PRINTHINK SOLUTIONS INC,76027.17
PRO ACTIVE HAZMAT & ENVIRONMENTAL,30440.35
PRO QUALITY LOCKSMITH CO.,45569.52
PROFIRE EMERGENCY EQUIPMENT INC.,118510.38
PROGRESSIVE CONSTRUCTION LTD.,30770.18
PROPER LANDSCAPING INC.,365056.62
PROSHOW AUDIOVISUAL BROADCAST,52456.6
PROSTAR PAINTING AND RESTORATION LTD,35770.14
PW TRENCHLESS CONSTRUCTION INC.,334462.13
QUADRI PROPERTIES LTD.,93275
R. AND L. BIO-PEST CONTROL LTD.,47258.75
R.F. BINNIE & ASSOCIATES LTD.,1898262.65
RAINBOW PAVING LTD.,161669.2
RAINCOAST APPLIED ECOLOGY,25177.68
RAINTREE LUMBER SPECIALITIES LTD.,86342.84
RAM MECHANICAL LTD,67954.95
RAYBERN ERECTORS LTD.,189375.2
RAZOR MANUFACTURING LTD.,89257.82
RECALL SECURE DESTRUCTION SERVICES,27833.02
RECEIVER GENERAL FOR CANADA,92685786.91
RECTEC INDUSTRIES INC.,26702.76
RETHINK COMMUNICATIONS INC.,54110
RICHCO CONTRACTING LTD.,1163739.48
RICH-TEK INDUSTRIES,68075.21
RICOH CANADA INC,84927.51
RISKWIDE CONSULTING INC,40836.25
RJS PAINTING & WALLCOVERING LIMITED,89909.7
ROADWAY TRAFFIC PRODUCTS LTD.,160473.6
ROARON CONSTRUCTION LIMITED,58670.36
ROCKSTONE HOMES LTD & HILLTON HOMES LTD.,68264.24
ROCKY MOUNTAIN PHOENIX,226227.07
ROGAD CONSTRUCTION(2006) LTD.,360463.37
ROLLINS MACHINERY LIMITED,341161.81
RONA HOME CENTRE,28723.89
RONA REVY INC.,33735.83
RONCO PRODUCTS INC.,35179.68
ROPER GREYELL LLP,103824.63
ROYAL PACIFIC REALTY (KINGSWAY) LTD.,36750
RYDER TRUCK RENTAL CANADA LTD.,41426.67
S.L. FELDMAN & ASSOCIATES,25250
SAFE GUARD FENCE LTD.,138680.56
