BUSINESS_NAME,PRODUCTS_OR_SERVICES,UNIT,HOUSE_NUMBER,ROAD,SURREY_POSTAL_CODE,PHONE,EMPLOYEES,TOWN_CENTRE,NAIC,LONGITUDE,LATITUDE
K G Wardstrom - Industrial Gas,Industrial Gas Services Cont.,211,9654,192 St,V4N4C6,6048882077,8,GTC,232520,-122.6900169,49.17800549
Riverside Golf Centre (3600 King George Hwy),"Driving Range, Chip & Putt, Sporting Goods & Restaurant",0,3600,King George Hwy,V4P1B5,6045313555,10,SSTC,451110,-122.8201871,49.06779111
Riverside Golf Centre (3600 King George Hwy),"Driving Range, Chip & Putt, Sporting Goods & Restaurant",0,3600,King George Hwy,V4P1B5,6045313555,10,SSTC,713910,-122.8201871,49.06779111
Riverside Golf Centre (3600 King George Hwy),"Driving Range, Chip & Putt, Sporting Goods & Restaurant",0,3600,King George Hwy,V4P1B5,6045313555,10,SSTC,722110,-122.8201871,49.06779111
A A C Woodworking & Mfg Ltd,Mfg. - Custom Woodworking & Manufacturing,0,13315,72 Ave,V3W2N5,6045943288,7,NTC,321919,-122.853593,49.13422407
7 Days Seafoods & Groceries,Seafood & Groceries,0,10711,King George Hwy,V3T2X6,6045852258,4,SCC,445210,-122.8456613,49.197308
Shanahan's Limited Partnership,General Construction Contractor,0,8400,124 St,V3W6K1,6045915111,60,NTC,332321,-122.8789904,49.15602194
Greenbarn Potters Supply Ltd,Retail & Whlse. Pottery Supplies,0,9548,192 St,V4N3R9,6048883411,5,GTC,418990,-122.690271,49.17597817
Greenbarn Potters Supply Ltd,Retail & Whlse. Pottery Supplies,0,9548,192 St,V4N3R9,6048883411,5,GTC,453999,-122.690271,49.17597817
Budget Brake & Muffler,Brake & Muffler Serv.,0,13718,104 Ave,V3T1W4,6045888588,5,SCC,811119,-122.8421809,49.19140677
Scott Spring Ltd,"Auto & Truck Suspension,Vending Machine",0,10805,Scott Rd,V3V4G5,6045802876,8,WTC,415310,-122.88309,49.19904574
Bevco Sales International Inc,Mfg. - Conveyor Systems,0,9354,194 St,V4N4E9,6048881455,16,GTC,333920,-122.6847373,49.17294277
Columbia Collision Repairs Ltd,Auto Body & Repair,101,7945,132 St,V3W4N2,6045968222,8,NTC,811121,-122.8570565,49.14705123
MacNaughton & Ward Ltd,Insurance Agency,1276,10355,152 St,V3R7P8,6045816121,23,GTC,524210,-122.8014023,49.18981199
Hallmark Ford Sales Ltd,"Auto Sales/Serv.,  Auto Body Repair",0,10025,152 St,V3R4G6,6045841222,62,GTC,441110,-122.8012132,49.18453164
Hallmark Ford Sales Ltd,"Auto Sales/Serv.,  Auto Body Repair",0,10025,152 St,V3R4G6,6045841222,62,GTC,811111,-122.8012132,49.18453164
Hallmark Ford Sales Ltd,"Auto Sales/Serv.,  Auto Body Repair",0,10025,152 St,V3R4G6,6045841222,62,GTC,811121,-122.8012132,49.18453164
Steve Nash Sports Club,Fitness Centre,0,13821,103 Ave,V3T5B5,6045881517,55,SCC,713940,-122.8393583,49.18981624
Avalon & Surrey Funeral Home & Cremation Centre,Funeral Home,0,13288,108 Ave,V3T2J6,6045814401,5,SCC,812210,-122.8543665,49.1987819
Precision Hearing Clinic Inc,Hearing Aid Consultant,0,10237,King George Hwy,V3T2W6,6045857414,2,SCC,541619,-122.8456895,49.18876422
Trowel Trades Accessories Ltd,Mfg. - Building Material,0,2158,191 St,V3S3M3,6045366100,9,SSTC,332999,-122.6942973,49.04121505
Edelweiss Auto Repairs Ltd,"Auto Repair & Body Shop,Auto Body/Painting,Automobile Dealer/Rebuilder",0,7951,128 St,V3W4E7,6045902151,6,NTC,81111,-122.86824,49.14739104
Edelweiss Auto Repairs Ltd,"Auto Repair & Body Shop,Auto Body/Painting,Automobile Dealer/Rebuilder",0,7951,128 St,V3W4E7,6045902151,6,NTC,81112,-122.86824,49.14739104
Edelweiss Auto Repairs Ltd,"Auto Repair & Body Shop,Auto Body/Painting,Automobile Dealer/Rebuilder",0,7951,128 St,V3W4E7,6045902151,6,NTC,811111,-122.86824,49.14739104
White Rock Sports & Imports,Auto Sales/Serv.,0,3601,King George Hwy,V4P1B6,6045364533,3,SSTC,441110,-122.8212718,49.06748982
White Rock Sports & Imports,Auto Sales/Serv.,0,3601,King George Hwy,V4P1B6,6045364533,3,SSTC,811111,-122.8212718,49.06748982
White Rock Veterinary Hospital Ltd,Veterinarian,0,2460,152 St,V4P1M8,6045367618,16,SSTC,541940,-122.8009542,49.04671132
M J M Furniture Center Ltd (77 Ave),Retail Furniture,0,13570,77 Ave,V3W6Y3,6045969901,8,NTC,442110,-122.8465637,49.14253883
Superior Trophies Ltd,Trophies & Awards,0,13567,105A Ave,V3T2A9,6045843133,2,SCC,453220,-122.8463299,49.19459687
Aqua-Pak Styro Containers Ltd,Mfg. - Styrofoam Containers,0,7398,132 St,V3W4M7,6045902886,52,NTC,326198,-122.8564551,49.13751614
Ultimate Performance Ltd,Automotive Repair,71,15515,24 Ave,V4A2J4,6045366444,4,SSTC,811111,-122.7926614,49.04577262
Carillon Music Ltd,"Retail - Pianos, Lessons & Music Accessories",0,7050,King George Hwy,V3W4Z9,6045911161,22,NTC,451140,-122.8453091,49.13059181
Carillon Music Ltd,"Retail - Pianos, Lessons & Music Accessories",0,7050,King George Hwy,V3W4Z9,6045911161,22,NTC,611610,-122.8453091,49.13059181
Precision Propeller Surrey Ltd,"Sales/Serv., Marine Propellers & Aluminum Fabricating,Manufacturer/Machine Shop",18,13325,76 Ave,V3W2V8,6045967311,3,NTC,811490,-122.852977,49.14108344
OK Tire & Auto Service Newton,Automotive Repair,0,7237,King George Blvd,V3W5A7,6045915222,6,NTC,811111,-122.8459236,49.13439294
OK Tire & Auto Service Newton,Automotive Repair,0,7237,King George Blvd,V3W5A7,6045915222,6,NTC,811112,-122.8459236,49.13439294
Harms Auto Body & Paint Ltd,Auto Body Repair,0,13565,105 Ave,V3T1Z8,6045845111,7,SCC,811121,-122.846488,49.19324867
Fraser Heights Animal Hospital,Professional Practitioner-Veterinarian,0,15585,104 Ave,V3R1N9,6045884161,25,GTC,541940,-122.7902142,49.19174689
Whalley Printers & Stationers,"Office Supplies, Offset Printing,Retail Merchant - Stationery",0,10715,King George Hwy,V3T2X6,6045883533,7,SCC,323119,-122.84568,49.19737396
Whalley Printers & Stationers,"Office Supplies, Offset Printing,Retail Merchant - Stationery",0,10715,King George Hwy,V3T2X6,6045883533,7,SCC,453210,-122.84568,49.19737396
Pine Lighting Ltd,Whlse. & Retail Lighting,0,6898,King George Blvd,V3W4Z9,6045918895,7,,414220,-122.8451639,49.12795016
Schmidt Berg & Company,Certified General Accountants,101,15399,102A Ave,V3R7K1,6045888585,8,GTC,541212,-122.7956937,49.18912067
Cascade Christian Counselling Assn,Psychotherapy Counselling,201,14980,104 Ave,V3R1M9,6045851411,3,GTC,624190,-122.8071734,49.19131445
M B E Auto Service,Automotive Repair Service,109,13375,76 Ave,V3W6J3,7785656502,3,NTC,441310,-122.8519335,49.1410544
M B E Auto Service,Automotive Repair Service,109,13375,76 Ave,V3W6J3,7785656502,3,NTC,811111,-122.8519335,49.1410544
Unique Custom Upholstery,Upholstery Of Restaurant Booths,120,12960,84 Ave,V3W1K7,6045973888,5,NTC,811420,-122.8640189,49.1551914
Scottsdale Lanes,Bowling Center & Lounge,0,12033,84 Ave,V3W3G4,6045963924,12,NTC,713950,-122.8889887,49.15611731
Scottsdale Lanes,Bowling Center & Lounge,0,12033,84 Ave,V3W3G4,6045963924,12,NTC,722410,-122.8889887,49.15611731
Purity Casting Alloys Ltd,Custom Alloying,15,18503,97 Ave,V4N3N9,6048880181,5,GTC,332999,-122.7096985,49.17918956
Trimlite ULC,Whlse. & Dist. of Wood Products & Glass,102,19350,Enterprise Way,V3S6J9,6045334111,1,CTC,416320,-122.6867781,49.10895029
Trimlite ULC,Whlse. & Dist. of Wood Products & Glass,102,19350,Enterprise Way,V3S6J9,6045334111,1,CTC,416340,-122.6867781,49.10895029
Trimlite ULC,Whlse. & Dist. of Wood Products & Glass,102,19350,Enterprise Way,V3S6J9,6045334111,1,CTC,493190,-122.6867781,49.10895029
Fruiticana Produce Ltd #22,Grocery Store,104,7028,120 St,V3W3M8,6045908864,5,NTC,445120,-122.8900449,49.13087217
Brick Warehouse LP The,Retail Merchant - Furniture & Appliances,0,10153,King George Hwy,V3T2W1,6045880808,40,SCC,442298,-122.8458478,49.18592247
General Paint (152 St),Retail Paint & Wallpaper,138,1959,152 St,V4A9E3,6045365747,6,SSTC,444120,-122.8014669,49.03727504
Turkey Party Makers Ltd,Whlse. Paper & Plastic Products,0,17950,55 Ave,V3S6C8,6045761467,15,CTC,812940,-122.7253151,49.10217858
Old Surrey Restaurant,Restaurant,0,13483,72 Ave,V3W2N7,6045962313,13,NTC,722110,-122.8488885,49.13375295
King George Automotive 2005 Ltd,Automotive Repair,9,7788,132 St,V3W0H5,6045967404,4,NTC,811111,-122.8565083,49.14406128
Fresgo Inn Restaurant,Restaurant,0,10102,King George Hwy,V3T2W4,6045880878,40,SCC,722110,-122.8450997,49.18621766
Altec Industries Ltd,Auto Repair Serv.,0,12352,84 Ave,V3W0J5,6045970355,8,NTC,811111,-122.8804918,49.1555839
Bank of Nova Scotia (Guildford Town Centre),Banking,0,2301,Guildford Town Centre,V3R7B9,6045863200,25,GTC,522111,-122.80271,49.192497
Guildford Golf & Country Club,"Golf Course, Lounge & Banquet Facilities",0,7929,152 St,V3S3M5,6045941435,50,NTC,451110,-122.801385,49.14458309
Guildford Golf & Country Club,"Golf Course, Lounge & Banquet Facilities",0,7929,152 St,V3S3M5,6045941435,50,NTC,713910,-122.801385,49.14458309
Guildford Golf & Country Club,"Golf Course, Lounge & Banquet Facilities",0,7929,152 St,V3S3M5,6045941435,50,NTC,722110,-122.801385,49.14458309
Guildford Golf & Country Club,"Golf Course, Lounge & Banquet Facilities",0,7929,152 St,V3S3M5,6045941435,50,NTC,722410,-122.801385,49.14458309
Maxwell Floors Ltd,"Contractor - Flooring Installation, Commercial flooring",0,8441,160 St,V4N0V6,6045972423,9,FTC,232430,-122.7790814,49.15629209
Pantry Restaurant The,Dining Room,0,2309,Guildford Town Centre,V3R7B9,6045883244,30,GTC,722110,-122.80271,49.192497
Knight & Day Restaurant,Dining Lounge,0,9677,King George Blvd,V3T2V3,6045887575,30,SCC,722110,-122.8460597,49.17836605
Kal Tire Distributors,Automotive Repair Service,0,13443,72 Ave,V3W2N7,6045978826,6,NTC,441310,-122.8499976,49.13376376
Kal Tire Distributors,Automotive Repair Service,0,13443,72 Ave,V3W2N7,6045978826,6,NTC,811111,-122.8499976,49.13376376
B & B Bearing & Electric Motor Ltd,"Whlse. Bearings, Power Transmission & Electric Motors & Repairs",10,7788,132 St,V3W0H5,6045913371,10,NTC,417230,-122.8565083,49.14406128
B & B Bearing & Electric Motor Ltd,"Whlse. Bearings, Power Transmission & Electric Motors & Repairs",10,7788,132 St,V3W0H5,6045913371,10,NTC,811119,-122.8565083,49.14406128
Scottsdale Veterinary Hospital,Veterinary Clinic,0,7072,120 St,V3W3M8,6045902121,20,NTC,541940,-122.8900789,49.13168242
Newton Petro Canada,Gas Station,0,13573,72 Ave,V3W2N9,6045967685,7,NTC,447190,-122.8462413,49.13373237
Newton Petro Canada,Gas Station,0,13573,72 Ave,V3W2N9,6045967685,7,NTC,811111,-122.8462413,49.13373237
Commander Warehouse Equipment,Warehouse - Equip.,0,5225,192 St,V3S8E5,6045745797,25,CTC,493190,-122.6934462,49.09827556
Naka Welding Inc,Welding & Light Fabricating,304,13395,76 Ave,V3W6K2,6045974977,3,NTC,811310,-122.8517127,49.14104962
John Bresnick & Associates,Professional Practitioner-Land Surveyor,113,13302,76 Ave,V3W2W1,6045918822,3,NTC,541370,-122.8542721,49.14074119
Clover Inn Beer & Wine Store,Beer & Wine Store,413,6466,176 St,V3S4G3,6045766751,4,CTC,445310,-122.7345741,49.11987488
Bozzini's Restaurant,Dining Lounge,105,13655,104 Ave,V3T1W3,6045886880,10,SCC,722110,-122.8437312,49.19173246
World Fabricators Ltd,Mfg. - Steel Fabrication,0,13135,116 Ave,V3R2S8,6045803337,15,WTC,332999,-122.858044,49.21362974
Hook & Ladder Pub,Neighbourhood Pub,0,8593,132 St,V3W4N8,6045902251,16,,722410,-122.8574375,49.15844548
Celltex Collision,Auto Body Repair,42006,12334,84 Ave,V3W0J5,6045979774,6,NTC,811121,-122.8809979,49.15559585
Fleetwood Arms Neighborhood Pub,Neighbourhood Pub,0,8410,160 St,V4N0V7,6045973220,27,FTC,722410,-122.778593,49.15561029
Peterbilt Pacific Inc,"Sales/Serv .Trucks,Lunch Room at RCMP,Vending Machine",0,19470,96 Ave,V4N4C2,6048881411,58,GTC,441110,-122.6831298,49.17680692
Peterbilt Pacific Inc,"Sales/Serv .Trucks,Lunch Room at RCMP,Vending Machine",0,19470,96 Ave,V4N4C2,6048881411,58,GTC,811118,-122.6831298,49.17680692
Haleys'  White Rock Dodge,Automotive Dealership,0,3050,King George Hwy,V4P1A2,6045319156,45,SSTC,441110,-122.8081022,49.05807362
Haleys'  White Rock Dodge,Automotive Dealership,0,3050,King George Hwy,V4P1A2,6045319156,45,SSTC,811111,-122.8081022,49.05807362
The Fin Pub,Neighbourhood Pub,0,7115,138 St,V3W7T9,6045960005,8,NTC,722410,-122.8391811,49.1320397
Gescan Electrical Distributors,Whlse.  - Electrical,201,13060,80 Ave,V3W3B2,6045965515,9,NTC,416110,-122.8602604,49.14800455
S C Tools Ltd,"Metal Cuting Tools, Machine Tools & Accessories",105,13463,78 Ave,V3W0A8,6045918818,2,NTC,418990,-122.8492779,49.14465788
Gold Key Sales and Lease Ltd,Automotive Servicing,0,19545,No 10 (Langley Bypass) Hwy,V3S6K1,6045347431,1,CTC,441110,-122.683812,49.106731
Gold Key Sales and Lease Ltd,Automotive Servicing,0,19545,No 10 (Langley Bypass) Hwy,V3S6K1,6045347431,1,CTC,441120,-122.683812,49.106731
Gold Key Sales and Lease Ltd,Automotive Servicing,0,19545,No 10 (Langley Bypass) Hwy,V3S6K1,6045347431,1,CTC,811111,-122.683812,49.106731
Gold Key Sales and Lease Ltd,Automotive Servicing,0,19545,No 10 (Langley Bypass) Hwy,V3S6K1,6045347431,1,CTC,811121,-122.683812,49.106731
River Cable Ltd,Mfg. - Wire Rope,0,11406,132A St,V3R7S2,6045804636,8,WTC,332999,-122.8549411,49.21023491
Alpine Non-Ferrous Foundry of Canada Ltd,Mfg. - Aluminum & Bronze Castings,0,8657,132 St,V3W4P1,6045968080,8,NTC,332999,-122.857187,49.15998518
Wheelhouse Beer & Wine Store,Liquor Licensee Retail Store,0,12911,96 Ave,V3V7K6,6045885162,14,SCC,445310,-122.8639829,49.17723513
Peace Arch Motors Ltd,Automobile Dealer,0,3174,King George Blvd,V4P1A2,6045312916,40,SSTC,441110,-122.8108891,49.05996717
Peace Arch Motors Ltd,Automobile Dealer,0,3174,King George Blvd,V4P1A2,6045312916,40,SSTC,811111,-122.8108891,49.05996717
Neighbourhood Auto Glass & Upholstery Ltd,Auto Glass Install & Upholstery,202,5726,Landmark Way,V3S7H1,6045333398,4,CTC,811121,-122.683812,49.10673106
Neighbourhood Auto Glass & Upholstery Ltd,Auto Glass Install & Upholstery,202,5726,Landmark Way,V3S7H1,6045333398,4,CTC,811122,-122.683812,49.10673106
Boston Pizza (100 Ave),Restaurant,0,15125,100 Ave,V3R9P4,6045813600,70,GTC,722110,-122.803407,49.18440821
F P B Insurance Brokers,Insurance Broker,0,17681,57 Ave,V3S1H1,6045753495,5,,524210,-122.7326257,49.10607948
Guildford Pet Foods,Retail Pet Food & Supplies,0,15585,104 Ave,V3R1N9,6045884115,3,GTC,453910,-122.7902142,49.19174689
Anastasa Restaurant,Dining Lounge,0,13486,72 Ave,V3W2N8,6045942322,12,NTC,722110,-122.8487895,49.13339373
Vairo's Collision Repairs,Auto Body Repair,14,7711,128 St,V3W4E6,6045999331,1,NTC,811121,-122.8681705,49.14300858
Phaser Fire Protection,Contractor - Sprinkler,2,19080,96 Ave,V4N3R3,6048880318,35,GTC,232530,-122.6944152,49.1768378
Parkinson's Heating Ltd,Heating Cont.,0,7566,134A St,V3W7J1,6045998444,12,NTC,232520,-122.8499882,49.14042166
East West Fabrics Inc,Retail Merchant - Clothing,106,7028,120 St,V3W3M8,6045908861,2,NTC,448199,-122.8900449,49.13087217
Precision Metals Ltd,Manufacturer - Roofing Products,0,8075,132 St,V3W4N5,6045946001,25,NTC,332999,-122.8569607,49.14957712
The Fin Liquor Store,Cold Beer & Wine Store,229,7115,138 St,V3W7T9,6045960005,7,NTC,445310,-122.8391811,49.1320397
Longley Electric Co Ltd,"Mfg. - Sheet Metal, Industrial Fans & Heaters",0,7911,128 St,V3W4E7,6045916426,6,NTC,332999,-122.8682328,49.14659995
Longley Electric Co Ltd,"Mfg. - Sheet Metal, Industrial Fans & Heaters",0,7911,128 St,V3W4E7,6045916426,6,NTC,333299,-122.8682328,49.14659995
Langley Chrysler Jeep,"Sales, Serv. & Leasing Auto",0,19418,Langley Bypass,V3S7R2,6045345355,65,CTC,441110,-122.683812,49.106731
Langley Chrysler Jeep,"Sales, Serv. & Leasing Auto",0,19418,Langley Bypass,V3S7R2,6045345355,65,CTC,811111,-122.683812,49.106731
E & H Hitch Shop,Ironwork & Welding Repair,0,8155,128 St,V3W4G1,6045901776,6,NTC,811310,-122.8682794,49.15116089
Wolfe's Langley Mazda,"Sales, Serv. & Leasing Auto",0,19360,Langley Bypass,V3S7R2,6045340181,30,CTC,441110,-122.683812,49.106731
Wolfe's Langley Mazda,"Sales, Serv. & Leasing Auto",0,19360,Langley Bypass,V3S7R2,6045340181,30,CTC,811111,-122.683812,49.106731
Ron-Sons Torch Repairs Sales Ltd,Whlse. Welding Supplies & Welding Repairs,1,9677,192 St,V4N4C7,6048884481,8,GTC,417230,-122.6906507,49.17831074
Ron-Sons Torch Repairs Sales Ltd,Whlse. Welding Supplies & Welding Repairs,1,9677,192 St,V4N4C7,6048884481,8,GTC,811310,-122.6906507,49.17831074
Magicuts  5478,Beauty Salon,190,7488,King George Hwy,V3W0H9,6045995868,3,NTC,812115,-122.8452552,49.13853724
New Image Millwork Ltd,Mfg. - Cabinets,105,13375,76 Ave,V3W6J3,6045961999,7,NTC,337110,-122.8519335,49.1410544
Belfor Canada Inc,General Construction Contractor,0,7677,132 St,V3W4M8,6045999980,24,NTC,232290,-122.8570509,49.14236233
Amos Ferguson Manor,Seniors Housing Apartment Rentals,101,8243,152 St,V3S3M6,6045901522,3,FTC,531111,-122.8016299,49.15263108
Oto Hearing Products Ltd,"Mfg. - Hearing Aid, Ear Molds, Ear Defenders,Wholesale,Recreational Facility,Warehouse",214,12837,76 Ave,V3W2V3,6045901211,10,NTC,339110,-122.8666709,49.141185
Refillink,Importer & Whlse. Home Accessories,113,12827,76 Ave,V3W2V3,6045941123,4,NTC,493190,-122.867155,49.14117557
Homecraft Manufacturing Corp,"Light Metal Fabrication, CNC Equipment, Sauna Heaters & Controls and Equipment",216,9654,192 St,V4N4C6,6048883403,8,GTC,332319,-122.6900169,49.17800549
Greater Vancouver Community Credit Union,Credit Union,0,15280,101 Ave,V3R4G5,6045844434,9,GTC,522130,-122.7986031,49.18597274
Macy's Blinds Manufacturing Co Ltd,Manufacturer - Venetian Blinds,0,12995,80 Ave,V3W3B1,6045991928,1,NTC,314120,-122.8627474,49.14833004
Pro Draft Incorporated,Drafting Consultant,205,12332,Pattullo Pl,V3V8C3,6045896425,10,WTC,541340,-122.8803459,49.20402977
Peter F Pook Insurance (King George Hwy),Insurance Agency,2325,10153,King George Highway,V3T2W1,6045810404,7,SCC,524210,-122.8455484,49.18696119
H Y Engineering Ltd,"Engineering Office, Civil Engineering",200,9128,152 St,V3R4E7,6045831616,31,FTC,541330,-122.8010668,49.16881906
International Gems Inc,Retail Jewelry & Giftware,120,1959,152 St,V4A9E3,6045363622,5,SSTC,448310,-122.8014669,49.03727504
Jonker Honda,Automobile Sales,0,19515,No 10 (Langley Bypass) Hwy,V3S6K1,6045306281,42,CTC,441110,-122.683812,49.106731
Jonker Honda,Automobile Sales,0,19515,No 10 (Langley Bypass) Hwy,V3S6K1,6045306281,42,CTC,811111,-122.683812,49.106731
Bender Painting & Decorating Ltd,Painting Cont.,204,12837,76 Ave,V3W2V3,6045918000,21,NTC,232450,-122.8666709,49.141185
Latoplast Ltd,Whlse. Safety Supplies,208,7889,132 St,V3W4N2,6045919773,10,NTC,417990,-122.8570756,49.14629384
