BUSINESS_NAME,PRODUCTS_OR_SERVICES,UNIT,HOUSE_NUMBER,ROAD,POSTAL_CODE,PHONE,EMPLOYEES,TOWN_CENTRE,BUSINESS_LICENCE_APPLICATION_TYPE,YEAR,LONGITUDE,LATITUDE
1 800 Got Junk,Junk Removal,201,14640,64 Ave,V3S1X7,6045845861,1,NTC,Commercial/Industrial,2011,-122.81656,49.11904
1 Call Towing Ltd,Towing - No Storage,103,13119,84 Ave,V3W1B3,7789087594,1,NTC,Commercial/Industrial,2011,-122.85909,49.15549
104 Laundry,Laundromat,106,13979,104 Ave,V3T1X1,6047230795,1,SCC,Commercial/Industrial,2011,-122.83477,49.19157
104 Pawn Shop Ltd,Pawn Shop,0,13752,104 Ave,V3T1W5,6045851433,2,SCC,Commercial/Industrial,2011,-122.84109,49.19148
152 Liquor Store,Liquor Store,0,9082,152 St,V3R4E7,6045316953,6,FTC,Commercial/Industrial,2011,-122.80121,49.16781
1725869 Ontario Inc,Whlse.,110,19097,26 Ave,V3S3V7,7782921029,1,SSTC,Commercial/Industrial,2011,-122.69427,49.04938
186 St. Animal Hospital,Professional Practitioner-Veterinarian,102,18655,Fraser Hwy,V3S7Y3,6045741133,1,CTC,Commercial/Industrial,2011,-122.70531,49.12542
2000 Automotive Collision Technical Services Ltd,Auto Body/Painting,103,12303,King George Blvd,V3V3K2,6045802886,1,WTC,Commercial/Industrial,2011,-122.88026,49.20598
20050618 Enterprises Ltd,Retail Chinese Herbs,0,15277,100 Ave,V3R8X2,6045832338,3,GTC,Commercial/Industrial,2011,-122.79881,49.18431
21st Century Dental Centre,Dental Office,139,12101,72 Ave,V3W2M1,6045432600,2,NTC,Commercial/Industrial,2011,-122.88748,49.13414
24/7 Realty Inc,Real Estate Office,108,10422,168 St,V4N1R9,6047221522,1,GTC,Commercial/Industrial,2011,-122.75634,49.19196
247 Networks Ltd,Computer Consulting - Graphics,120,8232,120 St,V3W3N4,6045922473,1,NTC,Commercial/Industrial,2011,-122.89023,49.15293
3 Axis Manufacturing & Design,Mfg. - Customised Cutting,4,19295,Enterprise Way,V3S6J8,7782782900,1,CTC,Commercial/Industrial,2011,-122.6878,49.10821
3 M Finishers,Carpentry,4,12484,82 Ave,V3W3E9,6045922973,1,NTC,Commercial/Industrial,2011,-122.87629,49.15189
30 Minute Hit South Surrey,Martial Arts Fitness Circuit,0,2404,King George Blvd,V4P1H5,6042182274,1,SSTC,Commercial/Industrial,2011,-122.79363,49.0458
3D Mom & Baby Ultrasound,Professional Practitioner-Medical,308,16088,84 Ave,V4N0V9,6046570435,1,FTC,Commercial/Industrial,2011,-122.77632,49.15537
4 Season House of Crockery & Giftware,Household Items,383,8148,128 St,V3W1R1,6040,1,NTC,Commercial/Industrial,2011,-122.86784,49.15071
4Cats Arts Studio,Children's Art Studio,140,3388,Rosemary Heights Cr,V3S0K7,6045605100,4,SSTC,Commercial/Industrial,2011,-122.79822,49.06357
5 Corner Dental,Professional Practitioner-Dentist,1,5989,168 St,V3S3X5,6045744000,3,CTC,Commercial/Industrial,2011,-122.75676,49.11133
5 Star Catering Ltd,Caterer,0,5640,188 St,V3S4N5,6045975067,4,CTC,Commercial/Industrial,2011,-122.7015,49.10486
5 Star Window Blinds,Installation of Blinds,302,7728,128 St,V3W1L3,6046167966,1,NTC,Commercial/Industrial,2011,-122.86779,49.14358
545263 BC Ltd,General Cont.,204,10190,152A St,V3R1J7,6045801042,1,GTC,Commercial/Industrial,2011,-122.79936,49.18767
557313 B C Ltd,Apartment/Townhouse Rental,0,5668,176A St,V3S4H1,6047319898,1,CTC,Commercial/Industrial,2011,-122.73355,49.1054
600575 BC Ltd,Truck Parking,0,10607,Span Rd,V3V3V5,6048304386,1,WTC,Commercial/Industrial,2011,-122.88895,49.1958
622151 B C Ltd,"Service Station,Automated Teller Machine",0,19186,96 Ave,V4N3R3,6048884434,3,GTC,Commercial/Industrial,2011,-122.69097,49.17691
62nd Gas & Snack Ltd,"Gas Station, Convenience Store",0,6221,King George Blvd,V3X1G1,6045724844,6,NTC,Commercial/Industrial,2011,-122.84521,49.1165
636718 BC Ltd,General Cont.,103,2428,King George Blvd,V5P1H5,6045364663,1,SSTC,Commercial/Industrial,2011,-122.79415,49.04621
654842 B C Ltd,General Cont.,18,19257,Enterprise Way,V3S6J8,6045982502,1,CTC,Commercial/Industrial,2011,-122.68877,49.10789
678859 BC Ltd,Administration Office,201,12788,76A Ave,V3W1S9,6045729111,1,NTC,Commercial/Industrial,2011,-122.86814,49.14224
7 Days Laundromat Ltd,"Industrial laundry & linens, pick up & delivery",112,8655,130 St,V3W1V9,6045935064,1,NTC,Commercial/Industrial,2011,-122.86259,49.15989
7 Days Seafoods & Groceries,Seafood & Groceries,0,10711,King George Blvd,V3T2X6,6045852258,2,SCC,Commercial/Industrial,2011,-122.84544,49.19719
7 Eleven,Convenience Store,0,15961,Fraser Hwy,V4N0Y3,6045975156,4,FTC,Commercial/Industrial,2011,-122.78004,49.15793
7 Eleven #34907,Convenience Store with Gas Station,0,13993,Fraser Hwy,V3T4E6,6045895390,6,SCC,Commercial/Industrial,2011,-122.83461,49.179
7 Eleven (152 St),Retail Conv. Store,0,2390,152 St,V4A4N9,6047192001,10,SSTC,Commercial/Industrial,2011,-122.80106,49.04537
7 Eleven Canada Inc,Head Office for 7-Eleven Convenience Stores,2400,13450,102 Ave,V3T0C3,6045860711,110,SCC,Commercial/Industrial,2011,-122.84913,49.18811
7 Eleven Canada Inc,Retail,101,14410,108 Ave,V3R1V4,6045842077,10,GTC,Commercial/Industrial,2011,-122.82273,49.19869
7 Eleven Canada Inc #26365,Convenience Store,0,7988,120 St,V5G4P3,6042990711,6,NTC,Commercial/Industrial,2011,-122.89022,49.14822
7 Eleven Canada Inc (10190 King George Blvd),Retail Conv. Store,0,10190,King George Blvd,V3T2W4,6042990711,5,SCC,Commercial/Industrial,2011,-122.84527,49.18759
7 Eleven Canada Inc (17638 - 60 Ave),"Retail Conv. Store, Gas Station",0,17638,60 Ave,V3S1V2,6042990711,10,CTC,Commercial/Industrial,2011,-122.73397,49.11139
7 Star Security Services Inc,Security Service,103,8356,120 St,V3W3N4,7782427277,7,NTC,Commercial/Industrial,2011,-122.89023,49.15513
701226 B C Ltd,General construction,103,2428,King George Blvd,V4P1H5,6045364663,8,SSTC,Commercial/Industrial,2011,-122.79415,49.04621
7140 Medical Clinic,Medical Clinic,110,7140,120 St,V3W3M8,6045918008,2,NTC,Commercial/Industrial,2011,-122.89022,49.13294
777 Pizza & Donair,Pizza,0,7711,128 St,V3W4E6,6045027773,1,NTC,Commercial/Industrial,2011,-122.86807,49.14332
786 Auto Service & Collision Ltd,Auto Repair,0,10652,135 St,V3T4C7,6045999120,1,SCC,Commercial/Industrial,2011,0,0
786 G S Watches & Dog Tags,Retail,0,10153,King George Blvd,V3T2W1,6045824263,1,SCC,Commercial/Industrial,2011,-122.84555,49.18696
786 Game Stop,"Computers, video games, watches, dog tags, etc.",2653,10153,King George Blvd,V3T2W1,6045824263,1,SCC,Commercial/Industrial,2011,-122.84555,49.18696
786 Micronet Computers Inc,Computer Sales,105,10252,135 St,V3T4C2,6045884300,1,SCC,Commercial/Industrial,2011,0,0
803502 B C Ltd,Pharmacy - Retail Naturopathic Health Supplies,111,15388,24 Ave,V4A2J2,6045427780,10,SSTC,Commercial/Industrial,2011,-122.79602,49.04551
833489 BC Ltd,Security Service,393,8148,128 St,V3W1R1,6045982424,1,NTC,Commercial/Industrial,2011,-122.86784,49.15071
833490 BC Ltd,Security Service,393,8148,128 St,V3W1R1,6045982424,1,NTC,Commercial/Industrial,2011,-122.86784,49.15071
836261 BC Ltd,Real Estate,392,8148,128 St,V3W1R1,6045982424,1,NTC,Commercial/Industrial,2011,-122.86784,49.15071
8386 Scott Road Medical Center,Medical Clinic,103,8386,120 St,V3W3N4,6045949990,6,NTC,Commercial/Industrial,2011,-122.89023,49.15566
88 & Fraser Foods,Retail Convenience Store,0,15278,Fraser Hwy,V3R3P4,6045821717,1,FTC,Commercial/Industrial,2011,-122.80137,49.16599
99 Nursery & Florist Inc,"Nursery & Florist, Giftware",0,9376,King George Blvd,V3V5W3,6045846555,10,WTC,Commercial/Industrial,2011,-122.84565,49.17327
99 Nursery & Florist Inc,"Nursery & Florist, Giftware",0,9376,King George Blvd,V3V5W3,6045846555,10,WTC,Commercial/Industrial,2011,-122.84565,49.17327
A & A Autobody Repairs,Auto Body/Painting,67,13330,116 Ave,V3R0R8,6047231178,1,WTC,Commercial/Industrial,2011,0,0
A & A Contract Customs Brokers,Customs Broker,101,120,176 St,V3S9S2,6045427264,67,SSTC,Commercial/Industrial,2011,-122.73518,49.00433
A & A Testing Ltd,Testing Of Underground Utility Lines,102,19429,54 Ave,V3S7X2,6045147635,2,CTC,Commercial/Industrial,2011,-122.68475,49.10021
A & B Gill Ventures Ltd,Administration Office,201,12788,76A Ave,V3W1S9,6045729111,1,NTC,Commercial/Industrial,2011,-122.86814,49.14224
A & B Tool Rentals Ltd,Equipment & tool rental,0,10498,King George Blvd,V3T2W9,6048798284,1,SCC,Commercial/Industrial,2011,-122.8452,49.1931
A & D Snider's Home Plans Ltd,Home Design And Engineering Service,0,16211,84 Ave,V4N1B3,6045892929,2,FTC,Commercial/Industrial,2011,-122.77298,49.15556
A & F Caribbean Breeze Catering Ltd,Caterer,7,8145,130 St,V3W7X4,6045943384,1,NTC,Commercial/Industrial,2011,-122.86241,49.15058
A & K Diesel Repair Ltd,Truck Repairs,0,17841,64 Ave,V3S1Z3,6045976567,2,CTC,Commercial/Industrial,2011,-122.72854,49.11886
A & R Electric Ltd,Contractor - Electrical,105,13308,76 Ave,V3W2W1,6045977088,9,NTC,Commercial/Industrial,2011,-122.85377,49.14082
A & S Insurance Services Ltd,Insurance Agency,0,8294,120 St,V3W3N4,6045913700,1,NTC,Commercial/Industrial,2011,-122.89023,49.15403
A & W Food Services,Restaurant,0,15280,56 Avenue,V3S5K7,6047647062,1,NTC,Commercial/Industrial,2011,-122.79888,49.10433
A & W Restaurant,Restaurant,0,8488,120 St,V3W3N5,6048615522,25,NTC,Commercial/Industrial,2011,-122.89023,49.15722
A & W Restaurant,Restaurant - No Alcohol,0,13645,102 Ave,V3T1N7,6045178447,45,SCC,Commercial/Industrial,2011,-122.84367,49.18791
A & W Restaurant,Restaurant,2702,10153,King George Blvd,V3T2W1,6045178447,16,SCC,Commercial/Industrial,2011,-122.84555,49.18696
A & W Restaurant,Restaurant,0,2303,King George Blvd,V4A5A4,6048615522,20,SSTC,Commercial/Industrial,2011,-122.79144,49.04374
A & W Restaurant (#10 Hwy),Restaurant,0,17830,56 Ave,V3S1C7,6045749594,12,CTC,Commercial/Industrial,2011,-122.72849,49.10408
A & W Restaurant (10110 - 152 St),Fast Food Restaurant,0,10110,152 St,V3R9W3,6045818616,32,GTC,Commercial/Industrial,2011,-122.80077,49.18634
A & W Restaurant (72 Ave),Restaurant,0,12133,72 Ave,V3W2M1,6045962224,25,NTC,Commercial/Industrial,2011,-122.88664,49.13413
A & W Restaurant (7330 King George Blvd),Restaurant,0,7330,King George Blvd,V3W5A5,6045902226,26,NTC,Commercial/Industrial,2011,-122.84546,49.13594
A & W Restaurant (Fraser Hwy),Fast Food Restaurant,0,15988,Fraser Hwy,V4N0X8,6045979599,24,FTC,Commercial/Industrial,2011,-122.77933,49.15744
A & Z Motorcars Ltd,Automobile Dealer/Rebuilder,0,15284,Fleetwood Dr,V3R1B5,6045943888,1,FTC,Commercial/Industrial,2011,-122.79906,49.16447
A 1 Auto Sales Ltd,"Used Car & Truck Sales,MOBILE Window Tinting",0,12860,112 Ave,V3T2S9,6045800400,3,SCC,Commercial/Industrial,2011,-122.86572,49.20615
A 1 Coffee & Donuts,Restaurant,0,14795,108 Ave,V3R1V9,6045814151,10,GTC,Commercial/Industrial,2011,-122.81275,49.19882
A 1 Doors & Mouldings Ltd,Manufacturer - Doors,0,12625,80 Ave,V3W3A6,6045911044,25,NTC,Commercial/Industrial,2011,-122.87251,49.14834
A 1 Granite Limited,"Slabs, Granite, Tiles, Stone",0,14747,64 Ave,V3W1N9,6045974412,1,NTC,Commercial/Industrial,2011,-122.81372,49.11922
A 1 Kitchen Cabinets Ltd,Mfg. - Cabinets,0,7750,128 St,V3W0R6,6045010690,1,NTC,Commercial/Industrial,2011,-122.8678,49.14392
A 1 Paul's Trailer Repair Ltd,Repair Serv.,0,19415,94 Ave,V4N4E6,6048828627,18,GTC,Commercial/Industrial,2011,-122.68464,49.17366
A 1 Sponge & Foam Fabrications Ltd,Foam Fabrications,0,14666,64 Ave,V3S1X7,6045903626,12,NTC,Commercial/Industrial,2011,-122.81586,49.11904
A 1 Sportswear & More,Wholesale,111,12888,80 Ave,V3W3A8,6047854925,1,NTC,Commercial/Industrial,2011,-122.86545,49.14807
A 1 Trusses 2002 Ltd,Engineering Wood Trusses,201,8334,128 St,V3W4G2,6045802200,12,NTC,Commercial/Industrial,2011,-122.86786,49.15406
A 1 Window Tinting,Automobile Cleaning/Car Wash/Detailing,101,12736,80 Ave,V3W3A7,6045996500,1,NTC,Commercial/Industrial,2011,-122.86977,49.1481
A 1 Wireless Inc,Repair of Cell Phones & Computers,104,17767,64 Ave,V3S1Z2,6045753119,1,CTC,Commercial/Industrial,2011,-122.73051,49.11886
A 1 Wireless Inc,Retail Cell Phones,203,12899,76 Ave,V3W1E6,6045029666,1,NTC,Commercial/Industrial,2011,-122.86467,49.14109
A 2 Z Arena Products Ltd,Wrhse.,0,10952,Scott Rd,V3N1J3,6047267400,1,WTC,Commercial/Industrial,2011,-122.8791,49.20207
A A A  Convenience & Dollar Deals Ltd,Dollar Store,0,13647,100 Ave,V3T1H9,6045854822,1,SCC,Commercial/Industrial,2011,-122.84363,49.1844
A A A Acupuncture Clinic,Acupuncture,203,8434,120 St,V3W7S2,6044358512,1,NTC,Commercial/Industrial,2011,-122.89023,49.15647
A A A Kitchen Cabinets Ltd,Kitchen cabinets,0,12117,86 Ave,V3W3H8,6045981300,2,NTC,Commercial/Industrial,2011,-122.88678,49.1597
A A C Woodworking & Mfg Ltd,Mfg. - Custom Woodworking & Manufacturing,0,13315,72 Ave,V3W2N5,6045943288,4,NTC,Commercial/Industrial,2011,-122.85416,49.13376
A A P K A Fashion,Retail Merchant,173,8138,128 St,V3W1R1,6045881080,1,NTC,Commercial/Industrial,2011,-122.86784,49.15053
A B C Country Restaurant,Dining Lounge,101,15373,Fraser Hwy,V3R3P3,6045833228,38,FTC,Commercial/Industrial,2011,-122.79691,49.16445
A B C Country Restaurant,Food Primary-Class B Dining Lounge,600,7380,King George Blvd,V3W5A5,6045962997,24,NTC,Commercial/Industrial,2011,-122.84547,49.13692
A B C Country Restaurant,Dining Lounge,0,19219,No 10 (Langley Bypass) Hwy,V3S8V9,6045767770,29,CTC,Commercial/Industrial,2011,0,0
A B C Country Restaurant (158 St),Restaurant,0,10410,158 St,V4N5C2,6049304717,40,GTC,Commercial/Industrial,2011,-122.78402,49.19165
A B C Customs Brokers Ltd,Customs Broker,110,17637,1 Ave,V3S9S1,6045385777,9,SSTC,Commercial/Industrial,2011,-122.73414,49.00409
A B C Customs Brokers Ltd,Customs Broker,110,17637,1 Ave,V3S9S1,6045385777,9,SSTC,Commercial/Industrial,2011,-122.73414,49.00409
A B C Metals,Scrap Metal Recycling,0,19355,54 Ave,V3S8E5,6045338522,10,CTC,Commercial/Industrial,2011,-122.68771,49.10125
A B C Pressworks,Commercial Printer,113,14620,64 Ave,V3S1X7,6045918424,1,NTC,Commercial/Industrial,2011,-122.81709,49.11904
A B C Transmissions Ltd,Transmission sales & service,0,9357,193 St,V4N4E7,6048881211,1,GTC,Commercial/Industrial,2011,-122.68798,49.17278
A B Daily Fresh Market Co Ltd,Produce & Supermarket,109,8910,120 St,V3V4B4,6045964044,1,WTC,Commercial/Industrial,2011,-122.89019,49.16519
A B F Freight System BC Ltd,Trucking,174,17735,1 Ave,V3S9S1,6045420727,9,SSTC,Commercial/Industrial,2011,-122.73163,49.00391
A B M Products Inc,Import/Export,207,9785,192 St,V4N4C7,6048829473,3,GTC,Commercial/Industrial,2011,-122.69044,49.18052
A B S Janitorial Services Ltd,Janitorial supplies,32,8528,123 St,V3W3V6,6043416594,1,NTC,Commercial/Industrial,2011,-122.88218,49.15837
A Best Autobody & Frame Ltd,Auto Body/Painting,101,12303,King George Blvd,V3V3K2,6045852378,1,WTC,Commercial/Industrial,2011,-122.88026,49.20598
A C R Glass Inc,Residental & commercial glass installation,111,8952,Holt (120a St) Rd,V3V4H2,6045020035,5,WTC,Commercial/Industrial,2011,-122.88912,49.16589
A C R Systems Inc,Mfg. - Electronic Data Logging Equipment,210,12960,84 Ave,V3W1K7,6045911128,16,NTC,Commercial/Industrial,2011,-122.86358,49.15529
A C Tax & Accounting Services Ltd,Professional Practitioner-Accountant,314,8128,128 St,V3W1R1,6045994435,1,NTC,Commercial/Industrial,2011,-122.86784,49.15035
A Class Doors Ltd,Mfg. - Pre Hung Doors,11,8336,129 St,V3W4G2,6045720222,7,NTC,Commercial/Industrial,2011,-122.86539,49.15431
A Class Fabrication Co Ltd,Metal fabrication,0,8065,130 St,V3W7X4,6045728585,4,NTC,Commercial/Industrial,2011,-122.86241,49.14931
A D A A Collection Ltd,Retail,111,8166,128 St,V3W1R1,7785887088,1,NTC,Commercial/Industrial,2011,-122.86785,49.15104
A D T Financial Inc,Financial services,101,7475,135 St,V3W0M8,6046353150,1,NTC,Commercial/Industrial,2011,-122.84854,49.1387
A E Concrete Con Force Division of Armtec Limited Partnershi,Manufacturing - Precast Concrete,0,19060,54 Ave,V3S8E5,6045761808,25,CTC,Commercial/Industrial,2011,-122.69455,49.1007
A G Way to Go Products Ltd,Administration Office,211,15252,32 Ave,V3S0R7,6045383868,1,SSTC,Commercial/Industrial,2011,-122.80002,49.06149
A H & Jay Car Truck Repair Ltd,Auto Repair Service,108,12465,82 Ave,V3W3E8,6045960270,2,NTC,Commercial/Industrial,2011,-122.87683,49.15208
A Hook N Go Towing Ltd,Towing - No Storage,210,12451,82 Ave,V3W3E8,7788967800,1,NTC,Commercial/Industrial,2011,-122.87724,49.15209
A I N Holdings Corporation,Lottery Ticket Centre,0,10355,King George Blvd,V3T2W6,6045801892,1,SCC,Commercial/Industrial,2011,-122.8455,49.19087
A J Drury Custom Millwork Ltd,Millwork,0,12684,82 Ave,V3W3G1,6045070522,1,NTC,Commercial/Industrial,2011,-122.87036,49.15177
A J H Macdonald Limited,Mfg Agent - Hardware,0,2368,Christopherson Rd,V4A3L4,6045419922,2,SSTC,Commercial/Industrial,2011,-122.88252,49.0453
A J Photography,Photographer/Videographer,231,8138,128 St,V3W1R1,6046716080,1,NTC,Commercial/Industrial,2011,-122.86784,49.15053
A Kalra & Co,Accounting & Taxation Preparation.,207,9200,120 St,V3V4B7,6044965130,1,WTC,Commercial/Industrial,2011,-122.89012,49.17047
A L C A Distribution Inc,Wholesale,0,2430,King George Blvd,V4P1H5,6046353901,1,SSTC,Commercial/Industrial,2011,-122.79419,49.04625
A La Carte Woodturning,"Mfg. - Woodworking,Auto Body/Painting",66,13330,116 Ave,V3R0R8,6048086519,1,WTC,Commercial/Industrial,2011,0,0
A Lanfranco & Associates Inc,Environment Air Testing & Engineering,101,9488,189 St,V4N4W7,6048812582,7,GTC,Commercial/Industrial,2011,-122.69877,49.17499
A M C Carpets Ltd,Carpets,16,8388,128 St,V3W4G2,6045946141,4,NTC,Commercial/Industrial,2011,-122.86786,49.15503
A M Expresso,Restaurant,101,10277,135 St,V3T4C3,6049301505,3,SCC,Commercial/Industrial,2011,0,0
A Mac Machinery & Fabrication,Machine Shop & Fabrication,21,12484,82 Ave,V3W3E9,6045724449,1,NTC,Commercial/Industrial,2011,-122.87629,49.15189
A N P Aluminum Railing,Railing manufacturing,0,10905,Larson Rd,V3V3Y7,7783220246,1,WTC,Commercial/Industrial,2011,-122.87996,49.20098
A O A Finishing Ltd,Mfg.,208,12745,78 Ave,V3W1M4,7782181837,1,NTC,Commercial/Industrial,2011,-122.86891,49.14477
A P A Tax & Accounting Inc,Accounting Service,203,12639,80 Ave,V3W3A6,6045973206,2,NTC,Commercial/Industrial,2011,-122.87208,49.14833
A P Insurance Services Ltd,Insurance Agent,101,12788,76A Ave,V3W1S9,6045029199,1,NTC,Commercial/Industrial,2011,-122.86814,49.14224
A P T Education Center,Tutoring center for elementary to high school students,0,10061,136A St,V3T4G1,6047088785,1,SCC,Commercial/Industrial,2011,0,0
A Passion For Flowers Design Studio Ltd,"Retail - Florist, Home DÚcor,",11,3268,King George Blvd,V4P1A5,6045055088,1,SSTC,Commercial/Industrial,2011,-122.8135,49.06182
A Place For Us Society,Charitable Society,0,12054,96 Ave,V3V1W3,0,1,WTC,Commercial/Industrial,2011,-122.88867,49.17706
A Priority Locksmiths,Lock Repair Only - No Retail Sales Permitted,11,17921,55 Ave,V3S6C4,7782397679,1,CTC,Commercial/Industrial,2011,-122.72562,49.10238
A R & B Internet Site & Publishing Inc,Internet Web Designs & Services,517,7360,137 St,V3W1A3,6047606524,1,NTC,Commercial/Industrial,2011,-122.84268,49.13658
A R Thomson Ltd,Mfg. - Gaskets & Distributors,0,7930,130 St,V3W0H7,6045076050,34,NTC,Commercial/Industrial,2011,-122.86207,49.14707
A R Way Enterprises Ltd,Truck Parking,0,6739,176 St,V3S4G6,6046039593,1,CTC,Commercial/Industrial,2011,-122.73504,49.12477
A S Mattoo & Associates Law Office,Law Office,209,8120,128 St,V3W1R1,6045729945,1,NTC,Commercial/Industrial,2011,-122.86784,49.15021
A S Tax & Accounting 2007 Ltd,Accounting,102,9386,120 St,V3V4B9,6045832110,4,WTC,Commercial/Industrial,2011,-122.89007,49.17365
A Sandhu Music Gallery,Retail Music,103,6955,128 St,V3W4E1,7789084366,1,NTC,Commercial/Industrial,2011,-122.86794,49.12925
A Scott Discount Used Parts,"Auto Wrecking, Retail Used Auto Parts",0,10731,Scott Rd,V3V4G5,6045805477,46,WTC,Commercial/Industrial,2011,-122.88444,49.19763
A Scott Discount Used Parts,"Auto Wrecking, Retail Used Auto Parts",0,10731,Scott Rd,V3V4G5,6045805477,46,WTC,Commercial/Industrial,2011,-122.88444,49.19763
A T I Telecom International Company,"Telecommunications services provider, including installation",7,15050,54A Ave,V3S5X7,7785717000,1,NTC,Commercial/Industrial,2011,-122.80531,49.10163
A Taste of Punjab Restaurant,Food Primary-Class B Dining Lounge,0,10009,136A St,V3T4G1,6045887700,1,SCC,Commercial/Industrial,2011,0,0
A Top Cuts Barber,Barber,0,1679,128 St,V4A3V2,6045356220,1,SSTC,Commercial/Industrial,2011,-122.86766,49.03267
A V S Windows Ltd,Mfg. - Vinyl Windows,0,13070,115 Ave,V3R2T9,6045408500,1,WTC,Commercial/Industrial,2011,-122.85993,49.21114
A W Vandermeer & Associates,Professional Practitioner-Accountant,204,5752,176 St,V3S4C8,6045712060,2,CTC,Commercial/Industrial,2011,-122.73483,49.10692
A Zone Appliance,Retail - Major Home Appliance,0,14651,108 Ave,V3R1V9,6045946306,1,GTC,Commercial/Industrial,2011,-122.81611,49.19884
A2NC Anti Aging Nutrients Centre Pro Trainers Gym,Fitness Personal Trainer,19,19257,Enterprise Way,V3S6J8,6045399910,1,CTC,Commercial/Industrial,2011,-122.68877,49.10789
Aamco Transmissions,Auto Repair Service,102,16016,Fraser Hwy,V4N0G3,6045991213,3,FTC,Commercial/Industrial,2011,-122.77848,49.15711
Aarc West Mechanical Insulation Inc,Mechanical Insulation Cont.,0,19131,21 Ave,V3S3M3,6045359963,1,SSTC,Commercial/Industrial,2011,-122.69317,49.04034
Aaron Animal Hospital,Professional Practitioner-Veterinarian,101,5668,176A St,V3S4H1,6045761391,3,CTC,Commercial/Industrial,2011,-122.73355,49.1054
Aaron's Sales & Lease,"Retail - Furniture, Electronics, Appliances & Computers",0,10790,King George Blvd,V3T2X7,6045826778,1,SCC,Commercial/Industrial,2011,-122.84571,49.19872
Aaron's Steak & Pizza,Restaurant,0,17665,57 Ave,V3S1H1,6045768151,7,CTC,Commercial/Industrial,2011,-122.7332,49.10607
Abasa Optical,Optometrist,202,18730,Fraser Hwy,V3S7Y4,6045759141,1,CTC,Commercial/Industrial,2011,-122.70361,49.12443
Abbsry Tires Fleetwood,Tire sales & service,103,15685,Fraser Hwy,V4N0Y6,6045752224,5,FTC,Commercial/Industrial,2011,-122.78796,49.161
Abercromby Rathgeber,Chartered Accountants,305,15127,100 Ave,V3R0N9,6049519891,6,GTC,Commercial/Industrial,2011,-122.8031,49.18428
Abesco Transport and Towing,Trucking & Cartage - 1 Vehicle Only,0,12511,82 Ave,V3W3E8,6044402779,1,NTC,Commercial/Industrial,2011,-122.87547,49.15206
Abest Auto Sales Inc,Used Car Dealership,0,12473,King George Blvd,V3V3K3,7785522211,1,WTC,Commercial/Industrial,2011,-122.87661,49.20635
Abhi Insurance Agency Inc,Insurance Agent,302,8128,128 St,V3W1R1,6049966862,3,NTC,Commercial/Industrial,2011,-122.86784,49.15035
