BUSINESS_NAME,PRODUCTS_OR_SERVICES,UNIT,HOUSE_NUMBER,ROAD,SURREY_POSTAL_CODE,PHONE,EMPLOYEES,TOWN_CENTR,NAIC,NAIC_DESCRIPTION,LATITUDE,LONGITUDE
Jessica Ping Ping Toth,Hair Salon/Barber - Chair Rental,115,15277,100 Ave,V3R8X2,6045816828,1,GTC,812114,Barber Shops,49.184440,-122.798790
Jessica Ping Ping Toth,Hair Salon/Barber - Chair Rental,115,15277,100 Ave,V3R8X2,6045816828,1,GTC,812115,Beauty Salons,49.184440,-122.798790
Schill Insurance Brokers Ltd,Insurance Agent,302,15127,100 Ave,V3R0N9,6045913341,12,GTC,524210,Insurance Agencies & Brokerages,49.185239,-122.803124
Browns Socialhouse,Food Primary-Class B Dining Lounge,101,15146,100 Ave,V3R0J8,6043398305,50,GTC,722511,Full-service restaurants,49.183986,-122.802162
Dr. Sharma Dental Corp.,Professional Practitioner-Dentist,405,15127,100 Ave,V3R0N9,6045851304,5,GTC,621210,Offices of Dentists,49.185239,-122.803124
Boiling Point Restaurant (BC) Inc,Restaurant - No Alcohol,,15146,100 Ave,V3R0J8,6045881292,10,GTC,722512,Limited-service eating places,49.183986,-122.802162
Greater Vancouver Community Credit Union,Credit Union,,15280,101 Ave,V3R4G5,6045844434,9,GTC,522130,Local Credit Unions,49.185973,-122.798603
Oriental Buffet Restaurant,Dining Lounge,,15140,101 Ave,V3R7V4,6045838893,20,GTC,722110,Restaurants,49.185953,-122.802155
Akasaka Japanese Restaurant Surrey Ltd,Dining Lounge,,15110,101 Ave,V3R7V4,6045881244,9,GTC,722110,Restaurants,49.185970,-122.803400
Pharmasave No 206,Retail Pharmacy,119,15280,101 Ave,V3R8X7,6045843331,24,GTC,446110,Pharmacies & Drug Stores,49.185973,-122.798603
Burnside Apartments,Apartment Rentals,,13784,101 Ave,V3T1L4,6045895505,4,SCC,531111,Lessors of Residential Buildings & Dwellings,49.185931,-122.840364
Skyline Apartments,Apartment/Townhouse Rental,,13929,101 Ave,V3T5R9,6045827970,2,SCC,531111,Lessors of Residential Buildings & Dwellings,49.186190,-122.836245
Landmark Cinema 12 Guildford,Movie Theatre - Video Games,,15051,101 Ave,V3T4C9,6045814218,66,GTC,512130,Motion Picture & Video Exhibition,49.186271,-122.805019
Landmark Cinema 12 Guildford,Movie Theatre - Video Games,,15051,101 Ave,V3T4C9,6045814218,66,GTC,713120,Amusement Arcades,49.186271,-122.805019
Landmark Cinema 12 Guildford,Movie Theatre - Video Games,,15051,101 Ave,V3T4C9,6045814218,66,GTC,722210,Concessions,49.186271,-122.805019
Tan De Soleil Sun Tan Studios Inc,Tanning Salon,131B,15280,101 Ave,V3R8X7,6045849559,6,GTC,812190,Other Personal Care Services,49.185973,-122.798603
Vancouver City Savings Credit Union (101 Ave,Banking,108,15175,101 Ave,V3R7Z1,6048777301,18,GTC,522130,Local Credit Unions,49.186291,-122.801754
Guildford's Laundry Chute,Laundromat,104,15155,101 Ave,V3R7Z1,6045851866,2,GTC,812320,Dry Cleaning & Laundry Services (Except Coin-Operated),49.186299,-122.802234
Hanako Japanese Restaurant Inc,Restaurant,205,15135,101 Ave,V3R7Z1,6045828833,8,GTC,722110,Restaurants,49.186300,-122.802702
Nandos Chicken Guildford,Food Primary-Class B Dining Room,104,15190,101 Ave,V3R7V4,6045873210,12,GTC,722110,Restaurants,49.185957,-122.801674
Mega Hair Care,Hairdresser,136,15280,101 Ave,V3R8X7,6045839339,1,GTC,812115,Beauty Salons,49.185973,-122.798603
Domino's Pizza #10052,Pizza take out & delivery,102,15155,101 Ave,V3R7Z1,6045857422,8,GTC,722110,Restaurants,49.186299,-122.802234
Maki Yaki Japanese Restaurant,Food Primary-Class B Dining Room,103,15190,101 Ave,V3R7V4,6045888881,5,GTC,722110,Restaurants,49.185957,-122.801674
De Jesus Inc Dr Daniel,Professional Practitioner-Dentist,D2,15251,101 Ave,V3R9V8,6045886575,8,GTC,621210,Offices of Dentists,49.186256,-122.799778
Boom Bee,Food Primary-Class B Dining Room,101,15155,101 Ave,V3R7Z1,6045803553,3,GTC,722110,Restaurants,49.186299,-122.802234
Seoul Gill House,Food Primary-Class B Dining Room,100,15155,101 Ave,V3R7Z1,6045888292,1,GTC,722110,Restaurants,49.186299,-122.802234
Guildford Grace Optical,Retail - Optical,103B,15135,101 Ave,V3R7Z1,6049513000,1,GTC,446130,Optical Goods Stores,49.186300,-122.802702
B C A A Insurance Agency,Insurance Agency,C4,15285,101 Ave,V3R9V8,6042051000,13,GTC,524210,Insurance Agencies & Brokerages,49.186388,-122.798675
Dollar Tree Stores Canada Inc,Retail Merchant - Dollar Store #40019,135,15280,101 Ave,V3R8X7,6045364428,8,GTC,452999,All Other Miscellaneous General Merchandise Stores,49.185973,-122.798603
Canadian Blood Services,Charitable Organization - Blood Donor Clinic,C2,15285,101 Ave,V3R9V8,6045010362,20,GTC,813990,Other Membership Organizations,49.186388,-122.798675
Big Chicken Town,Food Primary-Class B Dining Room,130,15280,101 Ave,V3R8X7,6044965007,5,GTC,722110,Restaurants,49.185973,-122.798603
Pita Pit,Restaurant - No Alcohol,103A,15155,101 Ave,V3R7Z1,6042309633,6,GTC,722512,Limited-service eating places,49.186299,-122.802234
Miracle Ear Canada Ltd,Retail Merchant - Hearing Aids,203A,15135,101 Ave,V3R7Z1,6045800055,2,GTC,44619,Other health & personal care stores,49.186300,-122.802702
Lee Gar Nei,Restaurant - Full Service,128,15280,101 Ave,V3R8X7,6046183922,5,GTC,722511,Full-service restaurants,49.185973,-122.798603
Petsmart Inc #2531,"Retail Merchant - Pet Products, Dog Grooming",C6,15285,101 Ave,V3R9V8,6045882640,12,GTC,453910,Pet & Pet Supplies Stores,49.186388,-122.798675
Petsmart Inc #2531,"Retail Merchant - Pet Products, Dog Grooming",C6,15285,101 Ave,V3R9V8,6045882640,12,GTC,812910,Pet Care (except Veterinary) Services,49.186388,-122.798675
Dulux Paints,Retail Merchant - Paint Store,C4,15285,101 Ave,V3R9V8,7788371467,4,GTC,444120,Paint & Wallpaper Stores,49.186388,-122.798675
Big Feet,"Holistic Health Care - Reflexology, Massage (Non-RMT)",105,15155,101 Ave,V3R7V4,6044970888,3,GTC,621390,Offices of Other Health Practitioners,49.186299,-122.802234
Singh Gurbachan,Apartment Rental,,13059,101B Ave,V3T1M5,6045028596,1,SCC,531111,Lessors of Residential Buildings & Dwellings,49.187781,-122.860641
Imperial Place Residence Inc,Apartment Rentals,,13853,102 Ave,V3T5P6,6045871555,30,SCC,531111,Lessors of Residential Buildings & Dwellings,49.187926,-122.838329
Colliers Macaulay Nicolls Inc,Real Estate Office,1850,13450,102 Ave,V3T5X3,6046814111,12,SCC,531210,Offices of Real Estate Agents & Brokers,49.187919,-122.848767
Fusion Beauty Skin & Nails Inc,Beauty Studio,,13511,102 Ave,V3T4X8,6045836245,7,SCC,812115,Beauty Salons,49.188014,-122.847387
Canadian Tire No 489,Retail Sales,,13665,102 Ave,V3T1N7,6045838473,80,SCC,444110,Home Centres,49.189661,-122.843343
Canadian Tire No 489,Retail Sales,,13665,102 Ave,V3T1N7,6045838473,80,SCC,811111,General Automotive Repair,49.189661,-122.843343
FinancialCAD Corporation,Software Design/Consultant,1750,13450,102 Ave,V3T5X3,6049571200,110,SCC,334999,Hi Tech Industries,49.187919,-122.848767
FinancialCAD Corporation,Software Design/Consultant,1750,13450,102 Ave,V3T5X3,6049571200,110,SCC,541510,Computer Systems Design & Related Services,49.187919,-122.848767
Central City Brewers & Distillers Ltd,"Restaurant, Neighbourhood Pub, Beer & Wine Store",190,13450,102 Ave,V3T5X3,6045826620,20,SCC,445310,"Beer, Wine & Liquor Stores",49.187919,-122.848767
Central City Brewers & Distillers Ltd,"Restaurant, Neighbourhood Pub, Beer & Wine Store",190,13450,102 Ave,V3T5X3,6045826620,20,SCC,722110,Restaurants,49.187919,-122.848767
Central City Brewers & Distillers Ltd,"Restaurant, Neighbourhood Pub, Beer & Wine Store",190,13450,102 Ave,V3T5X3,6045826620,20,SCC,722410,Drinking Places,49.187919,-122.848767
Blenz Central City,"Retail Coffee, Caf?®",110,13450,102 Ave,V3T5X3,6045833370,12,SCC,445298,Coffee & Tea Stores,49.187919,-122.848767
Blenz Central City,"Retail Coffee, Caf?®",110,13450,102 Ave,V3T5X3,6045833370,12,SCC,722110,Restaurants,49.187919,-122.848767
Oak Avenue Neighbourhood Hub Society,Charitable Organization,,12740,102 Ave,V3V3E5,6045827088,1,WTC,813990,Other Membership Organizations,49.187859,-122.869395
Surrey Festival of Dance Society,Charitable Organization,203,13541,102 Ave,V3T4X8,6045853320,1,SCC,813990,Other Membership Organizations,49.188011,-122.846931
Community Savings Credit Union (102 Ave),Admin. Office,1600,13450,102 Ave,V3T5X3,6046542000,28,SCC,541611,Administrative Management & General Management Consulting Services,49.187919,-122.848767
Shefield Express (102 Ave),"Retail Gifts, Tobacconist",115,13450,102 Ave,V3T5X3,6045800031,1,SCC,453220,"Gift, Novelty & Souvenir Stores",49.187919,-122.848767
Shefield Express (102 Ave),"Retail Gifts, Tobacconist",115,13450,102 Ave,V3T5X3,6045800031,1,SCC,453999,All Other Miscellaneous Store Retailers (except Beer & Wine Making Supplies Stores),49.187919,-122.848767
Base Investment & Immigration Corp,Financial Planning/Consultant,1880,13450,102 Ave,V3T5X3,6045852276,5,SCC,523930,Investment Advice,49.187919,-122.848767
Base Investment & Immigration Corp,Financial Planning/Consultant,1880,13450,102 Ave,V3T5X3,6045852276,5,SCC,541611,Administrative Management & General Management Consulting Services,49.187919,-122.848767
Base Investment & Immigration Corp,Financial Planning/Consultant,1880,13450,102 Ave,V3T5X3,6045852276,5,SCC,541613,Immigration Consulting & Interpretation Services,49.187919,-122.848767
Cambian Business Services Inc,General Business Office,1690,13450,102 Ave,V3T5X3,6045819356,6,SCC,541611,Administrative Management & General Management Consulting Services,49.187919,-122.848767
Forever Young Hair Salon,Hair Salon/Barber,,13853,102 Ave,V3T5P6,6045824795,1,SCC,812115,Beauty Salons,49.187926,-122.838329
Turnbull Construction Project Managers Ltd,General Cont.,1670,13450,102 Ave,V3T5X3,6046261068,1,SCC,231230,General Construction Contractors,49.187919,-122.848767
A & W Restaurant,Restaurant - No Alcohol,,13645,102 Ave,V3T1N7,6045805757,27,SCC,722110,Restaurants,49.187944,-122.843924
Stuart T Clendening Barristers & Solicitors,Professional Practitioner-Lawyer,205,13541,102 Ave,V3T4X8,6045847111,2,,541110,Offices of Lawyers,49.188011,-122.846931
7 Eleven Canada Inc,Head Office for 7-Eleven Convenience Stores,2400,13450,102 Ave,V3T0C3,6045860711,58,SCC,541611,Administrative Management & General Management Consulting Services,49.187919,-122.848767
Euphoric Day Spa,Seminar,,13450,102 Ave,V3T0A3,6045920585,1,SCC,541611,Administrative Management & General Management Consulting Services,49.187919,-122.848767
Continental Flower Market,Retail Sales - Flowers,145,13450,102 Ave,V3T2X3,6049516699,3,SCC,453110,Florists,49.187919,-122.848767
Stenberg College,Vocational School,750,13450,102 Ave,V3T5X3,6045850988,150,SCC,611510,Technical & Trade Schools,49.187919,-122.848767
Galina's Cafe,Restaurant - No Alcohol,,13531,102 Ave,V3T4X8,6045852929,1,,452999,All Other Miscellaneous General Merchandise Stores,49.188011,-122.847074
Galina's Cafe,Restaurant - No Alcohol,,13531,102 Ave,V3T4X8,6045852929,1,,722110,Restaurants,49.188011,-122.847074
B C Happy Homes Immigration Services,Immigration Consultant,,13541,102 Ave,V3T4X8,6045841199,2,SCC,541613,Immigration Consulting & Interpretation Services,49.188011,-122.846931
Diamond Parking Ltd # 4173,Parking enforcement services,,13580,102 Ave,V3T5C5,6046818797,2,SCC,812930,Parking Lots & Garages,49.187668,-122.845980
Tynehead R V Camp,"Groceries, R V Park",,16275,102 Ave,V4N2K7,6045891161,3,GTC,445110,Supermarkets & Other Grocery (except Convenience) Stores,49.187905,-122.770676
Tynehead R V Camp,"Groceries, R V Park",,16275,102 Ave,V4N2K7,6045891161,3,GTC,721211,RV (Recreational Vehicle) Parks & Campgrounds,49.187905,-122.770676
McQuarrie Hunter LLP,Professional Practitioner-Lawyer,1500,13450,102 Ave,V3T5X3,6045817001,85,SCC,541110,Offices of Lawyers,49.187919,-122.848767
Diamond Parking Ltd,Parking Lot,,13665,102 Ave,V3T1N7,6046818797,1,SCC,812930,Parking Lots & Garages,49.189661,-122.843343
Nahm Thai Bistro,Food Primary-Class B Dining Lounge,202,13650,102 Ave,V3T1N6,6049308833,9,SCC,722110,Restaurants,49.187658,-122.843680
Crown Dental Studio,Dental Labratory,201,13541,102 Ave,V3T4X8,6045880099,20,,621510,Medical & Diagnostic Laboratories,49.188011,-122.846931
P N B Remittance Co Canada Corporation,Money Transfer,,13521,102 Ave,V3T4X8,6045816762,2,SCC,522390,Other Activities Related to Credit Intermediation,49.188012,-122.847225
Blenz SFU Kiosk,Restaurant,250,13450,102 Ave,V3T0A3,7787823003,10,SCC,722110,Restaurants,49.187919,-122.848767
Gallery 7 Photography Inc,Photographer/Videographer,175,13450,102 Ave,V3T5X3,7789914462,1,SCC,541920,Photographic Services,49.187919,-122.848767
Vancouver Career College (Burnaby) Inc,Trade School,295,13450,102 Ave,V3V4V2,6045802133,3,WTC,611510,Technical & Trade Schools,49.187919,-122.848767
Best Buy Mobile,Retail,142,13450,102 Ave,V3T5X3,6046341128,10,SCC,443110,"Appliance, Television & Other Electronics Stores",49.187919,-122.848767
Sandvik Mining & Construction Canada Inc,Administration Office,1150,13450,102 Ave,V3T5X3,6045804830,18,SCC,541611,Administrative Management & General Management Consulting Services,49.187919,-122.848767
McElhanney Associates Land Surveying Ltd,Professional Practitioner-Land Surveyor,,13450,102 Ave,V3T5X3,6045969039,100,SCC,541370,Surveying & Mapping Services,49.187919,-122.848767
PricewaterhouseCoopers LLP,Public Accountant,1400,13450,102 Ave,V3T5X3,6048067000,60,SCC,541212,Offices of Accountants,49.187919,-122.848767
Brighton College,Business School,295,13450,102 Ave,V3T5X3,6044305608,6,SCC,611410,Business & Secretarial Schools,49.187919,-122.848767
McElhanney Consulting Services Ltd,"Civil Engineering & Surveying,Professional Practitioner - Engineering/Land  Surveying/Mapping",,13450,102 Ave,V3T5X3,6045960391,50,SCC,541330,Engineering Services,49.187919,-122.848767
