BUSINESS_NAME,PRODUCTS_OR_SERVICES,UNIT,HOUSE_NUMBER,ROAD,ADDRESS,POSTAL_CODE,PHONE,TOWN_CENTRE,BUSINESS_LICENCE_APPLICATION_TYPE,NAIC,NAIC_DESCRIPTION,SECTORS,LONGITUDE,LATITUDE
0766642 BC Ltd,Contractor - General,103,2428,King George Blvd,2428 King George Blvd,V4P1H5,6045364663,SSTC,Commercial/Industrial,231230,General Construction Contractors,,-122.794151,49.046214
0772832 BC Ltd,"Mfg. & Installation - Signs,Contractor - Commercial Property Maintenace/repairs and signs manufactuer/installation",14,8456,129A St,8456 129A St,V3W1A2,6049618414,NTC,Commercial/Industrial,541899,All Other Services Related to Advertising,,-122.863754,49.156041
0793982 BC Ltd,Financial Planning/Consultant,218,7928,128 St,7928 128 St,V3W4E8,6047210065,NTC,Commercial/Industrial,541611,Administrative Management & General Management Consulting Services,,-122.867811,49.146551
0852483 BC Ltd,Whlse.,208,19049,54 Ave,19049 54 Ave,V3S4R1,6045742358,CTC,Commercial/Industrial,418990,All Other Wholesaler-Distributors,,-122.694817,49.100875
0882861 BC Ltd,Apartment / Townhouse Rental,,5733,176 St,5733 176 St,V3S4C9,7788832203,CTC,Commercial/Industrial,531111,Lessors of Residential Buildings & Dwellings,,-122.735109,49.106590
0894916 B C Ltd,Assembling of residential doors & moulding,204,12779,80 Ave,12779 80 Ave,V3W3A6,6045802114,NTC,Commercial/Industrial,416320,"Lumber, Plywood & Millwork Wholesaler-Distributors",,-122.868590,49.148259
0900706 BC Ltd,Apartment/Townhouse Rental,,12730,66 Ave,12730 66 Ave,V3W1P3,6046142488,NTC,Commercial/Industrial,531111,Lessors of Residential Buildings & Dwellings,,-122.869961,49.122779
0914534 B C Ltd,Automotive Repair Service,220,12451,82 Ave,12451 82 Ave,V3W3E8,6047823556,NTC,Commercial/Industrial,811111,General Automotive Repair,,-122.877241,49.152093
0959479 BC Ltd,Dental Laboratory,103,16140,84 Ave,16140 84 Ave,V4N0V9,6045438008,FTC,Commercial/Industrial,621510,Medical & Diagnostic Laboratories,,-122.774804,49.155569
0964587 BC Ltd,Contractor - Construction,240,8138,128 St,8138 128 St,V3W1R1,7788850555,NTC,Commercial/Industrial,231230,General Construction Contractors,,-122.867843,49.150534
0984162 BC Ltd,Janitorial Service,250,2411,160 St,2411 160 St,V3S0C8,7783703033,SSTC,Commercial/Industrial,561722,Janitorial Services (except Window Cleaning),,-122.779348,49.045778
1 800 Got Junk,Junk Removal,201,14640,64 Ave,14640 64 Ave,V3S1X7,6047878796,NTC,Commercial/Industrial,484229,Other Specialized Freight Trucking,,-122.816557,49.119036
104 Laundry,Laundromat,106,13979,104 Ave,13979 104 Ave,V3T1X1,6045800087,SCC,Commercial/Industrial,812310,Coin-Operated Laundries & Dry Cleaners,,-122.834766,49.191572
104 Pawn Shop Ltd,Pawn Shop,,13752,104 Ave,13752 104 Ave,V3T1W5,6045851433,SCC,Commercial/Industrial,522299,All Other Non-Depository Credit Intermediation,,-122.841090,49.191476
120th ST Tire Xperts,Retail sales & installation of tires & stereos,,8298,120 St,8298 120 St,V3W3N4,6045905515,NTC,Commercial/Industrial,441310,Automotive Parts & Accessories Stores,,-122.890232,49.154101
152nd Street Liquor Store,Liquor Store,A,9082,152 St,9082 152 St,V3R4E7,6045316953,FTC,Commercial/Industrial,445310,"Beer, Wine & Liquor Stores",,-122.801209,49.167808
1725869 Ontario Inc,Whlse.,110,19097,26 Ave,19097 26 Ave,V3S3V7,7782921029,SSTC,Commercial/Industrial,418990,All Other Wholesaler-Distributors,,-122.694270,49.049375
176 Salon,Hair Salon / Barber,101A,5772,176 St,5772 176 St,V3S4C8,6046008179,CTC,Commercial/Industrial,812114,Barber Shops,,-122.734832,49.107274
176 Salon,Hair Salon / Barber,101A,5772,176 St,5772 176 St,V3S4C8,6046008179,CTC,Commercial/Industrial,812115,Beauty Salons,,-122.734832,49.107274
186 St. Animal Hospital,Professional Practitioner-Veterinarian,102,18655,Fraser Hwy,18655 Fraser Hwy,V3S7Y3,6045741133,CTC,Commercial/Industrial,541940,Veterinary Services,,-122.705313,49.125424
1st R O W Estate Winery Ltd,Manufacturing/Machine Shop - Winery,104,2762,190 St,2762 190 St,V3S3W6,6045425075,SSTC,Commercial/Industrial,312130,Wineries,,-122.696822,49.052194
1st R O W Estate Winery Ltd,Manufacturing/Machine Shop - Winery,104,2762,190 St,2762 190 St,V3S3W6,6045425075,SSTC,Commercial/Industrial,332710,Machine Shops,,-122.696822,49.052194
2 Percent Realty Solution,"Real Estate Brokerage, Real Estate Office",1104,7360,137 St,7360 137 St,V3W1A3,6043401575,NTC,Commercial/Industrial,531210,Offices of Real Estate Agents & Brokers,,-122.842685,49.136578
2 Percent Select Real Estate,Real Estate - 0 to 5 Employees,202,15388,24 Ave,15388 24 Ave,V4A2J2,6048379749,SSTC,Commercial/Industrial,531210,Offices of Real Estate Agents & Brokers,,-122.796021,49.045513
2000 Automotive Collision Technical Services Ltd,Auto Body/Painting,103,12303,King George Blvd,12303 King George Blvd,V3V3K2,6045802886,WTC,Commercial/Industrial,811121,"Automotive Body, Paint & Interior Repair & Maintenance",,-122.880256,49.205977
20050618 Enterprises Ltd,Retail Chinese Herbs,101M,15277,100 Ave,15277 100 Ave,V3R8X2,6045832338,GTC,Commercial/Industrial,446191,Food (Health) Supplement Stores,,-122.798808,49.184313
21st Century Dental Centre,Dental Office,139,12101,72 Ave,12101 72 Ave,V3W2M1,6045432600,NTC,Commercial/Industrial,621210,Offices of Dentists,,-122.887484,49.134141
21st Century Entertainment Inc,Wholesale - Electronics,305,19358,96 Ave,19358 96 Ave,V4N4C1,6045132377,GTC,Commercial/Industrial,414210,Home Entertainment Equipment Wholesaler-Distributors,,-122.686685,49.176903
23seven Performance & Conditioning Studio,Recreational Facility - Personal Training Studio,5,1990,152 St,1990 152 St,V4A1X6,6043850237,SSTC,Commercial/Industrial,713940,Fitness & Recreational Sports Centres,,-122.801054,49.038160
24 Hour Mobile Maintenance Ltd,Repair Service - Maintenance,201,8185,120A St,8185 120A St,V3W3P2,7788829716,NTC,Commercial/Industrial,811118,Truck & Trailer Repair & Maintenance,,-122.888651,49.151883
24 Seven Automobile Ltd,Automotive Repair Service,,13443,71A Ave,13443 71A Ave,V3W2L2,6045035523,NTC,Commercial/Industrial,811111,General Automotive Repair,,-122.849884,49.132800
24/7 Realty Inc,Real Estate Service,202,15388,24 Ave,15388 24 Ave,V4A2J2,6047221522,SSTC,Commercial/Industrial,531210,Offices of Real Estate Agents & Brokers,,-122.796021,49.045513
3 Axis Manufacturing & Design,Mfg. - Customised Cutting,4,19295,Enterprise Way,19295 Enterprise Way,V3S6J8,7782782900,CTC,Commercial/Industrial,332710,Machine Shops,,-122.687796,49.108214
3 Civic Plaza Sales Centre,Real Estate - 6 to 10 Employees,,10277,King George Blvd,10277 King George Blvd,V3T2W6,6049513331,SCC,Commercial/Industrial,531210,Offices of Real Estate Agents & Brokers,,-122.845517,49.189473
3 M Finishers,Carpentry,4,12484,82 Ave,12484 82 Ave,V3W3E9,6045922973,NTC,Commercial/Industrial,332710,Machine Shops,,-122.876293,49.151893
30 Minute Hit North Surrey,Recreational Facility,,15148,Fraser Hwy,15148 Fraser Hwy,V3R3P1,6044966888,FTC,Commercial/Industrial,713940,Fitness & Recreational Sports Centres,,-122.802878,49.166573
30 Minute Hit South Surrey,Martial Arts Fitness Circuit,,2404,King George Blvd,2404 King George Blvd,V4P1H5,6042182274,SSTC,Commercial/Industrial,713940,Fitness & Recreational Sports Centres,,-122.793632,49.045795
310 Loan,Financial Agent,,13426,72 Ave,13426 72 Ave,V3W2N8,6045751775,NTC,Commercial/Industrial,522291,Consumer Lending,,-122.850255,49.133519
3D Mom & Baby Ultrasound,Professional Practitioner-Medical,308,16088,84 Ave,16088 84 Ave,V4N0V9,6046570435,FTC,Commercial/Industrial,621510,Medical & Diagnostic Laboratories,,-122.776320,49.155368
4 Pillars Consulting Group,Financial consulting,203,14439,104 Ave,14439 104 Ave,V3R1M1,6045952862,GTC,Commercial/Industrial,541611,Administrative Management & General Management Consulting Services,,-122.821966,49.191612
4 Season House of Crockery & Giftware,Household Items,383,8148,128 St,8148 128 St,V3W1R1,6040,NTC,Commercial/Industrial,414520,"Toiletries, Cosmetics & Sundries Wholesaler-Distributors",,-122.867844,49.150714
4 Season House of Crockery & Giftware,Household Items,383,8148,128 St,8148 128 St,V3W1R1,6040,NTC,Commercial/Industrial,452999,All Other Miscellaneous General Merchandise Stores,,-122.867844,49.150714
49 North Mechanical Ltd,"Contractor - Mechanical/Plumbing/Fire Protection/HVAC, Contractor - Plumbing/Fire Protection",109,8277,129 St,8277 129 St,V3W0A6,6042247604,NTC,Commercial/Industrial,232520,"Plumbing, Heating & Air-Conditioning Installation",,-122.865660,49.153328
4Cats Art Studio,"Miscellaneous - Art studio, Retail Merchant - Art supplies",114,6820,188 St,6820 188 St,V4N3G6,7785742287,CTC,Commercial/Industrial,232990,All Other Special Trade Contracting,,-122.701559,49.126510
4Cats Art Studio,"Miscellaneous - Art studio, Retail Merchant - Art supplies",114,6820,188 St,6820 188 St,V4N3G6,7785742287,CTC,Commercial/Industrial,453999,All Other Miscellaneous Store Retailers (except Beer & Wine Making Supplies Stores),,-122.701559,49.126510
4Cats Arts Studio,Children's Art Studio,140,3388,Rosemary Heights Cr,3388 Rosemary Heights Cr,V3S0K7,6045605100,SSTC,Commercial/Industrial,611690,All Other Schools & Instruction,,-122.798219,49.063569
5 Corner Dental,Professional Practitioner-Dentist,1,5989,168 St,5989 168 St,V3S3X5,6045744000,CTC,Commercial/Industrial,621210,Offices of Dentists,,-122.756764,49.111327
5 Star Catering Ltd,"Caterer, Liquor Primary - Class A Pub, Restaurant - Lounge, Food primary dining lounge",,5640,188 St,5640 188 St,V3S4N5,6045740411,CTC,Commercial/Industrial,722320,Caterers,,-122.701502,49.104856
5 Star Catering Ltd,"Caterer, Liquor Primary - Class A Pub, Restaurant - Lounge, Food primary dining lounge",,5640,188 St,5640 188 St,V3S4N5,6045740411,CTC,Commercial/Industrial,722511,Full-service restaurants,,-122.701502,49.104856
5 Star Window Blinds,Installation of Blinds,302,7728,128 St,7728 128 St,V3W1L3,6046167966,NTC,Commercial/Industrial,232990,All Other Special Trade Contracting,,-122.867792,49.143576
545263 BC Ltd,General Cont.,204,10190,152A St,10190 152A St,V3R1J7,6045801042,GTC,Commercial/Industrial,231230,General Construction Contractors,,-122.799359,49.187674
55 Apparel Ltd,Warehouse,103,13521,76 Ave,13521 76 Ave,V3W2W3,6048024471,NTC,Commercial/Industrial,493190,Other Warehousing & Storage,,-122.847641,49.140947
555 Pizza Ltd,Restaurant - Pizza Shop,,9192,120 St,9192 120 St,V3V4B5,6044971497,WTC,Commercial/Industrial,722110,Restaurants,,-122.890117,49.170329
557313 B C Ltd,Apartment/Townhouse Rental,,5668,176A St,5668 176A St,V3S4H1,6047319898,CTC,Commercial/Industrial,531111,Lessors of Residential Buildings & Dwellings,,-122.733546,49.105399
600575 BC Ltd,Truck Parking,,10607,Span Rd,10607 Span Rd,V3V3V5,6048304386,WTC,Commercial/Industrial,812930,Parking Lots & Garages,,-122.888947,49.195805
622151 B C Ltd,"Service Station,Automated Teller Machine",,19186,96 Ave,19186 96 Ave,V4N3R3,6048884434,GTC,Commercial/Industrial,447190,Other Gasoline Stations,,-122.690973,49.176908
62nd Gas & Snack Ltd,"Gas Station, Convenience Store",,6221,King George Blvd,6221 King George Blvd,V3X1G1,6045724844,NTC,Commercial/Industrial,447110,Gasoline Stations with Convenience Stores,,-122.845206,49.116499
654842 B C Ltd,General Cont.,18,19257,Enterprise Way,19257 Enterprise Way,V3S6J8,7782784388,CTC,Commercial/Industrial,231230,General Construction Contractors,,-122.688773,49.107886
678859 BC Ltd,Administration Office,201,12788,76A Ave,12788 76A Ave,V3W1S9,6045729111,NTC,Commercial/Industrial,541611,Administrative Management & General Management Consulting Services,,-122.868143,49.142241
7 Days Laundromat Ltd,"Industrial laundry & linens, pick up & delivery",112,8655,130 St,8655 130 St,V3W1V9,6045935064,NTC,Commercial/Industrial,812320,Dry Cleaning & Laundry Services (Except Coin-Operated),,-122.862591,49.159887
7 Days Seafoods & Groceries,Seafood & Groceries,,10711,King George Blvd,10711 King George Blvd,V3T2X6,6045852258,SCC,Commercial/Industrial,445210,Meat Markets,,-122.845444,49.197188
7 Eleven #34907,Convenience Store with Gas Station,,13993,Fraser Hwy,13993 Fraser Hwy,V3T4E6,6045895390,SCC,Commercial/Industrial,447110,Gasoline Stations with Convenience Stores,,-122.834607,49.178998
7 Eleven (152 St),Retail Conv. Store,,2390,152 St,2390 152 St,V4A4N9,6047192001,SSTC,Commercial/Industrial,445120,Convenience Stores,,-122.801059,49.045373
7 Eleven Canada Inc,Head Office for 7-Eleven Convenience Stores,2400,13450,102 Ave,13450 102 Ave,V3T0C3,6045860711,SCC,Commercial/Industrial,541611,Administrative Management & General Management Consulting Services,,-122.849125,49.188109
7 Eleven Canada Inc,Retail,101,14410,108 Ave,14410 108 Ave,V3R1V4,6045842077,GTC,Commercial/Industrial,445120,Convenience Stores,,-122.822731,49.198694
7 Eleven Canada Inc #26365,Convenience Store,,7988,120 St,7988 120 St,V5G4P3,6042990711,NTC,Commercial/Industrial,445120,Convenience Stores,,-122.890221,49.148223
7 Eleven Canada Inc (10190 King George Blvd),Retail Conv. Store,,10190,King George Blvd,10190 King George Blvd,V3T2W4,6042990711,SCC,Commercial/Industrial,445120,Convenience Stores,,-122.845268,49.187594
7 Eleven Canada Inc (17638 - 60 Ave),"Retail Conv. Store, Gas Station",,17638,60 Ave,17638 60 Ave,V3S1V2,6042990711,CTC,Commercial/Industrial,447110,Gasoline Stations with Convenience Stores,,-122.733970,49.111388
7 Eleven Canada Store # 3577OH,"Retail Merchant - 10 to 19 Employees, Rental Service",04-Feb,6828,128 St,6828 128 St,V3W4C9,7785787680,NTC,Commercial/Industrial,445120,Convenience Stores,,-122.867653,49.127108
7 Eleven Canada Store # 3577OH,"Retail Merchant - 10 to 19 Employees, Rental Service",04-Feb,6828,128 St,6828 128 St,V3W4C9,7785787680,NTC,Commercial/Industrial,532290,Other Consumer Goods Rental,,-122.867653,49.127108
7 Eleven Canada Store #36676H,"Retail Merchant - Convenience Store, Rental Service - Video rentals/sales",2,9583,132 St,9583 132 St,V3V5R2,6045842811,WTC,Commercial/Industrial,445120,Convenience Stores,,-122.856983,49.176665
7 Eleven Canada Store #36676H,"Retail Merchant - Convenience Store, Rental Service - Video rentals/sales",2,9583,132 St,9583 132 St,V3V5R2,6045842811,WTC,Commercial/Industrial,451220,"Pre-Recorded Tape, Compact Disc & Record Stores",,-122.856983,49.176665
7 Seas Immigration Inc,Immigration Consultant,154,8120,128 St,8120 128 St,V3W1R1,6045912222,NTC,Commercial/Industrial,541613,Immigration Consulting & Interpretation Services,,-122.867842,49.150211
7 Star Security Services Inc,Security Service,210,12899,76 Ave,12899 76 Ave,V3W1E6,6048972864,NTC,Commercial/Industrial,561621,Security Systems Services (except Locksmiths),,-122.864669,49.141089
701226 B C Ltd,General construction,103,2428,King George Blvd,2428 King George Blvd,V4P1H5,6045364663,SSTC,Commercial/Industrial,231230,General Construction Contractors,,-122.794151,49.046214
777 Bubble Tea,Restaurant - No Alcohol,,10422,168 St,10422 168 St,V4N1R9,6045887709,GTC,Commercial/Industrial,722512,Limited-service eating places,,-122.756339,49.191961
777 Pizza & Donair,Pizza,22A,7711,128 St,7711 128 St,V3W4E6,6045027773,NTC,Commercial/Industrial,722110,Restaurants,,-122.868065,49.143316
786 Auto Service & Collision Ltd,Auto Repair,,10652,135 St,10652 135 St,V3T4C7,6045999120,SCC,Commercial/Industrial,811111,General Automotive Repair,,0.000000,0.000000
786 Bentley Convenience Store Limited,Convenience Store,,13527,King George Blvd,13527 King George Blvd,V3T2T8,6045851099,SCC,Commercial/Industrial,445120,Convenience Stores,,-122.847258,49.200316
786 Chic Boutique,Retail Merchant - Clothing,358,10153,King George Blvd,10153 King George Blvd,V3T5H9,6049571723,SCC,Commercial/Industrial,448120,Women's Clothing Stores,,-122.845548,49.186961
803502 B C Ltd,Pharmacy - Retail Naturopathic Health Supplies,111,15388,24 Ave,15388 24 Ave,V4A2J2,6045427780,SSTC,Commercial/Industrial,446110,Pharmacies & Drug Stores,,-122.796021,49.045513
833490 BC Ltd,Security Service,393,8148,128 St,8148 128 St,V3W1R1,6045982424,NTC,Commercial/Industrial,561621,Security Systems Services (except Locksmiths),,-122.867844,49.150714
836261 BC Ltd,Real Estate - 0 to 5 Employees,392,8148,128 St,8148 128 St,V3W1R1,6045982424,NTC,Commercial/Industrial,531210,Offices of Real Estate Agents & Brokers,,-122.867844,49.150714
8386 Scott Road Medical Center,Medical Clinic,103,8386,120 St,8386 120 St,V3W3N4,6045949990,NTC,Commercial/Industrial,621110,Offices of Physicians,,-122.890235,49.155664
88 & Fraser Foods,Retail Convenience Store,,15278,Fraser Hwy,15278 Fraser Hwy,V3R3P4,6045814898,FTC,Commercial/Industrial,445210,Meat Markets,,-122.801367,49.165989
8th Avenue Elite Realty Ltd,"Business School - Realty Education, Printer/Publisher - Photocopy services",16,15531,24 Ave,15531 24 Ave,V4A2J4,6048087592,SSTC,Commercial/Industrial,323119,Other Printing,,-122.792152,49.045680
8th Avenue Elite Realty Ltd,"Business School - Realty Education, Printer/Publisher - Photocopy services",16,15531,24 Ave,15531 24 Ave,V4A2J4,6048087592,SSTC,Commercial/Industrial,611410,Business & Secretarial Schools,,-122.792152,49.045680
99 Nursery & Florist Inc,"Nursery & Florist, Giftware",,9376,King George Blvd,9376 King George Blvd,V3V5W3,6045846555,WTC,Commercial/Industrial,444220,Nursery & Garden Centres,,-122.845645,49.173272
99 Nursery & Florist Inc,"Nursery & Florist, Giftware",,9376,King George Blvd,9376 King George Blvd,V3V5W3,6045846555,WTC,Commercial/Industrial,453220,"Gift, Novelty & Souvenir Stores",,-122.845645,49.173272
A & A Contract Customs Brokers,Customs Broker,101,120,176 St,120 176 St,V3S9S2,6045427264,SSTC,Commercial/Industrial,488519,Other Freight Transportation Arrangement,,-122.735177,49.004334
A & A Testing Ltd,Testing Of Underground Utility Lines,102,19429,54 Ave,19429 54 Ave,V3S7X2,6045147635,CTC,Commercial/Industrial,541690,Other Scientific & Technical Consulting Services,,-122.684749,49.100205
A & B Tool Rentals Ltd,Equipment & tool rental,,10498,King George Blvd,10498 King George Blvd,V3T2W9,6048798284,SCC,Commercial/Industrial,532490,Other Commercial & Industrial Machinery & Equipment Rental & Leasing,,-122.845196,49.193103
A & F Caribbean Breeze Catering Ltd,Caterer,7,8145,130 St,8145 130 St,V3W7X4,6045943384,NTC,Commercial/Industrial,722320,Caterers,,-122.862413,49.150581
A & K Diesel Repair Ltd,Truck Repairs,,17841,64 Ave,17841 64 Ave,V3S1Z3,6045744266,CTC,Commercial/Industrial,811118,Truck & Trailer Repair & Maintenance,,-122.728543,49.118856
A & R Electric Ltd,Contractor - Electrical,206,13308,76 Ave,13308 76 Ave,V3W2W1,6045977088,NTC,Commercial/Industrial,232510,Electrical Contractors & Other Wiring Installation Contractors,,-122.853767,49.140818
A & S Insurance Services Ltd,Insurance Agency,,8294,120 St,8294 120 St,V3W3N4,6045913700,NTC,Commercial/Industrial,524210,Insurance Agencies & Brokerages,,-122.890232,49.154030
A & S Meat And Poultry Ltd,"Manufacturer/Machine Shop - Meat, Poultry Processing & Sale Outlet",105,12827,76 Ave,12827 76 Ave,V3W2V3,6045997345,NTC,Commercial/Industrial,311614,Rendering & Meat Processing from Carcasses,,-122.866366,49.141103
A & S Meat And Poultry Ltd,"Manufacturer/Machine Shop - Meat, Poultry Processing & Sale Outlet",105,12827,76 Ave,12827 76 Ave,V3W2V3,6045997345,NTC,Commercial/Industrial,311615,Poultry Processing,,-122.866366,49.141103
A & T Fine - Touch Finishing Ltd,Manufacture/Machine shop - Kitchen Cabinets,107,14620,64 Ave,14620 64 Ave,V3S1X7,7785931078,NTC,Commercial/Industrial,332710,Machine Shops,,-122.817090,49.119036
A & W Food Services,Restaurant,,15280,56 Ave,15280 56 Ave,V3S5K7,6045741982,NTC,Commercial/Industrial,722110,Restaurants,,-122.798878,49.104327
A & W Restaurant,Restaurant,,8488,120 St,8488 120 St,V3W3N5,6048615522,NTC,Commercial/Industrial,722110,Restaurants,,-122.890233,49.157221
A & W Restaurant,Restaurant - No Alcohol,,13645,102 Ave,13645 102 Ave,V3T1N7,6045805757,SCC,Commercial/Industrial,722110,Restaurants,,-122.843673,49.187906
A & W Restaurant,Restaurant,,2303,King George Blvd,2303 King George Blvd,V4A5A4,6045388807,SSTC,Commercial/Industrial,722110,Restaurants,,-122.791443,49.043745
A & W Restaurant,Restaurant,2702,10153,King George Blvd,10153 King George Blvd,V3T2W1,6045178447,SCC,Commercial/Industrial,722110,Restaurants,,-122.845548,49.186961
A & W Restaurant (#10 Hwy),Restaurant,,17830,56 Ave,17830 56 Ave,V3S1C7,6045749594,CTC,Commercial/Industrial,722110,Restaurants,,-122.728490,49.104075
A & W Restaurant (10110 - 152 St),Fast Food Restaurant,,10110,152 St,10110 152 St,V3R9W3,6045818616,GTC,Commercial/Industrial,722110,Restaurants,,-122.800768,49.186340
A & W Restaurant (72 Ave),Restaurant,,12133,72 Ave,12133 72 Ave,V3W2M1,6045962224,NTC,Commercial/Industrial,722110,Restaurants,,-122.886641,49.134131
A & W Restaurant (7330 King George Blvd),Restaurant,,7330,King George Blvd,7330 King George Blvd,V3W5A5,6045902226,NTC,Commercial/Industrial,722110,Restaurants,,-122.845459,49.135936
A & W Restaurant (Fraser Hwy),Fast Food Restaurant,,15988,Fraser Hwy,15988 Fraser Hwy,V4N0X8,6045979599,FTC,Commercial/Industrial,722110,Restaurants,,-122.779326,49.157443
A & Z Motorcars Ltd,Automobile Dealer/Rebuilder,,12750,King George Blvd,12750 King George Blvd,V3V3K5,6045943888,WTC,Commercial/Industrial,811111,General Automotive Repair,,-122.869084,49.206172
A 1 Auto Sales Ltd,"Used Car & Truck Sales,MOBILE Window Tinting",,12860,112 Ave,12860 112 Ave,V3T2S9,6045800400,SCC,Commercial/Industrial,811111,General Automotive Repair,,-122.865721,49.206149
A 1 Building Supplies Ltd,Wholesale - Drywall & Building Supplies,,8683,132 St,8683 132 St,V3W4P1,6045993822,NTC,Commercial/Industrial,416320,"Lumber, Plywood & Millwork Wholesaler-Distributors",,-122.857040,49.160151
A 1 Coffee & Donuts,Restaurant,,14795,108 Ave,14795 108 Ave,V3R1V9,6045814151,GTC,Commercial/Industrial,722110,Restaurants,,-122.812749,49.198821
A 1 Doors & Mouldings Ltd,Manufacturer - Doors,,12625,80 Ave,12625 80 Ave,V3W3A6,6045911044,NTC,Commercial/Industrial,332710,Machine Shops,,-122.872513,49.148336
A 1 Granite Limited,"Slabs, Granite, Tiles, Stone",,14747,64 Ave,14747 64 Ave,V3W1N9,6045974412,NTC,Commercial/Industrial,418990,All Other Wholesaler-Distributors,,-122.813717,49.119217
A 1 Immigration Services Ltd,Immigration Consultant,103,8140,120 St,8140 120 St,V3W3N3,6045904717,NTC,Commercial/Industrial,541613,Immigration Consulting & Interpretation Services,,-122.890226,49.151143
A 1 Kitchen Cabinets Ltd,Mfg. - Cabinets,106/,7750,128 St,7750 128 St,V3W0R6,6045010690,NTC,Commercial/Industrial,332710,Machine Shops,,-122.867795,49.143917
A 1 Paul's Trailer Repair Ltd,Repair Serv.,,19415,94 Ave,19415 94 Ave,V4N4E6,6048828627,GTC,Commercial/Industrial,811118,Truck & Trailer Repair & Maintenance,,-122.684638,49.173663
A 1 Railings & Gates Ltd,"Manufacturer/Machine Shop - Aluminum railings & gates, fences",117/,13065,84 Ave,13065 84 Ave,V3W1B3,6045077122,NTC,Commercial/Industrial,332710,Machine Shops,,-122.860482,49.155486
A 1 Sponge & Foam Fabrications Ltd,Foam Fabrications,100A,14666,64 Ave,14666 64 Ave,V3S1X7,6045903626,NTC,Commercial/Industrial,332710,Machine Shops,,-122.815863,49.119037
A 1 Trusses 2002 Ltd,Engineering Wood Trusses,201,8334,128 St,8334 128 St,V3W4G2,6045802200,NTC,Commercial/Industrial,541340,Drafting Services,,-122.867857,49.154056
A 1 Window Tinting,Automobile Cleaning/Car Wash/Detailing,101,12736,80 Ave,12736 80 Ave,V3W3A7,6045996500,NTC,Commercial/Industrial,232320,Glass & Glazing Work,,-122.869766,49.148102
A 2 Z Arena Products Ltd,Wrhse.,,10952,Scott Rd,10952 Scott Rd,V3N1J3,6047267400,WTC,Commercial/Industrial,493190,Other Warehousing & Storage,,-122.879104,49.202073
A A A Acupuncture Clinic,Acupuncture,203,8434,120 St,8434 120 St,V3W7S2,6045989529,NTC,Commercial/Industrial,621360,Offices of Acupuncturists & Acupressurists,,-122.890235,49.156474
A A A Kitchen Cabinets Ltd,Kitchen cabinets,E,12117,86 Ave,12117 86 Ave,V3W3H8,6045981300,NTC,Commercial/Industrial,332710,Machine Shops,,-122.886780,49.159696
A A A Transmission Clinic,Automotive Repair Service,101,13423,78 Ave,13423 78 Ave,V3W0A8,6045907040,NTC,Commercial/Industrial,811111,General Automotive Repair,,-122.850570,49.144610
A A C Woodworking & Mfg Ltd,Mfg. - Custom Woodworking & Manufacturing,,13315,72 Ave,13315 72 Ave,V3W2N5,6045943288,NTC,Commercial/Industrial,321919,Other Millwork,,-122.854158,49.133762
