Business Name,Products or Services,Unit,Number,Street,Postal Code,Phone Number,Town Centre,NAIC,NAIC Description,No of Employees,Latitude,Longitude,,
P C B Highway Sufference Warehouse,Trucking Serv.,155,17735,1 Ave,V3S9S1,6045381566,SSTC,484120,General Freight Trucking,4,49.00405593,-122.731587,,
Spady Transport Ltd,Transportation,,17735,1 Ave,V3S9S1,6045351825,SSTC,484120,General Freight Trucking,15,49.00405593,-122.731587,,
Humberto & Lisa Guillen,Apartment/Townhouse Rental,,12991,100 Ave,V3T1G9,6045121479,SCC,531111,Lessors of Residential Buildings & Dwellings,2,49.18458242,-122.8625154,,
Dream Team Financial Solutions Inc,Insurance,,13625,100 Ave,V3T1H9,7785498854,,524210,Insurance Agencies & Brokerages,10,49.18449375,-122.8443857,,
Save On Dry Cleaners,Dry Cleaners,,13629,100 Ave,V3T1H9,6045803295,SCC,812320,Dry Cleaning & Laundry Services (Except Coin-Operated),1,49.18444202,-122.8443826,,
Izumo Sushi Japanese Restaurant,Restaurant,,13631,100 Ave,V3T1H9,6045893405,SCC,722110,Restaurants,8,49.18443697,-122.8442852,,
International Currency Exchange,Currency Exchange,,13635,100 Ave,V3T1H9,6045820088,SCC,523130,Commodity Contracts Dealing,2,49.18443683,-122.8441802,,
Gold Medal Health Center,"Acupuncture, Holistic Health Care - Non RMT Massage,Massage Therapy (RMT),Reflexology,Professional Practitioner-Medical",,13637,100 Ave,V3T1H9,6045898889,SCC,621110,Offices of Physicians,1,49.18449115,-122.8441462,,
Gold Medal Health Center,"Acupuncture, Holistic Health Care - Non RMT Massage,Massage Therapy (RMT),Reflexology,Professional Practitioner-Medical",,13637,100 Ave,V3T1H9,6045898889,SCC,621360,Offices of Acupuncturists & Acupressurists,1,49.18449115,-122.8441462,,
Gold Medal Health Center,"Acupuncture, Holistic Health Care - Non RMT Massage,Massage Therapy (RMT),Reflexology,Professional Practitioner-Medical",,13637,100 Ave,V3T1H9,6045898889,SCC,621370,Offices of Massage Therapists,1,49.18449115,-122.8441462,,
Gold Medal Health Center,"Acupuncture, Holistic Health Care - Non RMT Massage,Massage Therapy (RMT),Reflexology,Professional Practitioner-Medical",,13637,100 Ave,V3T1H9,6045898889,SCC,621390,Offices of Other Health Practitioners,1,49.18449115,-122.8441462,,
Garcha Bro Meat Shop,Retail meat shop,,13643,100 Ave,V3T1H9,6045856100,SCC,445210,Meat Markets,2,49.18449203,-122.8440544,,
New Touch Beauty Hair Salon Inc,"Esthetician,Hair Salon/Barber",,13645,100 Ave,V3T1H9,6045801883,SCC,812114,Barber Shops,1,49.18443361,-122.8439897,,
New Touch Beauty Hair Salon Inc,"Esthetician,Hair Salon/Barber",,13645,100 Ave,V3T1H9,6045801883,SCC,812115,Beauty Salons,1,49.18443361,-122.8439897,,
Star Mart Convenience Store,Dollar Store,,13647,100 Ave,V3T1H9,7783953355,SCC,452999,All Other Miscellaneous General Merchandise Stores,2,49.18449191,-122.8439626,,
Surrey Central Pizza Point Ltd,Restaurant - No Alcohol,,13651,100 Ave,V3T1H9,6045858886,SCC,722110,Restaurants,4,49.18443069,-122.8439126,,
Arts Umbrella,Chartitable Society/Organization - Non-Profit Children's Art School,102,13678,100 Ave,V3T0H2,6045856996,SCC,813990,Other Membership Organizations,12,49.18405967,-122.8437964,,
Sprott Shaw College,Business School,3,13678,100 Ave,V3T0H2,6045831004,SCC,611410,Business & Secretarial Schools,15,49.18405967,-122.8437964,,
Boston Pizza Guildford,Restaurant,,15125,100 Ave,V3R9P4,6045813600,GTC,722110,Restaurants,70,49.18440821,-122.803407,,
BDO Canada LLP,Professional Practitioner-Accountant,303,15127,100 Ave,V3R0N9,6044965080,GTC,541212,Offices of Accountants,10,49.18523907,-122.8031241,,
Caissie & Company Law Coporation,Professional Practitioner-Lawyer,205,15127,100 Ave,V3R0N9,6045867200,GTC,541110,Offices of Lawyers,6,49.18523907,-122.8031241,,
Dr Frederick Cheung Inc,Professional Practitioner - Orthodontist,401,15127,100 Ave,V3R0N9,6043656636,GTC,621210,Offices of Dentists,6,49.18523907,-122.8031241,,
Dr Martin R Aidelbaum Inc,Oral & Maxillofacial Surgeon,404,15127,100 Ave,V3R0N9,6045897000,GTC,621210,Offices of Dentists,5,49.18523907,-122.8031241,,
Dr Titchener Chiropractic Corporation,Professional Practitioner-Chiropractor,101,15127,100 Ave,V3R0N9,6045894555,GTC,621310,Offices of Chiropractors,3,49.18523907,-122.8031241,,
Dr. Sharma Dental Corp.,Professional Practitioner-Dentist,405,15127,100 Ave,V3R0N9,6045851304,GTC,621210,Offices of Dentists,5,49.18523907,-122.8031241,,
Kazimirski Law Corporation (Trade name: KazLaw Injury Lawyer,Professional Practitioner-Lawyer,205,15127,100 Ave,V3R0N9,6046819344,GTC,541110,Offices of Lawyers,4,49.18523907,-122.8031241,,
Laborers International Union of North America,Union Organization,203,15127,100 Ave,V3R0N9,6049518877,GTC,813990,Other Membership Organizations,3,49.18523907,-122.8031241,,
Liang Inc Dr Garrick,Professional Practitioner-Dentist,402,15127,100 Ave,V3R0N9,7783957701,GTC,621210,Offices of Dentists,3,49.18523907,-122.8031241,,
Merchant Law Group LLP,Law Firm,303/,15127,100 Ave,V3R0N9,6046097777,GTC,541110,Offices of Lawyers,5,49.18523907,-122.8031241,,
Remax 2000 Realty (100 Ave),Real Estate Serv.,103,15127,100 Ave,V3R0N9,6045832000,GTC,531210,Offices of Real Estate Agents & Brokers,8,49.18523907,-122.8031241,,
Schill Insurance Brokers Ltd,Insurance Agent,302,15127,100 Ave,V3R0N9,6045913341,GTC,524210,Insurance Agencies & Brokerages,12,49.18523907,-122.8031241,,
Wilson Rasmussen LLP,Professional Practitioner-Lawyer,300,15127,100 Ave,V3R0N9,6045837917,GTC,541110,Offices of Lawyers,9,49.18523907,-122.8031241,,
Abercromby Melnychuk Chartered Professional Accountants,Chartered Accountants,305,15127,100 Ave,V3R6Y8,6049519891,GTC,541212,Offices of Accountants,8,49.18523907,-122.8031241,,
Canadawide Pharmacy,Retail Merchant - 0 to 2 Employees,102,15129,100 Ave,V3R9P4,6045814000,GTC,446110,Pharmacies & Drug Stores,3,49.18441016,-122.8027076,,
Coast Wellness Centre,Massage Therapy (RMT),100,15129,100 Ave,V3R9P4,6045833553,GTC,621370,Offices of Massage Therapists,1,49.18441016,-122.8027076,,
Dr Elsa Hui-Derksen Inc,Dentist,101,15129,100 Ave,V3R9P4,6045854980,GTC,621210,Offices of Dentists,1,49.18441016,-122.8027076,,
Dr Jennifer Yee Inc,Dentist,101,15129,100 Ave,V3R9P4,6045854980,GTC,621210,Offices of Dentists,1,49.18441016,-122.8027076,,
Dr John T W Hung Inc,Part-time Dentist,101,15129,100 Ave,V3R9P4,6045854980,GTC,621210,Offices of Dentists,1,49.18441016,-122.8027076,,
Dr. Jonathan L.H. Hung Inc.,Professional Practitioner-Dentist,101,15129,100 Ave,V3R9P4,7789910106,GTC,621210,Offices of Dentists,2,49.18441016,-122.8027076,,
Dr. Mark F Casafrancisco Inc,Dentist,101,15129,100 Ave,V3R9P4,6045854980,GTC,621210,Offices of Dentists,1,49.18441016,-122.8027076,,
Dr. Peter Y K Chan Inc,Part-time Dentist,101,15129,100 Ave,V3R9P4,6045854980,GTC,621210,Offices of Dentists,1,49.18441016,-122.8027076,,
Fleetwood Physiotherapist Corporation,Professional Practitioner-Medical/Physiotherapy,100,15129,100 Ave,V3R9P4,6045815236,GTC,621340,"Offices of Physical, Occupational & Speech Therapists & Audiologists",4,49.18441016,-122.8027076,,
Monarch Pediatric Dental Centre Surrey,Dental Services,101,15129,100 Ave,V3R9P4,6045854980,GTC,621210,Offices of Dentists,10,49.18441016,-122.8027076,,
Sanhao BBQ Delight,Restaurant - No Alcohol,1,15138,100 Ave,V3R0J8,6044983288,GTC,722110,Restaurants,50,49.18398086,-122.8025302,,
Triple 8 Restaurant Ltd,Restaurant - No Alcohol,2,15138,100 Ave,V3R0J8,6045852559,GTC,722110,Restaurants,5,49.18398086,-122.8025302,,
Boiling Point Restaurant (BC) Inc,Restaurant - No Alcohol,,15146,100 Ave,V3R0J8,6045881292,GTC,722512,Limited-service eating places,10,49.18396932,-122.8022452,,
Browns Socialhouse,Food Primary-Class B Dining Lounge,101,15146,100 Ave,V3R0J8,6043398305,GTC,722511,Full-service restaurants,50,49.18396932,-122.8022452,,
Menchie's,Restaurant - No Alcohol,103,15146,100 Ave,V3R0N9,6045887002,GTC,722512,Limited-service eating places,5,49.18396932,-122.8022452,,
20050618 Enterprises Ltd,Retail Chinese Herbs,101M,15277,100 Ave,V3R8X2,6045832338,GTC,446191,Food (Health) Supplement Stores,4,49.1844401,-122.7987902,,
Bao Wei Qun,Acupuncture,101M,15277,100 Ave,V3R8X2,6045832338,GTC,621360,Offices of Acupuncturists & Acupressurists,1,49.1844401,-122.7987902,,
Big C Sari Sari Store At I B A P A,"Currency exchange, groceries,Travel Agency",113,15277,100 Ave,V3R8X2,6049572873,GTC,445110,Supermarkets & Other Grocery (except Convenience) Stores,4,49.1844401,-122.7987902,,
Big C Sari Sari Store At I B A P A,"Currency exchange, groceries,Travel Agency",113,15277,100 Ave,V3R8X2,6049572873,GTC,523130,Commodity Contracts Dealing,4,49.1844401,-122.7987902,,
Big C Sari Sari Store At I B A P A,"Currency exchange, groceries,Travel Agency",113,15277,100 Ave,V3R8X2,6049572873,GTC,561510,Travel Agencies,4,49.1844401,-122.7987902,,
Century Books,Retail Books & Magazines,101N,15277,100 Ave,V3R8X2,6045813471,GTC,451210,Book Stores & News Dealers,1,49.1844401,-122.7987902,,
Chans Kitchen,Restaurant - No Alcohol,101B,15277,100 Ave,V3R8X2,7788858896,GTC,722110,Restaurants,1,49.1844401,-122.7987902,,
Co Operators Insurance Agencies,Insurance Agency,107,15277,100 Ave,V3R8X2,6045810471,GTC,524210,Insurance Agencies & Brokerages,10,49.1844401,-122.7987902,,
Dr J T Wang Inc,Professional Practitioner-Medical,109,15277,100 Ave,V3R8X2,6045888811,GTC,621110,Offices of Physicians,3,49.1844401,-122.7987902,,
Edward's Acupuncture Centre,Acupuncture,101L,15277,100 Ave,V3R8X2,6045818312,GTC,621360,Offices of Acupuncturists & Acupressurists,5,49.1844401,-122.7987902,,
Fresh Blooms Flowers,Retail Merchant - Florist,101P,15277,100 Ave,V3R8X2,7789871636,GTC,453110,Florists,1,49.1844401,-122.7987902,,
Grandfair Travel Ltd,Travel Agency,101K,15277,100 Ave,V3R8X2,6045826888,GTC,561510,Travel Agencies,5,49.1844401,-122.7987902,,
Impact Plaza Medical Centre,Professional Practitioner-Medical,109,15277,100 Ave,V3R8X2,6044965182,GTC,621110,Offices of Physicians,4,49.1844401,-122.7987902,,
J Kim Tae Kwon Do,Martial Arts,117,15277,100 Ave,V3R8X2,6045841000,GTC,611620,Athletic Instruction,1,49.1844401,-122.7987902,,
Jessica Ping Ping Toth,Hair Salon/Barber - Chair Rental,115,15277,100 Ave,V3R8X2,6045816828,GTC,812114,Barber Shops,1,49.1844401,-122.7987902,,
Jessica Ping Ping Toth,Hair Salon/Barber - Chair Rental,115,15277,100 Ave,V3R8X2,6045816828,GTC,812115,Beauty Salons,1,49.1844401,-122.7987902,,
Joe Lee,"Retail Merchant- Cell phone, accessories, home phone service, TV, Internet and Key Cutting",101Q,15277,100 Ave,V3R8X2,6049982777,GTC,443110,"Appliance, Television & Other Electronics Stores",1,49.1844401,-122.7987902,,
Kata King Services Ltd,Cell & Shaver Products,101J,15277,100 Ave,V3R8X2,6049308080,GTC,443110,"Appliance, Television & Other Electronics Stores",1,49.1844401,-122.7987902,,
Khanh Loc Deli & Sandwiches,Deli & Sandwiches at food court,101A,15277,100 Ave,V3R8X2,6045897572,GTC,722110,Restaurants,3,49.1844401,-122.7987902,,
Kwan Kee Noodle House,Food Court Restaurant,101D,15277,100 Ave,V3R8X2,6045882521,GTC,722110,Restaurants,2,49.1844401,-122.7987902,,
Lifesew Tailoring & Alterations,Tailor,,15277,100 Ave,V3R8X2,7788890595,GTC,315999,Dressmaking & Tailoring,1,49.1844401,-122.7987902,,
Little Tea House,Restaurant.,101G,15277,100 Ave,V3R8X2,6045883050,GTC,722110,Restaurants,3,49.1844401,-122.7987902,,
M & M Meat Shops,Retail sale of frozen food products,111,15277,100 Ave,V3R8X2,6045881726,GTC,445299,All Other Specialty Food Stores,5,49.1844401,-122.7987902,,
Rodem Korea,Food Court Restaurant,101F,15277,100 Ave,V3R8X2,7786861103,GTC,722110,Restaurants,2,49.1844401,-122.7987902,,
Sashimi & Sushi Express,Restaurant - No Alcohol,101C,15277,100 Ave,V3R8X2,6045841190,GTC,722512,Limited-service eating places,2,49.1844401,-122.7987902,,
Surrey Hearing Guildford Inc,Health Care Consultant,,15277,100 Ave,V3R8X2,6044963338,GTC,624190,Other Individual & Family Services,2,49.1844401,-122.7987902,,
Y L's Curry Bowl,Restaurant,101E,15277,100 Ave,V3R8X2,6049301155,GTC,722110,Restaurants,5,49.1844401,-122.7987902,,
Burnside Apartments,Apartment Rentals,,13784,101 Ave,V3T1L4,6045895505,SCC,531111,Lessors of Residential Buildings & Dwellings,4,49.18593139,-122.8403644,,
Skyline Apartments,Apartment/Townhouse Rental,,13929,101 Ave,V3T5R9,6045827970,SCC,531111,Lessors of Residential Buildings & Dwellings,2,49.18619053,-122.8362446,,
Landmark Cinema 12 Guildford,Movie Theatre - Video Games,,15051,101 Ave,V3T4C9,6045814218,GTC,512130,Motion Picture & Video Exhibition,66,49.18627117,-122.8050192,,
Landmark Cinema 12 Guildford,Movie Theatre - Video Games,,15051,101 Ave,V3T4C9,6045814218,GTC,713120,Amusement Arcades,66,49.18627117,-122.8050192,,
Landmark Cinema 12 Guildford,Movie Theatre - Video Games,,15051,101 Ave,V3T4C9,6045814218,GTC,722210,Concessions,66,49.18627117,-122.8050192,,
Akasaka Japanese Restaurant Surrey Ltd,Dining Lounge,,15110,101 Ave,V3R7V4,6045881244,GTC,722110,Restaurants,9,49.18597032,-122.8034003,,
S U C C E S S,Charitable Society/Organization,100,15117,101 Ave,V3R8P7,6045886869,GTC,813990,Other Membership Organizations,39,49.18628623,-122.8032962,,
I R C Injury Resource Centre,Professional Practitioner-Medical,200,15135,101 Ave,V3R0C6,6044965955,GTC,621340,"Offices of Physical, Occupational & Speech Therapists & Audiologists",2,49.18630015,-122.8027022,,
Dr. S Sawhney & Dr. S. Lochub Inc,Medical Clinic,200,15135,101 Ave,V3R7Z1,6045070623,GTC,621110,Offices of Physicians,2,49.18630015,-122.8027022,,
Guildford Drugs Ltd,Retail Merchant - 0 to 2 Employees,200,15135,101 Ave,V3R7Z1,6046442033,GTC,446110,Pharmacies & Drug Stores,2,49.18630015,-122.8027022,,
Guildford Grace Optical,Retail - Optical,103B,15135,101 Ave,V3R7Z1,6049513000,GTC,446130,Optical Goods Stores,1,49.18630015,-122.8027022,,
Hanako Japanese Restaurant Inc,Restaurant,205,15135,101 Ave,V3R7Z1,6045828833,GTC,722110,Restaurants,8,49.18630015,-122.8027022,,
Lotus Natural Health Centre,Holistic Health Care,200,15135,101 Ave,V3R7Z1,6049519987,GTC,621390,Offices of Other Health Practitioners,1,49.18630015,-122.8027022,,
Miracle Ear Canada Ltd,Retail Merchant - Hearing Aids,203A,15135,101 Ave,V3R7Z1,6045800055,GTC,44619,Other health & personal care stores,2,49.18630015,-122.8027022,,
Surrey Insurance Agency Inc.,Insurance Agent,200A,15135,101 Ave,V3R7Z1,7783946700,GTC,524210,Insurance Agencies & Brokerages,4,49.18630015,-122.8027022,,
Oriental Buffet Restaurant,Dining Lounge,,15140,101 Ave,V3R7V4,6045838893,GTC,722110,Restaurants,20,49.18595325,-122.8021554,,
Big Feet,"Holistic Health Care - Reflexology, Massage (Non-RMT)",105,15155,101 Ave,V3R7V4,6044970888,GTC,621390,Offices of Other Health Practitioners,3,49.18629935,-122.802234,,
Boom Bee,Food Primary-Class B Dining Room,101,15155,101 Ave,V3R7Z1,6045803553,GTC,722110,Restaurants,3,49.18629935,-122.802234,,
Domino's Pizza #10052,Pizza take out & delivery,102,15155,101 Ave,V3R7Z1,6045857422,GTC,722110,Restaurants,8,49.18629935,-122.802234,,
Guildford's Laundry Chute,Laundromat,104,15155,101 Ave,V3R7Z1,6045851866,GTC,812320,Dry Cleaning & Laundry Services (Except Coin-Operated),2,49.18629935,-122.802234,,
Pita Pit,Restaurant - No Alcohol,103A,15155,101 Ave,V3R7Z1,6042309633,GTC,722512,Limited-service eating places,6,49.18629935,-122.802234,,
Seoul Gill House,Food Primary-Class B Dining Room,100,15155,101 Ave,V3R7Z1,6045888292,GTC,722110,Restaurants,1,49.18629935,-122.802234,,
Vancouver City Savings Credit Union (101 Ave,Banking,108,15175,101 Ave,V3R7Z1,6048777301,GTC,522130,Local Credit Unions,18,49.18629106,-122.8017543,,
Nandos Chicken Guildford,Food Primary-Class B Dining Room,104,15190,101 Ave,V3R7V4,6045873210,GTC,722110,Restaurants,12,49.18595731,-122.8016742,,
De Jesus Inc Dr Daniel,Professional Practitioner-Dentist,D2,15251,101 Ave,V3R9V8,6045886575,GTC,621210,Offices of Dentists,8,49.18625593,-122.7997781,,
B C A A Insurance Agency,Insurance Agency,D1,15251,101 Ave,V3Z0R5,6042051000,GTC,524210,Insurance Agencies & Brokerages,13,49.18625593,-122.7997781,,
Greater Vancouver Community Credit Union,Credit Union,,15280,101 Ave,V3R4G5,6045844434,GTC,522130,Local Credit Unions,9,49.18597274,-122.7986031,,
Big Chicken Town,Food Primary-Class B Dining Room,130,15280,101 Ave,V3R8X7,6044965007,GTC,722110,Restaurants,5,49.18597274,-122.7986031,,
Dollar Tree Stores Canada Inc,Retail Merchant - Dollar Store #40019,135,15280,101 Ave,V3R8X7,6045364428,GTC,452999,All Other Miscellaneous General Merchandise Stores,8,49.18597274,-122.7986031,,
Lee Gar Nei,Restaurant - Full Service,128,15280,101 Ave,V3R8X7,6046183922,GTC,722511,Full-service restaurants,5,49.18597274,-122.7986031,,
Mega Hair Care,Hairdresser,136,15280,101 Ave,V3R8X7,6045839339,GTC,812115,Beauty Salons,1,49.18597274,-122.7986031,,
Pharmasave No 206,Retail Pharmacy,119,15280,101 Ave,V3R8X7,6045843331,GTC,446110,Pharmacies & Drug Stores,24,49.18597274,-122.7986031,,
Tan De Soleil Sun Tan Studios Inc,Tanning Salon,131B,15280,101 Ave,V3R8X7,6045849559,GTC,812190,Other Personal Care Services,6,49.18597274,-122.7986031,,
Coffee Monster (Guildford) Inc,Coffee Shop -Cafe,C1B,15285,101 Ave,V3P9V8,7783944001,GTC,722512,Limited-service eating places,10,49.18638766,-122.7986747,,
Canadian Blood Services,Charitable Organization - Blood Donor Clinic,C2,15285,101 Ave,V3R9V8,6045010362,GTC,813990,Other Membership Organizations,20,49.18638766,-122.7986747,,
Dulux Paints,Retail Merchant - Paint Store,C4,15285,101 Ave,V3R9V8,7788371467,GTC,444120,Paint & Wallpaper Stores,4,49.18638766,-122.7986747,,
Petsmart Inc #2531,"Retail Merchant - Pet Products, Dog Grooming",C6,15285,101 Ave,V3R9V8,6045882640,GTC,453910,Pet & Pet Supplies Stores,12,49.18638766,-122.7986747,,
Petsmart Inc #2531,"Retail Merchant - Pet Products, Dog Grooming",C6,15285,101 Ave,V3R9V8,6045882640,GTC,812910,Pet Care (except Veterinary) Services,12,49.18638766,-122.7986747,,
Singh Gurbachan,Apartment Rental,,13059,101B Ave,V3T1M5,6045028596,SCC,531111,Lessors of Residential Buildings & Dwellings,1,49.18778061,-122.860641,,
Oak Avenue Neighbourhood Hub Society,Charitable Organization,,12740,102 Ave,V3V3E5,6045827088,WTC,813990,Other Membership Organizations,1,49.18785903,-122.8693954,,
Whalley Family Resource Program/Parent Education & Peer Supp,Social services non profit,,12740,102 Ave,V3V3E5,6045845811,WTC,813990,Other Membership Organizations,5,49.18785903,-122.8693954,,
Blenz SFU Kiosk,Restaurant,250,13450,102 Ave,V3T0A3,7787823003,SCC,722110,Restaurants,10,49.18791904,-122.8487665,,
Euphoric Day Spa,Seminar,,13450,102 Ave,V3T0A3,6045920585,SCC,541611,Administrative Management & General Management Consulting Services,1,49.18791904,-122.8487665,,
7 Eleven Canada Inc,Head Office for 7-Eleven Convenience Stores,2400,13450,102 Ave,V3T0C3,6045860711,SCC,541611,Administrative Management & General Management Consulting Services,58,49.18791904,-122.8487665,,
Continental Flower Market,Retail Sales - Flowers,145,13450,102 Ave,V3T2X3,6049516699,SCC,453110,Florists,3,49.18791904,-122.8487665,,
Barbican Property Management Inc.,Property Management,2500,13450,102 Ave,V3T5X3,6049483832,SCC,531310,Real Estate Property Managers,4,49.18791904,-122.8487665,,
Best Buy Mobile,Retail,142,13450,102 Ave,V3T5X3,6046341128,SCC,443110,"Appliance, Television & Other Electronics Stores",10,49.18791904,-122.8487665,,
Blenz Central City,"Retail Coffee, Caf?®",110,13450,102 Ave,V3T5X3,6045833370,SCC,445298,Coffee & Tea Stores,12,49.18791904,-122.8487665,,
Blenz Central City,"Retail Coffee, Caf?®",110,13450,102 Ave,V3T5X3,6045833370,SCC,722110,Restaurants,12,49.18791904,-122.8487665,,
Cambian Business Services Inc,General Business Office,1690,13450,102 Ave,V3T5X3,6045819356,SCC,541611,Administrative Management & General Management Consulting Services,6,49.18791904,-122.8487665,,
Central City Brewers & Distillers Ltd,"Restaurant, Neighbourhood Pub, Beer & Wine Store",190,13450,102 Ave,V3T5X3,6045826620,SCC,445310,"Beer, Wine & Liquor Stores",20,49.18791904,-122.8487665,,
Central City Brewers & Distillers Ltd,"Restaurant, Neighbourhood Pub, Beer & Wine Store",190,13450,102 Ave,V3T5X3,6045826620,SCC,722110,Restaurants,20,49.18791904,-122.8487665,,
Central City Brewers & Distillers Ltd,"Restaurant, Neighbourhood Pub, Beer & Wine Store",190,13450,102 Ave,V3T5X3,6045826620,SCC,722410,Drinking Places,20,49.18791904,-122.8487665,,
Century Group,Real Estate - 26 to 50 Employees,2500,13450,102 Ave,V3T5X3,6049432203,SCC,531210,Offices of Real Estate Agents & Brokers,35,49.18791904,-122.8487665,,
Colliers Macaulay Nicolls Inc,Real Estate Office,1850,13450,102 Ave,V3T5X3,6046814111,SCC,531210,Offices of Real Estate Agents & Brokers,12,49.18791904,-122.8487665,,
Commissionaires BC Fingerprinting & Identification Services,Fingerprinting & Identification Services,140,13450,102 Ave,V3T5X3,6046463330,SCC,561611,Investigation Services,1,49.18791904,-122.8487665,,
Community Savings Credit Union (102 Ave),Admin. Office,1600,13450,102 Ave,V3T5X3,6046542000,SCC,541611,Administrative Management & General Management Consulting Services,28,49.18791904,-122.8487665,,
D M A C Technologies,Retail Merchant - Computer Retail,150,13450,102 Ave,V3T5X3,6048211228,SCC,443120,Computer & Software Stores,6,49.18791904,-122.8487665,,
FinancialCAD Corporation,Software Design/Consultant,1750,13450,102 Ave,V3T5X3,6049571200,SCC,334999,Hi Tech Industries,110,49.18791904,-122.8487665,,
FinancialCAD Corporation,Software Design/Consultant,1750,13450,102 Ave,V3T5X3,6049571200,SCC,541510,Computer Systems Design & Related Services,110,49.18791904,-122.8487665,,
Gallery 7 Photography Inc,Photographer/Videographer,175,13450,102 Ave,V3T5X3,7789914462,SCC,541920,Photographic Services,1,49.18791904,-122.8487665,,
Hemlock Investments Ltd,Professional Practitioner-Accountant,1400,13450,102 Ave,V3T5X3,6044958922,SCC,541212,Offices of Accountants,1,49.18791904,-122.8487665,,
J L Osten Inc,Professional Practitioner-Accountant,1400,13450,102 Ave,V3T5X3,6044958942,SCC,541212,Offices of Accountants,1,49.18791904,-122.8487665,,
M L S Investments Ltd,Professional Practitioner-Accountant,1400,13450,102 Ave,V3T5X3,6048067802,SCC,541212,Offices of Accountants,1,49.18791904,-122.8487665,,
McElhanney Associates Land Surveying Ltd,Professional Practitioner-Land Surveyor,,13450,102 Ave,V3T5X3,6045969039,SCC,541370,Surveying & Mapping Services,100,49.18791904,-122.8487665,,
McElhanney Consulting Services Ltd,"Civil Engineering & Surveying,Professional Practitioner - Engineering/Land  Surveying/Mapping",,13450,102 Ave,V3T5X3,6045960391,SCC,541330,Engineering Services,50,49.18791904,-122.8487665,,
McQuarrie Hunter LLP,Professional Practitioner-Lawyer,1500,13450,102 Ave,V3T5X3,6045817001,SCC,541110,Offices of Lawyers,85,49.18791904,-122.8487665,,
PricewaterhouseCoopers LLP,Public Accountant,1400,13450,102 Ave,V3T5X3,6048067000,SCC,541212,Offices of Accountants,60,49.18791904,-122.8487665,,
Sandvik Mining & Construction Canada Inc,Administration Office,1150,13450,102 Ave,V3T5X3,6045804830,SCC,541611,Administrative Management & General Management Consulting Services,18,49.18791904,-122.8487665,,
Shefield Express (102 Ave),"Retail Gifts, Tobacconist",115,13450,102 Ave,V3T5X3,6045800031,SCC,453220,"Gift, Novelty & Souvenir Stores",1,49.18791904,-122.8487665,,
Shefield Express (102 Ave),"Retail Gifts, Tobacconist",115,13450,102 Ave,V3T5X3,6045800031,SCC,453999,All Other Miscellaneous Store Retailers (except Beer & Wine Making Supplies Stores),1,49.18791904,-122.8487665,,
Stenberg College,Vocational School,750,13450,102 Ave,V3T5X3,6045850988,SCC,611510,Technical & Trade Schools,150,49.18791904,-122.8487665,,
