,BRITISH_COLUMBIA,CITY_OF_SURREY,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY_INCLUDING_CITY_CENTRE
      1981 to 1990,72625,12400,505,755,1970,1730,4080,785,2570,3070
      1991 to 2000,140985,26505,1055,1340,3735,3915,9725,1480,5240,6300
      2001 to 2011,161510,32120,2110,1460,4105,4700,11550,2315,5880,7990
        2001 to 2005,74395,15260,855,675,2100,2225,5495,1070,2830,3690
        2006 to 2011,87110,16865,1255,780,2005,2475,6055,1240,3045,4305
    Non-permanent residents,30880,2235,385,165,335,355,550,160,280,660
  Females in private households by immigrant status and period of immigration,2198830,233535,10910,27400,29405,29410,66310,35130,34970,45880
    Non-immigrants,1534330,133650,5900,21655,15590,15095,32955,25340,17105,23010
    Immigrants,630385,97350,4660,5530,13455,13825,32900,9490,17500,22160
      Before 1971,113710,8690,440,750,1125,1040,1725,2605,1010,1455
      1971 to 1980,84470,11205,345,805,1760,1255,3905,1415,1710,2055
      1981 to 1990,83820,13260,475,770,2210,1725,4435,890,2760,3235
      1991 to 2000,164670,29350,1250,1625,3975,4270,10485,1815,5930,7180
      2001 to 2011,183710,34840,2145,1575,4385,5540,12350,2770,6080,8225
        2001 to 2005,85705,16825,915,740,2225,2590,6135,1235,2995,3905
        2006 to 2011,98005,18020,1230,835,2165,2950,6210,1540,3085,4320
    Non-permanent residents,34115,2530,345,215,360,490,450,295,365,710
Total immigrant population in private households by age at immigration,1191875,187840,9005,10970,26035,26620,63685,17700,33825,42830
  Under 5 years,108990,14615,815,1245,2005,2255,4240,1985,2070,2885
  5 to 14 years,201820,28705,1235,1995,4165,5010,8145,3560,4590,5830
  15 to 24 years,268750,50460,1980,2895,6835,5390,19500,3725,10140,12120
  25 to 44 years,476840,67535,3980,3875,9475,10945,21025,6930,11305,15285
  45 years and over,135480,26520,995,960,3555,3015,10775,1505,5715,6705
  Male immigrants in private households by age at immigration,561485,90490,4345,5445,12580,12795,30790,8215,16325,20670
    Under 5 years,54755,7480,470,680,1065,1085,2240,880,1065,1535
    5 to 14 years,103900,14960,595,1105,2330,2605,4210,1835,2280,2875
    15 to 24 years,121580,22490,975,1285,3070,2520,8525,1640,4490,5460
    25 to 44 years,218305,33065,1840,1970,4490,5010,10900,3065,5795,7635
    45 years and over,62945,12495,470,405,1630,1580,4920,795,2700,3165
  Female immigrants in private households by age at immigration,630390,97355,4660,5530,13450,13825,32905,9485,17495,22155
    Under 5 years,54235,7135,350,565,940,1175,2005,1105,1000,1345
    5 to 14 years,97915,13740,645,890,1830,2410,3935,1730,2310,2950
    15 to 24 years,147165,27970,1010,1610,3770,2870,10970,2090,5655,6660
    25 to 44 years,258530,34475,2135,1910,4985,5935,10130,3865,5515,7650
    45 years and over,72540,14030,520,560,1925,1435,5860,705,3025,3545
Total population in private households by immigrant status and selected places of birth,4324455,463340,22185,54155,58190,58280,131800,67355,71370,93555
  Non-immigrants,3067590,270735,12445,42810,31460,30820,67110,49195,36905,49350
    Born in province of residence,2106250,208750,8450,33065,25355,23970,55735,32030,30145,38595
    Born outside province of residence,961335,61985,3995,9740,6105,6845,11375,17165,6760,10755
  Immigrants,1191875,187840,9005,10970,26035,26620,63690,17705,33825,42830
    Americas,105195,10175,680,935,1245,1300,2655,1800,1550,2230
      United States,57975,3735,150,440,450,400,755,1135,405,555
      Jamaica,2865,635,95,50,65,100,185,55,85,185
      Guyana,1320,175,20,0,25,40,50,30,0,25
      Haiti,540,55,0,0,0,0,35,0,0,0
      Mexico,8775,635,25,85,165,75,150,85,45,70
      Trinidad and Tobago,2800,395,20,0,30,100,135,45,55,75
      Colombia,3310,545,20,50,55,85,185,80,70,95
      El Salvador,5635,1340,140,120,160,140,380,0,395,535
      Peru,2925,235,0,35,25,50,60,15,40,40
      Chile,2640,300,0,45,40,50,125,20,20,20
      Other places of birth in Americas,16405,2130,190,90,225,270,595,320,430,625
    Europe,322795,25605,1330,3315,2995,3580,4630,7135,2620,3945
      United Kingdom,130730,10125,240,1350,1035,925,2365,3420,785,1030
      Italy,15985,915,0,155,160,135,130,240,95,95
      Germany,35095,2465,120,350,195,260,410,860,270,390
      Poland,14625,2090,245,180,310,620,195,275,250,500
      Portugal,8135,830,25,65,155,130,150,75,235,255
      Netherlands,20640,1695,90,390,285,215,235,365,115,210
      France,5335,330,30,40,80,50,35,60,0,70
      Romania,8005,565,50,100,55,95,115,100,45,95
      Russian Federation,8795,465,115,0,30,85,60,115,55,170
      Greece,3350,350,0,80,90,30,45,30,65,80
      Ukraine,7060,675,45,25,80,150,80,250,40,85
      Croatia,5645,440,0,15,60,125,50,70,105,110
      Hungary,5960,510,25,50,40,75,110,115,90,120
      Bosnia and Herzegovina,4215,295,30,0,50,65,25,65,55,85
      Serbia,4635,245,45,20,30,85,15,35,0,55
"      Ireland, Republic of",5175,410,0,40,40,20,25,240,0,40
      Other places of birth in Europe,39410,3200,215,450,270,510,585,815,350,565
    Africa,37270,5135,320,475,520,945,1625,530,720,1045
      Morocco,910,50,0,0,0,0,0,0,0,0
      Algeria,485,90,0,0,0,0,40,0,0,0
      Egypt,1770,360,10,20,35,130,60,35,75,80
"      South Africa, Republic of",12810,695,20,100,85,70,70,320,40,55
      Nigeria,1230,400,40,110,25,95,60,0,60,100
      Ethiopia,1645,255,0,25,45,90,55,0,30,40
      Kenya,4520,755,35,70,75,75,370,55,65,105
      Other places of birth in Africa,13905,2530,195,145,240,430,975,105,445,640
    Asia,696700,137615,6325,5935,20215,20305,51090,7880,25865,32185
      India,143340,70680,960,2190,8250,2360,38015,1230,17680,18635
      China,167530,10570,1200,495,1555,3085,1055,2510,670,1875
      Philippines,96560,20240,1620,935,4105,5335,4340,445,3460,5080
      Hong Kong Special Administrative Region,74635,2315,140,185,540,440,550,265,205,340
      Viet Nam,25845,5165,475,375,1195,1170,845,25,1085,1555
      Pakistan,8565,4320,155,110,380,275,2850,50,500,660
      Sri Lanka,4430,1055,75,65,240,250,290,0,125,205
      Iran,30050,890,70,60,195,175,240,105,40,110
"      Korea, South",37725,6165,515,655,1225,2685,175,835,70,590
      Lebanon,1745,320,0,0,60,35,105,0,90,100
      Taiwan,42045,6095,215,180,740,2220,660,1805,270,480
      Iraq,3425,1120,70,25,35,695,135,0,150,225
      Bangladesh,1580,265,60,0,35,30,80,0,50,110
      Afghanistan,3525,820,125,0,125,90,325,0,130,250
      Japan,12355,730,90,75,130,135,110,85,115,205
      Turkey,2105,195,0,15,0,30,45,65,0,30
      Other places of birth in Asia,41230,6670,525,530,1400,1300,1270,430,1215,1745
    Oceania and other,29910,9310,345,310,1055,485,3685,355,3070,3415
      Fiji,17555,8545,285,205,1010,380,3590,30,3040,3325
      Other places of birth,12355,770,65,105,50,105,90,320,25,90
  Non-permanent residents,64990,4760,735,380,695,845,1005,460,645,1375
  Males in private households by immigrant status and selected places of birth,2125625,229805,11275,26760,28785,28870,65490,32225,36400,47670
    Non-immigrants,1533260,137080,6540,21150,15865,15720,34155,23850,19795,26340
      Born in province of residence,1059575,106205,4215,16430,12965,12385,28555,15725,15930,20145
      Born outside province of residence,473680,30880,2325,4725,2900,3335,5600,8125,3865,6195
    Immigrants,561485,90490,4340,5445,12580,12795,30785,8215,16325,20670
      Americas,48190,4665,260,425,665,660,1205,755,700,960
        United States,26735,1780,75,210,260,245,365,445,180,250
        Jamaica,1315,205,0,10,0,35,70,0,25,30
        Guyana,570,65,0,0,10,20,15,0,0,0
        Haiti,245,0,0,0,0,0,0,0,0,0
        Mexico,3910,280,0,40,65,40,60,40,25,40
        Trinidad and Tobago,1300,145,0,0,15,40,40,20,0,15
        Colombia,1425,225,0,0,0,20,100,30,30,40
        El Salvador,2565,670,55,65,100,65,175,0,205,250
        Peru,1155,100,0,0,10,0,25,0,0,0
        Chile,1180,140,0,30,15,40,45,0,0,0
        Other places of birth in Americas,7785,1040,90,25,125,120,290,185,200,295
      Europe,159085,12495,665,1730,1430,1845,2200,3415,1205,1875
        United Kingdom,63185,4910,135,695,530,500,1130,1630,295,435
        Italy,8620,540,0,100,95,70,70,155,50,50
        Germany,17155,1160,90,185,60,110,190,395,135,225
        Poland,6955,990,110,85,140,310,85,125,135,245
        Portugal,3975,430,20,30,75,70,85,35,115,140
        Netherlands,10460,780,0,190,95,80,135,185,55,90
        France,2745,165,0,35,40,40,15,25,0,0
        Romania,3890,265,25,45,30,60,70,25,0,35
        Russian Federation,3930,210,45,0,0,50,25,60,25,70
        Greece,1875,190,0,50,40,0,15,20,50,50
        Ukraine,3340,295,10,0,45,65,40,90,20,30
        Croatia,2895,230,0,0,30,60,25,25,85,85
        Hungary,3190,225,0,35,25,25,45,60,25,35
        Bosnia and Herzegovina,2120,170,20,0,30,35,20,30,30,55
        Serbia,2350,155,25,25,25,45,10,25,0,35
"        Ireland, Republic of",2645,210,0,25,20,0,15,120,0,15
        Other places of birth in Europe,19750,1580,130,225,150,285,230,410,155,285
      Africa,18585,2630,170,285,285,510,740,220,425,590
        Morocco,500,25,0,0,0,0,0,0,0,0
        Algeria,310,50,0,0,0,0,0,0,0,0
        Egypt,1035,185,0,0,0,60,35,0,45,50
"        South Africa, Republic of",6275,335,15,60,60,20,40,125,20,35
        Nigeria,800,270,25,105,15,70,30,0,25,50
        Ethiopia,780,125,0,0,20,50,25,0,20,30
        Kenya,2030,330,25,30,45,35,145,25,30,55
        Other places of birth in Africa,6860,1310,85,80,125,255,440,60,265,355
      Asia,321170,66215,3095,2840,9690,9535,24955,3620,12485,15580
        India,69730,34660,460,1075,3950,1140,18735,605,8690,9150
        China,75680,4890,560,245,730,1485,480,1085,305,860
        Philippines,39985,9100,695,465,1925,2370,1915,185,1555,2250
        Hong Kong Special Administrative Region,35035,1185,90,75,290,220,275,120,115,200
        Viet Nam,11655,2290,220,155,540,535,370,0,460,680
        Pakistan,4440,2205,75,60,150,155,1500,25,235,310
        Sri Lanka,2325,560,60,30,125,115,165,0,60,120
        Iran,14955,520,55,25,110,110,130,70,25,75
"        Korea, South",17635,3020,305,320,620,1285,85,360,40,350
        Lebanon,925,165,0,0,35,30,45,0,45,55
        Taiwan,19580,2875,100,60,395,995,325,910,100,200
        Iraq,1845,585,35,0,30,345,80,0,85,115
        Bangladesh,845,140,30,0,20,10,40,0,25,60
        Afghanistan,1770,450,75,0,80,55,160,0,70,140
        Japan,3880,220,20,40,50,40,20,20,25,50
        Turkey,1260,110,0,0,0,0,20,30,0,25
        Other places of birth in Asia,19620,3235,285,250,635,640,590,180,645,935
      Oceania and other,14460,4475,150,155,515,245,1695,205,1515,1665
        Fiji,8155,4035,125,95,480,200,1635,0,1495,1620
        Other places of birth,6305,440,0,65,35,50,55,195,0,45
    Non-permanent residents,30880,2235,385,165,340,350,550,160,280,665
  Females in private households by immigrant status and selected places of birth,2198830,233535,10910,27400,29405,29410,66310,35130,34970,45880
    Non-immigrants,1534330,133655,5905,21655,15590,15095,32960,25340,17110,23010
      Born in province of residence,1046675,102545,4235,16640,12385,11585,27180,16305,14215,18450
      Born outside province of residence,487655,31105,1665,5015,3205,3510,5775,9040,2895,4560
    Immigrants,630385,97350,4660,5525,13450,13825,32900,9485,17500,22155
      Americas,57005,5505,420,510,585,645,1455,1055,850,1270
        United States,31245,1955,75,230,185,155,390,695,225,295
        Jamaica,1550,430,95,30,0,60,115,50,60,150
        Guyana,745,110,0,0,15,25,30,25,0,0
        Haiti,300,35,0,0,0,0,0,0,0,0
        Mexico,4865,355,0,50,95,35,95,45,20,35
        Trinidad and Tobago,1495,250,15,0,20,55,95,30,40,55
        Colombia,1890,325,0,0,40,60,90,50,45,55
        El Salvador,3070,675,85,55,60,75,210,0,195,280
        Peru,1765,135,0,30,15,0,35,0,30,30
        Chile,1460,155,0,15,25,15,75,0,0,20
        Other places of birth in Americas,8615,1085,105,65,95,155,305,135,225,330
      Europe,163715,13105,660,1580,1565,1735,2430,3720,1415,2075
        United Kingdom,67540,5215,110,660,505,425,1235,1785,490,600
        Italy,7365,380,0,55,65,65,65,85,40,45
        Germany,17945,1310,30,170,140,150,220,465,135,165
        Poland,7665,1095,135,90,175,315,110,145,120,255
        Portugal,4160,400,0,35,85,55,70,40,120,120
        Netherlands,10185,915,60,200,190,130,95,175,60,120
        France,2595,170,25,0,40,0,25,35,0,60
        Romania,4115,300,30,55,20,40,45,70,30,60
        Russian Federation,4865,255,70,0,20,35,35,55,30,100
        Greece,1475,160,0,25,50,25,25,15,15,30
        Ukraine,3715,380,35,0,40,80,35,165,20,50
        Croatia,2750,205,0,15,30,65,30,40,25,30
        Hungary,2765,285,0,20,20,50,70,55,65,80
        Bosnia and Herzegovina,2095,130,0,0,20,30,0,35,25,30
        Serbia,2280,95,20,0,0,35,10,15,0,20
"        Ireland, Republic of",2530,200,0,15,25,0,0,120,0,0
        Other places of birth in Europe,19660,1625,90,230,125,230,355,405,195,280
      Africa,18685,2505,150,190,230,430,885,305,300,450
        Morocco,410,20,0,0,0,0,0,0,0,0
        Algeria,175,45,0,0,0,0,0,0,0,0
        Egypt,740,175,0,0,0,75,20,25,30,30
"        South Africa, Republic of",6540,360,0,45,25,50,30,195,15,20
        Nigeria,430,130,20,0,15,20,0,0,35,50
        Ethiopia,860,125,0,15,25,45,35,0,0,0
        Kenya,2485,425,0,45,30,40,225,30,35,50
        Other places of birth in Africa,7045,1220,110,65,115,180,530,45,175,285
      Asia,375530,71400,3235,3100,10530,10770,26135,4260,13375,16605
        India,73610,36020,500,1115,4300,1215,19280,625,8990,9485
        China,91850,5680,645,245,820,1600,575,1425,365,1010
        Philippines,56580,11140,920,475,2185,2970,2425,260,1910,2830
        Hong Kong Special Administrative Region,39600,1130,50,105,245,225,275,140,95,140
        Viet Nam,14190,2870,255,225,655,635,475,0,620,870
        Pakistan,4125,2115,80,50,225,120,1350,25,265,350
        Sri Lanka,2105,500,15,40,115,135,125,0,70,85
        Iran,15090,365,20,30,90,65,110,40,15,35
"        Korea, South",20085,3145,210,335,605,1405,80,475,35,245
        Lebanon,815,155,0,0,30,0,60,0,40,45
        Taiwan,22470,3215,115,125,350,1230,335,900,165,280
        Iraq,1580,535,35,0,0,345,60,0,75,110
        Bangladesh,735,125,25,0,0,20,40,0,25,50
        Afghanistan,1755,370,50,0,45,35,165,0,65,110
        Japan,8480,505,70,40,80,90,90,60,85,155
        Turkey,840,90,0,0,0,0,25,35,0,0
        Other places of birth in Asia,21615,3440,240,280,765,660,680,255,570,805
      Oceania and other,15455,4835,195,155,545,245,1990,150,1560,1750
        Fiji,9400,4510,160,115,530,185,1955,20,1545,1705
        Other places of birth,6055,325,0,35,20,60,35,130,0,50
    Non-permanent residents,34115,2530,350,215,360,490,450,295,360,715
Total recent immigrant population in private households by selected places of birth,185115,34880,2490,1615,4170,5425,12265,2780,6135,8620
  Americas,17200,1855,115,190,245,315,560,250,180,300
    United States,8675,810,45,100,100,135,235,145,55,105
    Mexico,2715,225,30,10,55,25,60,30,10,40
    Cuba,285,30,0,0,0,0,0,0,0,0
    Haiti,120,0,0,0,0,0,0,0,0,0
    Jamaica,345,70,0,0,0,0,70,0,0,0
    Brazil,995,25,0,0,0,0,0,0,0,0
    Colombia,995,225,0,45,0,65,40,25,25,40
    Guyana,75,25,0,0,0,20,0,0,0,0
    Peru,680,45,0,0,0,0,0,0,0,0
    Venezuela,225,65,0,0,0,0,15,30,0,0
    Other places of birth in Americas,2085,330,25,20,70,50,110,0,45,70
  Europe,22890,1340,165,280,100,170,305,220,100,270
    France,785,0,0,0,0,0,0,0,0,0
    Germany,2020,135,20,80,0,0,0,15,0,30
    Poland,585,80,0,0,20,0,0,20,10,25
    Romania,1575,35,0,0,0,10,0,0,0,0
    Moldova,330,30,0,0,0,0,25,0,0,0
    Russian Federation,2450,120,65,0,0,20,0,0,0,85
    Ukraine,1005,125,25,0,20,40,30,0,0,30
    United Kingdom,8960,610,15,150,45,70,200,110,15,35
    Other places of birth in Europe,5190,195,15,20,0,20,35,60,35,50
  Africa,6180,1180,170,200,70,320,235,15,165,330
    Nigeria,620,265,25,85,20,40,50,0,35,60
    Ethiopia,425,50,0,15,0,20,0,0,0,0
    Mauritius,220,120,0,0,0,40,65,0,0,15
    Somalia,145,85,0,0,0,0,70,0,0,0
    Algeria,140,45,0,0,0,0,0,0,0,0
    Egypt,395,90,0,0,0,50,0,0,0,0
    Morocco,265,0,0,0,0,0,0,0,0,0
    Tunisia,85,0,0,0,0,0,0,0,0,0
    Cameroon,30,0,0,0,0,0,0,0,0,0
"    Congo, The Democratic Republic of the",145,40,10,0,0,0,0,0,0,20
"    South Africa, Republic of",1590,55,0,0,0,0,0,15,0,10
    Other places of birth in Africa,2125,400,85,90,30,100,25,0,75,155
  Asia,135645,29745,2030,895,3700,4590,10935,2275,5315,7350
    Philippines,27790,5700,645,275,1000,1775,1035,95,875,1520
    China,38595,2955,425,80,275,680,100,1240,150,580
    India,25835,14215,190,290,1465,365,8400,40,3470,3655
    Pakistan,1795,1005,20,0,65,55,750,0,90,110
    Iran,6685,120,0,0,55,0,0,0,0,0
    South Korea,10110,1330,255,90,285,415,25,250,0,260
    Sri Lanka,1120,295,20,0,50,165,55,0,10,30
    Iraq,1375,485,55,0,15,330,30,0,55,105
    Bangladesh,420,120,40,0,15,0,25,0,30,70
    Lebanon,350,30,0,0,0,20,0,0,0,0
    Viet Nam,1705,285,0,35,55,70,50,0,70,80
    Taiwan,5695,1165,30,35,105,405,45,530,25,50
    Afghanistan,795,120,0,0,0,15,15,0,50,65
    Japan,2630,100,30,0,0,30,0,0,0,30
    Turkey,860,35,0,0,0,0,0,0,0,0
    Israel,465,0,0,0,0,0,0,0,0,0
    Nepal,515,165,0,0,0,0,110,0,50,55
    Hong Kong Special Administrative Region,1725,95,0,0,15,20,20,15,0,25
    United Arab Emirates,260,95,10,0,35,0,30,0,0,15
    Saudi Arabia,375,140,0,0,0,0,30,0,55,70
    Syria,195,60,0,0,0,30,0,0,0,0
    Other places of birth in Asia,6335,1220,195,40,215,185,175,75,340,530
  Oceania and other,3200,755,10,50,50,0,240,0,365,375
  Recent male immigrants in private households by selected places of birth,87115,16860,1255,780,2005,2475,6055,1245,3045,4305
    Americas,8245,925,65,70,160,140,265,130,100,165
      United States,4240,430,25,40,60,80,115,65,45,70
      Mexico,1335,105,0,0,30,10,20,20,0,20
      Cuba,165,0,0,0,0,0,0,0,0,0
      Haiti,70,0,0,0,0,0,0,0,0,0
      Jamaica,195,0,0,0,0,0,0,0,0,0
      Brazil,415,0,0,0,0,0,0,0,0,0
      Colombia,405,85,0,0,0,15,20,0,0,0
      Guyana,35,0,0,0,0,0,0,0,0,0
      Peru,245,0,0,0,0,0,0,0,0,0
      Venezuela,90,25,0,0,0,0,0,0,0,0
      Other places of birth in Americas,1050,205,20,0,55,20,55,0,45,65
    Europe,11930,700,80,125,55,90,170,120,70,145
      France,440,0,0,0,0,0,0,0,0,0
      Germany,1025,65,0,30,0,0,0,0,0,25
      Poland,265,40,0,0,0,0,0,0,0,0
      Romania,780,20,0,0,0,0,0,0,0,0
      Moldova,165,15,0,0,0,0,15,0,0,0
      Russian Federation,1065,50,25,0,0,0,0,0,0,40
      Ukraine,430,60,0,0,0,0,25,0,0,10
      United Kingdom,5055,335,0,80,15,45,110,60,0,25
      Other places of birth in Europe,2700,115,0,0,0,10,20,40,20,30
    Africa,3080,575,70,130,30,145,100,0,95,165
      Nigeria,385,165,0,75,0,30,0,0,0,25
      Ethiopia,175,25,0,0,0,0,0,0,0,0
      Mauritius,110,60,0,0,0,20,30,0,0,0
      Somalia,60,20,0,0,0,0,0,0,0,0
      Algeria,50,0,0,0,0,0,0,0,0,0
      Egypt,205,25,0,0,0,0,0,0,0,0
      Morocco,120,0,0,0,0,0,0,0,0,0
      Tunisia,30,0,0,0,0,0,0,0,0,0
      Cameroon,0,0,0,0,0,0,0,0,0,0
"      Congo, The Democratic Republic of the",65,15,0,0,0,0,0,0,0,0
"      South Africa, Republic of",795,15,0,0,0,0,0,0,0,0
      Other places of birth in Africa,1060,210,30,40,0,60,10,0,60,90
    Asia,62075,14320,1035,430,1740,2085,5415,980,2630,3665
      Philippines,12495,2630,290,170,470,775,445,30,450,745
      China,17000,1260,195,35,125,330,30,505,45,245
      India,12660,7120,95,125,740,190,4250,0,1705,1795
      Pakistan,895,510,0,0,30,0,390,0,40,45
      Iran,3255,70,0,0,20,0,0,0,0,0
      South Korea,4625,645,160,45,140,180,15,105,0,160
      Sri Lanka,610,165,15,0,25,70,45,0,0,25
      Iraq,715,220,20,0,10,150,0,0,30,55
      Bangladesh,230,65,25,0,0,0,10,0,0,35
      Lebanon,195,20,0,0,0,15,0,0,0,0
      Viet Nam,525,65,0,0,0,0,0,0,30,25
      Taiwan,2705,565,0,0,45,205,20,265,0,0
      Afghanistan,400,65,0,0,0,0,0,0,0,45
      Japan,660,0,0,0,0,0,0,0,0,0
      Turkey,505,20,0,0,0,0,0,0,0,0
      Israel,200,0,0,0,0,0,0,0,0,0
      Nepal,240,80,0,0,0,0,55,0,25,25
      Hong Kong Special Administrative Region,755,45,0,0,0,0,0,0,0,20
      United Arab Emirates,115,50,0,0,20,0,20,0,0,0
      Saudi Arabia,230,75,0,0,0,0,25,0,30,35
      Syria,90,40,0,0,0,20,0,0,0,0
      Other places of birth in Asia,2965,570,105,15,80,70,75,30,190,295
    Oceania and other,1785,340,0,0,30,0,110,0,155,160
  Recent female immigrants in private households by selected places of birth,98005,18015,1235,835,2165,2950,6215,1540,3085,4320
    Americas,8955,935,55,125,85,180,300,115,80,130
      United States,4440,380,15,55,35,55,120,75,15,30
      Mexico,1380,115,0,0,25,15,35,10,0,20
      Cuba,115,25,0,0,0,0,0,0,0,0
      Haiti,55,0,0,0,0,0,0,0,0,0
      Jamaica,150,0,0,0,0,0,0,0,0,0
      Brazil,580,25,0,0,0,0,0,0,0,0
      Colombia,595,140,0,0,0,50,25,0,20,25
      Guyana,40,15,0,0,0,0,0,0,0,0
      Peru,430,35,0,0,0,0,0,0,0,0
      Venezuela,140,35,0,0,0,0,0,0,0,0
      Other places of birth in Americas,1035,125,0,0,0,30,55,0,0,0
    Europe,10965,635,85,145,50,80,135,105,35,120
      France,345,0,0,0,0,0,0,0,0,0
      Germany,995,65,0,45,0,0,0,0,0,0
      Poland,315,45,0,0,0,0,0,15,0,15
      Romania,790,15,0,0,0,0,0,0,0,0
      Moldova,170,20,0,0,0,0,15,0,0,0
      Russian Federation,1390,70,35,0,0,0,0,0,0,50
      Ukraine,575,70,15,0,0,30,0,0,0,15
      United Kingdom,3900,270,0,70,30,25,90,50,0,0
      Other places of birth in Europe,2485,80,0,15,0,10,10,0,15,25
    Africa,3105,605,95,70,40,180,135,15,70,170
      Nigeria,235,100,20,0,0,15,0,0,20,40
      Ethiopia,250,30,0,0,0,20,0,0,0,0
      Mauritius,105,60,0,0,0,25,30,0,0,0
      Somalia,85,65,0,0,0,10,50,0,0,0
      Algeria,90,0,0,0,0,0,0,0,0,0
      Egypt,195,65,0,0,0,45,0,0,0,0
      Morocco,145,0,0,0,0,0,0,0,0,0
      Tunisia,50,0,0,0,0,0,0,0,0,0
      Cameroon,0,0,0,0,0,0,0,0,0,0
"      Congo, The Democratic Republic of the",75,25,0,0,0,0,0,0,0,15
"      South Africa, Republic of",795,40,0,0,0,0,0,10,0,0
      Other places of birth in Africa,1065,190,50,50,15,40,20,0,0,65
    Asia,73570,15425,1000,465,1960,2510,5515,1295,2685,3685
      Philippines,15295,3070,350,105,530,1000,585,60,425,780
      China,21595,1695,230,50,155,350,70,735,105,330
      India,13175,7095,95,165,725,170,4150,25,1760,1860
      Pakistan,905,500,0,0,35,0,360,0,55,65
      Iran,3430,50,0,0,35,0,0,0,0,0
      South Korea,5485,680,95,45,145,235,15,145,0,100
      Sri Lanka,515,125,0,0,25,90,0,0,0,0
      Iraq,660,260,30,0,0,180,25,0,20,50
      Bangladesh,190,55,15,0,0,0,10,0,20,35
      Lebanon,155,0,0,0,0,0,0,0,0,0
      Viet Nam,1175,225,0,30,45,60,40,0,45,55
      Taiwan,2990,600,0,20,60,195,25,270,0,30
      Afghanistan,400,55,0,0,0,0,0,0,20,15
      Japan,1975,80,20,0,0,25,0,0,0,25
      Turkey,355,0,0,0,0,0,0,0,0,0
      Israel,265,0,0,0,0,0,0,0,0,0
      Nepal,275,85,0,0,0,0,55,0,30,35
      Hong Kong Special Administrative Region,970,50,0,0,0,0,15,0,0,0
      United Arab Emirates,145,50,0,0,0,0,0,0,0,0
      Saudi Arabia,150,65,0,0,0,0,0,0,25,30
      Syria,100,25,0,0,0,0,0,0,0,0
      Other places of birth in Asia,3370,645,90,20,135,115,100,45,145,235
    Oceania and other,1410,415,0,0,25,0,130,0,215,215
Total population in private households by generation status,4324460,463340,22185,54160,58190,58280,131800,67355,71370,93555
  First generation,1272685,193730,9810,11510,26825,27610,64915,18535,34525,44335
