MAIN_TITLE_CLASS,SUBTITLE_CLASS,USER_,SECONDARY_USER,SERVICE_TYPE,LOCATION,ADDRESS,CITY,PROVINCE,POSTAL_CODE,TELEPHONE,WEBSITE,TIME_,E_MAIL,LONGITUDE,LATITUDE
Housing,Shelters & Transition/Safe Houses,single adult ,,Hyland House - Cloverdale,,17910 Colebrook Rd ,Surrey,BC,,Tel: 604-574-4341  ,www.options.bc.ca,,,-122.7257295,49.09829764
Housing,Housing Supports,ALL,,Homeless Prevention Program,,13771 72A Ave,Surrey,BC,,Tel: 604-596-2311  ,www.sourcesbc.ca,,,-122.8393133,49.13477813
Housing,Housing Supports,youth,,Independent Living Program ,,9815 140 St,Surrey,BC,,Tel: 604-596-4321  ,tinyurl.com/clqh962,,heather.lynch@options.bc.ca,-122.8346039,49.18072603
Housing,Housing Supports,ALL,,Surrey Rent Bank ,,13771 72A Ave,Surrey,BC,V3W 9C6,Tel: 604-547-0123  ,www.sourcesbc.ca,,srb@sourcebc.ca,-122.8393133,49.13477813
Housing,Housing Supports,youth,,Surrey Youth Housing,,14727 108 Ave,Surrey,BC,,Tel:  604-587-8100,www.pcrs.ca/surrey_youth_housing,,tjlee@pcrs.ca,-122.8144564,49.19889521
Health Services,Dental Care,ALL,,KEYS Dental Clinic,,10697 135A St,Surrey,BC,,Tel: 604-545-4012,,,,-122.847137,49.19702409
Health Services,Health Services,senior,,Better at Home-Newton (formerly CASI),,7330 137 St,Surrey,BC,V3W 1A4,Tel: 604-507-2266 or 604-597-0205, ext 1356 or 1381,www.betterathome.ca,,,-122.8425791,49.13602606
Health Services,Health Services,senior,,Better at Home South Surrey/White Rock,,15008 26th Ave,Surrey,BC,V4P 3H5,Tel: 604-531-9400 ext 27,www.betterathome.ca,,,-122.8041991,49.04891781
Health Services,Health Services,senior,,Better at Home-Whalley,,12725 80 Ave,Surrey,BC,BC V3W 3A6,Tel: 604-512-3870 ,www.betterathome.ca,,sonia.chaudhary@pics.bc.ca,-122.8701651,49.14839831
Health Services,Health Services,women,,Healthiest Babies Possible: Pregnancy Outreach Program,, 6846 King George Blvd,Surrey,BC,,Tel: 604-583-1017  ,tinyurl.com/boxwvyw,,,-122.8445297,49.12715611
Health Services,Health Services,children,,Infant Development Program of BC,,8352 130 St,Surrey,BC,V3W 8J9,Tel: 604-590-7302  ,www.idpofbc.ca,,,-122.8620223,49.15417323
Health Services,Health Services,children,,Fraser Region Aboriginal Friendship Centre Association,,6878 King George Blvd,Surrey,BC,,Tel: 604-584-2008 ,www.idpofbc.ca,,,-122.8451616,49.12763396
Health Services,Health Services,women,,Maxxine Wright Community Health Centre,,13733 92 Ave,Surrey,BC,V3V-1H9,Tel: 604-587-3835  ,www.tinyurl.com/cpc7wpm,,,-122.8424291,49.17026707
Health Services,Health Services,senior,,People Helping People ,,13458 107A Ave,Surrey,BC,V3T 0G4 ,Tel: 604-502-6366 ,www.surrey.ca/culture-recreation/1793.aspx,,,-122.849782,49.1971863
Health Services,Health Services,ALL,,Positive Haven ,,10697 135A St,Surrey,BC,,Tel: 604-588-9004 ,,,,-122.847137,49.19702409
Health Services,Public Health Units:,ALL,,Cloverdale Public Health Unit,,17700 56 Ave,Surrey,BC,V3S 1C7,Tel: 604-575-5100,tinyurl.com/baevenw,Open Monday to Friday: 8:30 am to 4:30 pm  ,,-122.7326486,49.10357078
Health Services,Public Health Units:,ALL,,Guildford Public Health Unit,,10233 153 St,Surrey,BC,V3R 0Z7,Tel: 604-587-4750,tinyurl.com/baevenw,Open Monday to Friday: 8:30 am to 4:30 pm  ,,-122.7983489,49.18854593
Health Services,Public Health Units:,ALL,,Newton Public Health Unit,,7337 137 St,Surrey,BC,V3W 1A4,Tel: 604-592-2000,tinyurl.com/baevenw,Open Monday to Friday; 8:30 am to 4:30 pm  ,,-122.8430688,49.13602195
Health Services,Public Health Units:,ALL,,North Surrey Health Unit,,10362 King George Blvd,Surrey,BC,V3T 2W5,Tel: 604-587-7900,tinyurl.com/baevenw,Open Monday to Friday: 8:30 am to 4:30 pm  ,,-122.8450561,49.19096128
Health Services,Health Services,ALL,,Seniors Come Share Society Community Support Program ,,15008 26 Ave ,Surrey,BC,V4P 3H5,Tel: 604-531-9400  ,www.comeshare.ca,,,-122.8041991,49.04891781
Health Services,Health Services,ALL,,Surrey North Community Health Centre,,10697 135A St,Surrey,BC,,Tel: 604-583-5666,,(Doctor: 1 pm to 5pm, Nurse: 1 pm to 5 pm),,-122.847137,49.19702409
Health Services,Mental Health Services,ALL,mental health,Assertive Community Treatment,,13401 108 Ave,Surrey,BC,,Tel: 604-953-4920  ,tinyurl.com/anpqjaa,,,-122.8502549,49.1990937
Health Services,Mental Health Services,ALL,,The Easy Does it Club,,7277 King George Blvd,Surrey,BC,,Tel: 604-434-2553 and Tel: 604-434-3933 (24h Crisis),,,,-122.8459221,49.13489254
Health Services,Mental Health Services,ALL,,Mental Health Consumer Advocacy Program,,13771 72A Ave,Surrey,BC,V3W 9C6,Tel: 604-596-2311  ,www.sourcesbc.ca,,,-122.8393133,49.13477813
Health Services,Mental Health Services,mental health,,New Frontier Clubhouse ,,9803 140 Ave,Surrey,BC,V3T 4M4,Tel: 604-581-6177 ,,,,-122.834614,49.18060228
Health Services,Mental Health Services,ALL,,Sobering & Assessment Centre ,Quibble Creek Health,13670 94 A Ave,Surrey,BC,,Tel: 604-580-4965,,,,-122.8437168,49.17453068
Health Services,Mental Health Services,mental health,,The Roost,,13582 68 Ave,Surrey,BC,V3W 6M3,Tel: 604-597-8610 ,tinyurl.com/bx9gw7s,,,-122.8460389,49.12608084
Health Services,Mental Health Services,ALL,,Substance Use ServicesAdult Outpatient,,7330 137 St,Surrey,BC,,Tel: 604-597-0205 ext 1202 or ext 1375 (Punjabi or Hindi) or ext 1278 (Spanish),tinyurl.com/q5qng2u,,,-122.8425791,49.13602606
Health Services,Mental Health Services,ALL,,Substance Use ServicesAdult Outpatient,,13670 94A Ave,Surrey,BC,,Tel: 604-580-4950 ,tinyurl.com/q5qng2u,,,-122.8437168,49.17453068
Health Services,Mental Health Services,,,Surrey Central/North Mental Health & Addictions Centre,,13401 108 Ave ,Surrey,BC,,Tel: 604-953-4900,,,,-122.8502549,49.1990937
Legal Services,Access Pro-bono Legal Clinics,ALL,,Sources Community Resources Society ,Sources Community Resources Society ,13771 72A Ave,Surrey,BC,V3W 9C6,Tel: 604-878-7400 (appointments),www.accessprobono.ca/summary-legal-advice-program,,,-122.8393133,49.13477813
Legal Services,Access Pro-bono Legal Clinics,ALL,,Surrey Urban Mission,Surrey Urban Mission,10776 King George Blvd,Surrey,BC,,Tel: 604-878-7400,www.accessprobono.ca/summary-legal-advice-program,,,-122.8449487,49.19846609
Legal Services,Legal Services,family with children,,Family Duty Counsel,,14340 57 Ave,Surrey,BC,V3X 1B2,Tel: 604-572-2204,,,,-122.8247314,49.10614664
Legal Services,Legal Services,ALL,,Legal Services Society of BC ,,10706 King George Blvd ,Surrey,BC,V3T 2X3,Tel: 604-585-6595 ,,Intake hours Monday to Friday 8:30 am to 11:15 am and Monday to Thursday 1:30 am to 3:30 pm,,-122.8449794,49.19711989
Legal Services,Legal Services,a,,Nidus Personal Planning Resources Centre and Registry,,1440 West 12 Ave ,Vancouver,BC,,Tel: 604-408-7414  ,www.nidus.ca,,info@nidus.ca,-122.867319,49.02832683
Legal Services,Legal Services,ALL,,Surrey Family Justice Centre ,,7380 King George Blvd ,Surrey,BC,V3W 0L4,Tel: 604-501-3100  ,www.familieschange.ca,,,-122.8452107,49.13673593
Legal Services,Legal Services,ALL,,Surrey Women's Centre Society ,,10075 Whalley Blvd ,Surrey,BC,V3T 5R5,Tel: 604-583-1295 (crisis line)  ,www.surreywomencentre.ca,,info@surreywomenscentre.ca,-122.8436528,49.18550483
Activities in the Community,General Activities,ALL,,Culture Night ,Mtis Family Services,13639 108 Ave,Surrey,BC,,Tel: 604-584-6621  ,www.metisfamilyservices.ca,,reception@metisfamilyservices.ca,-122.844033,49.19896446
Activities in the Community,General Activities,family with children,,Free Family Swims ,North Surrey Indoor Pool,10275 City Parkway ,Surrey,BC,,Tel: 604-502-6300,www.surrey.ca/culture-recreation/1742.aspx, 2 pm to 5pm,,-122.848712,49.18937765
Activities in the Community,General Activities,family with children,,Free Family Swims ,Newton Wave Pool,13730 72 Ave,Surrey,BC,,Tel: 604-501-5540,www.surrey.ca/culture-recreation/1742.aspx,6 pm to 8 pm,,-122.8419634,49.13312332
Activities in the Community,General Activities,family with children,,Free Family Swims ,Surrey Sports & Leisure Pool,16555 Fraser Hwy,Surrey,BC,,Tel: 604-501-5950,www.surrey.ca/culture-recreation/1742.aspx,3 pm to 5 pm,,-122.7640994,49.15189394
Activities in the Community,General Activities,family with children,,Free Family Swims ,South Surrey Indoor Pool,14655 17 Ave,Surrey,BC,,Tel: 604-502-6220 ,www.surrey.ca/culture-recreation/1742.aspx,1 pm to 4 pm,,-122.8156578,49.03308785
Activities in the Community,General Activities,children,,Honeybee Centre ,,7480 176 St,Surrey,BC,,Tel: 604-575-BEES (2337),www.honeybeecentre.com,,,-122.7341535,49.13885443
Activities in the Community,General Activities,ALL,,Surrey Museum,,17710 56A Ave,Surrey,BC,,Tel: 604-592-6956,www.surrey.ca/culture-recreation/2372.aspx,,,-122.7318196,49.10493104
Activities in the Community,General Activities,ALL,,Tuesday Night Movies ,Clova Cinema ,5732 176 St,Surrey,BC,,Tel: 604-574-1114  ,www.theclova.com,,,-122.73474,49.10655994
Activities in the Community,General Activities,ALL,,Tuesday Night Movies ,Hollywood 3,7125 138 St,Surrey,BC,,Tel: 604-592-4441,www.hollywood3.ca,,,-122.8391633,49.13221632
Activities in the Community,General Activities,ALL,,Value Days ,Newton Wave Pool,13730  72 Ave,Surrey,BC,V3W 2P4,Tel: 604-501-5540,www.surrey.ca/culture-recreation/7325.aspx,Value Times: Monday and Tuesday: 6 am to 8:30 am; Wednesday and Thursday: 11:15 am to2 pm; Friday: 11:15 am to 3:30 pm. Sunday: 8 am to 8:30 am and 7 pm to8 pm (NO SATURDAYS),,-122.8419634,49.13312332
Activities in the Community,General Activities,family with children,,YMCA Access Program,,14988 57 Ave,Surrey,BC,V3S 7S6,Tel: 604-575-9622  ,www.tinyurl.com/a447ww4,,,-122.8065364,49.10556796
Activities in the Community,Children/Teens,youth,,Chuck Bailey Youth Centre ,Chuck Bailey Recreation Centre,13458 107A Ave,Surrey,BC,,Tel: 604-592-6949,www.surrey.ca/youth/155.aspx,Preteen Dance every 2nd Fri, 7 pm to 9:30 pm; Preteen (Grades 5-7) drop-ins are from 4 pm to 6 pm on Mon, Wed, Fri and Sat; Teen (Grades 8-12) drop-ins are from 6 pm to 9 pm on Mon and Fri, 6 pm to 8 pm on Wed, and 6 pm to 10 pm on Sat,,-122.849782,49.1971863
Activities in the Community,Children/Teens,youth,,Cloverdale Youth Centre,Cloverdale Recreation Centre,6188 176 St,Surrey,BC,,Tel: 604-598-7960  ,www.surrey.ca/youth/108.aspx,,,-122.7344604,49.11519194
Activities in the Community,Children/Teens,children,youth,Don Christian Youth Centre,Don Christian Recreation Centre,6220 184 St,Surrey,BC,,Tel: 604-502-6420  ,www.surrey.ca/culture-recreation/8528.aspx,,,-122.712288,49.11536613
Activities in the Community,Children/Teens,family with children,,Family Night ,YMCA,14988 57 Ave,Surrey,BC,V3S 7S6 ,Tel: 604-575-9622 ,www.vanymca.org/centres/tonglouie/family,,,-122.8065364,49.10556796
Activities in the Community,Children/Teens,youth,,Fleetwood Youth Centre ,Fleetwood Recreation Centre,15996 84 Ave,Surrey,BC,,Tel: 604-501-5030 ,www.surrey.ca/youth/100.aspx,,gdnolan@surrey.ca (Greg),-122.7798372,49.1552677
Activities in the Community,Children/Teens,children,,Fraser Heights Chess Club,Erma Stephenson Elementary's library,10929 160 St,Surrey,BC,,,www.fraserheightschess.com,Friday nights from 6:00pm to 7:30pm,Contact: Anca Datcu-Romano adatcu@qsoft.ca,-122.7789258,49.20094478
Activities in the Community,Children/Teens,children,youth,Fraser Heights Youth Centre,Fraser Heights Community Centre,10588 160 St,Surrey,BC,,Tel: 604-592-6920  ,www.surrey.ca/youth/101.aspx,Thursday 2:45 pm to  6 pm Friday 6:30 pm to 10:30 pm Saturday 5 pm to 10.30 pm,,-122.7779161,49.19492903
Activities in the Community,Children/Teens,youth,,Guildford Youth Resource Centre , PCRS,14727 108 Ave,Surrey,BC,,Tel: 604-587-8100  ,www.pcrs.ca/surrey_youth_resource_centres,Monday to Friday: 8:30 am to 4:30 pm. Connect via Facebook:  SYRCPCRS,,-122.8144564,49.19889521
Activities in the Community,Children/Teens,youth,,Guildford Youth Lounge,,15105 105 Ave,Surrey,BC,,Tel: 604-502-6061  ,www.surrey.ca/youth/105.aspx,,,-122.8022447,49.19335798
Activities in the Community,Children/Teens,children,,KidSport  Surrey/White Rock ,,1959 152 St,Surrey,BC,,,www.kidsportsurreywhiterock.ca   ,,info@kidsportsurreywhiterock.ca',-122.8014669,49.03727504
Activities in the Community,Children/Teens,youth,,Newton Youth Resource Centre , PCRS,13479 76 Ave,Surrey,BC,V3W 2W3,Tel: 604-592-6200  ,www.pcrs.ca/surrey_youth_resource_centres,,,-122.849007,49.141013
Activities in the Community,Children/Teens,youth,,Newton Youth Lounge,Newton Recreation Centre,13730 72 Ave,Surrey,BC,,Tel: 604-501-5533  ,www.surrey.ca/youth/4942.aspx,,,-122.8419634,49.13312332
Activities in the Community,Children/Teens,youth,,North Surrey Youth Lounge ,North Surrey Recreation Centre,10275 City Parkway,Surrey,BC,,Tel: 604-598-5897  ,www.surrey.ca/youth/6086.aspx,Fridays from 4 pm to 8 pm ,,-122.848712,49.18937765
Activities in the Community,Children/Teens,youth,,South Surrey Youth Lounge,South Surrey Recreation Centre,14601 20 Ave,Surrey,BC,,Tel: 604-592-6970,www.surrey.ca/culture-recreation/5981.aspx,Free DJ drop in 4-7pm most Thursdays, call ahead to confirm.,jweibe@surrey.ca,-122.8158748,49.03867436
Activities in the Community,Children/Teens,youth,,Youth Night ,YMCA,14988 57 Ave,Surrey,BC,V3S 7S6,Tel: 604-575-9622  ,www.vanymca.org/centres/tonglouie/,Fridays 7 pm to 10 pm 11-15 years. Pizza served at 8 pm for $1.,,-122.8065364,49.10556796
Activities in the Community,Senior's Activities,senior,,Chinese Senior Day ,Oak Ave Neighbourhood Hub ,12740 102 Ave,Surrey,BC,V3V 3E5,Tel: 604-582-7088  ,www.oanh.ca,Every Wednesday from 10 am to 12:30 pm. ,,-122.8693954,49.18785903
Activities in the Community,Senior's Activities,senior,,Come Share the Day Program for Older Adults ,,13855 68 Ave,Surrey,BC,V3W 2G9,Tel: 604-599-0034  ,www.comeshare.ca,Monday to Saturday: 9:00 to 3:30 pm,,-122.8389384,49.12674536
Activities in the Community,Senior's Activities,,,Come Share the Day  White Rock,,15008 26 Ave ,Surrey,BC,V4P 3H5,Tel: 604-531-2502,,Monday to Friday: 9 am to 3:30 pm,,-122.8041991,49.04891781
Activities in the Community,Senior's Activities,senior,,Crescent Beach Walkers ,Alexandria House,2916 McBride Ave,Surrey,BC,V4A 3G2,Tel: 604-535-0015  ,www.alexhouse.net/older-adults,9:30 am to 11 am (September to May). Drop in to join them! 9:30 am to 11 am,,-122.8850721,49.05540441
Activities in the Community,Senior's Activities,senior,,PICS Senior Adult Day Centre,,12075 75A Ave,Surrey,BC,V3W 1N3,Tel: 604-596-0052  ,www.pics.bc.ca,,rani.sandhu@pics.bc.ca,-122.8879403,49.14031733
Activities in the Community,Senior's Activities,senior,,Seniors Drop-in Centres ,Chuck Bailey,13458 107A Ave,Surrey,BC,V3T 0G4 ,Tel: 604-598-5898  ,www.surrey.ca/culture-recreation/1914.aspx,,,-122.849782,49.1971863
