SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,MINCODE,SCHOOL_NAME,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636009,White Rock Elementary,1,20,20,,18.7,21.2,27.3,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636012,Colebrook Elementary,1,11,4,,21,21.2,21.8,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636012,Colebrook Elementary,1,12,6,,17,19,23,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636012,Colebrook Elementary,1,11,5,,18.2,21.2,23.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636012,Colebrook Elementary,1,12,3,,14,21.5,19.8,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636012,Colebrook Elementary,1,11,10,,15.5,22.3,22.4,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636012,Colebrook Elementary,1,10,7,,16,22.3,27.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636012,Colebrook Elementary,1,10,1,,17.4,21.4,24.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636012,Colebrook Elementary,1,10,4,,19,21.3,28.5,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636012,Colebrook Elementary,1,10,4,,20,22.3,26.2,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636012,Colebrook Elementary,1,10,5,,20,21.1,27.6,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636012,Colebrook Elementary,1,10,9,,19,21.8,27.7,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636013,Clayton Elementary,1,6,2,,,,26.3,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636013,Clayton Elementary,1,6,3,,,,25.5,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636013,Clayton Elementary,1,6,6,,,,27.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636013,Clayton Elementary,1,6,4,,17,18,23.2,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636013,Clayton Elementary,1,7,7,,16,19.1,23.4,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636013,Clayton Elementary,1,7,6,,17.2,19.4,22.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636013,Clayton Elementary,1,9,9,,16,22.3,22.3,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636013,Clayton Elementary,1,9,8,,20.5,20.1,22.6,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636013,Clayton Elementary,1,9,9,,19,21.9,25.5,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636013,Clayton Elementary,1,11,7,,17.3,19.8,26.7,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636013,Clayton Elementary,1,10,7,,19.2,20.9,26.3,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636018,East Kensington Elementary,1,4,2,,15,17.7,16.5,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636018,East Kensington Elementary,1,4,2,,20,13.6,18,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636018,East Kensington Elementary,1,4,4,,20,14.9,19.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636018,East Kensington Elementary,1,4,4,,11,15.7,13.5,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636018,East Kensington Elementary,1,3,3,,18,19.3,23.1,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636018,East Kensington Elementary,1,3,3,,18,18.8,17.5,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636018,East Kensington Elementary,1,3,3,,10,13.2,22.1,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636018,East Kensington Elementary,1,3,1,,10,14.1,17.2,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636018,East Kensington Elementary,1,3,2,,19,16.8,19,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636018,East Kensington Elementary,1,3,2,,19,18.4,15.5,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636018,East Kensington Elementary,1,2,1,,17,17.6,18,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636019,Halls Prairie Elementary,1,6,2,,18,17.7,16.9,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636019,Halls Prairie Elementary,1,5,3,,21,20.6,20.9,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636019,Halls Prairie Elementary,1,6,5,,10,17.4,17,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636019,Halls Prairie Elementary,1,5,4,,15,16.8,19.2,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636019,Halls Prairie Elementary,1,4,2,,15,19.8,23.5,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636019,Halls Prairie Elementary,1,4,4,,18,19.4,24.5,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636019,Halls Prairie Elementary,1,4,4,,22,22,23.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636019,Halls Prairie Elementary,1,4,1,,20,21,25.2,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636019,Halls Prairie Elementary,1,5,3,,15,19.5,24,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636019,Halls Prairie Elementary,1,5,2,,19.5,21.1,25,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636019,Halls Prairie Elementary,1,6,3,,20.6,21.7,27,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636021,Sullivan Elementary,1,7,4,,13,16.3,24,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636021,Sullivan Elementary,1,7,4,,17,16.7,22.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636021,Sullivan Elementary,1,6,3,,20,19.6,24,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636021,Sullivan Elementary,1,7,4,,16.1,17.9,26.7,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636021,Sullivan Elementary,1,8,6,,22,17.3,28,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636021,Sullivan Elementary,1,9,5,,19.5,20.9,26.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636021,Sullivan Elementary,1,10,10,,20,21.7,27.2,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636021,Sullivan Elementary,1,12,6,,21,21,25.5,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636021,Sullivan Elementary,1,12,4,,17.5,21.8,26.3,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636021,Sullivan Elementary,1,12,8,,21.3,22.7,26.1,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636021,Sullivan Elementary,1,12,10,,17.6,21.9,27,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636022,Queen Elizabeth Secondary,1,188,43,8,,,,26.2
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636022,Queen Elizabeth Secondary,1,210,36,5,,,,25.7
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636022,Queen Elizabeth Secondary,1,225,43,8,,,,24.5
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636022,Queen Elizabeth Secondary,1,219,53,8,,,,25.8
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636022,Queen Elizabeth Secondary,1,256,63,1,,,,24.7
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636022,Queen Elizabeth Secondary,1,259,75,4,,,,25
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636022,Queen Elizabeth Secondary,1,290,68,,,,,22.7
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636022,Queen Elizabeth Secondary,1,297,89,,,,,21.7
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636022,Queen Elizabeth Secondary,1,278,80,,,,,22
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636022,Queen Elizabeth Secondary,1,273,62,,,,,21.9
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636022,Queen Elizabeth Secondary,1,294,77,,,,,20.2
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636026,Fleetwood Elementary,1,10,4,,13.5,21,23.8,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636026,Fleetwood Elementary,1,10,9,,20,20.3,25.5,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636026,Fleetwood Elementary,1,8,5,,19,19,19,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636028,North Surrey Secondary,1,183,39,18,,,,27.6
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636028,North Surrey Secondary,1,189,49,33,,,,27.4
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636028,North Surrey Secondary,1,205,37,28,,,,27.4
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636028,North Surrey Secondary,1,220,43,17,,,,27.5
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636028,North Surrey Secondary,1,254,46,21,,,,26.3
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636028,North Surrey Secondary,1,268,52,27,,,,26.3
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636028,North Surrey Secondary,1,301,64,2,,,,23.2
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636028,North Surrey Secondary,1,273,97,7,,,,22.9
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636028,North Surrey Secondary,1,264,59,6,,,,23.3
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636028,North Surrey Secondary,1,263,81,7,,,,23.8
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636028,North Surrey Secondary,1,328,67,10,,,,18.5
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636029,Harold Bishop Elementary,1,24,12,,17.3,21.6,23.8,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636029,Harold Bishop Elementary,1,22,16,,15,22.4,25.7,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636029,Harold Bishop Elementary,1,22,14,,16.3,22.4,24.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636029,Harold Bishop Elementary,1,22,16,,16,21.1,25.9,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636029,Harold Bishop Elementary,1,20,5,,18.7,19.9,27.5,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636029,Harold Bishop Elementary,1,20,15,,17.3,19.6,25.1,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636029,Harold Bishop Elementary,1,19,10,,14.3,19.8,28.3,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636029,Harold Bishop Elementary,1,17,9,,19.3,21.9,27,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636029,Harold Bishop Elementary,1,17,9,,19.6,20.7,28.1,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636029,Harold Bishop Elementary,1,18,18,,19.6,21.6,27.4,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636029,Harold Bishop Elementary,1,18,18,,17,22.1,28.4,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636031,Crescent Park Elementary,1,14,11,,16.5,21.9,26.2,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636031,Crescent Park Elementary,1,14,12,,13.5,21.2,25.2,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636031,Crescent Park Elementary,1,13,10,,20,20.3,24.6,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636031,Crescent Park Elementary,1,13,11,,14.5,22.3,25.1,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636031,Crescent Park Elementary,1,13,11,,21,20.8,24.4,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636031,Crescent Park Elementary,1,13,9,,15.5,21.5,25.2,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636031,Crescent Park Elementary,1,13,10,,21,21.8,24.6,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636031,Crescent Park Elementary,1,14,7,,20,21.4,25.6,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636031,Crescent Park Elementary,1,14,9,,20.3,22.4,26.1,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636031,Crescent Park Elementary,1,14,6,,19.9,22.9,28.3,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636031,Crescent Park Elementary,1,14,11,,19,23.4,27.2,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636033,Bridgeview Elementary,1,8,,,19,21.3,22.8,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636033,Bridgeview Elementary,1,8,5,,16,18.3,20,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636033,Bridgeview Elementary,1,7,7,,20,18.9,21.2,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636033,Bridgeview Elementary,1,7,6,,19,21,22.5,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636033,Bridgeview Elementary,1,7,7,,19.3,19.9,20.3,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636033,Bridgeview Elementary,1,7,7,,15,20.7,22.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636033,Bridgeview Elementary,1,7,7,,19,20.1,23.7,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636033,Bridgeview Elementary,1,7,7,,18,18.8,23.1,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636033,Bridgeview Elementary,1,7,5,,19,20.4,24.3,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636033,Bridgeview Elementary,1,7,5,,14,20,24.7,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636033,Bridgeview Elementary,1,7,6,,21,22,22.3,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636034,J T Brown Elementary,1,12,6,,16.2,19.6,24.3,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636034,J T Brown Elementary,1,12,10,,14.5,20.8,22.8,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636034,J T Brown Elementary,1,11,8,,17,21.3,26.4,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636034,J T Brown Elementary,1,12,11,,15,20.3,23.3,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636034,J T Brown Elementary,1,11,10,,19.1,19.2,23.9,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636034,J T Brown Elementary,1,12,10,,17,19.3,25.8,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636034,J T Brown Elementary,1,12,12,,18.2,19,25.7,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636034,J T Brown Elementary,1,12,10,,18.5,20.9,25.7,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636034,J T Brown Elementary,1,12,9,,14.5,20.4,27.2,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636034,J T Brown Elementary,1,12,6,,18,19.9,27.3,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636034,J T Brown Elementary,1,11,11,,20,22.3,27.8,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636035,Latimer Road Elementary,1,17,8,,19.5,19.2,26,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636035,Latimer Road Elementary,1,17,15,,20.5,21.2,27,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636035,Latimer Road Elementary,1,19,18,,19.5,19.9,25.3,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636035,Latimer Road Elementary,1,13,13,,16,21.8,25.3,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636035,Latimer Road Elementary,1,12,11,,17.7,20.7,25.5,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636035,Latimer Road Elementary,1,11,11,,18.4,21.8,26.4,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636035,Latimer Road Elementary,1,12,10,,17.8,21.2,26.9,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636035,Latimer Road Elementary,1,14,14,,19.5,20.6,27.6,
