,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY,CITY_OF_SURREY
      Croatian,45,10,10,70,15,20,25,65,195
      Czech,0,10,35,50,35,70,30,35,235
      Macedonian,0,0,0,0,0,0,0,0,0
      Polish,255,20,130,365,235,120,225,480,1350
      Russian,65,0,105,150,55,130,120,185,625
      Serbian,15,10,0,40,45,145,30,40,280
      Serbo-Croatian,0,0,0,0,0,10,0,0,10
      Slovak,20,20,10,0,30,0,20,40,95
      Slovenian,0,0,0,0,0,0,0,0,0
      Ukrainian,15,15,15,10,15,35,10,25,115
      Latvian,0,0,0,0,0,0,0,0,0
      Lithuanian,0,0,0,0,0,10,0,0,10
      Estonian,0,0,10,0,0,30,0,0,30
      Finnish,0,0,10,40,0,10,25,20,80
      Hungarian,70,10,0,155,0,15,70,140,320
      Greek,10,15,40,30,10,10,35,45,150
      Armenian,0,10,0,15,0,0,0,0,25
      Turkish,0,0,0,0,35,30,0,0,70
      Amharic,25,0,0,25,0,0,0,25,55
      Arabic,60,0,275,450,220,0,90,150,1090
      Hebrew,0,0,0,0,0,0,0,0,0
      Maltese,0,0,0,0,0,0,0,0,0
      Somali,45,0,0,80,160,0,0,45,280
      Tigrigna,45,0,0,0,0,0,0,50,45
      Bengali,0,0,35,50,40,0,55,55,180
      Gujarati,40,0,45,0,285,30,105,145,510
      Hindi,310,75,710,410,2600,20,2210,2520,6330
      Kurdish,0,0,0,10,0,0,0,0,10
      Panjabi (Punjabi),630,1255,6395,1715,31890,625,15325,15955,57835
      Pashto,0,0,0,0,160,0,0,0,170
      Persian (Farsi),65,30,95,190,370,15,250,310,1010
      Sindhi,0,10,0,0,35,0,15,10,60
      Sinhala (Sinhalese),0,0,0,50,55,0,0,0,115
      Urdu,100,25,260,135,1670,30,540,640,2755
      Malayalam,0,0,0,15,0,0,10,20,30
      Tamil,15,0,205,20,140,0,35,50,410
      Telugu,0,0,0,10,10,0,15,15,40
      Japanese,75,20,45,100,35,135,55,130,475
      Korean,450,350,1385,3100,215,800,110,555,6410
      Cantonese,375,85,640,535,515,95,240,615,2485
"      Chinese, n.o.s.",355,190,795,1520,405,570,555,910,4395
      Mandarin,245,260,770,2070,655,770,210,450,4980
      Taiwanese,0,0,105,290,115,15,25,25,550
      Lao,15,0,135,35,0,0,45,60,230
      Khmer (Cambodian),0,0,70,35,80,0,80,85,275
      Vietnamese,345,235,1225,1055,740,45,710,1055,4345
      Bisayan languages,10,0,0,35,100,10,0,15,160
      Ilocano,60,0,15,80,20,35,45,100,250
      Malay,25,0,0,20,20,90,15,40,175
"      Tagalog (Pilipino, Filipino)",360,65,825,1290,815,75,1075,1435,4500
      Akan (Twi),10,0,0,0,20,0,0,10,35
      Swahili,0,0,0,0,0,0,0,0,0
      Creoles,0,0,0,15,0,0,0,0,20
      Other languages,190,80,100,280,265,155,520,715,1595
  Multiple responses,555,615,2320,2140,6165,470,4015,4575,16285
    English and French,10,10,45,60,95,65,145,155,425
    English and non-official language,550,610,2270,2075,6040,390,3810,4355,15750
    French and non-official language,0,0,0,0,15,0,40,40,65
"    English, French and non-official language",0,0,10,0,10,15,20,20,50
Algonquin - Various non-official languages spoken,0,0,0,0,0,0,0,0,0
Atikamekw,0,0,0,0,0,0,0,0,0
Blackfoot,0,0,0,0,0,0,0,0,0
Carrier,0,0,10,0,0,0,10,10,15
Chilcotin,0,0,0,0,0,0,0,0,0
Chipewyan,0,0,0,0,0,0,0,0,0
Cree,10,0,0,10,0,0,0,10,15
Siouan languages (Dakota/Sioux),0,0,0,0,0,0,0,0,0
Dene,0,0,0,0,0,0,0,0,0
Dogrib,0,0,0,0,0,0,0,0,0
Gitksan,0,0,0,0,0,0,0,0,10
Inuinnaqtun,0,0,0,0,0,0,0,0,0
"Inuktitut, n.i.e.",0,0,0,0,0,0,0,0,0
Kutchin-Gwich'in (Loucheux),0,0,0,0,0,0,0,0,0
Malecite,0,0,0,0,0,0,0,0,0
Mi'kmaq,0,0,0,0,0,0,0,0,0
Mohawk,0,0,0,0,0,0,0,0,0
Montagnais-Naskapi,0,0,0,0,0,0,0,0,0
Nisga'a,25,0,0,10,0,0,0,20,30
North Slave (Hare),0,0,0,0,0,0,0,0,0
Ojibway,0,0,0,0,0,0,30,35,35
Oji-Cree,0,0,0,0,0,0,0,0,0
Shuswap,0,0,0,0,0,0,0,0,0
South Slave,0,0,0,0,0,0,0,0,0
Tlingit,0,0,0,0,0,0,0,0,0
Italian,40,325,350,355,420,380,270,310,2145
Portuguese,35,130,340,265,290,115,335,370,1505
Romanian,20,60,15,175,150,65,75,95,560
Spanish,530,445,840,1360,1705,1165,1240,1765,7285
Danish,15,110,100,45,80,260,80,95,690
Dutch,65,365,470,330,295,635,260,325,2420
Flemish,0,65,0,0,0,20,15,15,100
Frisian,0,10,25,0,0,35,0,0,70
German,265,860,760,1050,1340,2470,735,1005,7485
Norwegian,10,15,80,15,85,145,60,70,405
Swedish,60,30,20,60,65,35,35,95,300
Yiddish,0,0,0,0,10,45,0,0,55
Bosnian,10,0,50,120,105,10,65,75,350
Bulgarian,40,0,25,0,15,30,0,40,115
Croatian,55,50,185,215,230,230,150,195,1120
Czech,10,60,95,115,110,150,90,100,635
Macedonian,0,0,0,10,0,0,0,0,15
Polish,370,75,415,695,435,320,325,695,2630
Russian,115,50,180,225,220,355,235,355,1385
Serbian,40,60,10,110,65,330,60,95,670
Serbo-Croatian,20,0,0,0,10,50,15,35,90
Slovak,35,70,25,60,85,20,80,115,365
Slovenian,0,0,20,0,25,25,20,30,100
Ukrainian,120,170,210,215,245,415,225,345,1600
Latvian,0,0,0,0,0,10,0,0,15
Lithuanian,0,15,0,0,0,20,0,0,45
Estonian,0,25,0,10,15,65,0,0,115
Finnish,15,35,20,95,70,80,70,85,385
Hungarian,110,45,110,245,130,115,205,315,960
Greek,60,95,150,125,65,150,90,155,745
Armenian,0,25,0,50,25,10,10,0,115
Turkish,15,10,50,35,75,55,10,20,240
Amharic,65,0,10,30,10,0,0,70,115
Arabic,215,15,485,670,640,65,325,535,2405
Hebrew,10,0,0,15,20,35,0,10,85
Maltese,0,0,0,10,10,0,0,0,10
Somali,65,0,0,95,260,0,10,75,435
Tigrigna,45,0,0,0,0,0,0,45,45
Bengali,10,0,50,50,85,0,110,115,300
Gujarati,45,85,125,70,635,140,195,240,1290
Hindi,900,685,4090,1735,15495,330,9555,10450,32785
Kurdish,10,0,0,45,0,0,0,10,50
Panjabi (Punjabi),930,2350,10530,2965,45025,1215,21595,22525,84610
Pashto,0,0,15,20,260,0,65,65,355
Persian (Farsi),75,50,240,335,550,105,340,420,1695
Sindhi,0,20,15,20,130,20,30,25,230
Sinhala (Sinhalese),0,15,105,135,115,10,40,40,420
Urdu,165,60,690,300,3255,70,1045,1210,5590
Malayalam,10,10,80,75,100,0,80,85,355
Tamil,30,10,300,80,195,15,130,165,765
Telugu,10,10,0,15,60,10,20,25,115
Japanese,120,85,275,355,185,365,250,370,1630
Korean,505,440,1690,3600,280,915,175,685,7615
Cantonese,350,215,1040,915,1105,275,515,860,4405
"Chinese, n.o.s.",565,345,1225,2055,650,765,960,1525,6565
Mandarin,345,390,1420,3080,1070,1085,475,825,7870
Taiwanese,35,20,185,495,230,150,50,80,1160
Lao,15,0,205,85,25,0,70,85,400
Khmer (Cambodian),0,30,125,90,190,0,115,120,555
Vietnamese,635,340,1890,1440,1135,90,1080,1715,6615
Bisayan languages,30,0,15,125,230,20,35,65,460
Ilocano,70,0,95,170,80,40,80,145,535
Malay,30,45,155,185,145,120,50,80,735
"Tagalog (Pilipino, Filipino)",1030,475,2000,3600,2550,340,3085,4115,13080
Akan (Twi),30,0,15,15,65,20,15,45,150
Swahili,55,10,0,35,155,20,95,155,385
Creoles,30,10,35,40,20,0,0,30,125
Other languages,440,380,460,810,890,505,1405,1850,4895
Total - Mobility status 1 year ago,17105,37100,50240,51190,107915,59445,64580,81685,387575
  Non-movers,13600,30215,43020,41675,86320,51780,53715,67315,320320
  Movers,3510,6880,7220,9520,21595,7665,10865,14370,67255
    Non-migrants,1950,3895,5365,5435,14415,3840,7045,8990,41945
    Migrants,1555,2990,1850,4080,7180,3825,3825,5380,25305
      Internal migrants,1115,2775,1375,2970,5190,3230,2395,3505,19050
        Intraprovincial migrants,965,2325,1225,2455,4495,2505,2060,3020,16030
        Interprovincial migrants,150,450,150,520,690,725,330,480,3015
      External migrants,440,210,475,1110,1995,595,1435,1875,6255
Total - Mobility status 5 years ago,16370,34965,47910,48820,101355,57465,61065,77435,367950
  Non-movers,6955,16700,24820,24295,43780,30815,31570,38530,178940
  Movers,9410,18265,23090,24530,57575,26645,29495,38905,189010
    Non-migrants,4750,10465,15610,12700,34770,13315,17420,22175,109035
    Migrants,4660,7800,7485,11830,22800,13330,12075,16730,79975
      Internal migrants,3350,6895,4755,7065,14270,10755,6865,10215,53955
        Intraprovincial migrants,2930,5880,3855,5680,12170,8570,5895,8820,44975
        Interprovincial migrants,420,1010,900,1390,2100,2185,970,1390,8980
      External migrants,1310,910,2730,4760,8535,2575,5210,6515,26020
Total population by citizenship,17325,37705,50795,51655,109475,59935,65560,82885,392455
  Canadian citizens,15110,35960,45695,44375,92515,56765,56140,71255,346560
    Canadian citizens under age 18,2990,9610,12155,11200,27110,11700,15660,18645,90415
    Canadian citizens age 18 and over,12125,26350,33540,33175,65410,45065,40485,52605,256145
  Not Canadian citizens,2210,1750,5100,7280,16960,3170,9420,11630,45890
Total population by immigrant status and place of birth,17325,37705,50795,51660,109475,59935,65555,82880,392450
  Non-immigrants,10240,30460,29165,28520,59280,45130,35825,46060,238620
    Born in province of residence,6685,22600,22775,20980,46440,27445,28215,34900,175135
    Born outside province of residence,3555,7860,6395,7545,12840,17685,7605,11160,63485
  Immigrants,6810,7085,21095,22195,49375,14465,29195,36010,150230
    United States of America,120,300,250,485,785,1055,440,565,3435
    Central America,240,65,270,385,690,120,570,810,2350
    Caribbean and Bermuda,120,115,155,165,250,80,205,325,1085
    South America,130,135,135,290,330,230,165,300,1415
    Europe,1470,2625,3635,4010,5075,7635,3235,4705,27680
      Western Europe,200,610,755,770,925,1695,630,830,5590
      Eastern Europe,625,330,680,1145,855,935,815,1440,5385
      Southern Europe,170,360,655,745,675,670,640,810,3915
        Italy,25,175,180,180,165,120,160,190,1005
        Other Southern Europe,145,185,470,570,515,550,480,620,2910
      Northern Europe,475,1325,1545,1345,2625,4330,1150,1620,12790
        United Kingdom,390,1155,1340,1105,2380,3860,880,1265,11110
        Other Northern Europe,85,170,200,250,240,465,275,355,1675
    Africa,505,240,280,645,1075,645,690,1195,4080
      Western Africa,110,0,75,40,125,20,85,205,470
      Eastern Africa,175,85,100,330,755,145,335,515,1930
      Northern Africa,135,0,45,160,90,40,155,295,630
      Central Africa,30,15,25,15,0,15,35,65,130
      Southern Africa,50,140,35,105,105,425,65,115,920
    Asia and the Middle East,3835,3335,15360,15660,37730,4275,20430,24270,100630
      West Central Asia and the Middle East,225,100,645,800,930,270,385,605,3350
      Eastern Asia,1120,885,3565,7265,2000,2530,1105,2225,18465
"        China, People's Republic of",470,240,830,1855,705,630,490,960,5220
"        Hong Kong, Special Administrative Region",130,85,535,350,395,150,195,330,1845
        Other Eastern Asia,510,560,2195,5060,900,1755,425,930,11400
      Southeast Asia,1725,855,4220,5335,4125,735,4220,5940,21210
        Philippines,1025,425,2055,3425,2665,305,2745,3765,12640
        Other Southeast Asia,700,430,2165,1905,1455,430,1475,2180,8570
      Southern Asia,770,1505,6925,2260,30675,740,14730,15495,57600
        India,720,1415,6225,1820,28080,670,13705,14420,52635
        Other Southern Asia,50,85,695,440,2595,75,1025,1080,4965
    Oceania and other,380,265,1005,560,3450,430,3465,3850,9560
  Non-permanent residents,270,155,530,940,815,335,540,810,3595
Total recent immigrants by selected places of birth,1555,950,3030,5070,10795,1850,5985,7535,29235
  United States of America,20,95,35,75,155,210,135,155,720
  Central America,45,10,35,45,35,65,40,85,280
  Caribbean and Bermuda,25,0,0,0,30,10,30,50,95
  South America,15,0,20,40,30,10,75,85,200
  Europe,175,75,110,310,280,320,165,340,1440
    Western Europe,0,0,15,20,10,25,10,15,90
    Eastern Europe,160,10,40,200,65,75,145,305,695
    Southern Europe,10,15,0,50,65,55,0,10,190
      Italy,0,0,0,10,0,0,0,0,10
      Other Southern Europe,0,15,0,45,65,50,0,0,180
    Northern Europe,0,40,55,40,140,170,10,15,465
      United Kingdom,0,40,55,20,140,165,10,15,430
      Other Northern Europe,10,0,0,20,0,10,0,0,35
  Africa,270,140,25,255,220,105,185,450,1195
    Western Africa,60,0,15,10,55,0,55,120,210
    Eastern Africa,75,45,0,155,115,30,90,170,520
    Northern Africa,125,0,0,75,10,10,0,130,220
    Central Africa,10,10,0,0,0,0,30,35,50
    Southern Africa,0,85,0,10,35,65,0,0,195
  Asia and the Middle East,915,610,2735,4225,9520,1105,4885,5800,23995
    West Central Asia and the Middle East,30,15,220,210,235,70,155,185,935
    Eastern Asia,250,190,860,1990,410,860,165,415,4725
"      China, People's Republic of",150,15,180,715,165,240,110,255,1570
"      Hong Kong, Special Administrative Region",0,10,0,20,10,15,10,10,60
      Other Eastern Asia,100,165,675,1255,235,610,45,145,3090
    Southeast Asia,405,175,515,1605,920,95,720,1125,4435
      Philippines,325,125,375,1415,810,35,635,965,3730
      Other Southeast Asia,80,55,140,185,110,60,80,160,705
    Southern Asia,225,230,1135,420,7965,85,3850,4070,13910
      India,195,225,1065,310,6990,75,3375,3570,12235
      Other Southern Asia,30,10,70,110,970,10,475,505,1670
  Oceania and other,95,25,70,110,515,25,465,560,1305
Total immigrant population by period of immigration,6805,7085,21095,22195,49380,14465,29195,36010,150235
  Before 1961,410,1035,1245,1135,1705,3385,1090,1500,10010
  1961 to 1970,405,975,1495,1230,2445,2295,1430,1835,10290
  1971 to 1980,595,1330,3450,2815,6835,2250,3820,4410,21085
  1981 to 1990,1080,1155,4790,3855,8925,1560,5600,6685,26975
  1991 to 2000,2765,1635,7080,8085,18675,3125,11280,14040,52640
    1991 to 1995,1595,915,3585,3530,9315,1265,6100,7695,26305
    1996 to 2000,1170,725,3495,4555,9360,1860,5175,6345,26340
  2001 to 2006,1555,950,3030,5070,10790,1850,5980,7535,29235
Total immigrant population by age at immigration,6810,7085,21095,22195,49380,14470,29200,36005,150235
  Under 5 years,475,790,1515,1905,2795,1365,1610,2085,10460
  5 to 14 years,955,1370,3240,4150,6135,2850,4065,5020,22770
  15 to 24 years,1755,1895,5885,4730,14975,3075,9030,10785,41345
  25 to 44 years,2750,2340,7595,9125,16510,5935,9640,12395,53895
  45 years and over,870,695,2860,2285,8965,1240,4850,5720,21765
Total population 15 years and older by generation status,14460,29505,40420,41315,85175,50315,51690,66145,312875
  1st generation,6660,6975,20645,21030,48185,14085,28565,35230,146140
  2nd generation,2605,7725,8900,7845,16680,13390,9290,11895,66440
  3rd generation or more,5190,14805,10880,12440,20305,22840,13830,19020,100290
Total population by Aboriginal and non-Aboriginal identity population,17325,37705,50795,51655,109475,59935,65560,82885,392450
  Total Aboriginal identity population,710,845,910,890,1815,910,1550,2260,7630
    North American Indian single response,390,255,375,405,895,410,905,1300,3630
    Métis single response,280,570,510,460,805,475,605,885,3705
    Inuit single response,10,0,0,0,25,0,0,10,40
    Multiple Aboriginal identity responses,10,0,10,0,30,10,30,45,85
    Aboriginal responses not included elsewhere,15,20,15,25,60,30,0,20,165
  Non-Aboriginal identity population,16615,36855,49890,50770,107655,59025,64010,80620,384820
Total population by Registered Indian status,17325,37705,50795,51660,109475,59935,65555,82880,392455
  Registered Indian,325,140,245,240,610,245,585,910,2390
  Not a Registered Indian,17005,37565,50550,51415,108865,59690,64970,81970,390065
Total population 15 years and over by labour force activity,14460,29505,40425,41315,85170,50310,51685,66145,312870
