FACILITYID,ROAD_NAME,AADT_2009,AADT_2014
1001581304,104 Ave,6600,5800
1001746612,104 Ave,6600,5800
1000982676,Whalley Blvd,0,7900
1001583409,56 Ave,0,2200
1000979528,Fraser Hwy,22600,14300
1001205560,20 Ave,2000,1800
1000982842,King George Blvd,20100,22700
1000983024,24 Ave,12700,20300
1001745904,152 St,33000,25800
1001740975,164 St,1300,0
1001740981,24 Ave,14900,13600
1001741041,120 St,31700,29600
1001742947,24 Ave,8000,5900
1000975973,68 Ave,0,2000
1001120166,4 Ave,0,1100
1001120807,148 St,7300,6200
1001146853,96 Ave,0,10800
1001434092,192 St,0,7200
1001560031,152 St,16100,21550
1001746663,192 St,3900,9200
1001750514,City Parkway,0,2300
1001209115,142 St,0,2000
1001209692,28 Ave,0,800
1001210849,64 Ave,21100,19500
1001359973,96 Ave,14100,12100
1001405422,184 St,6600,6600
1001750530,King George Blvd,33900,32900
1000978605,King George Blvd,30100,23300
1000983586,128 St,21200,16800
1000983597,No 99 Hwy,8800,15000
1001719448,32 Ave,14000,15100
1000981363,16 Ave,11400,9100
1000981461,Croydon Dr,0,7100
1000981483,144 St,12400,15500
1000981690,72 Ave,33800,31000
1001561542,Fraser Hwy,27000,30900
1001561543,Fraser Hwy,34200,34200
1000985357,56 Ave,0,2200
1000985406,132 St,14400,13000
1000985449,144 St,15100,16000
1000985572,148 St,11200,10300
1000985678,160 St,7100,9600
1000976806,84 Ave,12400,12600
1000984319,108 Ave,11200,11000
1000984332,123A St,0,1100
1000984431,144 St,15600,8600
1000983052,128 St,10800,12200
1000980449,64 Ave,25800,27300
1000980580,120 St,14200,16600
1000980625,76 Ave,2600,7600
1000980821,72 Ave,20400,14600
1000974490,108 Ave,11200,14000
1000974588,128 St,10800,12200
1000974640,130 St,2400,2500
1000976813,64 Ave,26500,21900
1000977108,68 Ave,11800,12400
1000972541,Highway 10 (58 Ave),29900,35000
1001156796,28 Ave,0,1600
1000981184,156 St,11800,11100
1000981309,Crescent Rd,8300,7600
1000981327,100 Ave,7500,9500
1000981405,No 99 Hwy,8800,15000
1000981414,24 Ave,14900,24400
1000983508,148 St,7300,6200
1000983663,140 St,15500,17000
1000972635,King George Blvd,44400,41100
1000972846,King George Blvd,37100,79800
1000974850,132 St,10600,10300
1000977301,192 St,14600,15200
1000977405,148 St,11200,10300
1000977415,144 St,15600,8600
1000977421,24 Ave,6800,7500
1000979681,24 Ave,14900,13600
1000979700,108 Ave,6000,6900
1000979872,University Dr,0,5300
1000979927,100 Ave,15100,16600
1000981416,Harvie Rd,3900,3100
1000981445,King George Blvd,0,10500
1000981447,132 St,14000,12900
1000975079,128 St,10800,12200
1000975123,148 St,16600,14600
1000975240,0 Ave,0,1500
1000973003,150 St,0,9700
1000974941,128 St,10800,0
1000974984,Highway 10,29900,35000
1000972901,16 Ave,11400,10000
1000982305,132 St,14000,12900
1000972486,96 Ave,17400,17700
1000982264,134 St,0,3000
1000983555,Old Yale Rd,12200,13300
1000983559,168 St,4700,2400
1000984178,104 Ave,29000,23600
1000984214,120 St,27300,25400
1000976200,108 Ave,33800,20800
1000973028,82 Ave,6000,8800
1000973069,120 St,27300,28900
1000980340,64 Ave,26500,23300
1000982530,16 Ave,13400,11300
1000982563,128 St,25800,26400
1000982566,180 St,1800,2400
1000977137,68 Ave,7900,10400
1000984265,124 St,8800,6600
1000978953,76 Ave,12700,2800
1000974285,Highway 10,29900,35000
1000976301,172 St,0,4100
1000983830,148 St,19500,14600
1000976317,96 Ave,19500,18700
1000974345,0 Ave,0,1500
1001757399,68 Ave,0,2000
1001757400,68 Ave,0,2000
1000983744,0 Ave,0,1500
1000979499,0 Ave,0,1500
1000974906,0 Ave,0,1500
1000977841,0 Ave,0,1500
1000981457,184 St,900,0
1001780863,192 St,0,2000
1000977691,192 St,0,2000
1001561567,Fraser Hwy,27600,26100
1000983270,144 St,0,4700
1000976315,72 Ave,0,600
1000973157,124 St,8800,9100
1001561562,Fraser Hwy,27600,30300
1001561550,Fraser Hwy,27600,34200
1000976119,68 Ave,0,6500
1000977228,68 Ave,0,2000
1000976624,96 Ave,26900,25600
1000976645,172 St,1900,3100
1000976649,152 St,25300,29800
1000976876,132 St,10500,10800
1000977833,108 Ave,24800,23500
1000977840,103 Ave,0,800
1000976136,103 Ave,0,800
1000976145,Grosvenor Rd,4000,4000
1000976154,Bentley Rd,0,400
1000976160,184 St,4800,5300
1000976165,132 St,10500,10800
1000976384,128 St,25800,26400
1000976388,36 Ave,0,2900
1000976389,124 St,8100,10100
1000977339,68 Ave,6900,6900
1000977585,96 Ave,17400,16400
1000977591,Old Yale Rd,0,6300
1000977597,20 Ave,1200,900
1000977599,132 St,15800,13800
1000977614,140 St,8800,7900
1000978592,92 Ave,0,22300
1000974016,188 St,3900,4600
1000974022,122 St,0,2800
1000977074,128 St,14300,11900
1000977360,148 St,7300,6200
1000977379,Boundary Dr E,2500,2600
1000978379,80 Ave,13200,13400
1000974044,88 Ave,32300,27300
1000978092,King George Blvd,0,10500
1000979044,132 St,7900,8200
1000978401,36 Ave,0,2900
1000978444,168 St,4700,2400
1000975681,108 Ave,21300,23300
1000975719,24 Ave,14900,13200
1000976651,138 St,11800,12400
1000976658,Whalley Blvd,0,9900
1000975046,172 St,0,2100
1000975047,76 Ave,2600,7600
1000973007,84 Ave,0,6100
1000973015,177B St,0,5400
1000979059,148 St,0,11300
1000979060,32 Ave Div,19400,20800
1000979061,132 St,18000,17200
1000979070,84 Ave,12800,13000
1000979074,140 St,8800,7900
1000979084,140 St,17300,17200
1000976673,168 St,1200,1400
1000976677,92 Ave,0,300
1000976680,152 St,39500,34000
1000976710,68 Ave,0,6600
1000976726,20 Ave,4500,5000
1000977626,Colebrook Rd,6600,6200
1000975931,128 St,0,1800
1000975934,188 St,0,6500
1000975935,68 Ave,3600,2500
1000976191,20 Ave,1200,900
1000976202,180 St,3700,4100
1000976217,104 Ave,8800,8300
1000976232,148 St,11200,10300
1000976237,Whalley Blvd,0,7900
1000976244,148 St,7300,6200
1000976420,152 St,16500,17300
1000976423,20 Ave,8400,7200
1000976445,160 St,18700,17600
1000977402,Fleetwood Way,0,3700
1000977647,184 St,2200,2200
1000977658,152 St,25300,29800
1000978643,156 St,11800,11100
1000978647,96 Ave,25800,20400
1000978659,Highway 10 (58 Ave),29900,35000
1000976920,Grosvenor Rd,4000,4000
1000976931,88 Ave,25000,17000
1000976947,20 Ave,8400,7200
1000977159,132 St,15800,13800
1000977169,24 Ave,12700,20300
1000977171,192 St,6700,4800
1000977202,88 Ave,8700,7000
1000977204,16 Ave,12900,15000
1000978144,92 Ave,0,4300
1000977412,84 Ave,12400,12600
1000977413,144 St,3900,2500
1000977422,124 St,2500,2600
